userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore
621304258,545,61,47960,143,37,303,2132,13795
496070038,59,13,4130,143,85,407,785,13557
326017051,309,61,7107,143,136,407,1518,13457
535681384,886,85,88600,143,435,407,1899,13679
373503442,416,61,10816,143,108,509,1615,13834
700570855,913,85,46563,143,59,200,1088,13974
289015345,714,94,27132,143,27,509,774,14195
414495569,303,18,25149,143,159,509,1225,13496
168496941,794,94,68284,143,28,407,2047,14211
189226306,648,61,15552,143,221,407,873,13886
906221995,704,94,26048,143,27,407,1843,14203
956301719,604,61,42884,143,40,407,1498,13662
660435440,395,61,20540,143,55,200,1575,13557
963306534,801,94,36045,143,151,99,1529,13767
226636188,943,94,34891,143,57,99,2111,13480
942123136,397,61,32157,143,84,303,738,14371
089839636,385,61,34650,143,88,509,1305,14076
331889542,475,61,27550,143,687,99,1067,14053
677488726,299,61,10465,143,91,200,1095,13623
791351977,536,113,14472,143,52,99,1237,13771
435668607,379,61,19329,143,72,407,1229,13458
972062921,389,61,18672,143,1005,303,1238,13844
266737195,247,18,15314,143,54,407,1100,13714
810473568,1,13,92,143,58,303,1318,14327
607324972,852,94,82644,143,115,99,1666,13380
105963019,655,113,42575,143,26,200,1586,13606
794805873,579,61,39951,143,28,407,959,13751
735133266,1,13,52,143,42,407,1465,14290
198582781,850,85,41650,143,284,303,2014,14187
055276180,74,13,2812,143,61,509,1886,14129
255046884,78,13,5148,143,44,407,1809,13801
349323997,1,13,63,143,28,99,898,14332
895009166,499,113,21457,143,64,200,1652,13769
135430460,34,13,2346,143,111,407,1532,13511
197148384,1,13,93,143,52,407,1784,13532
434926845,527,61,24769,143,33,509,895,14003
147168083,105,18,3465,143,311,99,1071,13726
916737393,600,61,23400,143,124,200,782,14189
137261007,928,94,91872,143,28,99,912,13861
982623720,704,113,47168,143,38,200,2167,13794
651472333,1,13,89,143,140,99,1285,14149
530494430,301,61,16856,143,35,303,1888,13545
351172312,817,94,60458,143,55,200,1274,13411
388626919,1,13,25,143,42,407,1161,13885
248426603,930,94,52080,143,871,99,1990,13537
095575647,183,18,16653,143,163,509,1503,13749
635964715,863,85,65588,143,30,200,867,13856
481507562,802,94,56140,143,32,303,1872,14160
313387803,1,18,43,143,32,303,2066,13626
537307125,795,94,18285,143,33,509,1238,13536
878429425,878,94,60582,143,237,407,1332,13785
818441646,274,18,5754,143,201,303,1262,13793
424288263,912,94,35568,143,29,303,1564,13803
565892179,1,18,96,143,40,303,1752,14132
033371446,770,94,54670,143,40,407,1398,14257
134374230,442,113,31824,143,32,509,1707,13566
338455087,578,61,23120,143,46,509,1712,13978
391306748,394,113,21276,143,75,407,1752,14282
747321182,44,18,1584,143,48,200,1538,14272
683788637,131,18,7336,143,76,99,2205,13430
052260734,208,18,13520,143,30,200,1644,13495
052860548,722,94,40432,143,421,303,1887,13381
757344080,768,94,55296,143,64,407,724,13676
527081201,462,113,19404,143,28,200,1843,13946
068626081,832,85,40768,143,502,303,1494,13604
430057199,718,113,21540,143,73,509,1494,13739
103417786,609,61,18270,143,68,99,1235,13614
494873979,905,94,70590,143,1452,99,1659,13659
152071605,1,18,27,143,38,509,1279,13835
967548706,603,61,25929,143,55,407,1156,14164
472569092,579,113,34161,143,34,99,1606,13410
614227413,432,113,15120,143,49,407,2059,14081
179989617,84,18,7812,143,30,509,966,14332
506336438,911,94,71058,143,726,407,1421,14288
042354334,619,113,35902,143,139,509,1386,13882
046049218,201,18,14673,143,44,509,1407,14128
665638492,313,18,17528,143,34,407,1427,13757
008124973,324,18,8100,143,30,509,979,13995
414992412,827,85,59544,143,40,99,1716,14303
904721064,572,61,28600,143,44,303,915,13861
467902819,268,18,24924,143,57,509,1752,14104
403343472,8,18,608,143,290,509,947,14035
755677974,155,18,11160,143,133,200,1747,13475
776449346,273,18,17745,143,204,99,1872,14006
617561313,759,94,50094,143,34,99,1040,13755
341116337,394,113,11032,143,33,200,629,14279
017002582,282,18,15228,143,34,407,2067,13540
952486085,858,94,82368,143,35,509,639,14001
639453454,487,113,48700,143,108,99,1791,13926
658999988,907,85,49885,143,60,303,1202,13782
673004916,95,18,4370,143,47,303,1269,13667
048894851,370,113,14800,143,35,200,1337,13566
779989404,533,113,42640,143,26,407,566,14185
749375077,71,13,3834,143,32,99,1241,13843
305750792,64,18,2560,143,88,303,1682,13699
058590317,586,113,42192,143,91,407,673,13997
122370697,1,13,93,143,59,303,870,14210
028684621,365,61,32850,143,30,509,1878,14364
667689970,434,61,11718,143,75,200,942,13708
935624437,459,113,18819,143,32,99,1341,13708
