userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
698921266,682,74,17050,471,80,236,468,27817,T
972616967,1,4,98,471,205,294,257,27549,F
392993617,697,98,46699,471,175,117,768,28013,T
600062888,463,74,41670,471,340,58,418,27807,T
686398569,1,4,78,471,488,294,1085,27731,F
597623922,300,45,8100,471,192,58,643,27828,T
496974739,731,74,58480,471,726,117,286,28059,T
445415847,309,45,16068,471,59,294,1092,28056,T
280436296,94,4,6110,471,82,294,1140,28375,F
562363676,664,74,42496,471,95,176,473,27726,T
507513823,909,133,89082,471,66,236,1005,28384,F
210634178,854,98,75152,471,70,58,1042,27846,T
212316545,204,4,8976,471,114,294,817,28482,F
117288486,395,45,37525,471,378,294,785,27642,T
937634404,858,133,78936,471,54,236,712,27715,F
916878671,681,98,33369,471,74,294,548,27949,T
501471511,813,98,30081,471,113,117,330,27866,T
759841379,915,98,18300,471,251,58,468,28397,T
897581427,436,74,33572,471,106,176,960,28051,T
534797656,13,4,598,471,184,294,287,28120,F
651091440,775,98,75950,471,55,236,384,28384,T
794709312,6,4,306,471,90,117,1048,28280,F
498598682,778,98,76244,471,116,58,573,28347,T
399480421,59,4,2714,471,2988,176,235,27886,F
547063760,29,4,1044,471,72,294,1136,28399,F
404328949,313,45,10016,471,707,58,1202,27546,T
876051751,188,4,9400,471,597,117,839,28529,F
923152069,703,98,18981,471,148,58,380,28173,T
386673265,244,45,9028,471,160,117,283,28153,T
799199420,577,74,11540,471,56,58,839,28022,T
332127616,170,4,7820,471,283,117,794,27751,F
777996514,614,74,45436,471,927,58,795,28277,T
794758462,232,4,20416,471,71,176,330,28515,F
090884009,881,98,27311,471,123,117,687,27793,T
884855217,786,98,26724,471,235,236,883,27923,T
205228374,227,4,22473,471,115,117,1094,27642,F
812141931,709,74,31905,471,64,58,553,28452,T
778948671,349,45,30014,471,286,117,410,27786,T
344384333,588,74,48804,471,220,58,471,27733,T
510487804,189,4,7749,471,93,294,244,28510,F
210358711,78,4,5070,471,332,176,805,27988,F
