userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
256810949,1598,345,274856,881,4596,424,3210,373860,T
893030290,698,63,155654,881,4377,1697,5932,373222,T
796211283,303,124,31815,881,3677,1697,4312,373503,T
881865466,854,176,167384,881,6938,1697,5690,373478,T
475525820,1848,344,107184,881,3752,848,3341,372965,T
785528748,858,214,55770,881,9193,424,5364,373145,T
272662906,1743,378,128982,881,8171,1697,3092,373502,T
410618861,1738,377,243320,881,9677,424,4353,373186,T
194608179,406,57,50344,881,4178,848,2860,373514,T
440028352,555,95,37740,881,4326,848,2983,372968,T
215894008,1653,353,360354,881,10815,1697,3523,373395,T
598716541,128,69,22144,881,4775,1273,5946,373539,T
471115855,610,53,35990,881,6028,848,2564,373714,T
264436678,497,93,61131,881,11143,424,5431,373839,T
971221324,906,181,149490,881,5037,1697,2618,373556,T
398773028,849,229,169800,881,3870,424,2781,372917,T
464350769,864,187,128736,881,7994,1273,4143,373680,T
805457601,1777,361,302090,881,6028,424,5346,373110,T
853782981,1831,372,194086,881,24515,1697,2880,373468,T
209691984,1028,233,191208,881,16714,2121,4326,373582,F
006913228,1704,340,105648,881,11143,1273,5783,372923,T
913170668,881,217,70480,881,5179,848,4128,372888,T
207709739,677,102,92749,881,6938,848,4351,373700,T
132170907,975,169,122850,881,36772,2121,3454,373488,F
623441529,172,29,7052,881,15321,1697,3118,373722,T
233959911,1676,377,186036,881,4178,848,4200,372932,T
016107248,1010,209,214120,881,4377,2121,5090,373349,F
154451231,1049,196,36715,881,16714,2121,4241,373882,F
112018226,64,16,9792,881,6340,1273,2953,373462,T
873858185,465,102,82305,881,15321,2121,3029,373522,T
449510857,1015,198,98455,881,4969,2121,5475,373713,F
826240101,1640,335,90200,881,3714,424,5343,373681,T
121516402,1599,358,25584,881,3997,1273,4148,373415,T
924738411,937,173,54346,881,6232,2121,3001,373297,F
442394697,966,194,159390,881,4596,848,4569,373749,T
265234746,970,174,94090,881,61287,848,4171,373272,T
740549622,1753,351,131475,881,6340,2121,4080,373157,T
411154308,938,184,80668,881,24515,1697,2705,372884,T
979633035,415,104,65155,881,14709,1273,3348,373057,T
620907955,1486,248,28234,881,26266,848,5525,373472,T
993959124,885,212,141600,881,5329,2121,3918,373574,F
172339095,1602,349,62478,881,28286,2121,2783,373143,T
550367570,896,190,156800,881,5329,1273,5996,373151,T
707085619,1568,313,210112,881,6451,424,5553,373594,T
915342106,1608,313,398784,881,11491,2121,4288,373463,T
002813657,1617,331,30723,881,4430,1273,5283,373498,T
154339688,525,112,17325,881,6232,1273,5472,373721,T
186453574,853,234,8530,881,10815,2121,4290,372937,F
208844858,969,234,93993,881,4178,2121,5404,373362,F
895259034,650,65,89700,881,10506,2121,4255,372907,T
710380746,1847,331,156995,881,4226,1697,2926,373101,T
225003387,975,191,53625,881,24515,1697,3863,373802,T
244182393,858,219,147576,881,4377,424,4351,373043,T
620199661,908,189,14528,881,3997,1273,3150,373146,T
855811195,331,112,57594,881,6566,1273,5145,373819,T
551570872,964,182,148456,881,8968,2121,5297,373574,F
291369474,1091,190,231292,881,30643,2121,3792,373526,F
127797867,118,44,20768,881,11143,1273,3164,373333,T
473322293,1137,209,194427,881,73545,2121,2511,373206,F
716107077,695,73,38920,881,5745,1697,5649,372912,T
103233314,79,56,14615,881,3791,848,4619,373540,T
265148464,936,176,14976,881,4596,424,2999,372904,T
419680635,119,37,19516,881,3911,2121,3322,373875,T
366287628,1063,186,250868,881,52532,1273,4730,373769,T
439555774,120,30,3840,881,19354,848,4158,373177,T
263397820,1698,329,28866,881,4226,2121,5822,373426,T
163616149,1765,349,88250,881,3752,2121,4296,373615,T
119735299,1779,375,362916,881,4484,1273,3098,373022,T
806001495,232,26,31320,881,21631,1697,4048,373026,T
840411175,1726,358,48328,881,4226,848,4091,373419,T
462211672,693,82,119196,881,6340,848,5390,373103,T
483837400,1628,339,393976,881,14709,1273,3354,373226,T
302557863,1103,183,36399,881,26266,848,2535,373654,T
416930454,52,43,10972,881,4654,424,4243,373749,T
905822281,50,45,6950,881,5657,1697,5770,373856,T
097600162,648,111,103032,881,5253,2121,3248,373643,T
567760611,1708,334,157136,881,52532,424,2615,372874,T
288222487,880,205,20240,881,36772,1697,5678,373273,T
622110699,214,10,36380,881,22982,848,5822,373086,T
267846680,1691,359,241813,881,40858,1697,2668,373819,T
106455724,1674,378,227664,881,12257,424,3773,373437,T
010546866,524,92,90652,881,7071,1273,5615,373301,T
542965041,946,217,64328,881,12257,1273,5797,373348,T
538912428,641,105,88458,881,4539,2121,5783,373356,T
181883630,1694,363,406560,881,14709,2121,5219,373528,T
708237495,1555,324,216145,881,4838,424,5138,373469,T
585867023,915,180,165615,881,40858,424,2879,373177,T
594526210,371,79,5936,881,4040,1697,3180,373177,T
796310005,1038,191,83040,881,7823,848,4819,373786,T
572145958,1111,174,87769,881,3997,2121,5975,373449,F
916405029,1777,350,396271,881,7210,1697,2684,372873,T
302635739,688,65,123152,881,9677,1273,5978,373869,T
935527837,1707,355,290190,881,5571,424,5397,373751,T
926271782,520,101,16120,881,6566,1697,5060,373294,T
353307955,164,14,3936,881,5745,424,5568,373875,T
734948968,1635,377,140610,881,11143,1697,5466,373433,T
537616788,629,51,73593,881,8357,1697,3865,372960,T
389243871,962,180,230880,881,4226,424,4481,373209,T
162615147,690,110,97980,881,8357,1697,5653,373861,T
223216022,626,97,128956,881,7823,2121,5197,373387,T
980541587,1643,321,292454,881,3997,424,4258,373002,T
472949833,1107,190,156087,881,5836,848,2660,373459,T
140974375,1763,377,44075,881,4484,424,5795,373179,T
190893724,987,233,80934,881,10506,848,2570,372875,T
451002207,519,74,106914,881,5179,1697,2960,373066,T
667131436,1778,321,432054,881,4040,1697,3240,372983,T
687476396,884,178,111384,881,3870,1273,2600,373552,T
262967074,93,33,10416,881,7660,424,5134,373037,T
186033578,1056,177,61248,881,17510,424,2826,373796,T
529488143,1031,168,10310,881,13619,424,4565,373052,T
500792097,644,99,30268,881,4596,2121,2506,373666,T
824435685,1722,375,244524,881,5836,848,3802,372946,T
580120291,920,192,131560,881,3677,424,4405,373382,T
027433240,602,75,79464,881,3830,424,6080,373717,T
086310146,1120,173,241920,881,4040,2121,5480,372929,F
792363142,697,59,52972,881,6340,1273,5753,373109,T
461513226,912,178,20064,881,3677,424,4058,373237,T
459962360,1688,366,123224,881,6809,1273,5349,373452,T
033350564,1099,212,39564,881,4178,424,5297,373809,T
235007636,1067,186,250745,881,10506,2121,4311,373599,F
696957158,938,193,12194,881,4178,424,3449,373847,T
144566995,1114,225,103602,881,7071,848,5395,373682,T
740553144,140,29,34440,881,52532,848,5604,373078,T
710686122,657,71,157023,881,33429,848,4081,373494,T
830720326,1813,309,395234,881,9938,424,5244,372914,T
387232989,1741,365,135798,881,4226,2121,5923,373129,T
826334290,603,66,66933,881,6566,848,3162,373239,T
904485729,1800,363,280800,881,26266,848,6020,373771,T
298468843,585,60,19305,881,7210,424,2537,373756,T
980927314,141,46,6768,881,3677,848,2862,373592,T
994264300,1048,210,39824,881,9193,848,5139,373172,T
544571988,117,57,2457,881,4838,424,3053,373738,T
614559988,1832,379,18320,881,6128,1697,5934,373674,T
831867465,619,49,25998,881,3791,424,2823,373367,T
427003813,547,70,38290,881,5253,1697,5732,373190,T
026230612,1094,179,25162,881,3830,1273,3515,372915,T
710762248,945,187,60480,881,6685,2121,3199,373700,F
659572502,979,204,107690,881,3752,1273,5098,373391,T
278599972,310,126,34410,881,3791,848,5480,373239,T
801378401,428,56,5564,881,7210,848,5287,373040,T
697553578,993,217,138027,881,3830,2121,2693,373201,F
938685607,1051,228,71468,881,22982,1273,3870,373279,T
666951173,512,104,83968,881,3714,424,2890,372893,T
392472117,1098,214,132858,881,5488,1273,2532,373695,T
750091436,1024,219,225280,881,5037,1697,4738,373489,T
389182405,699,62,147489,881,4226,2121,4316,373163,T
303461786,975,211,15600,881,6809,848,3878,372874,T
027422440,885,171,48675,881,6028,424,5539,373647,T
628896695,130,67,13520,881,5745,1697,3792,373475,T
084463108,1783,310,324506,881,8551,1697,4462,373711,T
243328370,1849,345,260709,881,6809,1697,3522,373335,T
722663476,1690,324,199420,881,8968,848,3343,373631,T
350573185,1756,334,426708,881,5571,848,5891,372964,T
227290663,913,229,98604,881,6340,1273,5106,373224,T
401217973,640,58,17920,881,9428,848,3041,373488,T
315539156,984,219,77736,881,22982,2121,4493,373758,F
303890712,882,176,156996,881,8171,1697,4026,373803,T
748539153,485,97,102335,881,40858,848,6068,372902,T
887510768,478,69,55448,881,18386,1697,5682,373529,T
636782516,915,206,30195,881,7504,1697,4379,373194,T
139777182,1043,213,163751,881,61287,424,3208,373071,T
475105963,501,88,90681,881,5037,424,5722,373035,T
187835020,1005,174,239190,881,10214,1697,5902,373194,T
672529973,1730,341,313130,881,61287,1273,2666,373043,T
195307939,674,79,50550,881,33429,1273,5103,373152,T
427774014,407,96,39886,881,4969,1697,5662,373494,T
306636625,1604,371,368920,881,21631,424,3387,373370,T
167338618,350,100,75250,881,4131,1273,5659,372979,T
717986815,523,68,48639,881,4838,424,4124,373294,T
941815224,1110,188,17760,881,3752,1697,4307,373344,T
703813907,1573,368,165165,881,33429,424,5101,373303,T
321915327,1674,316,369954,881,8968,2121,5596,373836,T
037962572,96,27,21120,881,14143,848,3436,373188,T
914960893,426,106,92868,881,4326,1697,4066,373413,T
783514478,1561,329,93660,881,73545,424,3430,373860,T
647038042,231,11,37884,881,6232,1697,4743,372873,T
451661849,131,1,26331,881,4654,1273,4430,373002,T
918866405,556,75,102304,881,6938,424,3320,373419,T
121887389,461,70,12447,881,5931,2121,6007,373753,T
129436928,1016,223,224536,881,6566,1697,3456,372875,T
435509550,911,179,15487,881,3752,2121,3330,372916,F
700770230,1568,312,130144,881,30643,424,3787,373544,T
185371594,668,58,88176,881,4484,424,2805,373383,T
699239615,544,52,129472,881,20429,1273,4023,372988,T
897882141,1751,379,94554,881,6809,1697,3484,373001,T
001634507,1782,335,101574,881,20429,1697,2842,373433,T
895554789,313,116,47889,881,5836,424,5762,373705,T
183431414,301,70,34615,881,3791,848,5417,373213,T
233216766,313,83,55714,881,4714,1273,5688,373645,T
028759527,1560,344,56160,881,4775,1697,4302,373162,T
520249557,1131,208,46371,881,4969,424,5443,372924,T
098726331,176,1,19360,881,3911,1697,3927,373443,T
197654474,1064,169,252168,881,9938,848,4476,372894,T
440415301,641,93,43588,881,4040,1273,4148,373793,T
676925179,166,12,16268,881,7994,1697,5197,373291,T
687392468,390,78,69420,161,1036,2200,4832,70868,F
358881741,511,90,8687,881,45965,424,4410,373556,T
915324301,963,176,165636,881,8357,424,2782,373816,T
413051369,982,208,49100,881,5179,424,5453,373580,T
903241256,926,207,11112,881,6566,848,4336,373529,T
160469329,986,207,77894,881,4085,1697,3175,373632,T
615003290,973,230,144977,881,14143,424,3893,373686,T
511898479,1666,372,189924,881,9193,848,4561,373325,T
311313442,93,53,17949,881,4377,1697,2843,372919,T
699579880,443,58,40313,881,28286,848,4676,373453,T
589494344,395,108,48585,881,6128,2121,2570,373677,T
071995046,1794,360,346242,881,15988,1697,5071,372968,T
643983516,1761,366,396225,881,15321,1697,5089,373237,T
483249390,866,218,35506,881,3870,1697,4313,373281,T
467276290,594,97,46332,881,6128,1273,5412,373753,T
282541512,235,38,6815,881,6566,848,2626,373856,T
715129599,966,205,162288,881,6028,1273,3496,373399,T
456755443,1720,342,58480,881,14709,424,5152,373060,T
188577443,106,3,13462,881,3870,1273,3066,373101,T
425224471,671,68,43615,881,5745,1273,4788,373188,T
463985197,562,75,75308,881,16714,1273,3360,373251,T
712576322,1684,343,58940,881,5107,2121,4174,373481,T
674609205,1633,371,173098,881,7071,1273,3367,372936,T
874602566,467,66,63979,881,8171,1697,3134,373105,T
529882734,694,67,70094,881,45965,2121,5636,373491,T
807150854,54,51,6048,881,4484,848,4533,373154,T
355244440,296,102,57424,881,5107,424,3039,373651,T
008581637,691,65,91903,881,5407,2121,3990,373086,T
274319255,57,13,7410,881,4969,2121,2584,372985,T
113524005,964,213,11568,881,9938,1273,4400,373162,T
319656016,430,79,13330,881,40858,1697,3106,373882,T
937314102,1612,232,27404,881,5657,848,3352,373275,T
305748294,341,61,65813,881,4377,1273,4557,373764,T
793487711,1847,313,62798,881,11862,2121,4524,372898,T
577516840,618,54,22866,881,4484,1697,4728,373851,T
128974631,1688,325,325784,881,7210,848,2689,373782,T
591688241,1659,328,411432,881,13133,1697,3268,373762,T
993500729,682,109,68882,881,8755,848,5976,373438,T
507625391,489,92,12225,881,5037,848,5757,373080,T
324519772,1585,340,210805,881,4838,1273,3148,373555,T
262097216,630,68,105210,881,7994,424,5551,373492,T
048743572,967,202,157621,881,5836,1697,3373,373074,T
372717211,1773,327,42552,881,3677,1697,4008,373658,T
961908938,1800,311,343800,881,7071,848,5182,373354,T
084071304,537,74,5370,881,73545,1697,4745,373253,T
158415816,440,88,7040,881,4226,848,4571,372879,T
709600058,624,60,46176,881,15988,2121,3826,373789,T
292420447,1565,332,192495,881,4226,848,5262,373797,T
217564084,125,6,19000,881,15321,2121,2633,373247,T
230536145,45,7,1440,881,7071,1273,4435,373066,T
077577477,672,57,15456,881,6809,848,2632,373745,T
252948473,108,61,19332,881,4596,424,4452,373628,T
155262275,890,204,149520,881,21631,1697,5042,373047,T
261371947,1613,360,98393,881,22982,1273,6022,373002,T
725638700,590,65,84960,881,61287,424,4418,373362,T
185489987,591,104,127656,881,5488,1273,5665,373836,T
773993301,958,232,88136,881,19354,1273,4620,372943,T
893825998,658,102,149366,881,8357,1273,3971,373596,T
231343649,529,44,121141,881,6566,1697,5118,373633,T
055704146,592,62,53280,881,8357,848,3332,373597,T
635269816,1733,357,426318,881,6685,2121,2571,373317,T
994103584,406,95,31262,881,12257,424,4242,373793,T
094101225,217,19,29512,881,6809,2121,4272,373322,F
184824422,1721,323,409598,881,6028,2121,5340,372943,T
609363426,963,207,232083,881,7994,424,5717,372895,T
738725909,915,170,14640,881,3954,424,4232,373509,T
176249068,238,29,33796,881,5931,1697,4003,373152,T
603201603,1609,375,164118,881,11491,2121,5229,373102,T
135870909,896,232,61824,881,15988,424,2973,373860,T
638215180,574,107,29274,881,4131,424,3177,373462,T
434018663,693,62,164934,881,4377,848,2613,373061,T
459317736,556,95,45036,881,19354,2121,3468,373144,T
107215965,471,57,10833,881,5836,2121,5081,373314,T
740014135,847,234,69454,881,7823,1273,4258,372881,T
649473900,166,23,24734,881,52532,1273,3463,373868,T
320560749,1083,180,75810,881,5836,2121,5781,373392,F
682854014,68,50,7820,881,3911,2121,2767,373585,T
917634544,75,22,14175,881,4539,1273,4005,373018,T
631872534,472,63,106200,881,19354,1697,3211,373623,T
352563954,1654,330,395306,881,4430,848,4222,373614,T
917301128,987,193,133245,881,3830,848,4371,373664,T
365871098,1619,375,344847,881,18386,424,5593,373069,T
606004629,991,197,77298,881,4903,2121,4511,373074,F
809092435,171,33,4959,881,7504,1273,4610,373015,T
843014343,1773,347,320913,881,6685,424,2824,372904,T
953348852,625,83,27500,881,4484,1273,4811,373744,T
159744987,881,210,176200,881,9193,1273,4567,373544,T
017414319,150,36,12000,881,7660,848,3129,372973,T
870165298,161,16,31878,881,3714,1697,4202,373512,T
291324208,1725,341,58650,881,13619,2121,3127,373667,T
818310328,1836,349,163404,881,33429,1273,5438,372925,T
715850074,1069,168,59864,881,8755,2121,5780,373445,F
041054284,1827,349,62118,881,11491,1697,5842,373347,T
418912822,296,112,64232,881,5745,424,3212,373399,T
765037796,405,64,39285,881,6566,1273,5866,373395,T
170810586,1823,378,331786,881,20429,1697,4801,373112,T
272122744,900,216,132300,881,12257,848,2663,373459,T
710137075,1103,190,126845,881,11862,1273,5271,373627,T
781436328,479,103,41673,881,3677,2121,5803,373554,T
697836739,1556,241,31120,881,7504,848,4673,373871,T
324683368,859,212,161492,881,4085,848,3045,373607,T
384840040,1072,203,121136,881,7994,848,2761,373881,T
655021623,858,237,96096,881,73545,848,3949,373330,T
746012825,377,10,19981,881,4040,424,4244,373845,T
834786476,1596,367,84588,881,12680,848,3062,373518,T
460667040,1101,218,28626,881,6566,1697,4595,372959,T
486546584,1729,344,409773,881,10815,424,3357,373400,T
