userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
400058554,1147,200,205313,723,4338,1519,3407,365948,T
384418714,1238,225,233982,723,3844,2025,4804,365823,F
467523974,1000,258,86000,723,3374,1012,3718,365844,T
063552321,336,65,84000,723,5061,2531,3351,365805,T
812736502,365,16,23725,723,12654,2025,2788,365263,T
648241016,1097,263,249019,723,5328,1012,4786,365575,T
984467952,57,1,7638,723,30371,506,3319,365183,T
828544257,240,82,23280,723,3615,2025,3281,366152,T
975449330,210,27,43050,723,20247,2531,2110,365588,T
819516432,91,1,9737,723,8677,2025,2454,365882,F
865109693,1194,268,234024,723,3131,1519,4929,365872,T
830408767,446,34,101242,723,15185,2531,4944,365250,T
628988254,1115,269,115960,723,6602,2531,4392,365917,F
361937109,1243,222,146674,723,4745,2531,4365,365593,F
525826520,225,67,19575,723,4672,2531,2148,365959,T
036231073,1082,222,147152,723,8436,506,3492,365253,T
691213932,1108,230,136284,723,5061,1519,2457,365186,T
076632976,1114,229,139250,723,16873,1519,3004,366169,T
963382155,355,42,87330,723,18982,2531,2382,365199,T
289653061,1254,204,155496,723,18982,2531,3672,365791,F
377193822,1287,228,232947,723,5955,1012,2995,365619,T
322471850,412,82,13184,723,5423,1519,3697,365204,T
292966171,290,61,44370,723,3659,2025,4389,365593,T
864223444,1843,259,409146,723,4672,2025,3667,365831,T
619208256,213,8,20022,723,4218,506,4024,366079,T
081395074,1604,214,311176,723,6462,1012,2999,365432,T
757892023,426,53,81366,723,3893,506,3758,365411,T
605274967,79,30,19197,723,4049,2025,2115,365632,F
406401848,444,18,27972,723,9797,2531,2290,365394,T
911274487,10,1,1800,723,3944,2025,2007,366065,F
726147453,290,70,20300,723,4533,1519,3507,365999,T
889192546,1041,229,231102,723,4104,506,3054,365342,T
094400754,1056,250,217536,723,17865,506,4360,365908,T
124697204,1681,225,411845,723,3374,506,2072,365184,T
108720379,358,69,86994,723,3944,2531,3792,365291,T
266215728,233,59,42872,723,6749,2531,4912,365294,T
012372344,273,23,10647,723,6902,2531,2820,365693,T
071037063,260,53,11960,723,50619,1519,4078,366159,T
845589635,1043,253,133504,723,9491,1012,3388,365292,T
215942536,307,32,71838,723,3996,2025,3470,365837,T
435203015,1826,244,454674,723,33746,1519,2668,365858,T
918361177,326,18,68134,723,3099,2025,3048,365447,T
551989417,1620,241,405000,723,3749,1519,1994,365384,T
267681167,1018,240,99764,723,4672,506,4814,366146,T
377452091,429,21,18876,723,4160,506,3100,365830,T
810475266,1121,253,150214,723,10473,2531,4615,365673,F
112571335,1276,262,151844,723,23362,506,3233,365557,T
015654826,442,49,61438,723,3703,2025,4133,365841,T
882971036,447,49,12516,723,8677,2531,4901,365538,T
814043076,357,26,78183,723,5328,2025,4441,365870,T
608870503,326,79,6194,723,3573,1519,4387,365964,T
890637411,1583,198,20579,723,11248,2025,2403,365813,T
319203217,312,82,71760,723,11248,2025,2004,365218,T
604205409,1624,213,154280,723,18982,506,2991,365868,T
365139097,1553,214,35719,723,6327,2531,2543,365463,T
864281776,1650,193,49500,723,43388,1519,2691,365702,T
763096111,1134,243,250614,723,3893,506,3126,365339,T
722189542,1762,236,26430,723,3844,2531,2663,365242,T
089984110,1018,216,74314,723,5840,2531,2752,366017,F
868757149,1075,206,144050,723,3451,506,4877,365686,T
325485042,1650,259,227700,723,9203,506,2942,365789,T
339830493,8,1,128,723,13805,506,4445,366046,T
071227599,1869,217,431739,723,3451,1519,2783,365911,T
413168264,1044,206,188964,723,12654,1012,3777,365441,T
540237878,403,48,81406,723,4898,506,3401,365281,T
547426216,1204,217,228760,723,4745,2531,4625,365990,F
069444513,351,40,35451,723,5061,506,2265,365627,T
257788704,466,63,19572,723,15185,2025,3230,365850,T
082423504,403,26,98332,723,5328,2025,2507,365303,T
473721710,381,70,24384,723,3231,506,3997,365550,T
707706809,1743,204,413091,723,5236,2025,2571,365416,T
120510388,1226,229,273398,723,6749,2025,4697,365947,F
152899778,360,17,84960,723,3265,1519,2846,365271,T
770013298,1221,264,174603,723,7231,2025,4145,365961,F
298653346,1028,252,19532,723,7063,506,1984,365582,T
713616800,428,54,11556,723,7787,506,3270,365180,T
085785215,276,70,10212,723,3099,1519,3160,365644,T
325915091,50,1,8600,723,7231,1012,3245,365456,T
126338355,1047,252,204165,723,4104,2531,4612,365955,F
160800360,475,58,88350,723,4160,2025,3643,365596,T
191140687,432,49,36720,723,3163,1519,3409,365792,T
058200881,457,85,37931,723,3659,1012,2660,365777,T
107656244,390,84,79950,723,5522,506,3719,365551,T
124465160,357,53,59619,723,23362,2531,2574,366076,T
716444819,1773,214,63828,723,10473,2025,4514,365666,T
293594277,385,35,40810,723,10123,506,4163,365974,T
540164395,1107,211,136161,723,3301,2531,3043,365763,F
713860962,54,25,9126,723,50619,2531,4013,365255,F
874930164,304,32,49552,723,6749,2025,2070,365418,T
047286421,1155,235,125895,723,4277,1012,2520,365278,T
449410053,1149,253,133284,723,3893,506,2989,365292,T
986502732,1076,220,194756,723,3451,1012,4658,365516,T
377169811,1131,245,145899,723,17865,2531,2319,365985,F
066314873,318,77,42612,723,23362,2025,2074,365413,T
258553563,1200,247,121200,723,3531,2025,2152,365577,F
414772852,1816,232,27240,723,3037,1012,3593,366113,T
730665740,1164,232,77988,723,5236,2025,2262,365196,F
291707551,258,30,62436,723,3451,2025,4822,365816,T
469064897,1123,258,265028,723,3067,1012,4836,365876,T
884214626,1297,236,33722,723,10473,1012,2114,365608,T
217697646,1631,211,249543,723,25309,2025,2862,365271,T
745506766,1180,227,107380,723,5840,1012,2516,365711,T
400095291,1,1,107,723,9491,1519,3394,365904,F
222038110,1825,193,344925,723,30371,2025,2391,365963,T
880058948,1657,232,296603,723,33746,506,3581,365986,T
153174185,398,60,53332,723,4049,2025,2078,365944,T
304434404,404,84,81608,723,8932,1012,2395,365756,T
260768945,1166,225,158576,723,18982,1012,3567,366039,T
910173868,483,80,67620,723,5061,1012,1997,366142,T
017870015,1055,256,146645,723,3037,2531,4803,365184,F
288658530,395,75,35155,723,5147,2025,4815,365455,T
275470839,1100,216,226600,723,4898,2025,2108,365440,F
078741489,1133,200,225467,723,14462,506,3050,365346,T
425937390,1116,254,277884,723,10473,2531,2503,365692,F
131177743,345,76,51405,723,3231,1519,2077,365802,T
287017572,177,1,9558,723,43388,506,4940,365586,T
584781534,1834,229,372302,723,5955,2531,2177,365979,T
183587603,1776,244,275280,723,20247,2025,4131,366021,T
143325424,1119,208,267441,723,14462,506,4980,365834,T
122839361,1178,247,23560,723,4104,506,4835,365797,T
873621371,379,26,85654,723,8436,506,2310,365311,T
599032828,196,7,18816,723,6198,2025,4433,365523,F
223081583,1697,227,422553,723,43388,1519,3696,366041,T
714990384,1718,216,285188,723,50619,1012,3358,365708,T
106303843,1198,223,143760,723,7787,506,2572,365580,T
348222344,1793,211,46618,723,7787,506,2523,365263,T
439490585,376,66,34592,723,21694,2025,4722,366124,T
171153144,26,4,5174,723,3844,1519,2098,366064,F
969020918,28,13,2016,723,4277,2531,3882,365382,F
920514211,1187,216,70033,723,3231,506,3409,365806,T
718819815,1857,223,232125,723,7787,2025,4399,366147,T
382385219,1142,218,157596,723,3749,2025,3916,365794,F
859088940,380,57,21660,723,12654,2025,4774,365681,T
625146184,36,1,648,723,15985,506,2941,365786,T
167243766,287,40,58261,723,15185,1012,3835,365974,T
745476924,85,1,11305,723,7407,2531,4821,365912,F
081387216,1707,223,264585,723,3531,1519,2734,365611,T
642932576,1825,250,375950,723,3337,506,2674,366045,T
436171369,141,1,6768,723,3844,506,4283,365972,T
279727592,456,36,105792,723,5840,2025,3234,365747,T
313051860,1174,226,185492,723,20247,506,4814,366016,T
178569610,1592,229,259496,723,3067,1012,4935,365365,T
429771958,440,63,77880,723,33746,1012,2374,365923,T
685923572,483,79,83076,723,9797,1519,4939,365564,T
586041007,25,33,4725,723,8677,1012,3606,365309,T
461338290,313,74,8451,723,16873,1012,3400,366049,T
963774338,1768,245,365976,723,6602,2025,4442,366014,T
263492991,437,75,22724,723,12654,1012,3649,365686,T
406258070,1805,218,321290,723,5147,1519,2410,366074,T
903067932,1686,240,43836,723,18982,2025,2118,365871,T
679857204,1185,233,145755,723,13205,1012,2849,365577,T
