userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
116850424,910,149,25480,1244,1766,1280,6002,318635,T
812482514,1574,164,59812,1244,719,1280,6077,318577,F
102323158,1553,288,97839,1244,856,1280,3019,319249,T
585159580,1552,184,62080,1244,891,1024,3110,319159,F
883129192,1300,179,104000,1244,839,256,5730,319232,T
388534207,1725,203,81075,1244,684,1280,2643,318579,F
236634201,1779,183,64044,1244,1576,1024,4380,318343,F
777939157,1387,294,91542,1244,2164,768,5347,318744,T
103250182,861,123,34440,1244,1756,1024,3874,318586,T
014880469,1514,203,65102,1244,5039,1280,2878,318565,F
981983570,1529,249,48928,1244,1443,1024,5564,318699,F
779810746,639,100,26199,1244,3493,1024,2555,318571,T
812555894,1373,171,133181,1244,1319,256,5976,318549,T
226071948,1392,144,109968,1244,2794,1280,4779,318413,F
194527071,1321,268,27741,1244,1477,1024,4414,318757,T
633935624,1692,199,45684,1244,1297,1024,5092,318935,F
674847890,1197,232,79002,1244,618,1024,4453,319041,T
831361330,1456,181,129584,1244,730,1280,3232,318636,F
285688513,1382,327,52516,1244,1109,256,2842,318854,T
555271397,1499,161,44970,1244,835,1280,4131,318992,F
557280874,1340,265,88440,1244,2583,256,3275,318679,T
505619121,1342,135,101992,1244,1776,1280,4231,319012,F
992761352,1487,186,118960,1244,34156,1280,3125,319193,F
225466486,1890,317,39690,1244,2984,768,5093,318332,T
651548551,1305,307,101790,1244,1280,512,5424,318420,T
216300025,1702,244,122544,1244,1736,1024,5764,318288,F
256087102,1607,248,36961,1244,2134,1280,3195,319010,F
347667765,2108,290,109616,1244,733,256,5756,318261,T
904309773,1337,269,129689,1244,1014,256,2779,318500,T
412565928,1734,195,76296,1244,1028,1024,5675,318933,F
948067492,1358,147,65184,1244,647,512,2523,318985,T
987582765,1773,210,74466,1244,1766,1280,4799,319219,F
360574383,1465,284,41020,1244,1234,256,3417,318553,T
030381466,1681,207,87412,1244,759,1024,3827,318776,F
453856602,1316,305,90804,1244,1707,768,2720,319172,T
899306319,1443,147,38961,1244,5039,1280,3306,318922,F
099697357,1940,279,65960,1244,671,1024,4304,318400,T
175472885,1406,189,99826,1244,15370,1280,5227,318891,F
011204482,926,191,35188,1244,878,256,4348,318786,T
152903330,1626,200,117072,1244,1354,1280,4411,318379,F
318797529,1787,184,44675,1244,1797,1024,4305,318874,F
060162520,1419,165,109263,1244,1756,256,3193,318558,T
957549531,1623,185,48690,1244,12296,512,2514,318528,T
978052460,1330,151,99750,1244,975,1280,3117,318603,F
136895911,723,118,71577,1244,2696,512,6008,318749,T
229765224,1400,194,98000,1244,4391,1280,4349,318402,F
198991782,2147,271,150290,1244,906,768,2811,319218,T
739115310,1349,141,35074,1244,1635,1280,2589,318955,F
205695354,1431,267,77274,1244,669,512,4356,318555,T
076363061,1696,199,98368,1244,1086,1280,5769,318801,F
332438795,797,101,74918,1244,30740,768,4069,318634,T
029379465,1333,183,103974,1244,633,1280,4362,318665,F
888593290,868,126,74648,1244,1384,256,3110,319254,T
923315306,1518,230,34914,1244,5039,1024,4160,318266,F
713244289,1525,223,88450,1244,878,512,4270,318376,T
286716329,1480,152,35520,1244,1609,1280,5744,319051,F
889293814,2146,319,60088,1244,4729,1280,2764,318374,T
232420016,1502,211,48064,1244,1670,1024,3115,319029,F
