userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
942370986,870,118,29580,321,1545,1329,4603,142872,T
691303059,445,154,70755,321,19864,2215,3451,143000,F
907166494,877,118,39465,321,2896,2215,5430,142836,T
127453385,1044,144,40716,321,2044,886,4150,143074,T
006144667,602,42,39130,321,17381,443,4086,142330,T
275280425,583,40,95612,321,4635,443,3488,142241,T
312228860,1953,357,78120,321,1931,886,4136,142496,T
192065015,728,141,53872,321,1695,2215,4146,142644,F
703755030,1773,388,134748,321,2356,1329,2816,143205,T
653808976,1153,152,183327,321,3565,886,4687,142631,T
192914503,831,87,30747,321,3476,1772,4161,143159,T
675231950,1814,376,420848,321,2106,2215,4278,143095,T
648946233,1953,362,359352,321,9270,886,3330,142836,T
346344658,1898,403,155636,321,4635,1329,3243,142941,T
635562707,564,112,125208,321,2528,1329,4621,143135,T
045529748,821,89,112477,321,1580,1329,4955,143094,T
484512047,1766,409,347902,321,3090,886,6160,142418,T
814539720,1199,113,15587,321,9270,2215,4946,142804,T
307357842,806,88,153140,321,4635,1329,3431,142523,T
070166935,610,113,96380,321,13905,443,2643,142562,T
389411205,587,112,130901,321,2044,1772,5735,143155,F
283542697,535,138,113955,321,17381,1772,4777,142402,F
866658028,475,61,21375,321,1655,443,4026,142776,T
469304484,609,111,43239,321,3476,2215,3181,143082,F
630521331,632,65,111232,321,4213,1772,2920,142727,T
589334912,567,110,114534,321,1958,886,6308,143077,T
363755101,1265,124,110055,321,1562,1772,4634,143145,T
952912746,1914,416,269874,321,4089,1329,5520,143101,T
917401893,1255,149,101655,321,4635,443,3164,142830,T
850211444,1213,165,121300,321,7318,886,4145,142900,T
907294697,1229,115,97091,321,19864,1329,3213,142942,T
820909398,2028,420,379236,321,8690,1772,5591,142927,T
745974028,1772,359,223272,321,2075,2215,3657,142927,T
556331019,688,60,44032,321,2896,1772,2690,142921,T
878811748,1312,115,97088,321,6045,1772,4970,142601,T
491808769,2018,363,121080,321,2726,1329,2894,142861,T
257835388,1076,111,191528,321,1854,886,3344,142677,T
909205580,669,112,74928,321,3233,1772,3472,142245,F
550554198,613,94,37393,321,8179,886,4638,142231,T
506390649,679,62,63826,321,2172,1329,2668,142239,T
579536666,606,92,100596,321,1528,886,6156,142926,T
096968743,1994,395,221334,321,1598,443,5863,143010,T
047720452,434,84,46438,321,2896,886,6307,143130,T
726644381,671,63,97295,321,1390,1329,3300,143170,T
230603494,1050,163,54600,321,3565,1329,2775,142473,T
456069007,720,116,167040,321,5150,1329,6040,142959,T
823316105,1788,363,71520,321,7318,1329,4390,142492,T
918254130,1766,378,210154,321,27810,2215,3630,142454,T
236034690,1216,168,23104,321,1580,886,2662,142666,T
079110699,642,120,78324,321,2207,443,3595,142851,T
444272529,1831,412,197748,321,1433,2215,2767,143159,T
663547221,1155,165,185955,321,1805,443,5706,142332,T
488151582,1854,370,139050,321,2837,1329,3288,142221,T
900887637,1789,401,107340,321,1675,1329,6133,142773,T
851169359,815,101,13855,321,15450,1772,4145,143018,T
330202175,706,38,63540,321,1829,2215,5960,143029,F
049514723,873,133,43650,321,2896,1329,2814,142286,T
155463351,1111,140,56661,321,23175,1329,2843,142471,T
327066627,897,140,44850,321,2623,1772,4707,142519,T
717624450,530,89,72080,321,2623,886,4192,142246,T
977982747,1957,381,303335,321,13905,443,4853,143191,T
486799803,538,91,77472,321,2317,2215,4577,143140,F
623918333,452,95,56500,321,1782,886,3185,142901,T
332308923,1192,147,100128,321,1598,886,4648,142254,T
680313882,887,76,78056,321,10696,1329,3971,142769,T
058005542,1206,180,261702,321,5348,886,4871,143016,T
495791763,1386,186,203742,321,2837,886,5286,142607,T
081543256,1844,404,431496,321,5793,2215,4460,143025,T
406882165,1461,142,331647,321,1616,2215,6049,143091,T
944785892,536,105,11256,321,2242,886,6175,142266,T
774678250,2047,353,186277,321,3758,443,5819,142460,T
334680439,1785,358,274890,321,1635,1329,4764,142286,T
199930867,1272,127,190800,321,1738,886,5363,142239,T
180315713,1364,160,249612,321,1463,1329,5602,142758,T
856469010,463,119,40281,321,3022,1772,2848,142676,F
380758275,431,64,5603,321,9270,886,4138,142468,T
471390224,1231,119,201884,321,1958,1772,4165,142362,T
906340874,1359,171,218799,321,1390,1329,3599,142697,T
124539434,1318,167,159478,321,3233,2215,4594,142939,T
153343721,1196,126,252356,321,2781,1329,5426,142895,T
069650643,680,124,167280,321,4213,2215,3446,143162,F
734392052,1398,127,311754,321,2837,2215,4366,142575,T
135798126,656,130,62976,321,1511,1772,3123,142779,F
396039881,558,159,123318,321,4485,1772,3236,143060,F
555482621,602,109,102340,321,3022,443,3549,143166,T
018199176,537,104,91827,321,1675,886,4696,142479,T
262674910,1140,146,145920,321,2139,1329,2979,142284,T
550529706,621,38,37881,321,5348,443,4930,142893,T
285155501,1697,364,44122,321,2044,1772,3276,142554,T
917990967,1320,157,66000,321,7725,1329,5755,142560,T
412257090,590,147,46610,321,7725,886,4592,142615,T
372715585,1040,156,38480,321,1716,1329,6244,142635,T
