userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
542388473,1911,378,78351,321,380,2215,4113,143193,T
477300634,634,129,51988,321,2317,2215,4321,142400,F
517333654,1868,381,99004,321,4089,2215,4808,142765,T
095553983,627,97,24453,321,474,1772,6235,142896,F
400072285,652,111,48900,321,438,2215,6262,142805,F
705477317,974,123,44804,321,720,443,5862,142840,T
192366323,1945,379,70020,321,1086,2215,4958,142909,T
549834768,608,133,46816,321,291,2215,4512,142886,F
307397157,1781,377,117546,321,567,1329,3397,142342,T
137676999,538,156,22596,321,395,1772,5858,142578,F
611154102,1106,114,100646,321,293,2215,5496,143049,T
044195230,466,126,41940,321,367,2215,4076,142807,F
282950701,1864,360,186400,321,532,443,4592,142591,T
050515617,730,147,62780,321,487,1772,3421,142707,F
067469372,670,158,54940,321,5348,886,2760,143177,T
294230889,593,90,33208,321,586,1772,2959,143112,F
049674947,464,99,15312,321,465,443,3446,142202,T
018994652,641,149,58972,321,505,2215,4367,142809,F
548798253,1785,404,73185,321,7318,1329,4819,142348,T
135509251,654,58,61476,321,4966,2215,2612,142814,F
649438363,1315,175,81530,321,427,1772,3534,142778,T
100866829,528,91,14256,321,448,1772,5737,142501,F
432899751,455,130,12285,321,1053,886,2818,143132,T
728079240,688,113,27520,321,739,1772,4113,143037,F
692163170,497,82,42245,321,320,1772,3213,142656,T
949410211,461,58,16596,321,965,2215,6269,142826,F
211443314,819,131,57330,321,1241,2215,4634,143096,T
436677576,639,108,35145,321,287,1772,2822,142405,F
315134792,1807,358,65052,321,599,2215,6113,142495,T
280176625,430,58,40420,321,5793,2215,4837,142925,F
710856838,1891,362,41602,321,335,886,4506,142846,T
866029101,646,95,57494,321,1598,1772,4570,142806,F
058094952,1929,352,46296,321,1760,1329,6085,142817,T
708170068,598,72,20930,321,1931,2215,4120,142675,F
847650914,1228,145,25788,321,356,1772,2964,142511,T
617432174,654,110,58860,321,724,2215,5610,142348,F
848882564,2005,388,166415,321,299,1329,3552,143186,T
841255069,473,48,23650,321,312,2215,3385,143116,F
595166083,967,109,52218,321,484,443,2724,142898,T
510341170,597,42,39402,321,501,2215,3345,143015,F
008592651,1241,140,43435,321,5348,1772,5349,142700,T
597147675,519,36,19722,321,847,2215,6147,143120,F
599977371,1911,352,139503,321,370,443,4389,142255,T
636259788,548,62,21920,321,581,2215,5334,142476,F
762391471,521,64,28134,321,522,2215,4178,143094,F
332849919,765,98,32130,321,331,886,3570,142256,T
674901619,1175,153,82250,321,858,1772,3054,143059,T
522681315,664,129,32536,321,520,1772,3160,142884,F
727002547,1079,134,35607,321,396,1329,3198,143092,T
878811711,666,142,25308,321,398,1772,5357,143082,F
875830115,928,105,62176,321,874,886,5514,142919,T
261798236,572,141,45760,321,320,1772,2884,142353,F
516493587,1083,144,64980,321,1022,443,4161,142480,T
360287129,627,109,56430,321,365,1772,2867,142905,F
204417097,473,103,25069,321,7725,886,3398,142439,T
256694967,624,141,18096,321,392,2215,3593,143140,F
719540698,600,41,12000,321,781,1329,2670,142770,T
326139346,628,62,50240,321,357,2215,5607,142867,F
150138953,1976,356,79040,321,351,886,3019,143076,T
264929755,592,127,58016,321,461,1772,6122,142608,F
508401016,1789,417,118074,321,289,1329,4008,142685,T
834506849,485,109,19885,321,698,2215,4765,142981,F
362349520,1844,409,119860,321,2397,2215,3487,142709,T
063460916,737,156,53064,321,1782,1772,2779,142827,F
462880646,624,35,46176,321,351,443,4417,142579,T
179578034,524,95,10480,321,404,1772,5761,142503,F
325135564,738,108,39852,321,713,1772,6209,142496,T
527450419,698,156,16752,321,324,1772,6209,142514,F
994096636,629,47,18241,321,1931,886,3090,143206,T
176874613,520,77,31720,321,503,2215,4220,142366,F
548846828,1185,140,103095,321,684,886,4797,142389,T
268111143,695,71,68110,321,7725,2215,5892,142343,F
173320163,621,143,20493,321,2439,1329,3052,142505,T
735528336,651,153,18228,321,359,1772,2968,142544,F
267328350,833,113,47481,321,1178,886,2899,142467,T
527528425,620,136,51460,321,1376,1772,5727,143102,F
340420334,1882,353,146796,321,484,1772,5434,142700,T
910288822,452,120,25764,321,15450,2215,6281,142295,F
743612397,1082,158,48690,321,309,1772,4861,142778,T
275909664,648,93,63504,321,541,2215,5548,143006,F
997314837,1057,113,98301,321,589,1772,4644,142523,T
024098594,484,143,45496,321,282,2215,5362,142921,F
735499035,2028,393,68952,321,863,443,5843,142687,T
662648788,466,133,29824,321,2242,1772,4381,142224,F
115023399,504,141,27216,321,1782,1329,4642,142557,T
928234745,638,153,41470,321,387,2215,5757,142817,F
719941806,633,135,36714,321,346,1772,5391,142264,F
051707117,1275,111,112200,321,321,886,2802,142821,T
370434900,583,77,30316,321,768,443,3074,142806,T
345956644,432,71,34560,321,412,2215,6304,143006,F
804812674,961,81,37479,321,993,443,2798,142647,T
687745892,447,109,8940,321,491,2215,3434,142266,F
421473646,410,65,38130,321,342,2215,4160,142878,F
204620094,1038,119,64356,321,615,886,6107,143191,T
031573201,565,151,40680,321,1275,443,6113,142957,T
032442438,472,97,28320,321,9932,1772,5878,142902,F
942669185,1860,412,61380,321,3758,2215,3532,142846,T
099385212,640,110,58240,321,914,1772,5951,142480,F
155258160,521,40,30739,321,747,443,4904,142999,T
149838829,708,142,59472,321,731,2215,4957,143149,F
