userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
555350108,1151,143,111647,660,11598,849,3710,186802,T
707908324,546,68,105924,660,5238,1132,3663,186681,T
897363806,1910,203,120330,660,1888,283,4218,187023,T
093958020,1229,130,74969,660,1824,283,2221,186355,T
693942221,1442,275,27398,660,1746,1415,3029,186330,F
600544153,1350,263,135000,660,5599,1132,4631,186905,F
244664580,1459,266,94835,660,4639,1415,2353,186238,F
303164731,1799,245,226674,660,1888,1415,2587,186967,T
082473163,1003,98,205615,660,2108,1132,4057,186556,T
089215705,1574,278,15740,660,2423,1415,3981,186981,F
831967465,1423,231,14230,660,1764,1415,2456,187096,F
024871777,599,78,113810,660,3454,849,3646,186237,T
647745980,793,130,175253,660,9551,849,4772,186762,T
889958447,1359,246,145413,660,2353,283,2264,186989,T
240695558,729,49,134865,660,6014,283,5232,186797,T
811646604,1431,255,157410,660,2752,566,4258,186370,T
920627004,1106,177,18802,660,5238,849,4889,187057,T
338617106,1194,166,259098,660,3247,1132,4770,186438,T
221094063,793,138,91195,660,2848,849,3633,186598,T
256725359,1725,267,29325,660,7732,1132,4558,186926,T
881815765,565,96,19210,660,2108,566,2745,186293,T
685933269,1741,226,196733,660,4273,1415,4900,186480,T
815673686,857,107,114838,660,9551,849,2606,186293,T
632034396,1685,230,246010,660,1784,849,3635,186387,T
054665506,648,58,53784,660,1691,566,4685,186814,T
167350409,1399,139,32177,660,13531,1132,2233,186364,T
325018790,1173,130,201756,660,3960,566,4787,186976,T
634162769,586,51,59186,660,2165,1132,4171,186384,F
777686462,582,51,77406,660,2752,566,4176,187014,T
318885911,1227,132,126381,660,7380,849,4258,186250,T
957378456,1679,265,82271,660,16237,566,3001,186476,T
708758431,1397,242,26543,660,1784,1132,5098,186646,F
523828357,658,72,36190,660,2136,1415,5418,186570,F
654993372,1728,233,412992,660,9551,566,3656,186901,T
152791854,1908,226,415944,660,1674,283,3690,187039,T
283450441,1341,250,36207,660,10825,566,4484,186597,T
272913218,1721,201,337316,660,1910,1132,3371,186465,T
504654969,1447,236,243096,660,2287,1132,2834,186962,F
730106048,1286,174,186470,660,1640,849,4839,186772,T
045540180,1152,161,175104,660,4273,566,2774,186751,T
021767847,1213,136,253517,660,8546,849,3370,186790,T
737347801,1336,263,132264,660,2706,1415,2434,186790,F
170714532,879,103,90537,660,4273,849,2217,186634,T
941535311,1343,117,288745,660,14761,1132,4264,186590,T
447081040,1364,232,66836,660,1784,1415,5017,186501,F
