userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
533614799,1541,224,35443,660,341,849,5267,186239,T
715174698,623,75,49840,660,376,1415,3385,186963,F
332297725,1939,203,122157,660,608,849,2831,186990,T
416162913,1412,233,136964,660,546,1415,3509,186443,F
117577299,1200,128,120000,660,510,1132,3572,186317,T
991677921,633,83,63300,660,1546,1132,3727,186547,F
881915409,824,113,75808,660,365,1132,4540,187118,T
342352037,1561,285,74928,660,990,1132,4831,187120,F
127262135,1614,253,62946,660,1910,566,3588,186963,T
700283915,569,108,11949,660,795,1415,4587,186848,F
242484085,1462,274,92106,660,344,566,2390,186553,T
820139253,1569,265,70605,660,1309,1415,3935,187097,F
880836663,867,113,58956,660,509,283,5126,187181,T
208989051,587,70,39329,660,419,1132,4948,186336,F
747254323,1398,217,54522,660,383,849,4731,186285,T
904452283,805,57,18515,660,693,1132,3016,186588,F
962020907,579,51,40530,660,972,566,4854,186738,T
479320228,582,92,23862,660,456,1132,3948,187212,F
675178048,752,90,30832,660,1709,283,4284,186918,T
230832574,1408,220,135168,660,457,1415,3675,186825,F
325579495,577,118,50199,660,748,849,4571,187118,T
099276827,1454,260,107596,660,592,1415,2835,186726,F
825387270,1338,130,92322,660,554,283,4834,187201,T
317442067,1606,274,96360,660,554,1132,3488,186995,F
027111261,1115,116,83625,660,709,566,3968,186929,T
049862597,1434,257,108984,660,652,1132,3686,186980,F
635506883,1339,172,95069,660,561,566,3585,186804,T
173921164,1544,278,126608,660,2136,1415,3243,186892,F
221056067,1343,172,68493,660,1168,1415,3099,186552,T
805234743,1411,268,84660,660,507,1415,5267,186868,F
057363688,1896,234,147888,660,657,1132,4119,186272,T
991281012,824,69,20600,660,442,1132,3799,187022,F
013399906,1413,228,63585,660,699,283,3521,187198,T
568985662,1580,225,94800,660,2899,1415,4648,186867,F
755901291,685,70,25345,660,458,566,4967,186737,T
335841556,546,90,47502,660,832,1132,4064,186307,F
237400664,1346,255,47110,660,1089,849,4270,186414,T
228294165,1350,283,118800,660,334,1415,4478,187218,F
113189344,1114,158,91348,660,850,1415,4337,186744,T
338128935,1453,275,30513,660,334,1415,4590,186293,F
597594969,1005,93,77385,660,365,1415,3768,186271,T
212562205,821,59,56649,660,365,1132,3205,186342,F
722287777,563,113,32091,660,356,566,3511,186631,T
538377339,1585,283,45965,660,610,1415,3150,186484,F
290593791,1763,199,86387,660,410,566,2619,187023,T
743147387,1407,242,101304,660,438,1132,3963,186373,F
326946832,766,133,33704,660,676,1415,2715,186593,T
099828819,664,82,57768,660,391,1132,5134,186568,F
840704105,1591,219,82732,660,795,1415,4792,186961,F
673119256,557,112,21166,660,554,849,3732,186646,T
708700136,1853,248,155652,660,414,566,2754,187209,T
176447792,1341,255,46935,660,718,1132,3185,186614,F
307418847,1549,255,137861,660,335,1415,2347,187165,F
274716375,1217,156,48680,660,3063,1415,3988,186337,T
277996663,1325,234,62275,660,624,283,2820,186588,T
122356378,722,50,56316,660,784,1415,2288,187103,F
908590505,801,62,19224,660,2577,1415,4580,186467,F
532082727,929,111,78036,660,1135,849,3788,186719,T
671434894,902,142,70356,660,352,566,5007,187105,T
220028623,1568,279,103488,660,447,1132,3499,187092,F
481878902,841,113,74008,660,584,1415,4037,187035,T
328884516,1516,224,128860,660,348,1415,5005,187063,F
064196234,1463,274,29260,660,510,283,5181,186713,T
861958728,1417,286,131781,660,649,1415,4993,186704,F
390543891,647,83,31703,660,327,283,3867,187051,T
105118905,1552,231,141232,660,374,1415,3593,186859,F
033804318,1448,275,123080,660,654,566,4781,186407,T
649908448,1538,261,107660,660,1027,1132,3356,186502,F
387997533,971,113,21362,660,1980,1415,3864,186401,T
422761704,804,54,31356,660,366,1415,5156,186389,F
169854548,1398,226,57318,660,2287,1132,4387,186740,F
137897995,1219,115,119462,660,824,566,2757,186436,T
462877894,1277,138,51080,660,705,849,5523,186445,T
867443867,1426,278,48484,660,422,1132,2636,186449,F
504408171,669,80,48837,660,1387,1132,5428,187041,F
224214827,1658,221,160826,660,510,566,2234,186933,T
755192585,637,59,26117,660,476,849,3529,187069,T
628015646,1391,237,73723,660,2319,1415,4638,187008,F
473323969,1454,233,36350,660,2255,849,4873,186290,T
933256671,1367,264,36909,660,441,1132,5427,186445,F
581074917,1221,155,98901,660,504,1415,3493,186816,T
502369589,1600,237,52800,660,2004,1415,5515,186454,F
289976086,886,117,29238,660,365,849,3816,186325,T
677773021,1536,285,64512,660,376,1415,5462,186369,F
783228820,1360,164,35360,660,556,1415,5027,187131,T
165082855,1560,249,54600,660,1674,1132,5087,186862,F
587604723,779,121,49077,660,436,1132,5257,186622,T
586822042,1592,269,116216,660,504,1132,4608,187133,F
813063611,767,77,51389,660,452,849,5499,186867,T
868517665,596,62,56024,660,510,1132,4657,186836,F
690037109,1348,259,52572,660,1002,1132,4737,186372,F
369047642,601,107,24641,660,5074,566,2719,186472,T
683599786,1378,257,125398,660,385,566,4010,186492,T
061423799,793,65,63440,660,360,1415,5324,186863,F
267597592,1423,223,64035,660,510,283,4789,187108,T
364913914,659,55,49425,660,2287,1132,3470,187026,F
777147818,737,54,35376,660,1288,1132,5355,186430,F
792346632,1375,142,78375,660,366,1415,5302,186871,T
787949000,1470,241,110250,660,1353,849,3231,186609,T
066721208,548,110,43292,660,338,1415,4847,186501,F
