userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
740141285,1278,120,212148,458,2495,2342,2760,214679,T
279158681,930,134,18600,458,2355,936,2308,214657,T
709930895,467,48,61644,458,3176,2342,1420,214934,F
510276840,1494,203,174798,458,34943,1405,2198,214289,T
789237909,1614,189,384132,458,6988,468,1509,214603,T
281794984,1736,198,414904,458,2206,468,920,214795,T
738401686,715,129,30745,458,8735,1873,1560,214654,T
210509135,898,140,157150,458,2911,1873,2120,214797,T
471368722,565,81,7345,458,3327,1405,2005,214344,T
298095085,479,75,33051,458,2303,936,1574,214584,T
188818009,1405,211,26695,458,7487,1873,1683,214187,F
691144088,523,50,50731,458,3743,2342,2213,214955,F
460302786,924,137,128436,458,2206,468,1931,214154,T
329738859,1243,136,165319,458,11647,1405,1143,214378,T
554598619,534,52,126558,458,6551,1873,1275,214953,T
588320159,439,59,29413,458,4367,936,2308,214680,T
645394522,384,54,87936,458,41931,1873,1410,214253,T
703209946,440,38,86240,458,2952,1873,1679,214606,T
299113979,1760,173,369600,458,5666,936,945,214906,T
123603563,547,83,12581,458,3381,1405,2371,214231,T
461356877,539,54,85701,458,8386,2342,1708,214392,F
784423703,1382,143,339972,458,6988,1873,1713,214319,T
036995865,1850,203,210900,458,2722,1405,1769,214442,T
353770046,1708,160,157136,458,2911,1405,2782,214176,T
264667855,1281,161,239547,458,5241,1405,2570,214156,T
081187282,871,105,52260,458,16127,1873,2062,214197,T
515978205,424,35,101760,458,2206,2342,2621,214723,F
431379732,1196,175,86112,458,12332,2342,1910,214618,T
807736453,986,161,204102,458,4557,936,2221,214138,T
252135103,1197,121,198702,458,2230,1405,2619,214259,T
095311211,983,129,85521,458,12332,2342,1543,214819,T
440730339,1231,242,97249,458,2303,2342,1556,214279,F
963905569,1399,133,139900,458,2911,1405,2656,214140,T
466029254,517,72,12925,458,2872,1405,1589,214822,T
723105076,1429,167,130039,458,2230,936,1219,214666,T
275951191,1356,240,151872,458,2139,468,1946,214923,T
326363228,1823,164,264335,458,2653,1405,1764,214773,T
679906632,1178,141,47120,458,17471,936,903,214902,T
132627449,1211,213,141687,458,11647,468,2023,214577,T
770503135,1291,176,234962,458,2833,1405,2852,214609,T
001983250,396,86,55044,458,5666,468,1896,214972,T
767421999,1221,146,53724,458,3882,1873,2098,214072,T
557811064,1493,256,162737,458,2588,2342,1920,214185,F
212271051,1415,163,332525,458,2139,1405,2328,214627,T
892488823,1369,182,295704,458,2278,2342,2183,214979,T
955041882,1464,230,36600,458,2526,1873,1910,214002,F
731747583,1303,171,97725,458,5241,1873,1024,214429,T
642371826,951,131,156915,458,3955,468,1577,214119,T
228189793,753,81,15813,458,3678,1405,2448,214949,T
710433694,1456,154,310128,458,4875,1873,1026,214106,T
819040143,1492,263,22380,458,2588,2342,1917,214988,F
709870334,1739,191,340844,458,29951,1405,1852,214317,T
645113241,1448,257,147696,458,7487,1405,930,214250,T
401173997,522,48,11484,458,13977,2342,1891,214788,F
399766255,543,87,65160,458,2303,936,1396,214986,T
124135089,1364,136,150040,458,2466,1873,1299,214733,T
045990270,1218,121,63336,458,26207,1405,2268,214382,T
156184553,1625,183,357500,458,12332,468,2618,214644,T
760270169,1647,188,294813,458,3083,2342,1363,214125,T
131186077,447,86,60345,458,3882,1405,1528,214160,T
038937040,770,131,36960,458,23295,2342,2164,213990,T
387126790,1314,180,293022,458,2161,2342,2343,214180,T
574397181,1316,126,151340,458,2355,1405,1368,214190,T
374209182,601,66,60100,458,2556,1405,2540,214512,T
886915979,909,159,147258,458,6166,2342,1327,214907,T
620068388,463,98,38429,458,3614,468,1119,214657,T
660845250,810,101,42930,89,1866,2543,10947,45268,F
651063757,934,88,42964,458,3614,1873,1951,214282,T
085239262,1398,120,43338,458,5517,2342,2350,214781,T
563125853,446,36,39694,458,5517,1405,2457,214870,T
737301913,458,46,104882,458,3275,1873,1673,214064,T
912155773,1227,178,278529,458,14975,936,1884,214769,T
243619614,941,187,44227,458,3327,468,1866,214216,T
729371677,1378,171,316940,458,2952,2342,1515,214247,T
057872366,1612,213,265980,458,3955,1873,1585,214204,T
752271682,479,42,69455,458,2620,468,2483,214026,T
729129096,453,98,63420,458,4278,2342,2008,214230,F
956566280,1798,171,125860,458,3176,468,1575,214844,T
247652648,1273,265,117116,458,3437,1873,1921,214794,F
653377587,1209,140,160797,458,12332,1873,995,214336,T
259663852,511,36,5621,458,3678,468,2039,214586,T
957680138,1256,121,270040,458,26207,2342,1919,214459,T
754256090,672,55,48384,458,6551,1873,1808,214666,T
154910339,895,124,59070,458,5823,1873,1551,214863,T
570169391,1459,132,107966,458,3882,2342,2544,214861,T
351476797,1380,188,306360,458,2758,2342,903,214576,T
422459695,577,40,35197,458,4110,468,1825,214651,T
514535979,1261,152,124839,458,2653,2342,1922,214092,T
494299433,801,89,76896,458,2206,1405,2564,214874,T
104504474,1014,137,40560,458,2526,936,2073,214618,T
278692728,576,49,41472,458,2620,1405,2503,214938,T
476421998,1236,148,249672,458,3614,936,1898,214832,T
640459143,1774,159,37254,458,13977,468,2178,214936,T
718926104,463,72,11112,458,2409,1405,2514,214163,T
480625462,1634,199,398696,458,2466,1405,2633,213988,T
535222540,1655,178,281350,458,11034,1405,2540,214498,T
773293179,1393,245,115619,458,2952,936,1423,214956,T
160144324,1305,204,169650,458,6353,936,2131,214967,T
844621977,1363,198,130848,458,41931,1873,1921,214660,F
422589226,724,86,60816,458,9983,2342,2500,214150,T
625286570,401,70,93032,458,8063,1873,1144,214610,T
541091002,1847,176,155148,458,20965,936,1571,214127,T
116682675,1305,124,86130,458,3614,1405,1348,214197,T
397440982,1720,179,209840,458,3437,1405,1991,214326,T
324040442,1834,171,93534,458,8063,2342,1063,213990,T
444040071,1272,146,184440,458,2278,1405,2351,214438,T
243715304,786,93,34584,458,4031,2342,2686,214504,T
748786226,995,127,194025,458,4110,2342,1491,214838,T
202186863,1831,185,47606,458,9115,1873,1377,214474,T
189736941,1378,132,37206,458,6166,936,1412,214991,T
469574982,1268,162,182592,458,2758,2342,1506,214776,T
458297932,508,48,73152,458,3038,2342,1192,214572,F
536199504,1222,226,138086,458,3678,2342,1959,214634,F
289504807,1869,178,375669,458,2687,1873,2771,214414,T
146710556,1857,194,239553,458,2278,936,1503,214316,T
594521385,1345,138,326835,458,2254,2342,1923,214330,T
879084307,513,81,28215,458,13977,468,947,214108,T
102187822,754,137,35438,458,2117,468,2044,214984,T
965527590,1235,252,106210,458,2653,2342,1313,214731,F
223942524,1826,163,293986,458,3381,1405,2382,214217,T
715057218,1613,167,117749,458,5666,1405,2182,214382,T
519748001,806,132,22568,458,2329,1405,2564,214278,T
368273762,854,110,29890,458,8063,1405,1261,214109,T
530372782,995,166,41790,458,2278,1873,1495,214539,T
565098092,1752,193,438000,458,8386,936,1504,214841,T
221058463,1424,190,172304,458,2303,468,2389,214025,T
784610010,1282,209,103842,458,2833,1873,1583,214682,F
058281306,556,51,72280,458,8063,2342,996,214888,F
580060830,1421,221,41209,458,3614,468,1570,214322,T
196547493,1720,174,196080,458,5517,936,2278,214389,T
138194935,1436,143,133548,458,7229,936,2779,214057,T
503075398,1165,162,256300,458,11647,2342,1774,214403,T
165570967,1394,142,277406,458,2437,936,1557,214749,T
568102530,982,107,23568,458,7487,1405,2816,214132,T
474485475,1605,211,251985,458,2382,936,1132,214719,T
544545838,1786,164,423282,458,4557,2342,2190,214859,T
446477468,1187,140,131757,458,3955,1873,1918,214647,T
369106622,1201,129,289441,458,3882,1405,2311,214671,T
856232465,1766,157,439734,458,5666,1405,2219,214215,T
471936197,1300,215,88400,458,10482,468,1870,214448,T
780168008,1615,199,377910,458,2620,468,2852,214673,T
160926742,1484,238,121688,458,3176,1405,1863,214213,T
258595951,1386,141,246708,458,3553,2342,1373,214949,T
226575553,984,121,34440,458,2653,1405,2389,214867,T
502999014,572,45,50908,458,2355,468,1838,214025,T
113989844,1477,218,158039,458,13977,2342,997,214338,F
726439807,1300,160,71500,458,5517,1873,2384,214060,T
817616539,1435,260,170765,458,3083,2342,1528,214327,F
156646811,561,80,81345,458,4659,1873,1974,214899,T
207159725,1678,175,211428,458,3129,1873,1453,214346,T
543978547,1277,255,130254,458,11647,936,2121,214349,T
576580434,1401,253,26619,458,7765,1405,1759,214761,T
011004244,1357,129,207621,458,10482,2342,2463,214092,T
218659099,1395,242,192510,458,8735,1405,996,214052,T
191320659,1419,232,139062,458,2096,2342,2731,214448,F
775865195,1707,213,314088,458,2526,2342,1588,214396,T
346204557,718,142,40926,458,2409,468,2315,214541,T
720557440,1199,143,207427,458,8735,2342,2830,214875,T
971531132,991,87,27748,458,3083,468,2125,214131,T
602815286,495,34,65340,458,2495,1873,1704,214175,T
719329037,896,127,17024,458,29951,1873,1247,214433,T
491750524,415,85,13695,458,16127,2342,1040,214768,F
140810516,1207,213,72420,458,2355,936,2786,214189,T
366702063,981,127,167751,458,2556,2342,2027,214887,T
070405783,511,52,36792,458,3882,1405,1283,214726,T
419833001,1289,180,300337,458,34943,1405,2405,214170,T
403066114,933,82,48516,458,3176,2342,2459,214282,T
933632055,1652,148,318836,458,3083,1873,1950,214130,T
436337456,1369,167,282014,458,3494,1405,2460,213997,T
558610149,1236,159,285516,458,4193,936,1783,214531,T
317934376,472,39,40120,458,2117,2342,2133,214301,F
238228237,1316,137,171080,458,2620,1405,2148,214449,T
220094407,580,58,120060,458,2303,1873,1799,214354,T
403824744,1453,265,151112,458,6353,1873,2025,214501,F
151606863,386,97,71024,458,6763,2342,900,214504,F
758042360,415,81,45650,458,6988,1873,2382,214374,T
037313501,449,50,104617,458,2466,2342,1680,214709,F
479818472,1455,168,117855,458,26207,1873,1474,214798,T
843653572,1771,183,317009,458,2526,2342,2087,214255,T
542103894,441,45,25137,458,4875,1405,1202,214264,T
029496953,1833,172,285948,458,2303,1405,1196,214545,T
247401970,908,131,68100,458,7487,1873,2503,214482,T
846281345,463,57,37503,458,3437,468,2081,214898,T
912391712,791,85,13447,458,10482,936,1871,214968,T
172134849,1416,209,151512,458,2355,468,1808,214760,T
415752238,1620,176,61560,458,3678,468,2003,214022,T
748895343,1798,154,79112,458,7765,1405,2665,214092,T
303754240,1291,230,60677,458,9983,936,1524,214071,T
409832010,1751,165,227630,458,5666,2342,1957,214800,T
481509433,955,184,200550,458,4460,468,2070,214920,T
429545782,716,118,55848,458,3327,2342,973,214947,T
705818987,465,48,102300,458,5113,2342,1870,214505,F
591276861,1203,138,169623,458,3381,1405,1776,214167,T
419759946,1264,144,37920,458,20965,936,1312,214616,T
942621289,817,147,22876,458,2833,1873,1238,214826,T
130069749,426,88,7242,458,2795,1405,2089,214092,T
495840881,873,175,100395,458,4991,1873,2500,214047,T
731465409,1498,211,160286,458,3553,468,2279,214539,T
007137295,1674,200,296298,458,2872,2342,1155,214596,T
873490377,1600,187,240000,458,8386,1873,2554,214334,T
562194857,710,106,78810,458,6551,936,1676,214062,T
670123625,1492,232,176056,458,23295,1873,2463,214452,F
787669641,511,43,37814,458,2206,2342,1915,214256,F
269627391,623,56,15575,458,6988,2342,1610,214334,F
084825610,1181,181,268087,458,9983,1405,2160,214142,T
579384674,1352,215,182520,458,3038,468,1357,214269,T
779556922,1862,153,264404,458,3176,1405,1932,214566,T
154056908,1210,241,94380,458,6166,468,2012,214507,T
537000084,945,152,118125,458,13977,936,2438,214366,T
767421078,1164,165,108252,458,3225,468,1862,214391,T
224827841,1609,211,260658,458,2230,2342,2274,214790,T
299018642,1007,167,84588,458,3176,1873,1565,214814,T
620134398,1630,175,60310,458,20965,936,2558,214685,T
736475661,917,134,143969,458,8063,1405,1868,214249,T
997602256,423,53,21573,458,17471,2342,2278,214984,F
857370243,434,33,18662,458,3381,2342,1245,214669,F
317582688,771,110,52428,458,3129,936,2380,214342,T
211613847,1252,238,55088,458,3381,1405,2680,214029,T
444993693,1264,125,59408,458,2254,1873,1451,214180,T
