userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
666256507,1422,133,135090,458,425,936,1439,214828,T
942128796,1306,254,49628,458,765,1873,1711,214224,F
007258260,1225,187,30625,458,593,468,1665,214757,T
480429081,1246,219,74760,458,855,1873,1476,214134,F
593284320,802,137,16040,458,462,936,2637,214070,T
019157985,1480,257,122840,458,543,1873,1458,214624,F
771686780,472,59,32568,458,1233,1873,2218,214527,T
946359001,1481,239,69607,458,915,1873,2112,214609,F
540088483,889,97,39116,458,455,468,1994,214240,T
064866201,1264,212,39184,458,534,2342,1764,214320,F
664772708,1331,260,47916,458,2911,468,1874,214002,T
667717560,1212,202,66660,458,718,2342,1836,214691,F
446330935,1267,185,124166,458,510,936,1587,214096,T
034818013,515,89,12360,458,574,2342,1838,214458,F
375595031,990,175,40590,458,544,2342,2342,214726,T
327185177,528,56,28512,458,797,2342,2525,214368,F
184972213,1366,179,135234,458,488,468,921,214544,T
986951157,1275,255,81600,458,2722,2342,1157,213998,F
735857318,1448,246,136112,458,1718,1405,1848,214735,T
857472949,450,83,21600,458,631,2342,2116,214109,F
181208829,541,41,31378,458,855,1873,1434,214004,T
778814541,439,44,31608,458,14975,2342,2324,214087,F
948571447,1366,151,124306,458,1097,2342,1816,214613,T
915217513,504,59,26208,458,1476,2342,1088,214373,F
318674224,1334,173,94714,458,1069,936,2056,214972,T
510380487,1461,225,99348,458,4557,2342,2628,214273,F
426562170,1258,152,71706,458,442,936,1500,214500,T
950256338,1330,245,71820,458,475,2342,1688,214824,F
260045803,974,98,53570,458,8063,1873,1802,214896,T
158026220,441,37,41013,458,2303,2342,1722,214792,F
118758237,611,35,15275,458,756,2342,1891,214394,F
492427252,1425,218,109725,458,888,1405,1524,214630,T
968957106,1370,265,39730,458,1139,1405,2271,214786,T
141426429,1484,224,38584,458,9983,2342,2185,214407,F
675444987,873,145,30555,458,3614,1873,2775,214408,T
696815220,1278,258,77958,458,579,2342,1536,214700,F
879240980,1458,220,69984,458,592,2342,2058,214818,F
151603928,1420,214,92300,458,548,936,1653,214324,T
133638002,583,78,40810,458,710,936,2474,214998,T
770725876,401,88,12030,458,661,2342,2468,214466,F
216509728,1348,249,60660,458,1286,1873,2822,214849,F
613368034,425,86,16575,458,505,936,1957,214432,T
907739848,595,87,51170,458,794,1405,1739,214179,T
026610013,1339,227,80340,458,607,1873,2522,214167,F
131940779,418,98,38038,458,2035,1405,1187,214309,T
273245167,1442,260,43260,458,1600,1873,1708,214113,F
197433733,1236,132,35844,458,491,1405,2390,214816,T
120594932,1316,217,30268,458,517,2342,1828,214601,F
002967063,1285,246,80955,458,7229,2342,2336,214488,F
866117088,897,147,25116,458,440,936,2344,214485,T
541759856,510,80,45390,458,797,2342,1395,214747,F
323663203,777,113,69153,458,574,936,1656,214592,T
952568597,1362,147,102150,458,431,2342,1259,214224,T
431106188,1333,222,38657,458,2254,1873,1582,214170,F
207292524,783,93,54027,458,432,1405,1815,214614,T
216484486,1221,236,107448,458,422,1873,1360,214112,F
103190768,1326,143,103428,458,2355,1405,2520,214446,T
416564231,493,48,48807,458,911,2342,2246,214704,F
086685232,422,39,19412,458,428,1405,2272,214827,T
377507491,1361,247,110241,458,11647,2342,2110,214010,F
327271501,1670,178,160320,458,434,936,2285,214528,T
113162594,639,37,63261,458,511,2342,2042,214585,F
823365873,1497,255,125748,458,1564,1405,2851,214406,T
430752429,1245,230,93375,458,1247,1873,1946,214661,F
140140884,1358,158,100492,458,500,468,2363,214414,T
669217043,1261,228,30264,458,616,2342,1853,214500,F
277932771,795,87,27825,458,785,936,1578,214623,T
998936292,555,98,37185,458,446,2342,1305,214714,F
246757116,1426,120,54188,458,477,1405,1737,214335,T
902479683,1464,209,121512,458,966,2342,1247,214654,F
215592733,570,43,36480,458,618,1873,1851,214309,T
574300729,1309,197,91630,458,6353,2342,2798,214377,F
952293518,1343,174,131614,458,979,2342,2739,214695,T
886513652,536,96,49848,458,580,2342,1714,214761,F
584706700,1422,142,106650,458,1133,1405,1590,214805,T
843749092,1230,230,71340,458,444,2342,2035,214188,F
144182782,1307,223,26140,458,735,1405,1395,214357,T
263199378,1275,221,70125,458,5113,1873,2825,214778,F
508669432,1736,155,78120,458,501,936,1382,214166,T
677711817,1331,197,86515,458,2254,1873,1681,214198,F
259388588,478,97,45888,458,1326,2342,2236,214028,F
911561606,1405,199,42150,458,1310,468,1701,214405,T
745508878,1392,124,54288,458,1037,936,932,214282,T
584655571,1395,212,86490,458,551,2342,1240,214120,F
823589601,849,127,44148,458,762,1873,1507,214166,T
003048367,642,58,64200,458,1776,2342,1829,214160,F
463471478,546,40,20202,458,425,2342,2313,214608,F
769792484,470,78,26320,458,604,1405,1775,214950,T
752305606,499,86,17465,458,614,1873,2234,214206,T
202374040,566,64,24904,458,4193,2342,1864,214560,F
416938963,1294,212,37526,458,438,468,1814,214887,T
810832168,445,90,32485,458,825,2342,2217,214259,F
012564342,1330,258,41230,458,13977,468,1597,214052,T
810778929,1256,214,57776,458,779,2342,1226,214939,F
016034366,925,133,40700,458,748,468,1646,214553,T
341410888,480,34,20160,458,2278,2342,1749,214602,F
559046263,1252,199,57592,458,751,2342,904,214767,F
763863728,619,33,59424,458,605,1405,1661,214186,T
814384800,1377,239,122553,458,785,1873,1198,214398,F
948834655,938,110,29078,458,540,2342,1902,214499,T
