userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
232578840,571,73,38828,605,5710,1577,844,238227,T
730607100,1532,218,110304,605,3838,1577,1944,238561,F
694312048,723,72,163398,605,2365,1577,1681,238324,F
924373298,801,77,57672,605,7095,1183,2057,238115,T
041832811,549,71,101565,605,2754,1972,1622,238572,F
763400428,1163,219,58150,605,2630,1972,1371,238283,T
482684161,1595,201,17545,605,26016,1577,1066,238664,F
775156790,1160,207,270280,605,2926,1972,1559,238776,T
674849246,60,1,4020,605,2926,788,750,238764,T
892800495,116,37,1972,605,3776,1972,1914,238135,T
434623050,644,96,135884,605,4778,788,842,238689,T
853539873,166,35,18924,605,5445,788,1730,238889,T
802442978,1213,190,238961,605,6161,1972,1611,238781,T
046776860,1670,212,48430,605,3547,394,1133,238877,T
745824458,1891,274,51057,605,16724,788,2511,238678,T
203087878,1132,206,29432,605,3001,1972,1530,238662,T
209024802,996,185,194220,605,2890,1577,1533,238025,T
077356009,1217,184,287212,605,2464,1577,1686,238225,T
794440134,1687,204,45549,605,4036,788,1763,238495,T
955089994,1654,153,71122,605,2821,1577,1719,238093,F
926859527,1273,186,48374,605,10642,788,1122,238296,T
790348667,1734,157,409224,605,2545,394,1483,238083,T
513278455,696,81,35496,605,3393,1183,1530,238930,T
129205321,1238,167,193128,605,2855,394,1372,238270,T
028517073,687,99,48090,605,23414,788,2007,238117,T
223099290,675,71,108000,605,4107,788,1986,238142,T
751164975,1190,180,216580,605,5710,1972,1599,238918,T
183025465,730,110,60590,605,11707,788,2145,238638,T
216274624,1091,165,193107,605,21285,1183,1177,238158,T
208671056,1160,196,95120,605,9365,1577,2391,238329,T
023028273,262,31,55544,605,4181,394,2030,238417,T
377654414,1505,156,170065,605,6328,788,1991,238831,T
395619292,684,74,143640,605,6328,1183,1282,238929,T
407357625,147,57,10143,605,9005,1972,2510,238489,T
681160299,1001,213,114114,605,2341,1577,1646,238476,T
073312776,1109,222,145279,605,4257,788,1730,238296,T
401529188,1697,152,20364,605,14634,788,1279,238279,T
529918734,1195,230,82455,605,2722,394,2095,238019,T
265310970,791,62,18984,605,16724,1183,1788,238125,T
933885858,164,14,5412,605,2926,394,2217,238834,T
045928298,119,32,3927,605,5203,1183,2538,238391,T
790918890,427,57,18788,605,4682,1972,2513,238635,T
076689646,271,11,20325,605,3164,1577,1311,238072,T
780642539,1237,204,305539,605,8672,1577,1825,238287,T
124221048,162,56,25110,605,15609,1183,1210,238668,T
785282465,597,115,78207,605,4591,788,1890,238332,T
701583177,1252,230,117688,605,2630,394,2177,238938,T
884524851,165,40,33990,605,4036,1972,1390,238875,T
393261296,1475,214,98825,605,12323,788,1690,238239,T
641695183,259,9,59052,605,5321,788,2047,238019,T
336269273,832,102,53248,605,3207,394,1831,238101,T
516262094,644,68,74704,605,2660,1577,2061,238995,T
259085007,338,45,33800,605,5090,1972,1574,238571,T
062835613,1213,177,214701,605,2691,1577,1295,238996,T
485256661,856,65,87312,605,4036,1183,1860,238793,T
555963101,598,139,135148,605,2691,788,1862,238097,T
880482735,51,59,6477,605,9005,1183,1981,238400,T
783318535,1498,200,67410,605,2754,788,1888,238049,T
915770621,1258,210,198764,605,9756,1183,789,238563,T
200991326,1681,172,405121,605,16724,1183,948,238615,T
562942816,1591,163,76368,605,3080,394,1192,238642,T
631711504,613,77,113405,605,13773,1972,939,238701,F
687921207,58,5,12760,605,13773,788,1209,238515,T
865109454,165,49,18315,605,7095,788,1625,238538,T
698374772,1555,165,338990,605,5710,1577,1376,238779,F
540620286,127,68,4445,605,4878,1577,1788,238064,T
761654307,262,1,36418,605,8672,1972,2487,238066,T
732709108,1262,168,169108,605,9365,1972,1239,238192,T
241994457,48,9,10608,605,2439,788,1630,238136,T
694687915,662,85,123132,605,5445,1972,1628,238996,F
334069629,573,114,73917,605,3344,394,1562,238642,T
194801687,607,85,31564,605,3121,1972,2051,238109,F
103794406,1161,215,65016,605,9756,394,2120,238031,T
135215307,1535,169,239460,605,11149,1972,1502,238494,F
804244056,223,36,7136,605,16724,394,1801,238976,T
743783406,90,25,19260,605,3252,1183,2425,238625,T
907953676,167,52,10521,605,18011,394,1623,238657,T
717374040,1202,209,222370,605,6328,788,1210,238498,T
034356928,256,4,5376,605,23414,1972,1777,238695,T
914513435,1113,213,170289,605,26016,788,1820,238754,T
943576500,548,102,122752,605,15609,1577,1689,238401,F
478506798,1694,180,204974,605,2691,1577,1547,238282,F
933271916,797,118,63760,605,5710,788,1945,238784,T
529272953,1482,177,145236,605,4181,1972,847,238014,F
802884114,586,83,58014,605,4336,1183,906,238190,T
205526439,1141,200,42217,605,19512,394,1469,238921,T
016340437,576,108,140544,605,16724,788,1337,238825,T
820572995,787,72,126707,605,11707,1972,1612,237996,F
766302724,1187,180,229091,605,7095,394,1210,238746,T
454735227,570,106,58710,605,5203,394,1577,238022,T
414427059,468,49,8892,605,3902,1577,1814,238467,T
320922067,590,97,64310,605,4417,1577,2130,238392,T
087489768,1496,195,200464,605,2691,394,1836,238196,T
637544424,95,40,21185,605,21285,1183,893,238266,T
552721721,1708,162,204960,605,2754,1577,2563,238460,F
161531836,1873,262,74920,605,7804,1183,1902,238562,T
253064052,589,120,54188,605,3207,788,949,238471,T
608866051,1471,180,197114,605,3393,788,1152,238326,T
685031496,1045,210,237215,605,7804,788,1929,238337,T
761841868,1282,229,229478,605,2821,1183,1764,238929,T
913428847,170,4,8330,605,4878,1183,932,238144,T
886469334,1260,211,128520,605,2890,1577,1512,238730,T
137438789,1154,204,271190,605,3658,1183,1380,238661,T
616548650,243,7,6318,605,3252,1577,2349,238045,T
792327101,1465,153,95225,605,4107,1183,1227,238691,T
606789953,1079,198,246012,605,2439,1577,1404,238865,T
145427698,1058,215,38088,605,29268,1577,1782,238931,T
561347983,1028,213,42148,605,4682,1972,1063,238014,T
707965133,1629,196,136836,605,18011,788,2088,238328,T
293075804,569,107,5690,605,2573,1183,1652,238879,T
859361184,1048,209,110040,605,11707,1972,1657,238403,T
224090519,1217,176,156993,605,2389,1183,2009,238939,T
328563980,439,53,19755,605,3838,1972,1509,238235,T
547515531,421,43,21471,605,3602,1972,1611,238822,T
296608446,1736,207,175336,605,5321,1577,2006,238223,F
503089828,320,10,10240,605,5090,788,1862,238846,T
418740764,169,68,14872,605,3494,394,1656,238314,T
986283698,139,61,19460,605,3164,1972,2243,238037,T
691020191,283,23,46129,605,3001,788,1100,238821,T
163662877,101,33,7777,605,11149,394,2080,238827,T
559993669,598,98,78338,605,10180,788,1250,238817,T
540210079,306,6,63648,605,3602,394,1439,238262,T
660492437,628,72,113668,605,7095,1183,1730,238086,T
217238795,572,79,114400,605,18011,1183,2056,238949,T
411465916,798,80,31920,605,6886,788,1242,238975,T
421623315,79,46,1027,605,2855,1972,1551,238417,T
105429015,202,65,32926,605,12323,1972,1824,238754,T
731940582,1600,167,110400,605,9365,394,1889,238343,T
419692853,1021,160,127625,605,3121,788,1626,238894,T
762018058,727,91,93056,605,3968,1972,2452,238153,F
