userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
620899884,1846,298,47996,605,733,1183,1663,238596,T
992567446,582,91,48888,605,3968,1972,2351,238776,F
402736265,244,4,22448,605,4257,788,1704,238317,T
842347945,584,89,23360,605,545,1972,1550,238355,F
698160347,122,65,6222,605,788,1183,1875,238777,T
945381203,1589,160,128709,605,552,1972,1766,238380,F
991180742,81,52,7695,605,745,788,1562,238206,T
542709452,1591,160,92278,605,3658,1972,958,237998,F
336245136,730,74,69350,605,3443,788,792,238530,T
319784143,1550,208,65100,605,1582,1972,1728,238149,F
231967336,1556,161,115144,605,532,1577,1942,238782,F
527943654,834,103,17514,605,5853,394,1223,238719,T
800767436,1241,170,42194,605,608,1577,1993,238400,T
703883312,1523,185,146208,605,1454,1972,1730,238951,F
641108149,1237,201,87827,605,1022,1972,984,238826,T
981002741,1533,207,65919,605,698,1577,1527,238290,F
068191249,782,87,69598,605,2365,1972,1553,238739,F
158010307,1764,291,84672,605,1592,394,1734,238507,T
710243481,80,34,7360,605,4981,394,1250,238747,T
299417876,860,129,24080,605,550,1972,2102,238886,F
491357458,1476,203,132840,605,631,394,1917,238921,T
613972299,1675,213,127300,605,495,1972,1053,238750,F
133118418,1538,173,112274,605,1054,394,1692,238204,T
905357117,728,130,32032,605,2601,1972,2049,238078,F
435890754,1462,164,65790,605,1018,394,2270,238096,T
313135145,631,120,53635,605,493,1972,1180,238697,F
992201914,302,23,16912,605,1272,1183,1555,238761,T
268318880,1653,194,135546,605,12323,1972,2107,238980,F
491657016,99,36,9207,605,3494,1183,1442,238282,T
635121042,621,83,49680,605,1330,1972,2093,238938,F
035880050,1704,176,107352,605,1967,394,1732,238068,T
895968740,1562,178,57794,605,1815,1972,1787,238016,F
158001239,1021,166,33693,605,554,1577,1094,238325,T
090403812,1644,210,64116,605,5203,1577,1944,238500,F
152162795,185,12,6475,605,471,1183,1995,238139,T
863634888,1683,187,143055,605,622,1972,2068,238914,F
602058684,1251,180,107586,605,473,1183,1562,238042,T
400305804,1460,178,65700,605,609,1577,1494,238261,F
668241630,1206,184,28944,605,2341,788,2204,238167,T
715670544,713,84,66309,605,533,1972,1922,238547,F
902684817,1128,186,22560,605,1571,1577,1728,238596,T
133157859,1476,212,91512,605,745,1972,1667,238382,F
051219425,743,127,68356,605,867,788,1943,238111,T
818797906,1630,161,101060,605,564,1577,2453,238360,F
491544902,837,64,20925,605,772,1577,1062,238461,T
624993935,1526,158,77826,605,1131,1577,1896,238540,F
706997781,1597,175,154909,605,686,1577,2514,238652,F
202874108,1516,215,40932,605,528,788,1208,238298,T
086912736,712,113,59096,605,533,788,1534,238941,T
774238369,850,67,70550,605,678,1972,1899,238163,F
957743879,1676,163,78772,605,578,1183,1756,238585,T
173173756,1612,161,46748,605,39024,1577,1147,238922,F
139709917,636,108,22896,605,3207,394,1426,238144,T
460724872,602,67,13244,605,830,1972,1404,238881,F
962093154,1047,195,90042,605,480,394,1113,238642,T
151048267,757,89,43906,605,821,1972,2086,238829,F
944674715,1523,193,63966,605,514,1972,1328,238662,F
141626219,632,126,23384,605,1560,1577,1893,238260,T
000993097,1655,216,95990,605,667,394,1668,238364,T
542293731,1636,194,160328,605,3716,1577,1750,238882,F
823539682,574,78,25830,605,1147,1972,1132,238255,F
748471688,1466,156,80630,605,569,1183,1390,238335,T
296263984,1878,278,63852,605,668,1577,1498,238853,T
906875110,1585,205,69740,605,1560,1972,1749,238187,F
349250378,1202,187,57696,605,617,394,1730,238533,T
612693605,677,65,47390,605,473,1972,2457,238724,F
143973285,567,127,45360,605,2413,788,1200,238761,T
593875806,1469,158,94016,605,2128,1972,1143,238298,F
360961139,1695,284,67800,605,1074,394,1664,238243,T
949481762,859,80,84182,605,583,1972,1754,238765,F
062170932,815,91,32600,605,1626,1577,2102,238715,T
911657362,847,122,63525,605,18011,1972,1214,238649,F
602127895,1634,180,68628,605,522,788,1160,238605,T
731556189,1480,176,146520,605,507,1972,1133,238170,F
876093455,1591,199,157509,605,537,394,2447,238884,T
276878757,1606,213,65846,605,1510,1577,1711,238963,F
873407495,768,79,52224,605,595,1972,1411,238014,F
460792817,1176,196,38808,605,2341,1183,1142,238970,T
987315658,1225,204,45325,605,996,394,2364,238248,T
318613750,774,75,68886,605,1843,1972,1936,238355,F
655631414,1079,193,78767,605,1099,1972,1156,238853,T
397380272,1625,194,134875,605,1182,1972,1636,238724,F
752901310,341,69,8866,605,6504,394,1378,238600,T
366349027,1534,167,56758,605,767,1577,2077,238664,F
644662343,89,19,2136,605,1200,1183,1869,238576,T
480524756,1504,169,129344,605,724,1972,1256,238515,F
562575400,1080,223,77760,605,2128,1577,2317,238364,T
572856095,627,121,55176,605,568,1972,1273,238054,F
011798293,1512,202,40824,605,487,1577,1889,238465,F
286875903,784,71,58016,605,1540,394,1985,238664,T
713955575,1496,209,71808,605,1219,788,2372,238857,T
045042608,1541,151,78591,605,762,1972,1019,238790,F
869942687,154,21,5544,605,578,788,1955,237998,T
808983087,1445,151,96815,605,959,1577,2483,238142,F
980900525,1512,176,40824,605,1009,1577,1596,238490,F
011073845,301,5,15652,605,3040,394,1243,238466,T
765901052,95,57,8075,605,474,1577,2010,238645,T
694980512,1702,216,159988,605,529,1972,1245,238528,F
160270648,1114,208,108058,605,2660,1183,777,238042,T
173360688,580,110,30740,605,2660,1972,1732,238220,F
