userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
587020807,326,32,12062,765,1531,881,1627,168297,T
529710590,1679,337,124246,765,3537,661,1894,167922,T
407562741,1767,261,203205,765,5305,220,2518,167908,T
043132501,1360,147,246160,765,1632,440,1581,168664,T
733556737,1883,287,116746,765,1614,220,2129,168503,T
980766873,1619,345,89045,765,1531,881,2126,168485,T
579034309,734,57,84410,765,13505,440,1036,168177,T
330535102,553,111,21567,765,11427,1101,1028,168823,F
324231782,1881,262,385605,765,4369,220,2719,168547,T
874136269,1728,334,82944,765,1857,1101,2041,168662,F
425363204,1650,368,298650,765,10611,440,2378,168800,T
085689724,1787,297,312725,765,3623,1101,2510,168873,F
761666476,670,84,89110,765,5122,661,1354,168639,T
953807657,3,9,114,765,3909,440,2548,168289,T
711809693,192,52,39744,765,24760,881,2257,168681,T
084391864,1653,320,100833,765,8253,440,1470,168156,T
593257192,4,22,248,765,1727,661,1270,168519,T
473022378,1600,363,51200,765,4244,881,1060,167926,T
153547626,1844,368,424120,765,1580,440,1364,168250,T
670923743,299,47,5980,765,11427,220,2236,168146,T
873151948,1245,142,165585,765,1954,220,1734,168377,T
558598705,15,1,1050,765,2396,661,1225,168837,T
286013209,1934,300,108304,765,5942,220,946,168029,T
821132238,631,60,127462,765,1580,661,1679,168022,T
355839041,466,69,52192,765,7818,220,2118,168799,T
089242164,1939,315,27146,765,29712,661,2225,168444,T
998639357,240,49,3120,765,2701,661,1854,168761,T
361784577,1795,366,129240,765,5713,220,1139,168321,T
412737899,1993,250,23916,765,2517,440,2090,167986,T
624718252,1603,378,293349,765,3031,1101,2748,168436,F
876046587,598,75,146510,765,2912,440,2744,168317,T
506723648,1852,306,390772,765,1580,661,1442,168826,T
265845860,1709,355,165773,765,1707,440,1176,168809,T
645840454,5,22,1220,765,1929,661,1606,168730,T
406482788,237,32,56643,765,1789,661,1194,168340,T
934284009,1761,339,221886,765,7428,440,2694,167948,T
865954352,1250,150,280000,765,7074,1101,1295,168573,T
081222048,1217,132,178899,765,3454,440,2064,168849,T
215618013,676,64,52052,765,3095,661,2081,168799,T
732909825,1791,267,352827,765,4952,220,1095,168822,T
972608984,1688,352,140104,765,1688,220,1537,168690,T
108175082,326,36,17930,765,1789,1101,1053,168107,T
286181605,1423,173,348635,765,2606,440,2126,168160,T
008101055,1708,319,326228,765,7428,1101,883,168037,F
553233304,1806,343,209496,765,1563,440,2233,168684,T
802876549,201,53,35778,765,7428,440,2199,168469,T
767281035,2022,253,349806,765,4501,440,937,168598,T
022435469,1450,166,82650,765,6459,881,2585,168768,T
212546900,1668,144,51708,765,4501,1101,1700,168001,T
427184305,580,117,92800,765,3301,220,1897,168157,T
807790404,1225,178,93100,765,2517,881,2291,168247,T
983806289,17,15,2193,765,2092,881,1800,168045,T
936688769,1850,274,31450,765,1954,220,1743,168790,T
574123574,1769,302,61915,765,8738,661,1750,168720,T
240037064,1709,338,411869,765,8738,661,1291,167939,T
929540282,2003,285,452678,765,2856,440,1441,168149,T
194048150,6,42,1290,765,5942,661,2092,168209,T
985911882,566,70,44148,158,479,284,1027,44892,T
590037235,1484,188,265636,765,1954,440,2735,167985,T
248184511,548,66,118368,765,2803,440,1789,168360,T
238008188,592,82,72816,765,2358,1101,1706,168290,F
627484653,710,82,95140,765,1789,881,1851,167983,F
921426374,15,33,2025,765,6459,881,1774,168216,T
071303857,741,54,117819,765,2153,1101,1925,168602,F
080674272,1250,127,112500,765,1614,661,1370,168332,T
103442475,550,83,117150,765,3909,661,1575,168678,T
375250965,1457,140,260803,765,1880,1101,1887,168287,T
329593930,1235,180,196365,765,21222,440,913,168316,T
255638445,1844,285,169648,765,4244,881,1162,168209,T
777623230,685,117,80145,765,3229,661,2262,168116,T
110895711,208,36,29536,765,2856,220,1923,168749,T
642711707,228,61,10716,765,2517,881,1422,167963,T
702252709,609,97,80997,765,3714,1101,1717,168803,F
839655107,1415,158,97635,765,1857,661,2156,168864,T
240574946,734,55,29360,765,13505,881,1914,168208,F
591802772,1838,282,200342,765,3623,1101,1917,168220,F
118760635,287,86,3731,765,2285,1101,2006,168701,T
145360298,1253,159,12530,765,14856,1101,2307,168445,T
699835360,334,29,23380,765,3537,881,2652,168886,T
302432747,29,14,1450,765,10611,220,1579,168887,T
672031067,152,1,13528,765,8253,881,1129,167998,T
949908759,1832,330,337088,765,1632,220,1735,168718,T
460459522,523,92,93094,765,3623,661,2536,168095,T
064243501,1796,300,120332,765,4244,440,1764,168300,T
158869046,1499,155,329780,765,5713,220,1698,168243,T
680586182,1445,140,223975,765,3714,440,2505,168036,T
148928110,55,1,6820,765,10611,881,1655,168672,T
697516062,618,115,66744,765,9904,1101,1312,168626,F
184504924,1854,316,220626,765,1929,881,2279,168200,T
066278206,467,56,8873,765,1614,220,1791,168458,T
659067696,562,76,28662,765,1834,881,1920,168749,F
872065238,1352,155,45968,765,1789,881,1931,168799,T
688012873,1649,314,263840,765,2321,220,2053,168347,T
067029754,1809,286,179091,765,1485,440,2432,168584,T
235536693,744,79,132432,765,2561,220,2544,168581,T
824492894,1786,295,378632,765,6190,440,1788,168178,T
868501119,105,1,3045,765,1597,220,1320,168687,T
943273383,319,76,5423,765,10611,661,1724,167917,T
048428466,1983,306,267705,765,3095,440,1640,168442,T
901559014,1579,317,322116,765,4501,220,2446,168547,T
482804432,138,3,15870,765,2652,881,1309,168154,T
257276545,361,41,32490,765,2063,881,1421,168025,T
899316472,1465,128,76180,765,2250,1101,2701,168578,T
083697428,1464,133,348432,765,1789,1101,1926,168830,T
470111688,172,55,42656,765,4501,881,2097,168887,T
152009790,1395,162,299925,765,1954,220,2437,167943,T
684182282,1228,145,162096,765,3160,661,2588,168527,T
502425841,1358,156,195552,765,5502,220,2195,168371,T
401009836,1452,180,178596,765,3537,440,2346,168223,T
029427414,473,84,59598,765,8253,661,1484,168875,T
098436568,1874,290,337320,765,2701,220,1902,168813,T
094400994,1763,308,391386,765,8253,220,1613,168480,T
501434846,2018,294,379384,765,3160,881,1711,168700,T
321224227,192,57,22656,765,4792,1101,1487,167940,T
288917881,178,80,12638,765,2153,881,2071,168117,T
228281613,1488,133,297600,765,3160,220,2078,168386,T
100150952,1964,268,428152,765,2971,440,2130,168060,T
022888929,1,11,211,765,4501,1101,1420,167913,T
486509709,1629,367,296478,765,9285,440,1908,168477,T
925385477,117,1,8424,765,1500,220,2585,168427,T
726063132,342,58,22230,765,3809,881,2007,168811,T
289155725,1462,131,209066,765,1811,440,1451,168028,T
531157981,1891,300,130479,765,4126,661,2303,168399,T
022437931,1717,338,224927,765,4792,1101,1465,168459,F
829452972,1642,340,183904,765,2092,881,1276,168213,T
031391468,1774,353,317546,765,2153,220,2006,168527,T
238044221,498,92,60258,765,1547,661,1395,168755,T
463887627,1782,347,106920,765,1707,440,2278,168719,T
884427842,1913,295,288863,765,24760,1101,1711,168188,F
214232522,1580,344,355500,765,4126,1101,1596,167943,F
260639230,15,7,2145,765,9904,440,1971,168661,T
752730477,18,26,1458,765,4369,220,1185,168557,T
481604878,116,9,4756,765,2153,661,2245,167930,T
921230999,583,119,57717,765,1747,1101,1937,168755,F
254759835,319,39,6699,765,8253,1101,2057,168490,T
913715307,1589,188,22246,765,1500,440,1596,168292,T
647465371,19,32,3610,765,1880,881,2413,168669,T
974019497,1946,290,311360,765,3537,881,865,168658,T
381100631,1642,343,188830,765,5713,661,1764,167894,T
040070209,1,25,145,765,1811,1101,2702,168848,T
599650553,7,27,819,765,3714,1101,2545,168309,T
540758994,20,20,3280,765,2476,220,2485,167995,T
803426334,1684,162,114512,765,11427,1101,1086,168448,T
102645756,557,61,13368,765,5502,881,1642,168013,F
776654360,1487,186,14870,765,1727,440,2169,167972,T
171049173,722,59,62814,765,2250,1101,2131,168870,F
062150494,1652,182,117292,765,1500,440,1131,168149,T
540898706,721,55,134827,765,1954,881,2582,168837,F
632371135,228,29,42636,765,1500,440,2715,168079,T
181837762,591,81,54963,765,1485,661,1730,168741,T
500331108,61,3,1647,765,2971,881,1089,168802,T
704011369,1237,136,246163,765,5502,881,2063,168154,T
405863532,1880,289,266960,765,3095,1101,1655,168599,F
657943176,1399,190,74147,765,1500,440,2571,168862,T
108056181,3,8,615,765,2476,1101,1912,168832,T
326958032,1328,170,314736,765,5713,881,1970,168434,T
212072865,1411,130,275145,765,8253,881,2654,168717,T
233124565,206,43,11330,765,3537,440,2559,168805,T
325951274,1990,268,252730,765,3714,440,1498,168664,T
354107531,9,47,1323,765,3229,881,1620,168422,T
221785497,1419,172,21285,765,12380,881,1300,168600,T
452362104,1693,372,316591,765,1597,1101,1790,168552,F
958743043,2018,252,373330,765,1904,661,1855,168880,T
303202387,523,111,32949,765,9285,220,2085,167984,T
669696693,1220,183,31720,765,1954,220,882,168678,T
598475911,1817,348,312524,765,2063,220,2316,168126,T
489111568,1466,154,134872,765,2217,661,2081,168131,T
918738898,1755,324,152685,765,1857,1101,1416,168132,F
261277101,164,57,25912,765,10611,1101,2413,168680,T
515559615,1528,169,33616,765,3160,440,2717,167924,T
872900085,1424,179,29904,765,2217,220,1439,168033,T
794510815,1225,167,29400,765,2250,1101,1685,168244,T
988029068,1474,131,288904,765,6190,881,1958,168784,T
809621219,1888,310,160480,765,4369,220,1998,167979,T
391374158,1941,272,347439,765,5713,220,1463,168300,T
627023520,573,70,104859,765,4952,1101,2676,168161,F
317746028,1621,383,262602,765,2153,661,2179,168162,T
108647146,1541,196,117116,765,1954,881,873,168826,T
002882789,9,9,1908,765,2092,881,2496,168625,T
431661720,1771,268,146993,765,14856,661,1976,168595,T
084998142,572,76,112684,765,1747,881,2047,168751,F
446160346,1693,322,369074,765,2517,1101,2366,168290,F
967423048,591,63,146568,765,3031,881,1548,168114,F
265497507,1399,160,302184,765,2971,661,1278,168432,T
819296840,749,114,11984,765,2153,1101,2178,168091,F
130509176,1482,151,165984,765,1789,881,1901,168837,T
228787212,1852,383,461148,765,1929,1101,1937,168731,F
867096708,225,98,4275,765,2092,661,2360,168439,T
392437295,1637,378,26192,765,2971,881,1721,167922,T
098802641,1237,188,121226,765,2701,1101,1520,168856,T
154288766,2001,285,488244,765,2035,881,1985,168508,T
714607479,540,53,57780,765,2007,661,1386,168866,T
371900097,1772,288,283520,765,3031,1101,1593,168840,F
810282568,14,20,1484,765,3095,1101,1515,168645,T
