userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
866241141,217,42,7595,765,16506,1101,1665,168260,T
828388921,506,104,26312,765,4369,1101,2035,168217,F
509445217,1360,135,119680,765,589,440,2236,168240,T
591882885,764,105,15280,765,1217,1101,1337,168332,F
898705286,533,68,46904,765,393,1101,2603,168394,F
196368273,1623,345,105495,765,1388,661,883,168115,T
317927171,55,36,1485,765,337,220,2579,168721,T
738301844,1847,285,181006,765,517,1101,1554,168838,F
532802450,1875,269,86250,765,304,1101,916,168562,F
013947133,1577,192,137199,765,336,440,1624,168882,T
562339739,1243,151,26103,765,754,1101,2568,168006,T
644559099,1733,356,55456,765,3537,1101,1534,168547,F
141642405,1823,259,120318,765,1500,1101,1445,168281,F
776953893,1617,319,38808,765,2007,220,942,168574,T
863176620,111,3,4107,765,4792,661,1933,168245,T
501737075,1917,279,101601,765,359,1101,1629,168035,F
942447442,1901,294,174892,765,324,1101,2095,168591,F
074873875,11,24,528,765,313,220,2157,168035,T
012389096,1528,129,55008,765,333,1101,1781,168733,T
435347523,2041,258,91845,765,1688,1101,2296,168065,F
182011610,756,111,46116,765,1375,881,1854,168774,F
665430216,1768,282,40664,765,3623,220,1206,168563,T
993871240,551,57,23142,765,1084,220,2527,168099,T
640943859,524,81,50828,765,4244,881,2685,168779,F
138497829,64,18,2816,765,468,440,1828,167910,T
016654516,2043,281,169569,765,681,1101,1108,167920,F
669916064,173,55,7439,765,681,440,2425,168485,T
067797764,575,89,17825,765,306,881,1545,168654,F
756302725,1991,257,51766,765,495,1101,1667,168816,F
996515632,259,79,14763,765,613,220,2199,168728,T
687775773,1622,337,95698,765,654,661,1350,168796,T
915504610,672,64,24192,765,1134,1101,1689,167953,F
736403829,1613,322,161300,765,5122,661,1699,167993,T
935156014,477,111,26712,765,663,1101,918,168885,F
539956203,1728,367,119232,765,1727,440,2113,168517,T
683353776,1981,313,106974,765,6190,1101,1676,168045,F
573738486,1428,139,97104,765,351,220,1975,168041,T
202508701,590,58,41890,765,7074,881,1165,168888,F
688500921,373,41,21634,765,333,1101,1673,168482,T
851993001,1780,258,178000,765,2122,1101,2207,168761,F
481019121,751,92,48064,765,983,661,1570,168667,T
489350207,1993,250,173391,765,18570,1101,874,168608,F
468046798,61,28,5551,765,314,440,1019,168388,T
742720267,719,51,66867,765,1024,1101,1859,168716,F
091997744,474,58,32706,765,330,1101,2048,168179,F
631569208,1683,185,33660,765,442,220,1441,168494,T
002955667,509,85,24432,765,611,881,1916,168272,F
899968117,209,63,8360,765,467,1101,2124,168518,T
275118424,1963,250,70668,765,613,440,2273,168196,T
307892764,1600,329,72000,765,382,1101,1486,168870,F
839308054,1762,354,81052,765,378,1101,2593,168808,F
805967610,2021,269,103071,765,458,440,1612,168563,T
352781501,711,56,57591,765,578,1101,1027,168459,F
907296176,217,74,4340,765,3301,440,1389,168010,T
977915375,1780,361,145960,765,3160,1101,1648,168724,F
796082469,1571,160,32991,765,3376,881,1861,168463,T
068876091,7,27,322,765,7428,881,2064,168370,T
127133902,554,81,14958,765,567,1101,1922,168494,F
374577391,76,1,5092,765,303,1101,2388,167916,T
800325291,551,63,26999,765,505,881,1749,168282,F
334225666,1302,178,29946,765,1125,440,2068,168776,T
347556852,756,107,72576,765,24760,881,867,168136,F
715706614,470,60,31960,765,660,1101,2361,168012,F
128939050,658,103,26320,765,322,220,1934,168636,T
951871069,62,1,3100,765,4369,1101,943,168322,T
275727631,1640,325,141040,765,724,1101,1349,167912,F
178185074,1658,368,155852,765,721,661,1696,168288,T
426209800,1828,382,120648,765,964,1101,1323,167935,F
605922410,1428,159,114240,765,375,1101,2050,168563,T
832875310,519,89,41520,765,731,881,1819,168398,F
329971692,1687,181,158578,765,2751,881,2423,168720,T
932961717,1825,369,105850,765,487,1101,1510,167909,F
256699562,1717,340,128775,765,742,1101,1947,168579,F
560811747,1641,181,114870,765,4501,220,1575,168164,T
818447280,1323,179,112455,765,464,881,2724,167886,T
783985482,515,103,14420,765,1688,881,2203,168655,F
641312707,2054,293,41080,765,542,881,1048,167908,T
388304705,1587,356,52371,765,1160,1101,1805,168467,F
970193571,709,82,21979,765,508,881,867,168128,F
904992548,1439,169,63316,765,298,1101,1610,168563,T
912558200,1264,156,79632,765,1269,881,980,168078,T
276899678,542,93,28726,765,773,1101,1985,168723,F
842755515,644,99,23184,765,1597,220,1788,168026,T
444388484,668,113,40748,765,546,881,2040,168355,F
279160826,764,67,60356,765,5713,440,1103,167971,T
997729163,484,73,28072,765,735,881,2590,167960,F
569294230,11,1,605,765,567,220,1157,168527,T
818913517,533,96,31447,765,498,881,2043,168810,F
385274716,1434,164,47322,765,1597,1101,1213,168838,T
464582679,582,115,34338,765,327,881,1517,168590,F
140312296,194,47,15132,765,412,220,1815,168201,T
260919361,596,83,55428,765,338,1101,1646,168283,F
840616772,1756,364,70240,765,958,1101,1397,168827,F
783129827,169,40,16224,765,6459,220,2311,168152,T
989615047,532,110,37772,765,322,440,2219,168329,T
899349756,2049,280,176214,765,3301,1101,1699,168342,F
499041388,1502,198,76602,765,485,881,1403,168069,T
235562837,513,50,34371,765,474,1101,1017,168443,F
893020518,609,55,51156,765,448,1101,1843,168525,F
879828200,1665,134,123210,765,526,440,1108,168510,T
