userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
929306443,1711,266,263494,245,3577,2473,6765,121366,T
161523835,1693,280,265801,245,1478,2473,3338,121404,T
711928501,1894,233,106064,245,1304,2473,3221,122095,F
184960800,88,5,14520,245,7921,2473,6238,121718,T
760226599,13,37,468,245,2579,989,6131,121971,T
319801872,1948,223,40908,245,3360,1979,3847,121371,T
993651169,558,131,5580,245,1336,1979,3705,121294,T
190854560,1737,257,267498,245,1352,494,6743,121436,T
329236452,102,43,11118,245,12322,1979,3277,121751,T
135987354,86,1,15910,245,2174,989,6761,121775,T
944066541,577,77,65778,245,1655,1979,5037,121591,T
949806922,661,114,37677,245,2359,494,5117,121282,T
684659125,546,85,122850,245,7393,494,6865,121826,T
716220941,519,98,8823,245,2218,1484,4849,121553,T
780968168,1820,230,369460,245,1459,1484,6574,121376,T
154867653,1708,271,351848,245,5837,1484,6917,121487,T
422308816,1650,264,283800,245,1879,1484,5010,121484,T
716290662,564,67,33840,245,1155,1484,6752,121740,T
849832397,78,1,9204,245,1403,1484,3537,121403,T
777769752,184,1,29992,245,1440,1484,5248,121680,T
917712965,2011,173,80440,245,1274,494,6543,121643,T
207906863,1338,204,250206,245,2016,494,6292,122051,T
568992485,1698,259,212250,245,3168,1979,2964,122125,T
353770194,1432,192,317904,245,1304,494,3877,121328,T
679361532,707,44,29694,245,5041,494,4660,121758,T
740117922,2082,380,268578,245,1320,494,6232,121344,T
371787245,1541,232,282003,245,1120,2473,3506,121887,T
745753565,88,42,16104,245,1498,989,3841,121289,T
731802199,559,65,17329,245,1403,494,5353,122202,T
396805903,1882,407,327468,245,2410,2473,4465,121839,T
710737060,1441,166,232001,245,2772,989,4527,121348,T
106733029,509,113,123687,245,3696,1484,3040,121477,T
961200930,1453,156,299318,245,9242,989,5935,121807,T
882268648,175,1,7350,245,5281,2473,6085,121492,T
863090351,188,1,22748,245,8531,1484,3335,121789,T
594497297,2073,375,400089,245,1131,1484,3094,122043,T
729320100,6,38,1152,245,3465,1979,6112,122194,T
122010996,94,1,2256,245,1131,989,5222,121870,T
500334106,550,99,41250,245,1403,2473,6550,122069,T
439601678,1626,232,204876,791,7588,539,1055,213249,F
254756196,1556,276,373440,245,6523,1979,2957,122109,T
583151399,3,15,156,245,1980,494,6095,121718,T
664788521,22,14,2486,245,2705,1979,3042,121397,T
498527838,588,94,7644,245,3168,494,5123,121626,T
978467382,1712,219,282480,245,6161,989,4845,121296,T
784529832,1722,237,160146,245,2843,494,5909,121709,T
438703577,13,15,1898,245,2464,1979,5132,121318,T
185702533,1930,428,254760,245,1218,1979,5005,122202,T
527814892,1765,272,441250,245,1630,494,3079,121585,T
924956141,16,24,2672,245,2997,494,4737,121738,T
714049503,1993,394,364719,245,4265,989,6670,121988,T
518083597,1823,272,306264,245,1369,2473,6374,121901,T
430054601,1792,244,327936,245,1584,494,6449,121782,T
899064044,741,133,44460,245,1155,2473,6431,121281,T
144629506,158,18,16906,245,1760,989,3828,121752,T
185381352,715,101,62205,245,2918,2473,6767,121534,T
165901678,120,25,10440,245,9242,494,3350,122178,T
122279792,1805,232,212990,245,1205,2473,4850,121731,T
588844216,1,54,129,245,1478,1979,4602,121231,T
274401372,94,24,5828,245,1584,1484,5431,122193,T
336079900,226,15,29154,245,2310,494,4853,121532,T
760898205,1517,208,297332,245,13863,1979,6333,121798,T
195421379,1999,383,289855,245,4436,989,3945,121778,T
022883807,1877,227,168930,245,1519,1484,3442,121737,T
633914730,629,112,71077,245,3960,1484,4968,121713,T
063511384,1797,259,395340,245,2464,494,5073,121896,T
797342749,2081,370,293421,245,2092,1979,4831,121455,T
540134164,1847,368,443280,245,5545,989,5264,121726,T
868583218,1888,192,60416,245,2997,1979,3477,122028,T
799088374,464,117,84912,245,2843,989,3315,121350,T
733900846,558,116,87048,245,2705,989,3905,121549,T
134040547,1901,212,167288,245,3696,1484,5434,121464,T
729586338,1858,169,39018,245,6523,494,6738,121576,T
014461406,670,98,73700,245,2918,1979,5084,121803,T
142218797,172,1,39044,245,4621,989,3631,122042,T
190238604,651,73,70308,245,2464,1979,6760,121928,T
012944229,576,106,101952,245,1289,1484,5072,121877,T
248529737,471,110,103149,245,1403,1484,4641,121273,T
906600606,8,54,1056,245,1706,2473,3694,121741,T
190351562,1792,242,394240,245,1403,989,6062,121553,T
059417012,1780,258,393380,245,1179,494,4859,121405,T
740294527,1577,215,239704,245,6931,1979,3543,122131,T
439133393,643,120,113811,245,1630,2473,6665,122070,T
944347478,1760,249,401280,245,8531,2473,5232,121990,T
358005541,11,32,2178,245,1655,494,6889,121819,T
604859888,1933,169,344074,245,1167,989,4904,122095,T
429607047,1652,255,365092,245,4265,1484,6411,122173,T
445249387,671,117,26169,245,2918,1979,4429,121910,T
656050598,150,1,13200,245,6931,1979,3245,121610,T
434289114,1534,263,309868,245,5545,2473,5306,121315,T
149885830,539,135,12936,245,3080,2473,3713,121701,T
017707370,31,4,6603,52,146,673,1846,7001,F
736800779,1704,244,175512,245,6161,2473,6490,122082,T
746400541,4,2,500,245,2579,1979,6173,122165,T
045663597,2084,406,277172,245,2918,1979,3546,121405,T
244405685,1270,188,242570,245,1131,494,5447,121799,T
624907358,1932,417,372876,245,1706,1484,5049,121679,T
113318058,188,1,46624,245,1945,494,6815,121784,T
186842639,45,20,2250,245,4436,1979,4670,121755,T
571598473,1259,167,206476,245,1179,989,4522,121856,T
765219393,588,58,18816,245,1320,1484,6671,121873,T
355390346,2002,416,452452,245,3696,1979,4617,121302,T
762690130,2108,429,303552,245,5545,989,4868,121578,T
247390386,84,40,8232,245,1167,1979,3021,122149,T
258156261,2045,414,474440,245,3080,494,2953,122185,T
549885724,1753,260,397931,245,1607,1979,5294,121785,T
124077783,178,36,11926,245,1274,2473,2934,121507,T
903784303,143,1,23738,245,3168,1484,5420,122003,T
522612629,1475,196,287625,245,1519,2473,5075,122227,T
557107967,515,115,89095,245,1232,989,3549,121911,T
404538838,640,123,123520,245,4265,989,6693,121451,T
169232982,16,1,1680,245,1519,989,6529,122102,T
776167328,1326,173,291720,245,1304,2473,4669,121708,T
441951213,207,3,4140,245,4621,1484,3528,121539,T
