userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
441156546,524,124,46636,245,676,494,3536,121602,T
561140960,1789,192,50092,245,352,2473,3719,121774,F
114470310,650,92,59150,245,332,1484,3693,121422,T
535500895,1988,209,85484,245,549,2473,6868,121353,F
671791169,555,91,26085,245,368,1979,4551,121375,T
622211196,488,41,16104,245,254,2473,4834,122084,F
455729239,681,80,25197,245,339,1979,3156,122037,T
918999734,1926,212,184896,245,267,2473,6618,122188,F
802259498,1935,199,162540,245,827,989,6000,121297,T
021868067,688,46,20640,245,271,2473,6163,122137,F
130978411,8,1,656,245,1540,1979,6841,121926,T
536024740,580,77,42340,245,288,2473,6367,121629,F
869001533,1817,212,43608,245,268,989,3195,122059,T
303832612,594,53,43362,245,956,2473,3472,121421,F
692045082,20,51,1640,245,311,1979,6577,121282,T
088642731,457,62,38845,245,354,2473,6297,121826,F
876103117,464,50,41760,245,394,989,6242,122158,T
382235278,1966,226,58980,245,506,2473,5031,121576,F
117060315,657,99,42048,245,1017,1484,4868,121899,T
809447095,1779,234,115635,245,5041,2473,6212,121400,F
162610555,184,16,13800,245,277,989,5062,122096,T
534259610,527,43,52700,245,504,2473,3781,121280,F
330674018,726,42,70422,245,356,2473,3473,121897,F
655137237,665,59,48545,245,254,989,3072,122051,T
441312558,100,48,9700,245,385,2473,3533,121641,T
243178451,1887,201,177378,245,404,2473,4404,122008,F
232591992,212,13,4452,245,452,1979,3160,121535,T
283042612,513,57,32832,245,5545,2473,5298,122064,F
384146080,1969,186,175241,245,2218,989,3854,121508,T
420939987,1889,192,68004,245,1818,2473,3746,122050,F
098627863,199,33,13134,245,288,989,5294,121576,T
184859956,1990,237,103480,245,319,2473,6560,121756,F
612468563,1863,195,93150,245,853,1979,6003,122165,T
043194051,460,101,12420,245,275,2473,5225,122061,F
568319685,211,1,7385,245,433,1484,4773,122202,T
626244428,682,35,17732,245,644,2473,3962,121998,F
320650301,126,3,10080,245,226,2473,6667,121548,T
750573902,1873,202,159205,245,420,2473,6477,122055,F
654241784,2036,178,175096,245,894,494,3321,121439,T
374848635,669,80,26760,245,2705,2473,3717,121948,F
643538757,1579,249,138952,245,278,1484,4512,121878,T
234559486,1895,180,176235,245,237,2473,3845,121567,F
696006899,2005,219,186465,245,280,2473,4404,121689,F
313222505,561,69,33660,245,416,494,4498,121267,T
129729601,44,1,3080,245,275,1979,3094,121634,T
076291130,1791,173,102087,245,1155,2473,4889,122223,F
321395713,1962,183,131454,245,770,1484,3231,121272,T
532697739,454,80,31326,245,356,2473,6578,121271,F
940567803,2069,181,155175,245,1155,2473,3139,121299,F
095917614,1670,267,161990,245,562,494,6285,121320,T
647699402,658,83,32900,245,334,494,4702,121706,T
566484453,606,40,34542,245,308,2473,5951,122119,F
017410762,1657,272,130903,245,347,1484,3854,122138,T
708659277,1876,199,106932,245,964,2473,4526,121703,F
772776783,1850,203,42550,245,305,494,6605,121530,T
785038907,1820,237,38220,245,1336,2473,3854,121235,F
104218484,625,54,24375,245,887,1979,6834,121241,T
666146673,480,86,20640,245,637,2473,5173,121793,F
567283540,1888,188,54752,245,245,989,5066,122134,T
704602704,1789,193,110918,245,840,2473,3593,121560,F
494741608,1868,208,100872,245,272,1979,5072,121437,T
994337664,1804,191,169576,245,224,2473,3497,121897,F
634079017,1906,176,121984,245,329,494,4640,121693,T
088665223,1972,182,122264,245,436,2473,2968,122152,F
714823350,101,44,9191,245,473,989,6902,122184,T
918853576,1972,175,63104,245,821,2473,5040,121474,F
665600157,664,82,42496,245,366,1484,4656,121791,T
479671363,2006,185,66198,245,1087,2473,5166,121978,F
676893417,11,2,297,245,560,2473,6025,121741,T
538658944,1856,179,135488,245,246,2473,5208,121696,F
605989815,615,86,13530,245,3360,494,4757,121815,T
843025817,1954,215,162182,245,664,2473,6670,122214,F
299550382,1925,184,75075,245,226,1979,4488,121908,T
287753503,1867,183,56010,245,6161,2473,4896,121269,F
087537751,216,1,15768,245,285,1979,6889,122150,T
177560369,1785,188,160650,245,339,2473,5244,121864,F
797957279,161,1,12558,245,1369,1979,6166,122170,T
319784257,625,63,48750,245,846,2473,5319,121983,F
598825684,2068,232,70312,245,2053,1484,3923,122220,T
401802962,1862,207,117306,245,866,2473,4907,121414,F
716240913,1926,187,71262,245,340,1484,4744,121290,T
261050024,1916,228,128372,245,387,2473,4785,121630,F
187473867,496,52,37200,245,1980,989,3169,121950,T
685481514,1997,170,159760,245,269,2473,3402,122189,F
903337977,1809,205,139293,245,264,1979,4873,121682,T
187074877,1820,198,156520,245,259,2473,5223,121947,F
919843511,147,23,9408,245,706,1979,6232,121498,T
504633358,635,53,23495,245,873,2473,4578,121909,F
490264447,198,43,8316,245,326,1484,3512,121599,T
685143208,626,91,13146,245,329,2473,2985,121454,F
008895091,70,11,6860,245,287,1979,3072,121950,T
134700896,1896,202,92904,245,278,2473,6693,121244,F
523320877,186,27,10044,245,15843,1484,4597,122016,T
871473952,2067,236,45474,245,3577,2473,2993,122208,F
127395158,460,39,38640,245,623,1979,6767,122031,T
887513196,1959,211,47016,245,420,2473,4643,121441,F
374956020,53,4,3816,245,231,494,3315,121286,T
383155264,1951,172,171688,245,266,2473,3224,121726,F
294648194,229,21,11450,245,243,2473,6301,122164,T
849493540,567,77,32886,245,409,2473,4697,122186,F
