userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
001006045,1990,371,55720,538,848,611,5122,164861,T
437939849,2036,372,67188,538,336,1528,4900,165083,F
956425781,2126,348,61654,538,729,917,4631,165293,T
865645694,2085,332,83400,538,393,1222,5068,164644,F
072190731,1887,361,175491,538,1384,917,4629,165331,T
200834301,1045,172,20900,538,1653,1528,5214,164522,F
591219586,1306,157,74442,538,802,1528,2909,164847,T
382096701,1893,322,149547,538,407,1528,5398,164639,F
169868455,482,44,32776,538,618,917,4903,164738,T
102779234,1883,377,48958,538,8527,1222,4933,165300,F
980196977,650,64,27300,538,337,305,2962,165180,T
067079386,891,210,38313,538,369,1528,3035,164973,F
187332113,1104,189,30912,538,397,611,4034,165100,T
662873585,2126,362,74410,538,370,1222,4144,165052,F
716731190,1112,159,103416,538,549,305,3077,164433,T
344444692,2099,344,117544,538,798,1528,5257,164714,F
774753118,543,73,12489,538,2454,1222,2946,164750,T
227693912,1930,350,138960,538,1604,1528,3787,164855,F
711939169,2072,328,169904,538,380,611,3054,164512,T
330795749,2129,339,48967,538,432,1222,4666,165108,F
876263472,1301,129,40331,538,362,611,2780,164463,T
413386774,1994,323,89730,538,379,1528,4515,165123,F
157068181,905,169,20815,538,526,1528,3077,165251,F
768914880,1086,122,21720,538,338,1528,5368,164443,T
895094531,879,187,31644,538,890,1222,3043,165243,F
191584286,2127,342,85080,538,2945,917,2948,164810,T
039807604,532,105,31920,538,324,305,4198,165335,T
759246194,2146,357,75110,538,450,1222,3933,165310,F
650042396,1961,379,52947,538,4050,305,5844,164456,T
887200972,1995,339,175560,538,1019,1528,3053,164988,F
738672519,1212,116,94536,538,413,611,2622,164394,T
682121363,983,172,49150,538,582,1528,4615,164518,F
983119947,1112,158,24464,538,620,305,3922,165332,T
111140664,1968,353,102336,538,336,1222,4427,165083,F
487898037,945,156,41580,538,8527,611,4494,164626,T
402751411,2080,368,83200,538,2492,1222,5481,164645,F
299635763,1081,131,45402,538,2131,611,4630,164952,T
171960005,1997,355,67898,538,2050,1528,3948,164855,F
205177414,1182,163,113472,538,704,305,4529,164630,T
973718868,1984,310,59520,538,529,1222,4517,165065,F
525300346,1205,108,89170,538,406,305,4602,164802,T
855776234,2071,362,159467,538,338,1222,2412,164715,F
967823486,633,98,27219,538,3767,305,5531,165189,T
039356603,878,152,35120,538,582,1222,4204,164522,F
196043726,2169,319,78084,538,456,611,3060,165080,T
420343860,2041,321,110214,538,1317,1222,2569,164609,F
421618641,1963,310,127595,538,635,1222,4399,164372,F
870607756,513,95,38475,538,635,611,3047,164928,T
874668404,1053,103,29484,538,675,917,2589,164809,T
498878022,2131,331,100157,538,397,1222,4121,164435,F
464103596,2125,366,176375,538,330,611,4865,165226,T
249196653,1009,207,29261,538,346,1222,2630,164675,F
314130597,994,185,25844,538,451,305,4359,165221,T
487218498,2164,374,138496,538,367,1222,4327,165269,F
634525436,1178,113,50654,538,611,611,4421,165272,T
188153322,936,210,54288,538,2571,1222,3836,164400,F
754733976,1272,149,72504,538,434,917,3907,165247,T
927329210,2111,372,78107,538,1117,1222,3418,165221,F
037247786,967,143,19340,538,375,611,5710,164989,T
123384920,1007,165,36252,538,20252,1528,4622,164804,F
553779418,1077,94,36618,538,413,1222,3012,164536,T
374039850,2075,332,155625,538,486,1528,2914,165125,F
889276412,2054,325,191022,538,857,1222,5772,164374,F
655324329,2066,369,159082,538,798,611,4640,164821,T
959061018,571,62,33689,538,1588,1528,3809,164953,T
099478214,2124,314,104076,538,871,1222,4065,165177,F
369089080,1271,145,54653,538,4378,611,5764,164553,T
692400603,982,195,36334,538,1227,1222,4287,164979,F
343683356,2004,352,172344,538,2700,305,2484,165117,T
872495399,892,145,31220,538,403,1222,2989,165320,F
476300814,1328,146,50464,538,733,305,4970,164531,T
684558316,966,206,27048,538,386,1528,2978,164628,F
959768461,1063,158,51024,538,536,1222,5345,164690,T
301315933,931,162,56791,538,344,1528,3160,164920,F
694138122,1263,96,65676,538,326,1222,3358,164391,T
814357147,1973,376,88785,538,393,1222,3109,164843,F
856328307,571,72,49106,538,334,1528,5098,165155,T
613947975,878,165,28096,538,327,1222,5283,164800,F
962863070,1041,161,66624,538,515,1222,5192,164661,T
732387852,1970,362,159570,538,570,1528,3418,164728,F
120427980,1950,340,140400,538,936,1222,5085,164753,F
068879918,535,64,11235,538,387,1528,3655,165288,T
483438229,1017,206,26442,538,1952,917,4623,165296,T
849640358,2009,345,92414,538,511,1222,5429,165316,F
115732732,2034,362,185094,538,413,1222,2872,164812,F
447869781,1122,116,80784,538,1528,1222,3280,164746,T
759264158,1298,94,75284,538,994,611,3346,164883,T
782274044,2166,341,186276,538,1157,1222,4587,165124,F
106175277,557,82,42889,538,420,917,5085,165072,T
080416801,1958,372,135102,538,920,1222,3717,165043,F
135361269,1278,97,123966,538,1285,305,5715,164901,T
307277625,1046,177,37656,538,20252,1528,4455,165044,F
474685997,1335,160,30705,538,446,305,2632,164773,T
475460392,2029,369,73044,538,976,1528,5363,164981,F
673593438,2090,350,108680,538,1125,1222,4477,164455,F
148466807,1106,153,44240,538,572,1528,5753,165070,T
460509987,503,40,21126,538,327,611,2592,164380,T
877143887,988,151,34580,538,572,1222,4099,165002,F
366071191,2101,373,176484,538,405,611,3186,164901,T
963764521,1936,371,48400,538,10126,1528,5697,164787,F
