userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
132448744,595,97,70805,118,2770,2606,2168,61206,F
647544486,652,68,117360,118,923,2085,2567,61311,T
823735429,1134,94,140616,118,9696,1563,4055,60822,T
947071659,1049,144,24127,118,819,521,4497,61417,T
868258540,557,38,100817,118,593,2085,4387,61131,T
968695905,1066,100,203606,118,2237,1563,4497,61134,T
299428466,1150,147,119600,118,1762,1563,4973,60949,T
554752563,628,52,35796,118,5817,2085,2577,61062,T
238965218,346,64,7958,118,2644,521,4067,61098,T
856058172,747,41,164340,118,843,2606,3080,60835,F
595863114,609,105,137634,118,5288,521,3578,61303,T
914978071,591,51,122928,118,1237,2085,5159,61087,T
096339484,1164,153,17460,118,593,2085,4123,61340,F
815766928,508,68,20828,118,1057,521,4863,61376,T
427313318,1262,101,49218,118,1491,1042,5135,61671,T
849356328,311,18,8086,118,923,2085,3606,60868,T
436892706,1042,151,65646,118,2154,521,2720,61074,T
797028632,1014,101,93288,118,632,521,4782,61203,T
893241643,1084,108,83468,118,8310,521,3706,61811,T
040048150,1236,102,113712,118,1292,2085,4870,60834,F
316613893,345,72,28635,118,3422,521,2617,61680,T
898048745,1274,101,90454,118,1212,2085,4169,60931,F
024821512,1205,158,201235,118,736,1563,3939,61144,T
456933022,753,50,54969,118,4475,521,2661,61481,T
613411050,1208,138,219856,118,3878,1042,3380,61320,T
491396096,1029,104,196539,118,625,521,4710,61011,T
638018888,203,17,30450,118,639,1563,4270,61493,T
431203840,349,64,32457,118,923,2606,4186,61282,T
010356484,766,59,71238,118,1454,1042,3715,61663,T
722658803,1298,146,308924,118,1264,2606,4248,61399,F
479488840,1105,119,155805,118,3232,2085,2304,61591,F
078175162,763,72,77826,118,2077,1563,2171,60884,T
579058736,533,50,100737,118,718,1563,4914,61027,T
448021804,1138,131,193460,118,1118,2085,3272,61446,F
463273975,477,84,109710,118,606,521,3016,60830,T
591019638,399,28,37506,118,909,1563,5136,61194,T
691590931,650,48,158600,118,606,1042,4496,61690,T
873216876,575,64,64975,118,618,1042,3689,61545,T
040888051,1067,112,134442,118,625,1042,2551,61358,T
400397473,440,42,29480,118,1118,1563,3288,61611,T
745152372,1249,146,278527,118,796,1563,2945,61162,T
123730642,327,56,4578,118,612,1042,2991,61597,T
760471520,1178,121,236778,118,11635,521,2061,61663,T
955756104,574,80,59122,118,895,1563,2475,61378,T
483352214,216,64,23112,118,2154,2606,2960,61783,T
666438170,744,91,145824,118,2424,1042,2645,61102,T
229012053,1201,103,37231,118,2237,2085,5138,61225,F
331521448,619,73,111420,118,727,1042,3216,61626,T
469653159,546,61,117936,118,808,521,5060,61012,T
174494132,502,106,62750,118,1140,1563,4807,61818,T
638126719,570,78,137940,118,668,2085,3957,61100,T
272996465,706,51,160968,118,3636,521,2356,61391,T
184634840,731,97,163744,118,909,521,4647,61655,T
809982718,1172,122,59772,118,986,521,5151,61347,T
678411877,625,62,134375,118,786,2606,3890,61378,F
046425028,1094,148,56888,118,3422,2085,3801,61544,F
478066201,1025,136,43050,118,2908,2606,4726,61738,F
998861802,537,64,115455,118,618,2606,2558,61458,F
680055851,593,106,141134,118,1662,2085,2353,60842,T
738192473,201,40,19899,118,4848,2085,3942,61710,T
972008131,410,35,50840,118,1662,1563,3943,61732,T
010080449,1072,157,162944,118,727,1563,4181,61721,T
744897681,1176,133,276360,118,1264,2085,3172,61800,F
016368520,1087,122,56524,118,2644,2085,3980,60925,F
405545294,1191,145,15483,118,895,1563,4004,61566,T
896667853,1248,99,64896,118,1057,2085,3338,60945,F
153227366,1103,108,108094,118,646,1042,5014,60890,T
267419828,1164,98,45396,118,819,2606,2371,60883,F
218629608,238,53,4284,118,938,1563,4991,60826,T
537552267,261,65,49590,118,3061,521,2495,61005,T
101350173,1300,124,205400,118,1163,521,4123,61051,T
320145700,1114,115,43446,118,2770,1563,5023,60976,T
528091058,625,103,31250,118,881,1563,4400,61433,T
794465743,1239,112,177177,118,855,521,4979,61593,T
809595336,1021,103,131709,118,2327,1563,3380,60915,T
210653166,744,81,120528,118,745,2085,2052,61336,T
605880489,662,58,60904,118,2770,521,2568,61037,T
612388045,666,92,26640,118,1530,2085,4504,61365,T
144520447,233,19,28892,118,855,1042,4536,61720,T
141651498,705,105,89535,118,1662,2606,4511,61487,F
576697174,1101,98,251028,118,661,2085,2639,60823,F
479697150,1018,138,13234,118,2424,521,2770,61655,T
678994589,225,41,30375,118,3061,521,3144,61753,T
620825916,741,73,18525,118,1616,1042,4238,61130,T
660272361,528,77,120912,118,3636,2085,2075,61777,T
522434841,340,38,28220,118,632,521,2267,61206,T
892619199,1240,126,125240,118,796,2606,2298,61547,F
139481957,1121,130,179360,118,700,2606,3592,61774,F
049555416,1189,158,42804,118,727,2606,2631,61741,F
314011594,1301,157,212063,118,808,2085,4594,60888,F
964607880,766,53,159328,118,831,521,2624,60873,T
134825931,1145,150,113355,118,938,1042,2486,61649,T
532713351,1251,125,70056,118,765,2606,3957,61718,F
261435531,567,52,54999,118,718,1563,2641,61245,T
017041503,722,77,64980,118,593,521,4160,61344,T
851119832,489,29,11247,118,639,2085,3247,61415,T
480500097,246,67,42066,118,1711,521,2248,61402,T
428848442,1224,146,266832,118,1322,521,4595,61665,T
613796150,492,78,10332,118,1616,1042,5147,61426,T
858401969,257,42,47802,118,718,2606,2812,61667,T
338360954,663,89,145197,118,819,521,4468,61233,T
331225193,216,86,52488,118,599,2606,2385,61476,T
700844441,695,82,109115,118,1077,2085,3339,61728,T
698896184,332,50,51128,118,1038,1042,3337,61611,T
145468332,329,25,5922,118,661,2085,2069,61264,T
516790977,1255,118,60240,118,684,2085,4053,61356,F
580569298,654,42,103986,118,1876,1563,2406,61640,T
151297069,404,47,4444,118,953,2606,4021,60876,T
094478118,1079,94,79846,118,843,1563,3563,61206,T
333797976,503,59,28671,118,1140,2606,4734,60819,F
927648512,724,46,130320,118,2237,1563,3981,61099,T
218185164,1012,136,24288,118,612,2085,5147,60981,F
494817095,283,54,23772,118,819,1042,2798,60988,T
328747086,496,91,122016,118,895,1042,3920,61666,T
827980421,683,37,113378,118,1057,1563,4062,61536,T
572097951,711,41,45504,118,1097,521,4477,60876,T
417816583,1258,115,108188,118,2006,1042,2184,61661,T
933182731,609,100,84651,118,11635,521,4095,61616,T
775502168,530,48,100700,118,868,1042,3515,61769,T
913482640,1040,135,203840,118,1212,1042,4067,61452,T
874650906,1057,98,120498,118,765,2606,2783,61198,F
906545411,1272,132,30528,118,606,1042,3024,61132,T
220024554,1294,120,156574,118,923,1563,4039,61352,T
803964834,1268,128,103976,118,5817,1042,4509,61429,T
375212760,263,76,6838,118,4848,2606,4275,61335,T
212637628,1084,148,29268,118,1454,2085,2458,60877,F
216098970,1065,93,183180,118,3061,521,3193,61417,T
954337127,1257,97,197349,118,3422,521,3068,61069,T
758212508,325,67,5525,118,1003,1563,5163,61175,T
544503057,1200,142,141600,118,1237,1563,3940,61196,T
733394784,726,88,177144,118,668,2085,2345,60848,T
821968250,1206,115,45828,118,581,2606,3748,61278,F
