userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
965547919,1062,140,31860,118,170,1563,4379,61000,T
914537157,1288,127,83720,118,581,2606,5120,60871,F
913190100,199,41,16915,118,458,1042,4430,61325,T
305698410,1020,137,51000,118,171,2085,2859,61341,F
908658668,271,83,23577,118,141,521,4620,60861,T
903187748,1016,161,29464,118,334,2085,3229,61030,F
815797488,1273,123,112024,118,237,2085,2642,60978,F
682721793,601,91,55292,118,434,1563,3879,60930,T
633318651,254,78,11938,118,153,2085,3585,60923,T
625434964,1077,143,67851,118,181,2085,2896,61730,F
367643443,1210,132,121000,118,122,521,4009,61739,T
376860269,681,40,46989,118,136,2606,2774,61400,F
104756416,1306,161,118846,118,244,521,3112,61736,T
393341382,1055,146,61190,118,1454,2606,4409,61067,F
376602201,559,78,39689,118,505,1042,4001,60891,T
708978840,769,44,73055,118,136,2606,2747,61400,F
428465034,597,67,31641,118,262,521,2681,60966,T
683904946,1137,116,92097,118,225,2606,2464,60850,F
800367167,538,59,43040,118,354,2606,2228,61007,F
823877802,1023,157,37851,118,184,521,3622,61353,T
227881248,723,56,52056,118,4848,2606,2655,61693,F
746517345,613,39,36167,118,587,2085,3089,61360,T
044293196,700,107,33600,118,684,521,2635,61345,T
800715105,1022,142,52122,118,247,2085,5072,60979,F
175280658,305,48,24705,118,235,2606,4043,61371,T
081735123,1211,155,82348,118,140,2606,2794,60899,F
350312148,1029,112,34986,118,843,1042,2903,61734,T
873424335,1180,102,41300,118,155,2085,3153,61288,F
466688123,695,42,61160,118,245,1563,3834,60896,T
926826974,721,83,31724,118,1616,2606,5010,60882,F
330327872,1302,138,126294,118,177,521,4704,61768,T
857645822,1144,103,59488,118,138,2085,3406,61424,F
525772077,622,63,33588,118,775,2085,2119,61707,T
503882493,537,38,22017,118,140,2606,3613,61718,F
366423329,1285,124,29555,118,2237,2606,3630,61450,F
556687399,1012,121,37444,118,125,1042,4545,61196,T
835490952,482,96,37114,118,128,1042,2265,60918,T
782006159,1269,109,102789,118,2006,2085,3334,60946,F
904937150,1297,130,64850,118,593,1563,3434,61145,T
220155615,640,70,22400,118,233,2606,3048,61248,F
833993910,480,63,36480,118,311,1042,4163,61206,T
721873868,1149,118,108006,118,437,2085,2144,61325,F
398942208,1299,117,127302,118,390,521,4539,61592,T
015185332,603,73,58491,118,159,2606,4963,61289,F
883956731,542,79,52032,118,193,2085,2353,61139,T
189036854,1194,146,76416,118,151,2085,4115,61010,F
983095294,257,79,16191,118,424,1563,2617,61458,T
075097790,556,97,15568,118,218,2606,3196,61364,F
816198380,316,65,15484,118,156,2606,3099,61685,T
270327408,525,57,17325,118,141,2606,2320,61136,F
056260003,1244,124,46028,118,242,2085,2090,61805,F
475560549,620,77,22940,118,126,521,2307,61243,T
700856850,1094,156,98460,118,2237,2606,3143,60960,F
630521217,635,92,59055,118,404,521,2716,61652,T
342468602,1018,97,25450,118,125,521,3609,60968,T
191602829,1074,157,85920,118,162,2085,4887,61088,F
628331667,1101,137,62757,118,232,1563,5145,61259,T
205139032,1260,150,91980,118,154,2085,2507,60834,F
221059980,683,103,50542,118,255,2606,5070,61560,F
853618782,1023,99,85932,118,128,521,3149,61791,T
631011409,219,45,16206,118,311,521,2681,61205,T
569405947,757,90,65859,118,476,2606,2250,61098,F
835467889,364,55,34216,118,312,1042,3743,61308,T
174531244,1257,118,37710,118,1322,2085,3334,61812,F
402987295,1029,124,31899,118,224,1042,4225,61591,T
587688002,1119,139,35808,118,155,2606,3020,61493,F
095153953,1015,134,74095,118,195,2085,3171,61633,F
155979870,550,70,15400,118,461,521,3031,61198,T
184856126,320,35,8640,118,172,521,4585,61655,T
906727567,1160,159,32480,118,123,2085,2056,61631,F
634499483,617,106,61700,118,221,2085,2425,61674,T
215299530,1071,140,85680,118,205,2085,2086,61282,F
554397385,401,23,26065,118,661,2606,2616,60997,T
788699961,571,107,21698,118,124,2606,4355,61379,F
139437769,690,66,33120,118,223,2606,4679,61166,F
999649301,532,71,47348,118,202,1042,2763,61701,T
036501168,204,38,11832,118,986,2085,4819,61036,T
952138673,771,107,77100,118,134,2606,4004,61682,F
064146431,279,85,13671,118,133,2085,4902,61421,T
790937450,1079,97,33449,118,207,2606,3309,61038,F
904146267,710,85,49700,118,135,2085,2530,61700,T
683086212,1239,107,30975,118,182,2085,4635,60884,F
359932701,1016,120,68072,118,232,1042,4688,61010,T
161708939,651,37,18879,118,129,2606,2132,61360,F
349266066,1165,119,38445,118,160,2606,4609,60976,F
132793090,602,44,16254,118,132,521,2458,60886,T
923611198,621,85,27945,118,121,2085,2756,61468,T
642965428,1171,149,117100,118,164,2085,3208,61511,F
687167692,1195,141,105160,118,232,521,2671,61123,T
133966558,1249,150,79936,118,718,2085,3661,61017,F
707114556,465,18,13485,118,124,521,3338,61142,T
114617844,550,103,38500,118,501,2606,3240,60884,F
016151385,1102,118,91466,118,117,2606,2588,61163,F
602659087,309,65,18849,118,382,2085,3143,61634,T
469767354,1235,131,35815,118,843,1563,4796,61815,T
006199699,1022,119,20440,118,222,2606,4168,61593,F
901273739,249,40,20169,118,1762,1042,3583,61416,T
452409887,684,42,45828,118,191,2606,4627,61773,F
795291563,1093,95,38255,118,796,2085,2228,60880,F
072925812,722,73,26714,118,325,1042,4299,61683,T
