userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
868942623,1004,160,203812,71,1520,923,2598,33418,T
128036312,978,140,83130,71,354,1846,2785,32914,T
764468388,1078,210,10780,71,580,2308,3750,32932,T
345990131,992,221,123008,71,506,923,3383,32874,T
335172593,556,74,76728,71,443,1846,4228,32992,F
874713218,576,80,95040,71,389,923,3252,33410,T
875303668,691,103,12438,71,560,1385,3317,32622,T
517306496,521,124,103679,71,339,2308,1840,33041,F
386502264,998,134,235528,71,1064,461,4653,32826,T
968020977,620,98,109740,71,491,461,2953,33403,T
353464679,459,105,46818,71,389,461,2195,32946,T
588689301,538,108,100606,71,694,1846,2327,33364,F
463493893,462,87,61446,71,449,923,4116,33397,T
775189188,1187,160,135318,71,651,923,3986,32554,T
221018345,1030,185,161710,71,491,461,4003,32724,T
553768876,530,118,106530,71,1451,1385,4556,32785,T
702765865,965,212,55970,71,404,1846,4256,32725,T
114506136,699,108,134208,71,329,1846,1920,33499,F
271080811,627,62,134805,71,491,461,1986,33111,T
632362190,1035,188,74520,71,325,923,2430,32726,T
216772363,1203,213,60150,71,443,1385,2082,33005,T
509398661,1220,165,162260,71,380,2308,2141,32930,F
744771552,1258,183,26418,71,967,923,2592,33222,T
393865378,1290,153,42570,71,404,461,4502,33356,T
731241319,482,86,10604,71,1064,2308,4546,33420,F
812395898,623,59,85351,71,347,1846,4688,32863,F
114747085,623,122,155127,71,343,923,1873,33101,T
678365624,456,77,52896,71,332,2308,3326,32566,F
106463542,1122,185,224400,71,2902,1385,4249,32801,T
626197571,1060,186,201400,71,840,1385,2047,33306,T
783578843,977,212,193446,71,449,1846,2760,33406,T
388579905,470,95,64390,71,5321,1846,3383,32981,F
087476826,537,102,69810,71,1277,923,2486,32564,T
784379151,1294,145,216098,71,483,1385,2554,32964,T
157706416,1090,213,203830,71,322,1846,3168,32729,T
750594626,535,58,19795,71,319,461,2793,33524,T
181210034,1140,156,30780,71,339,1385,3400,32705,T
540756172,577,94,96936,71,431,1846,3184,32945,F
320969045,436,107,47088,71,778,1385,1903,32599,T
