userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
684844410,1114,180,49016,71,70,923,2136,33137,T
627907028,635,108,13970,71,123,2308,2762,33121,F
059022812,702,103,49842,71,215,1846,4623,32609,F
936418556,431,102,41376,71,523,923,3469,32732,T
281805577,450,121,20700,71,74,1385,3402,33515,T
547210618,686,109,26068,71,78,2308,2686,33382,F
740751574,1031,182,44333,71,64,923,3150,32993,T
131934941,720,68,34560,71,156,2308,2050,32979,F
456783210,585,94,28080,71,178,923,2614,32639,T
359100733,546,121,43134,71,63,2308,4055,32867,F
674433434,676,110,56784,71,155,461,3312,33292,T
658187667,525,63,44100,71,65,2308,3657,32858,F
217207476,1268,147,67204,71,243,923,2896,33214,T
251345021,420,101,9660,71,137,2308,4384,32583,F
123926322,1080,164,97200,71,99,1846,4565,32608,T
058552153,580,117,23200,71,154,1846,4560,32965,F
650794386,478,92,40152,71,110,2308,3954,32863,F
420377276,1104,187,88320,71,96,923,3366,33275,T
429376733,635,69,62230,71,240,1385,3877,32782,T
875374749,1134,146,26082,71,694,2308,2818,33246,F
956900375,685,110,25345,71,142,1385,3291,33341,T
512710033,621,55,15525,71,179,1846,3823,33400,F
228904464,651,115,46872,71,73,923,2516,32526,T
775641705,705,70,32430,71,72,2308,2931,33204,F
307595948,543,115,19548,71,68,1846,2757,33066,F
866825100,631,88,28395,71,82,923,3827,32720,T
362436602,994,158,51688,71,104,461,1903,33100,T
466785221,669,78,42816,71,367,2308,2944,33294,F
809613694,558,69,54684,71,194,923,3156,32800,T
099745980,1256,164,66568,71,73,2308,2564,32921,F
953352874,699,120,36348,71,234,461,3848,33498,T
006539382,507,94,31941,71,197,1846,3706,32853,F
784464334,1215,203,47385,71,154,2308,2727,33095,T
376440928,547,79,18598,71,204,2308,2169,32862,F
575436317,611,123,57434,71,67,2308,2987,33130,F
330578606,479,75,38320,71,290,461,3317,33392,T
925137690,463,66,38892,71,71,1385,2055,32619,T
040255626,448,103,26880,71,68,1846,2818,32759,F
067827533,680,69,59840,71,75,461,3463,33522,T
534557151,559,86,48633,71,168,2308,3804,32580,F
766313947,644,68,43148,71,73,461,2457,32939,T
358087231,608,108,41344,71,74,1846,2042,33314,F
779346961,459,65,28458,71,75,1385,1974,32726,T
087866794,580,93,14500,71,70,2308,3674,32727,F
007564226,567,111,41958,71,287,923,3153,33326,T
085577997,572,99,39468,71,862,2308,3638,33077,F
953578505,933,178,78372,71,70,461,2028,33207,T
205114728,465,69,37665,71,73,1846,2523,33058,F
412569592,533,103,15990,71,77,461,4107,32819,T
677922599,550,86,19250,71,121,2308,2593,33339,F
076013504,566,66,45846,71,70,461,3155,32753,T
912232970,489,107,28362,71,226,1846,4644,33076,F
823463181,1023,159,56265,71,231,461,3613,32703,T
493045540,1236,205,28428,71,158,1846,2953,32747,F
455774141,1350,162,85050,71,150,1846,4021,33389,F
071978094,1070,185,85600,71,97,2308,2105,33180,T
365918951,551,57,26999,71,73,2308,3108,32732,F
579633187,555,98,23865,71,292,461,4180,32761,T
461834789,1140,137,104880,71,112,1846,4602,33235,T
620337215,616,55,23408,71,367,1846,1799,32526,F
755114131,982,192,76596,71,2660,1846,3714,33041,T
658069163,420,65,28560,71,157,1846,4514,33318,F
632440485,938,156,42210,71,97,461,4436,32581,T
189535130,568,54,38624,71,82,1846,2412,33001,F
681113125,1166,196,31482,71,101,923,2605,33383,T
748414355,1129,151,24838,71,71,1846,4609,33333,F
153372308,1087,210,25001,71,443,923,4231,33389,T
735726995,624,70,50544,71,128,1846,3459,32659,F
252234125,497,113,19880,71,71,923,4156,33057,T
105380400,501,74,40080,71,86,2308,3581,33153,F
872410909,701,116,34349,71,78,2308,2147,33299,F
499053643,969,213,34884,71,167,461,3130,32810,T
924696979,532,109,46284,71,560,1385,2524,32755,T
235761266,454,76,24062,71,97,1846,3469,32958,F
296399215,1194,180,99102,71,313,461,2965,32777,T
423511438,587,120,38155,71,83,1846,2380,32691,F
693093938,608,73,33440,71,78,1846,4464,33523,F
883456723,1299,153,49362,71,103,923,2316,32874,T
949275459,1063,163,105237,71,162,1846,4173,32980,T
321099119,1272,156,33072,71,140,1846,2588,33189,F
023461950,460,100,41860,71,78,461,3896,33121,T
229901150,1139,146,46699,71,107,1846,3516,32567,F
801306052,966,166,77280,71,134,1846,4538,32879,T
500951470,549,97,50508,71,523,2308,3954,32634,F
991812771,1153,184,54191,71,73,923,3759,33400,T
159001975,1338,162,53520,71,602,2308,3149,33084,F
874966465,1158,145,88008,71,88,461,3228,33117,T
488823551,646,75,41990,71,103,2308,3840,32763,F
154593681,600,71,34200,71,180,923,2255,33111,T
953595382,711,65,33417,71,1101,1846,2917,32542,F
577103773,679,74,54999,71,64,1385,2012,32871,T
753107540,445,71,32485,71,87,1846,2344,33123,F
139308019,1113,212,107961,71,228,923,1872,32637,T
851249424,703,90,63270,71,211,1846,1941,33141,F
101927651,928,128,71456,71,95,1385,2313,32732,T
257698205,623,93,45479,71,170,2308,2810,33078,F
882783998,926,135,66672,71,238,923,3128,33224,T
136873356,1137,186,25014,71,150,1846,3701,33109,F
274360190,1015,165,81200,71,77,1846,4105,32761,T
838298374,481,118,20683,71,1330,1846,1893,32551,F
