userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
439240064,2113,187,217639,207,6339,691,2204,71214,T
411814947,1840,285,218960,207,1549,691,1035,71876,T
756380517,615,46,38745,207,11622,1382,1452,71266,T
962331501,516,87,14448,207,1549,1037,651,71039,T
229498502,1960,184,162680,207,929,1382,2353,71618,T
805570841,1635,389,27795,207,1341,1037,1829,71073,T
226400178,660,66,11220,38,136,970,3025,12296,F
626099124,402,63,87234,207,4980,691,1509,71322,T
427431161,144,25,6048,207,3670,1037,1206,71761,T
969671722,2031,193,428541,207,1040,1037,1505,71693,T
108120184,96,79,4896,207,1072,345,1398,71122,T
421002598,1790,353,413490,207,882,345,1635,71075,T
260131479,669,91,75597,207,8716,1728,1924,71437,F
385140538,1974,243,157920,207,1992,345,1611,71845,T
290636657,692,82,16608,207,1162,691,1140,71589,T
388255756,2178,223,80586,207,1245,691,723,71131,T
964007928,1824,333,72960,207,11622,345,2068,71290,T
669204002,177,32,3717,207,1072,691,1738,71348,T
547541668,2122,180,502914,207,810,345,1322,71606,T
208589972,1720,381,209840,207,1743,1037,2348,71695,T
013297557,2154,193,516960,207,1124,345,1375,72005,T
578526402,630,109,92610,207,1223,1037,2192,71649,T
398349416,661,59,39660,207,1056,345,1191,71665,T
603161324,509,113,112998,207,3670,691,2117,71503,T
761658052,503,91,101606,207,11622,1382,2079,71545,T
707700720,1988,236,302176,207,2682,1728,793,71871,T
463791841,527,111,80104,207,757,345,1214,71154,T
791752084,473,95,25069,207,783,691,1863,71996,T
366178987,386,60,74112,207,2404,1037,1457,71374,T
084694051,2186,215,500594,207,1315,1382,1761,71298,T
970320058,132,23,26004,207,4101,691,907,71527,T
345966440,424,92,54696,207,1089,1728,1244,71342,F
326815327,2054,237,379990,207,1341,1728,1783,71173,T
025496010,1799,333,28784,207,3874,1728,1392,71457,T
525758593,557,59,82436,207,3670,1382,1386,71520,T
004105654,1759,350,235706,207,7748,1382,1783,71970,T
217501198,381,89,90297,207,996,1382,1321,71536,T
301306603,1863,253,266409,207,3169,691,1417,71205,T
731329548,2165,187,307430,207,757,1728,1082,71077,T
271923265,131,41,31440,207,1621,345,1448,72013,T
601807077,488,81,81496,257,8149,350,1045,90202,T
228292648,178,13,24030,207,1549,691,1414,71922,T
533071050,506,85,30360,207,1124,345,1010,71996,T
241786967,1699,330,404362,207,840,345,1586,71924,T
960485939,1750,371,264250,207,783,1382,1213,71326,T
747047275,2026,205,70910,207,697,345,2194,71266,T
715552041,1676,372,367044,207,1315,345,1004,72009,T
409514820,517,114,99264,207,894,1037,1653,71477,T
411324222,705,81,164970,207,3031,691,1152,71693,T
531896629,177,29,4425,12,80,420,1257,5044,T
178902612,2181,219,359865,207,741,1037,1115,71324,T
877849345,649,101,105787,207,1181,1728,1620,71061,F
778216724,1875,268,414375,207,917,345,706,71693,T
585422513,450,67,38250,207,1267,1382,1967,71757,T
256356767,2000,241,234000,207,792,345,1570,71147,T
905127562,1735,278,270660,207,1181,1037,1861,71608,T
303125310,1963,222,245375,207,2582,1037,1684,71905,T
108779824,2014,243,189316,207,1367,345,1635,71538,T
785427903,1926,214,48150,207,783,1037,2144,71738,T
236437010,2089,201,505538,207,1835,1728,2100,71927,T
845546873,1961,199,386317,207,2179,691,1592,71716,T
232570804,235,22,24910,207,1010,1037,1629,71416,T
459628955,2059,218,236785,207,718,1037,1160,71310,T
053920758,543,112,101541,207,917,1728,1422,71671,F
565369572,1916,268,365956,207,1291,1037,1835,71568,T
990288391,605,95,115555,207,1025,345,1439,71886,T
974736096,454,47,15436,207,1937,691,1529,71787,T
748288159,156,16,39000,207,757,1037,1222,71698,T
282391470,126,30,31500,207,711,345,1446,71316,T
230915515,2047,184,427823,207,830,1037,1361,71481,T
053460143,205,40,10865,207,894,691,1501,71323,T
