userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
888074964,366,14,7320,207,183,345,730,71880,T
735406530,85,26,5610,207,156,1728,1259,71219,F
918460319,128,9,2944,207,141,1382,1640,71943,T
666662219,171,62,12654,207,792,1728,1236,71832,F
326660029,450,60,18000,207,258,691,2308,71026,T
793276339,150,57,11550,207,143,1728,1279,71596,F
387144302,97,53,6499,207,683,345,1613,71639,T
823101588,155,33,13640,207,1040,1728,1377,71062,F
965805329,2109,196,82251,207,147,1382,1352,71604,T
080765745,124,67,6200,207,447,1728,1426,71932,F
782384151,2071,249,184319,207,801,1037,1871,71568,T
727226457,379,89,37142,207,308,1728,1542,71932,F
071906541,648,59,23328,207,206,345,1958,71490,T
473799996,445,77,30260,207,165,1728,1656,71920,F
784313741,406,103,32886,207,341,1728,1796,71176,F
111998727,2148,230,150360,207,238,1382,1341,71768,T
701313392,91,63,1820,207,606,1382,1672,71109,T
092113983,386,62,10036,207,871,1728,2085,71982,F
215744264,433,48,19485,207,146,345,1686,71833,T
919562348,658,67,38822,207,372,1728,1923,71874,F
716688172,1662,392,118002,207,148,691,1645,71425,T
589692387,438,88,11826,207,340,1728,1631,71166,F
391274890,1876,349,84420,207,330,1728,1289,71952,T
696729174,211,39,13082,207,355,1728,1504,71427,F
359626323,1801,357,61234,207,172,691,1022,71917,T
832068107,197,62,5910,207,183,1728,1465,71694,F
877540396,559,80,34658,207,263,345,1240,71570,T
804741107,191,71,6494,207,290,1728,1529,71494,F
726504729,2144,233,165088,207,370,691,1792,71843,T
514325464,561,83,20757,207,417,1728,1831,71729,F
147793517,2193,210,192984,207,151,1037,1254,71512,T
313448369,424,109,12296,207,498,1728,1020,71393,F
877077122,1617,363,42042,207,3874,1728,1554,71128,T
193488754,404,94,12928,207,1515,1728,2071,71690,F
766043346,2119,207,63570,207,726,1728,1404,71371,T
997670536,625,52,32500,207,206,1728,822,71131,F
700631436,1633,383,148603,207,230,1728,1646,71343,T
572875021,565,62,36725,207,230,1728,1893,71881,F
697545872,1614,389,98454,207,156,345,1152,71883,T
248905765,296,17,18352,207,160,1728,1863,71986,F
285117161,1787,359,46462,207,801,345,985,72000,T
824581326,501,85,32064,207,193,1728,925,71597,F
622789593,639,98,57510,207,333,1728,1264,71978,F
647941726,1766,382,93598,207,183,691,1352,71181,T
021824201,640,50,51840,207,269,1728,2337,71890,F
261167413,321,24,14445,207,273,691,2228,71034,T
611975209,1743,384,113295,207,211,345,1856,71597,T
474920324,577,84,30004,207,154,1728,1837,71772,F
003571472,2089,213,73115,207,576,691,1225,71205,T
798067202,452,103,13560,207,1072,1728,999,71484,F
494183996,450,65,39150,207,256,345,1770,71526,T
868049048,225,26,10575,207,184,1728,1414,71403,F
289750238,94,14,4606,207,173,345,1618,71051,T
759520074,389,77,21784,207,234,1728,2235,71427,F
980717657,148,26,3552,207,553,1382,1232,71968,T
022662054,615,81,26445,207,178,1728,1652,71948,F
894732055,1976,239,45448,207,3874,691,1099,71155,T
174846154,483,71,15939,207,170,1728,1693,71360,F
586635972,2053,232,123180,207,163,1728,1352,71881,T
079946524,262,9,19912,207,159,1728,1183,71327,F
667711773,1936,208,102608,207,170,1728,1075,71843,T
610714783,582,51,56454,207,140,1728,655,71300,F
151198768,592,62,28416,207,1072,345,1355,71616,T
140076662,574,88,19516,207,284,1728,859,71427,F
291270166,159,66,4929,207,146,1382,2151,71198,T
909735558,422,66,13926,207,221,1728,1603,71953,F
366974535,555,82,46065,207,1367,345,1788,71448,T
314710599,447,111,34866,207,617,1728,1491,71651,F
224997345,431,93,18102,207,9961,345,1366,71913,T
453292662,278,11,22518,207,734,1728,1843,71932,F
930267280,1916,200,160944,207,145,345,1268,71192,T
952399227,79,31,5056,207,657,1728,1406,71861,F
702850270,1629,326,89595,207,372,1728,1378,72012,T
351788784,505,49,41915,207,430,1728,1779,71541,F
164463440,1783,345,67754,207,498,1728,1468,71172,T
903262529,137,18,13289,207,417,1728,2101,71071,F
328685799,1810,373,108600,207,156,1382,1339,71503,T
127447684,163,26,6520,207,272,1728,1596,71148,F
111859222,502,95,14558,207,305,1382,746,71643,T
188694149,593,58,20162,207,177,1728,2178,71793,F
605273355,199,50,14328,207,324,1728,1608,71525,F
448298914,2185,183,183540,207,146,691,2312,71479,T
020766923,1785,369,87465,207,2249,345,1400,71416,T
180194575,383,107,38300,207,1267,1728,1018,71171,F
489255526,1618,344,108406,207,195,691,1229,71198,T
730256033,216,36,19872,207,285,1728,1403,71990,F
793112969,1904,192,39984,207,142,345,1905,71565,T
285295640,83,48,4648,207,340,1728,2071,71181,F
175495241,2097,231,155178,207,149,1037,1024,71949,T
471996462,573,73,28650,207,168,1728,1684,71204,F
989506047,168,44,10080,207,236,1382,1490,71155,T
728576533,145,63,7105,207,1884,1728,1350,71580,F
366142877,1770,365,115050,207,247,345,1510,71898,T
683232428,505,76,24745,207,929,1728,998,71027,F
152280431,229,12,21297,207,218,1382,2371,71745,T
507447346,495,54,43065,207,611,1728,1614,71577,F
905429921,1899,342,134829,207,193,1728,1426,71556,T
337436192,430,107,38270,207,645,1728,1132,71932,F
853909166,1621,324,81050,207,227,1037,2203,71743,T
799779398,506,83,27830,207,5364,1728,1099,71415,F
