userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
811137382,1232,136,174944,873,3484,373,6082,326194,T
269866351,822,130,16440,873,4645,1495,3505,326020,T
390941344,1220,153,203740,873,5008,747,3489,326614,T
552162752,234,47,45162,873,5432,1495,6563,326000,T
119999204,1394,314,93398,873,5087,1869,6087,326200,T
199701729,232,9,24128,873,13355,1869,3735,326706,F
131421960,1238,159,48282,873,7123,1495,4665,326435,T
278539642,748,100,36652,873,40067,1495,6448,326146,T
490864697,1222,177,119756,873,64108,1495,6669,326290,T
983415219,235,16,50760,873,5723,1121,3732,326800,T
592133815,189,42,20979,873,7818,1869,5203,326614,F
521658476,1455,286,270630,873,24656,373,6693,326479,T
915413557,286,8,12870,873,6285,1121,3865,326427,T
477201375,972,106,63180,873,3338,747,3843,326307,T
133016280,1320,284,196680,873,3957,1495,4915,326688,T
103181323,677,106,153679,873,10016,373,5084,326924,T
334380979,829,73,102796,873,3727,373,2956,326667,T
577585767,1413,176,89019,873,5623,747,3969,326636,T
134505576,535,104,105930,873,3374,747,3250,326846,T
692371676,822,135,83844,873,9427,747,4620,326615,T
614421425,1310,267,285580,873,4162,747,4535,326160,T
313902363,1378,256,42718,873,11871,1495,3187,325934,T
077061347,726,132,36300,873,18855,373,6729,326444,T
048642624,1297,137,51880,873,4057,373,6898,326127,T
367259707,1269,295,50760,873,3642,1869,5941,326170,T
077617517,293,39,59186,873,4162,747,3379,325963,T
864570038,555,72,117660,873,3727,373,4913,326924,T
293843797,591,82,93969,873,18855,1869,3124,326726,F
075923047,586,140,10548,873,4006,1869,5475,326188,F
041852136,436,16,49268,873,4217,747,3228,326246,T
125185364,644,78,72772,873,5008,1495,3677,326778,F
546223163,826,129,54516,873,4784,1495,3366,326838,T
147594653,1551,265,358281,873,3727,1869,6358,326634,T
710499448,1205,145,51815,873,4331,747,6189,326378,T
918332791,1310,171,34060,873,8663,1495,4945,326497,T
523771556,1318,263,297868,873,4856,373,3292,326008,T
300154902,274,62,30688,873,45791,1121,5440,326514,T
413950002,897,100,28704,873,3815,1495,6257,326510,T
814444058,360,19,81720,873,4579,1495,3063,326735,T
960795957,1276,277,22968,873,7454,1121,5077,326819,T
219532047,637,109,7007,873,5432,1121,6084,325976,T
336751590,849,90,140085,873,5254,1495,6436,326349,T
714467186,1524,309,355092,873,6285,1121,3535,326451,T
152427790,268,23,54940,873,9158,1121,2973,326107,T
557892561,1187,163,60537,873,3237,1121,4649,326065,T
051635910,1332,293,210456,873,9713,373,3017,326778,T
907359792,1300,155,89700,873,7818,747,3783,325926,T
845198974,1400,315,263200,873,8218,1869,6705,326332,T
526584463,1325,258,296800,873,6968,747,3422,326885,T
237108842,689,118,104728,873,15263,1495,6310,326450,T
165849970,753,150,87348,873,3957,1869,3510,326818,T
339877422,1319,148,109477,873,8218,1121,6566,326229,T
535115950,369,53,55350,873,13936,373,5286,326170,T
960505890,535,130,83460,873,5087,373,3023,326401,T
511948562,1525,317,215025,873,5008,373,4950,326058,T
964364345,757,136,122634,873,3410,747,6261,326304,T
012283453,1361,310,97992,873,7123,1495,5131,326390,T
576648747,312,59,30264,873,3771,1495,3488,326250,T
127025409,1561,255,346542,873,10016,1869,3104,325961,T
474193979,635,79,52705,873,5828,1121,5352,326372,T
546597610,763,75,51884,873,5170,1495,4835,326805,F
456713561,295,61,65195,873,4856,1495,5140,326283,T
950152848,804,119,110148,873,5828,1869,5277,326145,T
227972049,1504,316,87232,873,5342,1869,6456,326904,T
899949476,1550,295,243350,873,5526,373,3811,326895,T
715870240,1451,262,208944,873,6410,1495,6201,326678,T
901470538,741,139,23712,873,3374,747,6405,326905,T
603199073,1334,280,258796,873,8903,1495,5138,326031,T
953665315,1411,307,239870,873,9158,1121,6691,326251,T
218099821,774,106,175698,873,7123,1869,4481,326060,T
864225706,242,46,24200,873,40067,1869,6310,325979,F
716362414,1517,308,42476,873,4162,1495,6437,325945,T
619174823,778,140,63018,873,3374,747,4948,326092,T
511357389,1426,132,114080,873,8435,747,5237,326798,T
634856614,393,11,72312,873,7818,1121,4879,326543,T
718448091,1206,132,90450,873,4579,1121,3403,326498,T
373294615,722,123,158840,873,8663,1495,4965,326405,T
032820393,1370,317,206870,873,3374,1121,5474,326825,T
397389691,671,140,23485,873,6285,1495,4599,326404,F
429060895,1408,284,136576,873,3374,747,6621,326449,T
823103858,537,130,98808,873,4057,1495,4518,326464,F
694132299,1517,259,154734,873,5623,373,3230,325944,T
522596926,426,120,19596,873,6677,1869,4762,326754,T
002743593,1509,306,137319,873,4784,1869,6842,325935,T
776589405,1451,134,37726,873,4273,373,4582,326311,T
029170519,814,72,80586,873,4856,373,5230,325953,T
073128245,1283,178,132149,873,3205,1869,5232,326482,T
360046702,1347,259,304422,873,53423,373,3467,326076,T
473075118,826,134,46256,873,5623,1121,3415,326890,T
773778612,1369,305,60236,873,4451,1495,6858,326321,T
958107330,746,108,47744,873,10684,373,3402,326067,T
210437707,1281,182,147315,873,3237,1495,6915,326751,T
992458314,1488,300,165168,873,45791,1121,5364,326214,T
119934474,586,109,103136,873,9158,1869,3645,326519,F
238323110,486,43,25758,873,12821,1495,6843,326022,T
519217171,804,95,127032,873,4273,1495,5092,326202,T
981444666,226,10,52658,873,9713,373,3913,326186,T
379874609,688,122,127280,873,3684,1869,3744,326490,T
927018969,469,17,32830,873,45791,747,3937,326787,T
358435839,1365,268,214305,873,13936,747,6071,326152,T
999595140,258,59,19092,873,3484,1495,4909,326722,T
579908668,847,96,47432,873,3642,1495,3640,326510,T
666781254,336,57,33264,873,4713,1121,6833,326319,T
727242773,358,39,23986,873,13355,747,4742,326486,T
022151601,671,108,163053,873,3771,1869,6313,326153,T
256546432,1340,286,281400,873,5432,1495,6557,326573,T
130418595,1316,299,284256,873,17807,373,5968,326104,T
937175104,350,56,31150,873,20033,1869,4999,326724,F
145955174,1531,293,261801,873,29140,747,6006,326678,T
840259204,564,111,104340,873,4645,1869,3042,326602,F
760616907,929,106,100332,873,7631,1121,3293,326283,T
407283996,1362,261,46308,873,13936,1495,4718,326912,T
635265782,225,37,45450,873,5432,1869,6670,325978,F
031697183,1281,143,189588,873,8013,747,6152,326235,T
831485510,197,28,44522,873,4109,1495,3004,326364,T
758667088,1166,184,66462,873,11053,1869,5405,326697,T
455023849,224,36,27552,873,6164,1121,6049,326258,T
742627722,437,25,72542,873,8435,1121,3836,326489,T
636048374,1431,152,100170,873,4390,1121,5268,326818,T
844208506,1458,291,358668,873,10340,1495,4735,326901,T
740217230,1458,297,68526,873,3410,1869,3298,326642,T
078543162,582,109,103596,873,5170,747,4465,326429,T
283494806,734,102,98356,873,6047,747,3408,326899,T
015711361,1477,262,56126,873,32054,747,5126,326678,T
555895306,354,36,55578,873,6820,1869,6219,326634,F
475018226,1398,155,157974,873,3205,1495,3125,326117,T
680012067,775,99,131750,873,26711,1495,5241,326771,T
273463555,369,53,62361,873,5170,747,6606,326723,T
514154674,1289,304,297759,873,16870,373,5260,326496,T
008669164,820,81,12300,873,3484,1495,5188,326641,F
472224553,1380,265,307740,873,3484,1869,3978,326039,T
084526372,677,89,123891,873,53423,1869,6820,326394,F
563216505,1414,164,14140,873,7818,373,5441,326178,T
848920396,1551,316,262119,873,8218,373,4640,326350,T
154620110,413,35,34279,873,4109,373,6869,326115,T
696517656,1332,176,113220,873,3484,747,3449,326585,T
044538945,371,59,37471,873,8218,1869,4780,326097,F
586119630,1212,132,123624,873,9713,1121,6360,326555,T
941406998,1371,315,252264,873,4784,373,3973,326514,T
268782365,467,39,40629,873,16027,373,4452,326309,T
770894248,1285,310,233870,873,16027,747,5412,326597,T
375952104,1180,162,173460,873,3484,1869,3943,325935,T
764517167,233,41,24931,873,13355,747,5048,326667,T
685478464,926,116,70376,873,5342,1869,3621,326714,T
024264046,1386,304,51282,873,3771,1121,6185,326217,T
216083926,758,73,13644,873,5723,747,5261,326313,T
708133919,1510,310,241600,873,3304,747,6479,326282,T
099661745,713,98,167555,873,3684,1869,4936,325933,T
983382921,1441,128,15851,873,24656,373,6830,326174,T
754210538,803,124,85118,873,15263,1495,3246,326850,T
124021857,1493,288,158258,873,20033,1121,5302,326178,T
246400328,1285,280,23130,873,3601,373,5435,326844,T
946324923,785,104,164065,873,4931,373,5393,326285,T
605190361,259,75,10101,873,10340,747,6110,326821,T
093211715,1504,263,177472,873,6047,1121,4843,326384,T
257251654,1426,181,121210,873,5432,747,6975,326558,T
244656842,1279,152,193129,873,15263,1495,6953,326011,T
057677851,1481,293,278428,873,24656,747,6088,326917,T
047338733,1292,139,211888,873,32054,1869,3456,325980,T
176799179,1195,187,39435,873,5526,747,4644,326576,T
669675268,1343,172,30889,873,12821,1869,3485,326321,T
593923091,609,108,124236,873,18855,373,3038,326260,T
321507980,431,46,38359,873,3270,1121,6645,326618,T
607462659,246,20,42312,873,4645,1869,6327,326241,F
093812597,773,152,34785,873,3237,1121,3684,325992,T
283845056,1520,291,76000,873,4645,1869,5170,326463,T
