userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
689740096,291,56,6693,873,651,1121,5401,326066,T
541430349,281,29,25290,873,2392,1869,3154,326748,F
371566607,1352,258,124384,873,2446,1869,3452,326919,T
233523484,692,90,47748,873,7123,1869,6115,326677,F
811982211,1551,262,51183,873,1780,747,6908,326561,T
441351565,542,127,35230,873,1040,1495,4951,326576,F
575363566,230,47,10350,873,1418,373,6266,326381,T
989033110,536,123,30552,873,4006,1495,6775,326151,F
807546938,1321,311,56803,873,871,373,6040,326040,T
318368049,542,100,13008,873,1128,1869,3570,326684,F
258089577,1188,189,98604,873,803,747,4702,326229,T
960478688,724,98,56472,873,1687,1869,6796,326797,F
024476796,1231,156,119407,873,989,1869,4748,325998,T
941069167,730,96,49640,873,1751,1495,3313,326668,F
641953388,1462,313,40936,873,5087,373,6676,325935,T
400611491,699,75,65007,873,1732,1869,5150,326140,F
454676026,1378,319,114374,873,1064,373,4588,326298,T
371926130,290,22,10440,873,698,1869,4873,326575,F
581972404,1486,271,112936,873,859,1121,6825,326720,T
500660143,590,121,25370,873,707,1495,4892,326679,F
473911195,1449,308,123165,873,1214,747,4435,326030,T
235301089,712,96,29192,873,1519,1495,3076,326308,F
333216853,1432,149,104536,873,735,747,6313,326465,T
473216985,271,55,9214,873,702,1869,3704,326816,F
050259301,917,113,91700,873,1247,1121,4993,326671,T
836681075,207,55,17181,873,863,1869,6204,326924,F
939302314,1397,316,129921,873,1153,1495,4829,326164,T
111394724,313,50,18154,873,1463,1869,4443,326838,F
052496955,1399,268,79743,873,1652,1495,5254,326899,T
395452700,476,24,35700,873,759,1869,6671,326377,F
945299122,1431,141,35775,873,3023,1495,6647,326029,T
570409720,481,48,14430,873,754,1869,3686,326470,F
542793987,270,40,25110,873,2289,1121,5099,326841,T
461177434,675,110,44550,873,1148,1495,6481,326447,F
861265761,762,137,37338,873,64108,1869,6761,326405,T
717784445,344,71,17888,873,710,1869,5430,325953,F
206038255,1335,322,53400,873,1257,1869,3858,326057,T
530722924,437,38,35834,873,1128,1869,3447,326833,F
209453904,1406,293,44992,873,6285,747,6265,326411,T
468465228,835,82,30060,873,1541,1869,4616,326155,F
990235383,1421,284,73892,873,643,747,6535,326825,T
074555558,657,75,53217,873,3642,1495,3244,326686,F
453160780,1472,276,39744,873,1511,1495,3977,326465,T
124430383,259,48,12173,873,1907,1869,6332,326263,F
295170315,545,113,13625,873,728,747,6277,326459,T
469141353,789,86,67854,873,733,1495,5138,326218,F
074525787,1247,175,115971,873,12328,747,6980,326416,T
185948614,254,19,5080,873,1237,1869,6130,326267,F
437105864,574,98,39606,873,977,1869,4482,326160,F
322345968,1348,160,95708,873,4784,1869,4874,326165,T
606164899,996,109,27888,873,21369,1495,4831,326677,T
325871226,415,26,12450,873,2671,1869,5358,326401,F
294960772,446,111,21854,873,2627,1121,6598,326505,T
196422958,610,87,59780,873,3815,1869,5148,326409,F
118252149,556,93,22796,873,799,1121,5269,325976,T
285338400,479,30,47421,873,905,1869,6770,326553,F
818152845,748,96,52360,873,747,1869,6175,326021,F
002245597,1310,280,129690,873,1695,373,3897,326611,T
268235750,361,60,31407,873,2306,373,6822,326344,T
622603950,487,23,38473,873,659,1869,5359,326488,F
079714323,530,111,13250,873,1443,1495,3146,326027,T
303678128,608,80,22496,873,1101,1495,6395,326323,F
175936414,1274,301,31850,873,677,1869,4786,325945,T
303358863,676,132,58136,873,16870,1495,3107,325928,F
106180950,1423,253,76842,873,819,1869,6975,326151,T
835139072,768,71,71424,873,1116,1495,5083,326490,F
621605300,1305,173,84825,873,913,1121,5216,326434,T
790164336,383,63,16469,873,730,1869,4828,326517,F
706831772,1160,185,40600,873,1732,1121,3285,326456,T
568494369,613,82,41684,873,1228,1495,5972,325940,F
553862938,929,118,80823,873,3861,1869,3050,326088,T
095840177,688,103,67424,873,813,1495,3337,326107,F
406328107,1544,252,83376,873,1109,747,6764,326866,T
535494708,453,39,15855,873,12821,1869,3208,326507,F
878721157,1330,288,70490,873,35615,747,6825,326010,T
579461291,356,12,32396,873,959,1869,3635,326737,F
857488511,1513,297,98345,873,2136,1869,6775,326723,T
335776144,671,76,44957,873,1011,1495,3588,326277,F
940544206,1443,294,99567,873,5623,1121,5386,326848,T
276202926,286,26,6864,873,910,1869,4490,326200,F
606193581,694,88,47886,873,2306,1121,2988,326066,T
473886215,648,78,49896,873,1770,1869,6370,326662,F
710451829,1433,169,83114,873,1687,1121,6303,326421,T
628960366,669,78,66231,873,897,1869,4754,326182,F
463995234,1277,269,111099,873,1020,1869,5233,326907,T
264607385,233,9,5825,873,1437,1869,4807,326325,F
622282556,1461,293,99348,873,1678,1869,5216,326081,T
645036364,363,42,9438,873,968,1869,5337,326658,F
295447478,945,109,36855,873,3684,1121,6088,326261,T
938822519,566,103,19244,873,3957,1869,4984,326290,F
766540664,638,71,26158,873,1040,1495,3458,325962,F
428945611,1319,282,118710,873,7454,747,4508,326020,T
568329909,702,112,24570,873,1068,1495,2946,326689,F
274592881,836,128,40128,873,1437,1121,4722,326861,T
904212367,738,112,24354,873,5342,1869,3771,326166,T
147695132,819,92,78624,873,1030,1869,3712,326198,F
113513883,1353,184,44649,873,959,1869,4596,326307,T
468934762,626,99,37560,873,6677,1869,3544,326250,F
051205096,190,56,4560,873,4784,1121,3363,326721,T
134579253,787,91,21249,873,2356,1495,6268,326883,F
