userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
189340374,1739,227,78255,1374,767,825,4638,378183,T
950230251,158,56,3476,1374,2951,1100,2801,377929,F
398709144,1529,341,116204,1374,4236,275,5556,378453,T
086324027,388,60,22892,1374,874,1100,2844,378154,F
435315442,1494,287,47808,1374,3601,1376,3390,377920,T
320837802,417,21,34194,1374,2384,1376,3417,378675,F
666620514,943,148,80155,1374,3078,1376,2939,378772,T
091079754,1915,215,141710,1374,6669,1376,5681,378213,F
993767702,1897,260,85365,1374,796,1100,5594,377859,T
684571623,194,63,18818,1374,2536,1100,2999,378318,F
378218176,1944,210,130248,1374,2093,1100,6294,377901,T
858341592,185,61,15355,1374,2609,1100,3458,378255,F
045855659,410,10,16400,1374,1506,825,4610,378613,T
660280179,1866,205,158610,1374,973,1376,3234,378354,F
445215829,1387,292,80446,1374,729,1100,4978,377968,T
219458238,1753,237,171794,1374,2976,1376,5798,378546,F
014258189,1460,299,109500,1374,973,275,4344,378181,T
598651215,1784,233,101688,1374,17148,1376,5505,377897,F
728331228,2122,291,67904,1374,811,550,3240,378072,T
753662818,242,19,22506,1374,1161,1100,4731,378356,F
813773588,269,29,25017,1374,6318,275,4315,378193,T
617588687,312,34,8424,1374,1374,1376,5513,378325,F
513387843,183,56,3843,1374,786,1100,2787,378811,F
954690190,819,185,58149,1374,734,1100,4397,378838,T
654419526,749,188,53179,1374,1053,275,5502,378852,T
703424673,369,54,10332,1374,3565,1100,6376,378633,F
155541143,1965,223,163095,1374,891,550,6456,378213,T
223553813,215,46,17845,1374,5144,1376,3063,378104,F
276974073,958,129,81430,1374,861,275,4384,378065,T
267240311,1785,212,37485,1374,1369,1376,3609,378570,F
924753009,1824,222,41952,1374,1173,550,6121,378820,T
210003115,1949,206,142277,1374,3001,1376,3562,378524,F
181529759,770,205,49280,1374,731,550,3579,378732,T
009337022,253,26,14674,1374,2483,1376,3551,378849,F
574184975,1516,211,147052,1374,774,825,5995,378012,T
460567956,410,46,12300,1374,1037,1376,4522,378036,F
239009428,1466,327,101154,1374,45015,1100,4680,378115,T
594971460,424,23,23744,1374,1385,1376,5816,378842,F
096599378,1005,143,70350,1374,4866,1100,3419,378656,T
781072733,196,33,11172,1374,2483,1376,3017,378753,F
390065100,917,152,71526,1374,739,550,4882,378303,T
280404407,305,77,22875,1374,15005,1376,6217,378432,F
489525521,1104,156,61824,1374,884,1376,4406,377969,T
899949052,355,60,33370,1374,736,1100,3671,377921,F
204597181,2118,249,46596,1374,1062,275,3166,378043,T
872677789,200,64,19000,1374,1046,1376,6229,378217,F
485851202,251,73,19829,1374,1390,275,5873,378415,T
177198998,338,37,27378,1374,1412,1376,4739,378425,F
599015807,272,20,11968,1374,1915,825,3427,378101,T
371014748,252,18,21420,1374,825,1100,2878,378209,F
