userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
302066956,596,119,38740,85,483,2297,2681,49401,F
617725035,1144,217,52624,85,8503,2297,4973,49595,T
937020576,609,110,105966,85,787,1723,5399,49159,T
826529082,525,73,27300,85,1518,2297,4275,49076,F
142698384,1118,220,51428,85,924,2297,4624,49429,T
540613187,675,92,78300,85,472,2872,2897,48743,F
416471250,508,121,112776,85,467,2297,5156,48897,F
013873161,1195,272,27485,85,759,2297,4221,48815,T
509971131,879,125,167010,470,6185,1109,4163,173771,F
677893831,910,132,112840,85,733,1148,3663,49205,T
514915003,1204,257,256452,85,685,1148,4410,49529,T
692498523,517,89,55836,85,6073,2297,4409,48806,F
516922388,1015,112,230405,85,545,1723,4971,49321,T
952757506,1197,243,137655,85,1062,2297,2661,49305,T
635847722,635,111,90805,85,488,1723,3081,49111,T
988167704,1207,244,72420,85,1417,1148,5109,49317,T
622171122,1283,222,165507,85,674,1723,3148,49009,T
353602275,1273,222,193496,85,477,2297,4098,48706,T
136030776,1062,107,261252,85,2362,574,2666,49636,T
061961300,1183,217,147875,85,654,2297,5153,48953,T
685126778,1171,279,284553,85,582,2297,4319,48724,T
475140649,547,132,86426,85,1012,2297,4336,49119,F
899525139,1207,276,185878,85,1932,1148,4594,49613,T
654633092,1178,243,155496,85,4251,2297,5314,48713,T
172391274,1315,272,120980,85,3865,1148,2732,49529,T
527150137,1141,254,57050,85,634,2297,4726,49147,T
505511898,722,89,33934,85,3865,574,5092,48697,T
009360063,612,103,110160,85,3865,1148,4960,49203,T
704628062,566,127,120558,85,8503,574,4575,48731,T
755994107,995,122,159200,85,1118,2872,4894,48680,T
891952380,1273,278,45828,85,1371,2872,3676,48920,T
382467396,551,104,93119,85,512,1723,2643,49586,T
409982018,528,71,21648,85,566,2297,4411,49314,F
926097069,505,102,32825,85,885,2872,3546,49492,F
339019357,614,106,104994,85,447,2297,2404,49578,F
098612385,1167,260,270744,85,4251,1148,5526,49081,T
053734946,853,162,208132,85,552,1723,5034,48864,T
636799331,584,111,138992,85,1574,1148,3446,48841,T
223915588,1077,126,197091,85,1250,1148,5374,49135,T
717132753,516,135,50052,85,867,574,3008,49622,T
674285666,1280,243,261120,85,644,2297,2614,48857,T
053986338,706,124,133434,85,559,1723,3420,48849,T
313744608,1203,260,26466,85,518,2872,3636,49082,T
637566813,1342,218,157014,85,674,1723,4087,49547,T
054444300,1235,266,197600,85,3036,2872,2969,49416,T
765950834,1078,159,175714,85,2024,574,5335,49200,T
107350720,1265,250,264385,85,500,2297,3907,48929,T
300266752,1360,223,104720,85,447,2872,2650,49019,F
026422355,525,106,51975,85,664,1723,5541,49026,T
478674403,740,105,139120,85,802,2297,2670,48799,F
073048300,798,152,177954,85,5314,2297,4973,48885,T
607665260,542,132,54200,85,452,574,5168,48871,T
063126741,635,121,97155,85,433,1148,3217,48890,T
435241976,899,165,156426,85,6073,574,2463,48784,T
151799800,1171,285,50353,85,944,2872,5373,48947,T
328059758,499,101,15469,85,3270,1723,2714,48692,T
280926625,1353,245,119064,85,531,1148,3143,48974,T
903086975,1362,266,272400,85,1149,2297,3467,49112,T
642334763,852,160,161880,85,696,1148,3045,48809,T
567911101,736,107,122912,85,566,2297,3585,48681,F
245568335,972,153,151632,85,664,2297,3647,49410,T
034313755,784,163,144256,85,1518,2297,4369,49640,T
332358100,1197,245,99351,85,3543,2872,4010,49354,T
551149118,1224,267,198288,85,462,1148,2459,49641,T
172130446,853,154,162923,85,6073,574,2450,49131,T
835568456,788,168,178088,85,664,2872,3103,48950,T
599378317,640,85,72320,85,2834,2872,5468,49294,F
047052273,509,139,102818,85,2362,574,3532,49484,T
354261998,614,96,66312,85,2834,2872,2312,49201,F
512801568,1186,274,189760,85,802,1723,3486,48709,T
273064357,669,124,124434,85,904,1148,5189,48978,T
802804151,1221,226,130647,85,867,2872,4022,49596,T
739096572,1311,268,322506,85,1250,2872,5049,48770,T
691837488,1261,245,247156,85,538,2297,3419,49170,T
791351196,1167,241,213561,85,817,574,2688,48882,T
013412143,947,126,199817,85,3036,1148,5442,49036,T
419282205,1028,129,138780,85,850,1723,5540,48723,T
248612875,1138,224,259464,85,966,2872,2564,49103,F
529198166,713,110,94829,85,5314,1148,3515,49197,T
864385046,979,107,135102,85,1149,2297,2909,49350,T
323406865,1027,141,216697,85,1771,2872,3984,48926,T
465514112,1289,241,85074,85,644,574,2379,49298,T
032380983,1058,155,175628,85,1181,1148,4284,49486,T
801207462,741,78,22971,85,2834,2872,4022,49286,F
788483267,1353,280,196185,85,472,2297,2575,48799,T
944815055,485,113,109125,85,625,1148,3106,49144,T
540657210,1352,247,150072,85,1417,1723,5066,49331,T
481710393,936,170,195624,85,1932,2872,4713,48694,T
176851103,501,93,102705,85,607,1723,4220,49243,T
079863003,953,134,218237,85,3543,2297,2733,49592,T
643122369,1247,261,18705,85,7086,2872,3588,49094,T
395862194,1258,231,13838,85,512,1148,2493,48933,T
299747584,1200,284,163200,85,559,2297,5291,49223,T
629949278,1269,273,171315,85,457,574,4804,49608,T
582088489,1284,243,259368,85,885,1148,3162,49364,T
505529514,1354,249,320898,85,944,1148,4116,48906,T
109039481,617,128,121549,85,483,1148,5380,49113,T
763950081,661,105,154674,85,1062,2297,5135,49182,F
364159770,695,132,120930,85,2834,2297,4812,49624,F
246423558,1369,229,245051,85,4251,574,4591,48723,T
157158924,1055,132,147700,85,483,574,4797,49120,T
181841229,1299,252,133797,85,559,2872,2540,49441,T
743672762,632,71,39816,85,924,1148,2693,49588,T
210235503,1220,258,284260,85,590,574,3934,48951,T
562140968,1201,254,151326,85,685,574,3113,48881,T
621274070,612,92,111384,85,1062,2297,4633,49353,F
612986281,696,103,144072,85,6073,2872,5374,49608,F
158163269,1160,259,22040,85,1181,574,4552,48857,T
645526764,467,104,30355,85,8503,1148,4722,49465,T
103016932,977,136,125056,85,1466,1148,3790,49354,T
602322517,901,133,129744,85,518,2872,4551,49508,T
030188289,1021,107,202158,85,598,574,2663,49451,T
