userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
255094236,1198,256,49118,85,184,1148,5093,48812,T
591182257,445,88,16910,85,240,2872,2981,48943,F
998293291,1128,243,45120,85,118,1723,3648,49666,T
673082723,1166,220,110770,85,277,1148,2688,49191,F
820867226,1257,268,71649,85,98,1148,2365,48844,T
579906455,488,126,29768,85,89,2297,5170,48931,F
462876073,449,70,10776,85,172,2872,3915,49324,F
050193465,1343,272,57749,85,136,1148,2818,49597,T
138131564,649,74,14278,85,184,1148,4737,49205,T
799061172,612,70,45900,85,552,2297,3032,49158,F
718111323,520,124,44720,85,156,1148,3216,48825,T
674867883,1146,217,100848,85,165,2872,2711,49424,F
848311896,1192,256,116816,85,107,1723,4977,49481,T
833474456,510,108,41310,85,95,2297,2297,49325,F
696872505,1177,255,51788,85,95,1148,3242,48676,T
694808546,624,119,61152,85,88,2297,4758,49324,F
836038277,1138,227,25036,85,138,2872,4382,49274,T
150820475,580,115,26680,85,85,2872,3541,49254,F
920207761,1318,265,93578,85,190,2297,2517,48751,T
170156431,441,132,39690,85,227,2297,2837,48674,F
161581205,640,117,33920,85,88,2297,2394,48746,F
711335891,1188,272,46332,85,85,2297,3535,48682,T
822800578,1229,239,39328,85,91,1148,2591,49481,T
255390986,535,140,53500,85,88,2297,4905,49343,F
374498004,1129,268,39515,85,324,2297,2551,49463,T
666225795,494,75,49400,85,372,2297,3566,48884,F
519958026,1321,283,48877,85,97,1148,4959,49005,T
329752898,701,78,48369,85,120,2297,2275,48980,F
084623905,688,120,61232,85,180,1723,5539,49615,T
814181192,1266,220,117738,85,242,574,2371,49232,F
777112967,1122,252,94248,85,342,2872,3177,49280,T
385032744,617,121,16659,85,518,2297,2520,49427,F
468173543,740,93,19980,85,452,1148,2275,49199,T
371751178,662,131,58256,85,93,2297,3651,49512,F
023596158,1285,257,26985,85,1848,1148,4643,48824,T
501623390,634,104,22190,85,885,2872,3880,48671,F
348985979,1194,220,59700,85,93,1148,4819,49457,T
233076231,712,111,64080,85,128,2872,3875,49388,F
038596152,699,91,24465,85,1700,2872,4278,49254,F
483339858,1163,270,81410,85,322,1723,4381,49079,T
028490892,1356,248,46104,85,149,2872,4750,49142,T
298563260,537,110,37053,85,88,2872,4978,48763,F
434911905,618,113,52530,85,103,574,4049,49068,T
167881130,460,129,19320,85,132,2872,5529,48769,F
604945780,725,99,59450,85,97,2872,4813,48726,F
258166831,1122,248,81906,85,867,2872,3714,49015,T
097748739,1221,242,80586,85,159,2872,4808,49229,T
908719358,644,118,47656,85,102,2872,2626,48735,F
039415785,1282,267,39742,85,401,1723,3704,48949,T
937016669,506,118,31372,85,172,2872,3413,49623,F
918033196,655,72,61570,85,305,574,2574,49276,T
016420407,536,138,10720,85,234,2297,5287,49525,F
600792599,1094,232,57982,85,108,1148,4390,48801,T
610152822,581,89,51709,85,87,2297,2933,48832,F
062251127,707,105,62216,85,132,2872,5445,49658,F
437508544,650,70,40300,85,4251,1723,5024,49602,T
207819594,1217,225,111964,85,182,574,4823,48964,T
614179239,504,119,26712,85,138,2297,4864,48968,F
770542760,1286,280,48868,85,106,574,3170,48882,T
097606124,664,77,20584,85,256,2297,4293,49541,F
602859758,666,109,23310,85,1214,574,5296,49166,T
754777002,494,108,24700,85,162,2297,4298,49048,F
668601857,1147,229,33263,85,462,2872,5472,48940,T
281257041,444,97,35964,85,109,2872,2505,49150,F
202649276,471,71,9891,85,433,574,5154,49293,T
822507850,628,81,13188,85,192,2872,3696,49258,F
987528594,1090,219,69760,85,366,1723,2331,49014,F
244609736,1100,225,55000,85,88,2872,3132,48732,T
922215821,1261,236,114751,85,211,1148,4861,49639,T
079755456,722,113,59204,85,238,2872,5019,48985,F
343258525,1088,240,80512,85,174,574,4855,48867,T
435770128,482,94,39524,85,401,2297,2712,49256,F
159806575,1276,226,56144,85,228,1148,5309,49266,T
251553197,689,104,54431,85,285,2872,3564,49307,F
468129719,542,112,37398,85,274,574,5517,48861,T
717196921,726,101,45012,85,334,2297,5232,48772,F
576832154,1215,260,111780,85,250,2872,3811,48683,T
587959999,717,95,35850,85,104,2872,5584,48739,F
378355924,457,72,35646,85,123,2872,3719,49151,F
243724925,646,87,47158,85,86,574,4999,49662,T
042257666,1346,234,134600,85,265,2872,2335,49385,T
397845427,485,104,12125,85,93,2297,4655,48825,F
860672589,1376,220,27520,85,117,2872,3060,49242,T
572958492,646,112,51680,85,134,2872,4808,48781,F
416793337,1305,231,129195,85,99,2297,3692,48826,T
552602432,447,116,26820,85,118,2297,3254,48988,F
750012132,1369,260,112258,85,200,1148,3465,49004,T
815623337,619,71,23522,85,317,2297,4935,49202,F
520230164,665,82,61180,85,117,2872,5034,49272,F
051562017,578,131,54910,85,802,574,3068,49286,T
518155412,687,108,16488,85,150,1148,3792,49550,T
720660882,628,79,36424,85,91,2297,4040,49634,F
267029463,1288,219,66976,85,128,1723,4856,49042,T
413611223,481,122,28860,85,354,2872,5261,49146,F
832191419,465,89,22320,85,279,574,3555,48954,T
014934405,540,97,25380,85,90,2872,2263,49330,F
764570292,644,94,34132,85,259,2297,3186,49511,F
529304949,565,125,38420,85,506,1723,4774,48983,T
459780758,479,125,43110,85,92,2297,3143,49468,F
275828844,1355,232,37940,85,89,2297,5455,48748,T
