userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
093188147,2084,241,366784,246,22064,2294,3788,112718,F
059225123,1966,213,39320,246,4796,917,2681,112876,T
488104919,10,19,1440,246,2042,1376,2548,112815,T
038700581,186,26,44082,246,1225,458,2170,112447,T
995054355,851,111,47656,246,2903,917,3097,112897,T
441212090,2162,240,276736,246,1646,917,2043,112107,T
880160197,2099,177,48277,246,1161,458,2311,112752,T
944195994,20,2,4940,246,2005,1835,2224,111913,F
364417554,193,3,39179,246,3677,1376,3750,112838,T
433041288,1990,180,272630,246,3152,1835,4146,111979,F
252053565,807,120,91191,246,1838,917,4469,112893,T
640971697,834,89,93408,246,1646,1376,3816,112304,T
564901484,1994,200,185442,246,1282,1376,2673,112528,T
515238656,787,154,33054,246,1268,917,2952,112242,T
448171801,1430,186,298870,246,15760,917,2568,111925,T
521849541,119,16,8330,246,1532,1835,3652,112416,F
587238914,60,8,5820,246,1225,1835,3258,112865,F
952766051,180,1,13320,246,1225,1376,1815,112598,T
723521364,130,46,8320,246,6128,458,1820,112453,T
655458462,1070,104,221490,246,2206,2294,3306,112196,T
099040037,43,9,5504,246,2690,1835,1838,112348,F
064956754,827,130,14059,246,2758,1376,2691,112220,T
970353672,1872,197,460512,246,1414,2294,2850,112659,F
322603379,17,1,2057,246,1212,458,4636,112767,T
248271421,999,156,46953,246,2163,2294,2063,111983,T
031677192,1363,316,327120,246,5253,458,2711,112652,T
526407370,1970,199,173360,246,1671,458,4183,112371,T
793591191,1034,95,155100,246,1432,1835,2781,112693,T
897911865,5,18,485,246,1396,2294,3713,112254,F
906441514,2093,241,267904,246,1576,2294,3719,112128,F
864521282,1925,242,344575,246,1345,458,2080,112801,T
933610819,1647,209,18117,246,1451,1376,4373,112411,F
674661420,1012,154,184184,246,2690,1376,3415,112514,T
669304696,125,27,28625,246,7354,2294,2061,112401,F
806964899,17,17,3162,246,2081,2294,2317,111995,F
929120752,166,16,33698,246,3940,1376,3014,112320,T
193797384,1985,230,492280,246,18386,458,3717,112684,T
180790711,200,28,42600,246,2507,1835,1907,111914,F
947637046,169,38,38532,246,1970,1376,2194,112799,T
978005231,198,1,4950,246,2626,1376,2249,111911,T
221930382,7,1,1372,246,1723,458,4641,112367,T
764587738,2065,181,70210,246,1779,2294,4128,112424,F
247328092,1042,127,57310,246,3244,458,4496,112404,T
305308627,107,38,10486,246,5014,458,4494,112712,T
441149443,1036,121,109816,246,10029,917,3034,112364,T
881666613,1925,224,411950,246,2121,1376,2607,112074,T
351682424,969,91,157947,246,3558,1376,2854,112906,T
713839795,2092,247,441412,246,1313,917,2718,112725,T
666319516,1892,246,147576,246,4796,2294,3288,112098,F
449326235,1418,182,32614,246,5806,917,2788,112057,T
113597620,901,152,37842,246,5014,917,4174,112901,T
129269949,1937,238,81354,246,1329,2294,3943,112670,F
648804180,176,31,3696,246,4243,1835,4616,112793,F
001859636,792,121,117216,246,2347,458,2800,111985,T
723746625,954,147,187938,246,1576,1376,2712,112515,T
519723121,9,12,900,246,13790,1376,4488,112887,T
055538575,1527,197,65661,246,13790,458,4001,112872,T
811892228,13,50,1339,246,3064,458,3742,112883,T
261696287,12,48,2328,246,3804,1835,2181,112110,F
984352556,1945,234,453185,246,6895,458,4627,112831,T
182189106,818,93,157874,246,2451,2294,3295,112292,T
300141543,2051,232,451220,246,1808,458,2284,112723,T
145577040,793,143,29341,246,1114,458,2677,112202,T
544217418,1019,138,123299,246,3343,917,3624,112163,T
212471034,952,158,143752,246,1838,1835,1955,111983,T
246794772,25,2,2225,10,24,870,1451,2903,T
384527716,185,1,6845,246,2206,1835,2158,112188,F
091888172,799,128,126242,246,2565,1835,2546,112291,T
693179181,868,97,111104,246,1212,917,3135,112883,T
721701006,184,36,40480,246,2206,1376,2623,112343,T
157769422,60,44,10020,246,5516,1376,4165,112474,T
362843972,2005,235,248620,246,9193,917,4165,112133,T
980025531,850,96,175950,246,1297,1376,4176,112699,T
265633131,1661,178,73084,246,1751,2294,4396,112514,F
319645232,2023,202,153748,246,1212,1835,4485,112112,F
180862372,1959,239,364374,246,2081,917,3681,112566,T
346733050,112,1,4704,246,4596,458,2789,112009,T
880196360,875,109,88375,204,920,1323,4670,89993,F
080152802,185,10,22755,246,2758,2294,4510,112389,F
892682045,1922,220,332506,246,1970,458,3666,111936,T
599259143,16,20,1216,246,4412,2294,1832,112290,F
325845627,791,135,105994,246,5014,917,3143,112612,T
713691553,172,32,19952,246,1576,1835,4588,112753,F
116113242,979,130,213422,246,1268,458,4499,112862,T
213397361,1522,194,83710,246,1268,1376,4555,112175,F
329429751,11,12,1364,246,6489,1835,3345,112863,F
039317519,8,4,1248,246,6128,458,3510,112425,T
953309457,2136,201,111072,246,9193,1376,3558,112179,T
474833721,1549,176,68156,246,1697,917,3455,112728,T
264251985,32,1,4768,246,10029,458,2763,112209,T
936430299,11,2,891,246,3343,1835,1865,112740,F
286845952,3,14,276,246,6128,917,2507,112540,T
883819503,1977,243,219447,246,1137,1376,2709,112444,T
703162597,2027,215,423643,246,2398,1835,3835,112425,F
743632939,9,49,1845,246,3804,1376,4429,112745,T
003184676,822,150,176730,246,1598,917,3955,112421,T
998586902,2028,194,407628,246,6489,917,2909,112601,T
199899880,100,1,17100,246,1646,2294,2795,112121,F
517285818,1421,224,28420,246,1970,1835,4555,112319,F
546495319,9,35,1233,246,1225,1376,2136,112072,T
128573858,1556,197,82468,246,1779,1376,3295,112274,F
048463579,1425,179,49875,246,1345,917,2065,112110,T
167451517,204,1,7548,246,1114,917,3102,112311,T
793590292,1512,172,48384,246,4596,917,2941,112826,T
360495923,20,19,3100,246,1212,2294,3730,112104,F
851346305,869,104,104280,246,1361,917,1867,112013,T
746611827,19,48,2641,246,1451,917,2838,112613,T
801989830,72,26,4608,246,6895,1835,3202,112604,F
313737756,1941,209,120342,246,3447,458,3308,111975,T
925167319,1963,184,416156,246,2398,2294,3356,112727,F
696687156,880,144,183920,246,12257,917,2326,112763,T
837133797,1912,192,386224,246,12257,917,4573,111915,T
034235749,2035,201,437525,246,2828,458,2724,112431,T
808581752,5,39,95,246,2903,1376,3810,112620,T
262061430,2071,187,376922,246,3343,2294,3990,112212,F
674929333,788,142,18912,246,2903,917,3659,112306,T
646304313,1921,208,199784,246,1598,2294,1820,112459,F
287054587,1587,178,74589,246,1313,458,2334,112851,T
256921864,2009,196,502250,246,13790,458,2303,112465,T
572030191,797,113,121941,246,13790,1376,3396,112610,T
590444652,2020,193,115140,246,3064,1835,2807,112145,F
297331141,1016,125,94488,246,3447,1835,3223,112174,T
523710425,34,39,2108,246,1622,458,3082,112619,T
730715857,1039,157,128836,246,6895,458,3468,112239,T
245490005,202,36,12322,246,1808,1835,4096,112273,F
461929439,862,114,141368,246,1199,1376,2447,112788,T
434874833,2059,224,461216,246,12257,1835,3508,112136,F
740163241,221,30,25194,246,1622,1376,2748,112226,T
408075267,1958,187,279994,246,2758,1835,2995,112445,F
085622294,880,91,111760,246,1297,2294,3681,112535,T
442698013,1982,188,416220,246,13790,458,4382,112668,T
812065101,1057,114,124726,246,4085,2294,1791,112134,T
673866047,180,1,44280,246,1253,2294,3944,112556,F
402649539,1971,187,43362,246,1414,1835,3316,112454,F
218677066,58,18,2726,246,2565,1835,2489,112703,F
778557971,2074,233,435540,246,1114,1835,2890,112568,F
468510347,2081,229,299664,246,2398,1376,3497,112296,T
064406706,1878,182,99534,246,2206,917,2465,112908,T
663392110,1952,200,310368,246,1361,1376,4005,112245,T
944110911,1414,235,86254,246,3558,1376,3870,112897,F
615886040,911,121,62859,246,1396,2294,2990,112866,T
632666760,1963,228,337636,246,1779,2294,2919,111912,F
849156812,2065,223,72275,246,1161,917,3938,112546,T
584655453,787,90,140086,246,3447,1835,3741,112625,T
704191076,783,153,174609,246,9193,1835,2634,112062,T
891386450,73,46,7154,246,1902,917,2079,112385,T
424809586,192,19,25152,246,1239,917,4389,111925,T
158892606,2043,228,20430,246,1970,917,1801,111953,T
799605690,48,49,9312,246,2121,458,2539,112796,T
932878957,83,45,1494,246,1173,917,3126,112317,T
119893008,1892,196,32164,246,1432,2294,3082,112818,F
017018316,142,1,5112,246,1598,2294,2515,112325,F
874315515,1932,192,141036,246,1114,2294,3625,112728,F
594507838,2157,230,99222,246,7880,2294,3750,112695,F
465367128,1012,121,234784,246,2690,1376,2143,111981,T
085371225,1055,95,100225,246,13790,917,3411,112749,T
017787370,2034,179,109836,246,5253,2294,3129,112906,F
757207765,898,149,120332,246,1838,1376,4045,112588,T
660150317,18,16,3852,246,5516,2294,4228,112168,F
687407648,36,1,360,246,4596,458,3356,112636,T
633129009,18,1,2106,246,2042,458,1864,112718,T
474896818,213,4,2130,246,1103,458,4317,112081,T
659010451,64,5,10048,246,1451,1835,4287,112205,F
636039881,1957,207,138947,246,1225,917,3671,112034,T
623976673,2105,183,286280,246,7880,1835,4327,112796,F
098650057,133,16,8911,246,1239,2294,2171,112430,F
956706827,43,1,4988,246,1451,1376,1790,112020,T
193959109,808,127,113120,246,4596,917,4520,112796,T
532070927,1006,127,243452,246,18386,2294,3629,112630,T
485143240,145,41,33785,246,1902,1835,4324,112681,F
847178625,1962,205,127530,246,11032,2294,4129,111920,F
206526629,1489,234,31269,246,11032,1376,4535,111923,F
421719896,935,132,43945,246,3244,2294,4345,112811,T
229148971,849,97,65373,246,2981,1835,1812,112059,T
408031312,910,143,157430,246,1225,458,4496,112275,T
388805170,221,1,40001,246,1970,2294,4435,112073,F
704790119,225,25,24300,246,3152,458,4152,112384,T
628725349,924,107,216216,246,1935,2294,3751,112192,T
085426365,1890,208,236250,246,4243,1835,2458,112068,F
206700426,7,40,1358,246,1414,2294,3262,112607,F
442514059,1913,231,348166,246,6489,917,2427,112447,T
559449347,2166,196,415872,246,3152,1376,3872,112247,T
105087021,1946,246,404768,246,2081,1376,2998,112105,T
545027213,897,97,69966,246,1414,458,2550,112752,T
291391659,221,1,28067,246,2690,917,3664,112664,T
028551226,12,17,960,246,3343,1376,4164,112006,T
321352359,2056,196,254944,246,1532,458,2844,112677,T
191230446,2007,227,313092,246,1396,1835,2600,112287,F
783956342,2002,219,54054,246,1361,2294,2415,112214,F
359311447,1044,117,99180,246,1297,458,2156,112153,T
575187805,1072,129,62176,246,1186,1376,3902,111961,T
765898258,1445,220,88145,246,1329,917,4159,112524,T
891866969,1997,199,391412,246,1838,458,3736,111996,T
395405331,811,113,18653,246,3244,917,2227,112028,T
400101979,1495,183,246675,246,2398,1835,4623,112073,F
523065010,788,95,193848,246,1186,1376,2582,112328,T
437622608,200,1,3800,246,2042,1376,3354,112737,T
157440813,1043,134,91784,246,2451,1376,4112,112818,T
144113485,4,35,404,246,2626,1835,2403,112133,F
687719025,972,111,216756,246,1490,917,2161,111954,T
610758031,937,141,175219,246,1470,917,4643,112436,T
582281424,2073,245,236322,246,10029,458,1788,112674,T
384912899,1924,196,280904,246,2042,917,1999,112147,T
640301563,1945,220,320925,246,3343,458,3286,112741,T
768608253,79,1,11613,246,3804,1835,2335,112314,F
781440183,1975,219,73075,246,2121,458,2224,112135,T
619668937,882,155,201096,246,1103,1835,3762,112181,T
413636521,1052,134,163060,246,2758,1835,2097,112164,T
801191297,2131,213,193921,246,2121,917,4399,112429,T
578313763,952,149,51408,246,1239,1835,3819,112730,T
909875689,2057,229,63767,246,3677,1835,2434,112629,F
868412176,790,105,131930,246,1598,917,3450,112356,T
742640328,2067,222,456807,246,3343,458,1839,112589,T
736071382,9,35,1539,246,2251,1835,2602,112642,F
365593202,794,125,18262,246,5806,2294,4354,112584,T
022445723,1886,209,199916,246,1161,2294,4544,112103,F
144266349,1012,105,31372,246,1671,917,4310,112645,T
906325099,943,106,230092,246,1723,1376,2026,112531,T
378141142,2088,211,419688,246,3677,917,3819,112310,T
253471690,918,106,121176,246,1239,1835,2801,112812,T
160343272,1978,194,164174,246,1935,917,2682,112276,T
292247385,1000,120,221000,246,6895,917,2057,112061,T
005924385,222,1,29748,246,3558,458,2785,112683,T
845197648,1571,180,28278,246,9193,458,4602,112874,T
514845325,192,1,29568,246,3940,2294,2959,112046,F
382258438,177,3,33099,246,1490,1376,4634,112756,T
596476553,2170,177,542500,246,10029,458,3177,112887,T
253784121,907,98,146934,246,1622,917,4343,112116,T
109149995,2143,218,529321,246,9193,917,3780,111997,T
139279892,2126,213,459216,246,4085,1835,3277,112887,F
843441404,202,48,11716,246,1199,2294,2774,112480,F
556374935,203,52,35525,246,1125,1376,2821,111993,T
449240816,118,1,10738,246,1268,1376,4257,112743,T
465763357,105,23,24675,246,1751,1835,4452,112167,F
976619985,2146,193,150220,246,2565,1376,2895,112202,T
154275768,1051,133,73570,246,6489,2294,4256,112885,T
105885080,1420,227,95140,246,1268,458,2607,112648,T
428920029,1916,181,99632,246,1671,917,4154,112015,T
836068910,2102,219,512888,246,1225,2294,3750,112587,F
232202837,20,40,860,246,1414,1835,4526,112012,F
833347907,202,8,26664,246,1646,1376,2759,112900,T
566537496,843,152,175344,246,1697,2294,3136,112769,T
465152247,907,148,19954,246,1329,917,4148,112493,T
811268676,1974,213,353346,246,1646,2294,2202,111965,F
716613528,2135,185,254065,246,13790,1376,3698,112621,T
643702168,1914,182,323466,246,2758,458,4183,112847,T
869363998,1430,181,67210,246,6895,2294,3251,111920,F
039137034,79,32,12087,246,1313,2294,2368,112014,F
518569187,1026,106,130302,246,18386,2294,4178,112904,T
885375385,852,91,141432,246,1345,2294,3860,112569,T
708852321,1040,130,248560,246,1361,1376,2739,112011,T
166903229,835,123,147795,246,1212,1835,4489,112338,T
665213058,89,47,2403,246,4412,2294,3571,112563,F
566067362,2,15,224,246,11032,1835,2967,112142,F
182779832,2131,199,321781,246,6128,2294,4131,112352,F
715864666,198,1,9306,246,1697,1835,2787,112688,F
567237405,2148,246,139620,246,9193,1376,3643,112854,T
754376071,1963,211,323895,246,9193,1376,2953,112443,T
514029012,1900,216,243200,246,1268,917,3542,112309,T
549882687,194,33,26384,246,2347,458,3826,112201,T
910276558,1016,136,19304,246,2758,1835,1911,112893,T
499410527,961,153,139345,246,2981,1376,4122,112294,T
315708888,10,5,1330,246,8486,1376,2510,112208,T
349744234,1965,221,165060,246,1282,1376,2211,112730,T
379321094,894,110,146616,246,1103,458,2506,111947,T
268996106,190,1,3420,246,22064,917,2925,111918,T
296526488,813,153,121137,246,2398,1835,1888,112418,T
020815199,52,1,4368,246,1225,2294,2988,112045,F
273574414,1416,232,77880,246,1114,2294,3926,111917,F
353520706,820,146,142680,246,5806,917,2023,112763,T
419343498,2168,189,28184,246,2398,2294,2984,112380,F
606180158,954,157,41022,246,1137,917,2580,112128,T
959110513,1449,212,60858,246,3343,2294,3777,112730,F
358734534,24,38,4800,246,1329,1835,2755,112147,F
625755008,167,1,11356,246,1432,917,2652,112669,T
275452529,847,146,133826,246,1723,2294,4017,112331,T
381810880,137,24,21646,246,1935,1835,4200,112017,F
297830994,841,125,85782,246,1646,917,3777,112078,T
371729817,108,1,26460,246,2451,917,3765,112047,T
791629105,1558,230,54530,246,2903,2294,2480,111986,F
412343052,1926,178,84744,246,6128,917,3906,112365,T
860841109,2134,233,224070,246,5516,458,3042,112655,T
765482371,1917,195,366147,246,1511,917,3765,112215,T
207684421,806,129,195858,246,2451,2294,1909,112686,T
949862487,1519,198,16709,246,1199,1835,2214,112186,F
500752643,1981,219,53487,246,2042,1376,2491,112715,T
077942098,2025,234,222750,246,1396,1835,3348,112149,F
395803218,973,130,57407,246,3244,1376,4464,112517,T
703774681,13,51,325,246,7354,2294,2471,112674,F
728723669,835,103,131930,246,12257,917,1786,112348,T
258389274,186,1,42594,246,5014,2294,2782,112067,F
111117128,174,1,8874,246,2981,1835,3351,112172,F
620921354,2045,178,267895,246,1297,1835,2579,112143,F
390734328,794,115,138950,246,2298,458,2309,112539,T
729444421,2166,216,179778,246,1414,1835,3189,112025,F
482421732,938,153,100366,246,7880,1835,3449,112381,T
886583562,877,112,165753,246,1490,1835,3206,111990,T
533722622,1908,214,162180,246,2626,1835,3505,112884,F
762474000,3,8,549,246,1576,1376,3074,112120,T
336523007,1879,201,101466,246,1723,2294,3580,112610,F
851489663,1913,246,447642,246,1576,458,1894,112119,T
394389692,183,24,39528,246,1282,1835,2369,112083,F
542724683,170,31,39100,246,18386,917,2644,112838,T
302286463,60,11,11220,246,2626,458,2761,112703,T
280039681,2128,198,34048,246,2903,458,2819,112552,T
171604965,802,98,197292,246,2507,458,4573,112199,T
095269766,928,110,211584,246,10029,2294,4089,112007,T
420986231,169,7,16731,246,3940,458,2765,112307,T
199837555,1402,223,42060,246,4596,1835,3376,112620,F
353911385,164,12,5248,246,4085,1376,3293,112788,T
766082750,183,1,4392,246,2347,1376,3854,112757,T
316682702,2072,215,35224,246,2626,917,3415,112039,T
670652668,2092,190,433044,246,1779,1376,2073,111990,T
641849403,1451,205,44981,246,1414,2294,3887,112661,F
011158862,897,121,116610,246,1253,1376,4259,112519,T
062039453,1396,213,68404,246,1268,458,1834,112052,T
866301673,116,1,12296,246,1646,458,4281,112726,T
214158416,1347,309,315198,246,6489,1376,1921,111937,T
284612802,2015,226,66495,246,18386,1835,3172,112261,F
014730994,783,111,144072,246,3064,917,4637,112131,T
373383640,1896,201,39816,246,1553,1376,1988,112335,T
982178455,827,93,41350,246,3244,1835,4517,112797,T
614528342,937,104,193959,246,1511,458,2191,112776,T
645403299,1351,333,314783,246,13790,917,3558,112843,T
400619908,2114,177,515816,246,8486,458,2919,112551,T
339941856,2169,198,290646,246,2005,1835,1913,112885,F
576538788,12,45,708,246,1137,2294,2094,112696,F
256038263,14,4,210,246,6489,2294,2633,112727,F
342336972,1492,201,82060,246,1723,1835,2860,112465,F
998314297,2080,236,272480,246,2206,917,3726,112866,T
912552505,2143,220,456459,246,1935,458,2213,111919,T
652678809,2130,246,423870,246,3343,917,3356,112055,T
746835634,20,16,4540,246,2042,2294,3485,112685,F
713500656,1006,113,197176,246,1297,1835,2772,112645,T
423461474,203,1,7917,246,2081,458,2968,112458,T
325317392,15,1,3225,246,4243,1376,3264,112394,T
457072988,219,1,14235,246,1414,1376,3377,112084,T
296872199,2008,195,146584,246,4412,2294,3242,112041,F
561114697,2031,217,426510,246,1451,1376,2126,112583,T
724140894,57,49,9804,246,2507,917,2678,112407,T
813067923,178,10,21182,246,3244,2294,4186,112373,F
226353121,195,19,24180,246,2121,458,3984,112587,T
833900149,2000,246,20000,246,3343,2294,3343,112083,T
592807466,1886,245,360226,246,15760,1376,3589,112904,T
068708803,2088,212,139896,246,1838,1835,1999,112134,F
818376522,2086,246,344190,246,5253,1376,4250,112278,T
833861068,863,156,52643,246,1297,917,2855,111913,T
209062859,20,42,1160,246,1902,1835,4102,111987,F
296383279,1574,226,69256,246,2981,917,2124,112344,T
313770874,216,7,31320,246,3244,458,3492,112075,T
011757500,2158,195,498498,246,2565,458,4410,112640,T
944753615,1990,205,298500,246,3804,917,2778,112145,T
105583372,2144,236,150080,246,1622,1376,2620,112052,T
506481089,37,29,2664,246,2081,2294,2940,112045,F
712711829,880,130,125840,246,1598,2294,3359,112201,T
181015108,804,124,117384,246,1432,917,2123,111904,T
433247936,12,45,1056,246,3343,1835,3611,112821,F
256100110,1607,224,22498,246,1161,1835,2918,112048,F
696078756,852,124,127800,246,3244,917,3733,112360,T
181130132,151,1,13590,246,2298,458,2711,112068,T
251958988,2029,204,290147,246,1396,2294,2574,111959,F
