userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
932188674,1972,193,169592,246,401,1835,3628,112521,F
743629378,2063,177,45386,246,411,917,2765,112423,T
330461477,1069,98,35277,246,3152,458,2782,112783,T
488901843,2017,177,155309,246,316,1835,4154,112350,F
097701493,912,151,26448,246,283,2294,3646,112070,T
430753024,2156,209,56056,246,1081,2294,2232,112395,F
713063054,1565,235,53210,246,2507,2294,3993,112267,F
669110338,992,107,25792,246,384,458,4513,112523,T
998498568,1487,180,57993,246,548,917,2910,112294,T
965348316,1935,245,131580,246,282,1835,3703,112169,F
803499087,2055,207,193170,246,437,458,2813,112785,T
374944434,1989,183,180999,246,1432,2294,3757,112570,F
661543223,1047,108,99465,246,735,458,2852,112582,T
415061243,1490,221,53640,246,527,2294,4482,111955,F
688127435,2055,234,143850,246,2981,2294,3746,112385,F
761637295,1668,172,33360,246,1511,458,2204,112123,T
707521916,193,1,13703,246,4596,1835,4325,112332,F
544347663,2052,242,192888,246,225,917,3086,112875,T
732875621,100,1,7300,246,993,2294,2000,111967,F
443857350,158,1,14062,246,234,917,4654,112542,T
395924878,1024,127,59392,246,3244,1835,3548,112078,T
954557126,1628,187,32560,246,1361,1376,2976,111979,F
000132186,26,52,1846,246,4243,458,3664,112234,T
197936145,10,10,530,246,1470,2294,4312,112089,F
006074696,104,1,3120,246,1329,458,2525,112483,T
047955678,70,8,4480,246,273,1835,3167,112399,F
192100107,14,39,364,246,735,458,2026,112144,T
252068071,2055,183,174675,246,685,2294,3289,112213,F
349872134,1409,202,35225,246,261,2294,2774,112524,F
291278846,2151,199,163476,246,230,917,2917,112889,T
385297950,985,140,63040,246,364,2294,3448,112124,T
524984768,15,7,1140,246,237,1835,2375,112559,F
289708228,1398,168,130014,246,609,2294,2601,112549,F
072932319,124,48,2604,246,389,917,2123,112032,T
356892315,853,146,50327,246,344,2294,2895,112580,T
265576868,2012,233,175044,246,235,2294,4135,112843,F
122589515,133,8,8246,246,532,917,2164,111967,T
947233015,1398,170,57318,246,303,2294,1991,112101,F
839257315,1494,224,59760,246,6895,2294,1992,112174,F
114578518,778,157,53682,246,297,458,4632,112712,T
447721277,865,107,76985,246,4412,2294,3149,112241,T
316680349,2027,209,176349,246,788,2294,3686,112101,F
496000706,954,114,62964,246,805,458,2103,112138,T
858476385,1557,171,70065,246,439,2294,3231,112701,F
477636780,1928,233,121464,246,574,458,3698,112568,T
012440313,14,9,420,246,2347,1835,4083,112539,F
695483120,115,1,11040,246,660,1835,4597,112482,F
670853990,15,21,1410,246,288,917,3240,112306,T
368429726,1985,178,150860,246,680,917,2624,111973,T
761919593,1563,184,45327,246,341,1376,4155,111914,F
753109279,84,5,4368,246,351,458,2412,112127,T
494255231,1475,173,36875,246,8486,1376,2736,112466,F
404649974,102,1,9486,246,548,2294,4360,112080,F
607288214,154,16,14014,246,385,917,4630,112701,T
924703283,1399,226,53162,246,296,458,2668,112642,T
052849559,125,34,11750,246,1598,2294,2470,111901,F
376813401,2128,225,117040,246,255,917,4593,112847,T
377276954,1496,188,125664,246,279,1376,2122,112759,F
269710469,1898,224,127166,246,346,2294,3290,112543,F
458420301,137,48,4932,246,506,1376,2781,112786,T
120486853,3,1,75,246,437,2294,3671,112000,F
734301569,2033,200,136211,246,441,917,2351,112808,T
484630438,207,52,16146,246,453,2294,4437,112891,F
720480164,2146,213,150220,246,243,1376,4615,112898,T
117587327,798,141,79800,246,331,2294,3639,112009,T
911261361,2042,232,85764,246,318,2294,3651,112730,F
585089594,1908,206,135468,246,242,2294,2530,111930,F
344703711,969,133,67830,246,282,1835,3627,112248,T
006439338,1421,179,122206,246,355,917,3122,111965,T
434562676,1459,174,53983,246,609,1376,3646,112772,F
141032964,964,149,29884,246,499,458,3016,112071,T
206680137,85,1,2805,246,1697,1835,3115,112007,F
123693178,123,32,7011,246,364,1376,3858,112607,T
064733210,9,40,477,246,350,2294,2550,112793,F
806716008,1902,207,148356,246,766,1835,4360,112297,F
280909484,823,116,57610,246,264,1835,4622,112600,T
871814643,1922,194,55738,246,1379,458,2791,112592,T
309264063,1559,167,62360,246,1137,1835,3713,112273,F
801661758,175,8,11025,246,506,1376,4119,112525,T
969660902,38,25,3306,246,721,1835,3470,112054,F
446676809,53,1,1961,246,1114,2294,2801,112730,F
588451830,1950,212,130650,246,2451,917,1874,112869,T
340503000,2130,231,202350,246,281,458,4310,112820,T
137501088,2126,190,110552,246,332,1835,4523,112177,F
764471613,2132,215,168428,246,612,1376,4438,111975,T
770301973,2170,205,95480,246,285,2294,3757,112651,F
411009193,2059,220,160602,246,258,458,3667,112848,T
137205450,88,6,4488,246,227,1835,4138,112721,F
150391632,1959,226,107745,246,303,2294,2492,112023,F
595945646,1534,235,92040,246,1869,458,2535,112406,T
892766426,132,1,6864,246,532,458,2721,112283,T
222938754,1489,210,74450,246,680,1376,2256,112715,F
033713414,849,151,44997,246,437,1835,2888,112724,T
498512333,132,25,8316,246,275,1835,3673,112388,F
183685794,1533,205,84315,246,275,1835,3866,112415,F
596154702,5,21,445,246,2565,917,4580,112511,T
054177369,47,1,3337,246,589,2294,2819,111918,F
497069766,2005,191,88220,246,551,917,3572,112483,T
433558601,54,1,2322,246,5253,458,3979,112244,T
684602816,2062,216,78356,246,348,2294,4370,112138,F
