userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
810220590,1897,245,318696,138,538,1891,3099,52024,F
116018362,1915,236,40215,138,692,1891,2796,51316,F
717219311,1941,279,260094,138,1264,378,3807,52006,T
364899768,1947,249,478962,138,2023,756,2372,51871,T
715642171,1874,251,129306,138,526,1513,2745,51437,F
498033933,1901,274,28515,138,549,1513,2717,52011,F
363501710,209,15,16511,138,1011,1134,3676,51899,T
432384135,1998,246,229770,138,732,378,3798,51848,T
815772842,1887,226,330225,138,1806,1891,2031,51574,F
421258646,1916,247,120708,138,2298,1891,1580,51714,F
516224414,304,63,26144,138,4597,756,3133,51560,T
390746986,187,16,28237,138,842,1134,3953,52240,T
252846688,236,13,52864,138,1580,1891,2767,51998,F
967399915,1818,247,114534,138,1806,1891,3595,52213,F
482959892,151,21,1812,138,1404,378,1700,51643,T
131658778,264,20,13992,138,1532,378,3883,52112,T
534034514,2029,210,127827,138,1204,378,1626,52049,T
729460269,168,15,8400,138,1404,1513,2674,51563,T
731271189,1369,140,249158,138,609,756,2754,51784,T
829462614,1816,274,108960,138,1366,1134,3533,51461,T
000679588,269,27,47344,138,574,1513,2813,51694,T
933265767,1940,258,213400,138,722,1513,3564,52056,F
066496785,234,25,33696,138,516,1513,3170,52203,T
071035959,1918,278,347158,138,2975,1134,3774,52031,T
901101666,315,32,48510,138,872,1134,2489,51470,T
882736378,1778,265,135128,138,640,1134,2497,51535,T
306915740,1954,210,484592,138,1099,378,3626,52003,T
862439914,191,22,19864,138,516,1134,3048,52063,T
839376269,1943,274,340025,138,3890,1513,2884,51869,F
969312258,283,6,52638,138,4214,756,3220,51541,T
361603227,1943,245,25259,138,1631,1891,3082,51314,F
352277836,1873,237,134856,138,1945,1891,3383,52266,F
419371258,354,44,87438,138,2661,756,1915,51870,T
950064510,1956,238,29340,138,574,378,2552,51803,T
395204645,161,59,6440,138,665,1891,2374,51571,F
912999280,166,10,6308,138,526,1513,1812,52106,T
039898895,1990,237,312430,138,2408,756,2594,51661,T
689542061,269,32,20982,138,624,1134,2859,52148,T
208138282,307,15,76136,138,1404,378,2971,51927,T
924007245,266,39,56392,138,1011,1134,3328,51713,T
085664908,1820,252,202020,138,2408,1891,3830,52176,F
852124497,282,72,3666,138,1296,1891,2593,51627,F
245649325,1853,270,66708,138,1366,1891,3623,52048,F
238955825,1892,248,461648,138,1099,1134,1719,51295,T
841916228,1833,275,445419,138,1806,1513,3277,51912,F
017857272,2012,230,237416,138,5619,756,2686,51608,T
365599281,2006,210,228684,138,1076,1891,3895,52138,F
643362278,119,59,9163,138,4214,1513,3298,51891,T
860480584,334,16,81162,138,581,1891,2308,52249,F
913709325,1906,257,135326,138,722,756,3016,52076,T
869067065,398,50,46168,138,1532,756,3113,51894,T
552355978,418,24,4180,138,555,378,2472,51638,T
587201900,184,50,27784,138,574,1134,2251,51368,T
208229659,2034,229,138312,138,5619,1513,3025,51440,F
975511959,1810,214,405440,138,543,756,2324,52181,T
722125838,1839,262,382512,138,510,1891,3610,51782,F
207344771,260,65,52780,138,754,1134,1714,52078,T
432324466,1914,212,405768,138,1532,1134,3787,51422,T
162143919,240,9,18240,138,555,1513,1701,51646,T
051465437,1907,250,427168,138,665,1134,2376,51885,T
128216373,1924,221,21164,138,632,1513,3217,51713,F
759036162,1868,233,274596,138,674,1134,3669,51624,T
306113513,1804,229,364408,138,1744,756,3613,51949,T
022246068,306,16,41310,138,754,1513,1481,51878,T
066953617,184,18,40664,138,1445,1891,2857,51290,F
349040631,279,40,7254,138,1580,1134,1555,52065,T
626409970,1969,222,297319,138,936,1513,3438,51877,F
504135630,359,74,75390,138,588,756,3974,52162,T
435678817,1823,247,65628,138,2298,378,3223,51301,T
405887038,1809,227,25326,138,2408,1891,1968,52015,F
218564862,1816,241,165256,138,1032,378,1844,51510,T
012308238,417,25,103416,138,2661,1513,3777,52111,T
161214026,202,42,35148,138,1330,378,3628,51503,T
431433477,162,27,12312,138,732,1513,1758,51753,T
325569981,334,60,37742,138,2023,378,3861,52224,T
580315845,299,66,26910,138,2408,1513,2658,51527,T
592547665,1903,233,230263,138,674,1513,3391,52092,F
458496486,1778,252,327152,138,505,1134,3666,51562,T
475380780,1762,218,290730,138,712,1134,1537,51583,T
777916995,1902,234,433656,138,1296,756,3075,51654,T
828681596,1774,231,413342,138,549,1513,2464,51968,F
417925078,373,32,56696,138,10115,756,3717,51927,T
960412322,418,16,87780,138,4597,1134,2787,51380,T
672219070,1905,261,314325,138,640,378,2033,51403,T
365179884,159,45,1590,138,1806,756,3179,51895,T
337052509,396,30,78012,138,1445,756,3767,51822,T
871104401,1969,273,464684,138,2198,756,2731,51542,T
037764999,159,63,23532,138,2528,1513,3231,52101,T
846034798,2012,225,44264,138,887,756,1915,51562,T
008567101,1752,209,59568,138,1296,378,2637,52009,T
292283522,341,5,65131,138,2809,1891,1595,51918,F
588660006,1972,241,47328,138,1076,1134,2455,52186,T
078624001,245,45,37240,138,743,378,2301,51734,T
887894596,211,43,33338,138,842,1891,1487,51630,F
920794010,185,56,45510,138,857,1134,2605,51806,T
087710691,177,7,13983,138,936,1134,2943,51944,T
614595516,1434,158,249516,138,3371,1513,3877,51788,T
661428654,279,13,64449,138,778,1891,2641,51689,F
995436508,371,50,14840,138,1204,378,2012,51542,T
522041699,123,32,29397,138,1685,378,1681,51406,T
001560321,1897,225,18970,138,954,378,2625,51359,T
798646742,1373,159,343250,138,3612,1134,2301,52219,T
617496854,1979,221,201858,138,683,1513,3177,51776,F
350722130,218,59,46434,138,526,1513,2475,52101,T
555373843,313,7,10642,138,609,1134,2236,52137,T
525855691,1462,139,324564,138,1264,1891,2578,52044,T
784521711,1912,258,464616,138,561,378,3767,52067,T
958291619,1890,267,285390,138,1011,378,3897,51527,T
209226067,178,18,25276,138,8429,1513,3216,51913,T
489491779,1769,222,30073,138,1053,1134,2471,51290,T
870271843,1979,232,308724,138,4214,1891,3165,51640,F
427990438,2028,264,58812,138,561,756,2221,51851,T
408800486,319,27,56144,138,1099,378,3973,51491,T
057881248,1850,223,223850,138,1099,1891,2853,52206,F
288308862,1407,145,332052,138,574,1891,2283,52062,T
893185139,218,24,50576,138,561,756,2486,52209,T
785687000,253,55,23782,138,3890,756,3268,51719,T
203201281,216,10,32832,138,3612,1513,1959,51554,T
701342404,1767,242,353400,138,1366,1513,2365,51404,F
914419193,412,10,44496,138,1806,378,2310,51550,T
089967047,367,72,46609,138,648,756,2793,51370,T
926459158,227,33,26559,138,754,378,1803,51287,T
205195404,1760,246,165440,138,1099,756,1822,52207,T
302598300,237,23,37209,138,3161,1891,1794,52049,F
615093721,1881,234,45144,138,954,756,2130,51312,T
120552092,186,71,37386,138,2298,756,3893,51332,T
436008817,145,19,5365,138,1176,1134,4002,51459,T
102214820,221,49,34697,138,872,1134,1645,52127,T
934618668,331,13,61566,138,526,1134,3159,51357,T
440263230,1950,260,483600,138,1099,1134,2220,51276,T
406657092,181,69,7783,138,2408,756,1881,52049,T
619539680,1785,232,240975,138,991,1134,1561,52258,T
957907876,156,13,17784,138,4597,378,3075,52086,T
295863826,310,68,4030,138,616,378,2463,51971,T
862160835,382,12,54626,138,842,378,3640,51548,T
352101986,1363,147,271237,138,4597,1891,1540,51599,T
705374919,1791,261,148653,138,732,756,3686,52229,T
