userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
336361003,1961,222,66674,138,254,378,3425,51599,T
465902185,1818,227,141804,138,111,1891,2306,51806,F
173097765,1948,274,62336,138,398,1134,2874,51789,T
660948427,1815,241,161535,138,121,1513,1980,51961,F
171181826,288,50,10080,138,182,756,2165,51744,T
597949133,129,42,10965,138,196,1891,3382,51700,F
014427260,1926,238,40446,138,107,1891,3188,51694,F
541989479,233,45,22368,138,133,378,3339,51599,T
128712961,2013,235,171105,138,250,756,2273,51958,T
700030152,371,16,16695,138,110,1891,2509,51732,F
691332968,1769,222,162748,138,105,756,3622,52181,T
250816384,193,36,7720,138,222,1891,2465,51906,F
590444215,1811,219,61574,138,481,756,3209,51307,T
587877934,1865,234,164120,138,223,1513,1713,51310,F
944424359,264,19,14256,138,258,756,1998,51429,T
839558193,1786,209,96444,138,126,1513,3183,52113,F
330817366,1782,244,138996,138,110,378,1950,52091,T
794163947,1983,276,77337,138,238,1891,2256,51411,F
619056640,286,71,27170,138,205,1891,2509,52240,F
121008966,1782,224,128304,138,279,378,3325,51752,T
670094072,1974,265,104622,138,112,1134,3257,51592,T
872165754,1901,267,55129,138,169,1891,2324,51629,F
252592324,414,67,34362,138,238,378,2776,51563,T
566038168,1857,262,183843,138,121,1891,1540,52216,F
680178040,189,64,13041,138,193,756,3927,51433,T
723062388,281,9,25571,138,112,1891,2373,51696,F
488078828,299,72,15548,138,135,1513,3615,51947,T
766477561,1805,210,146205,138,123,1891,2485,51448,F
569082107,407,20,36630,138,158,378,3763,51912,T
260990003,399,66,33117,138,472,1891,2199,51655,F
760302798,1851,227,122166,138,102,378,3489,51446,T
415236274,233,24,9786,138,114,1891,2523,51439,F
120970844,202,58,15756,138,337,1134,2372,51394,T
234613737,225,69,16650,138,262,1891,2902,52070,F
222684924,1925,273,163625,138,815,1134,3661,52150,T
624768859,1859,215,172887,138,380,1891,2245,51786,F
434675211,1950,210,89700,138,155,756,2259,52006,T
468664409,321,8,13482,138,722,1891,2570,51851,F
999840475,1865,265,149200,138,581,378,2984,51471,T
605694040,1744,227,43600,138,179,1513,3263,52258,F
730939149,315,33,26145,138,103,1134,2332,51379,T
607925768,1817,246,74497,138,1264,1891,1738,51439,F
030069509,133,61,11837,138,491,1513,3263,51310,T
567338945,1747,243,108314,138,217,1513,3570,51444,F
287932090,1993,238,79720,138,160,756,1949,51691,T
563974291,1815,209,141570,138,103,1891,2483,52116,F
551405786,1901,221,184397,138,156,1891,4017,51984,F
876284413,1769,265,120292,138,991,378,2379,51859,T
336240744,2002,220,56056,138,407,1891,2035,51455,F
058113587,365,27,29565,138,640,1513,3604,51267,T
396488083,1826,221,142428,138,156,1891,3206,52174,F
135726585,138,64,3726,138,407,1513,2721,52245,T
810081615,2007,216,144504,138,259,1134,3184,51282,T
346832736,1758,262,170526,138,245,1513,2172,52268,F
476421569,1747,213,90844,138,1366,1513,1463,52009,F
221388682,168,65,10416,138,141,1513,2708,51855,T
118151480,157,6,7850,138,842,1513,2423,52221,T
385298094,374,56,14960,138,149,1891,2486,52176,F
102598187,176,47,6512,138,337,1891,2370,51325,F
034281201,400,62,26400,138,1487,1513,2232,52201,T
797418546,403,36,19344,138,134,378,2233,52075,T
713040896,1965,269,56985,138,732,1513,2115,51530,F
532635056,301,27,24080,138,258,1891,2436,51656,F
027726459,351,74,24570,138,224,756,2195,51754,T
587589363,1835,242,44040,138,178,1891,3629,51867,F
566615688,1928,248,177376,138,887,756,3888,51745,T
182458731,374,18,15708,138,202,1134,3152,51876,T
732029702,346,14,6920,138,260,1891,2583,51633,F
916054699,391,24,34017,138,301,1891,2339,51626,F
630437746,263,55,19199,138,129,378,1485,51271,T
866205783,1749,259,166155,138,284,1513,3677,52259,F
289148982,264,63,8448,138,129,756,2644,52035,T
261946763,1868,275,65380,138,146,756,1520,52039,T
437375678,1781,267,119327,138,210,1513,3855,51955,F
294872111,1923,218,130764,138,101,1134,1866,51915,T
392333722,196,25,14700,138,200,1891,3025,52270,F
937867264,1808,249,139216,138,121,1134,3838,51539,T
236584949,416,26,21216,138,361,1891,3862,51762,F
860367105,347,52,21514,138,130,1891,2205,52023,F
465041520,1940,240,60140,138,919,378,2169,51587,T
772602290,407,71,18315,138,219,1891,2165,51582,F
897712382,355,55,26980,138,665,378,1629,52026,T
133768540,226,51,9718,138,113,756,3130,51714,T
068752261,261,9,6264,138,414,1891,2790,51406,F
485590389,164,12,3280,138,103,1513,2308,52139,T
222468170,1926,270,98226,138,306,1891,3221,51376,F
474683759,1827,243,52983,138,468,1891,1769,51733,F
771979230,185,72,7585,138,346,1134,2391,51860,T
515346612,334,4,18370,138,246,378,1715,51844,T
252929822,365,69,23725,138,168,1891,2948,52062,F
853923119,1785,255,69615,138,1176,1891,3078,51366,F
917672482,151,16,11325,138,124,1513,1946,51938,T
268444198,2024,219,85008,138,238,1891,2568,51288,F
222040609,185,17,5920,138,260,1134,3781,51352,T
861148270,1898,222,134758,138,215,378,2426,51794,T
126454514,418,10,28424,138,443,1891,4017,51625,F
771695638,1864,216,141664,138,443,1134,2340,51308,T
816510635,1975,234,197500,138,101,1513,3708,51449,F
990206786,1926,228,125190,138,386,1134,1926,51781,T
165851198,1929,233,127314,138,170,1891,2379,51762,F
