userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
913940357,1337,164,53480,384,2001,1043,4257,201137,T
097982709,1121,100,110979,384,10113,1043,9129,201209,T
706460800,994,110,223650,384,2825,1564,4853,201193,T
251042500,1309,126,13090,384,8354,521,6267,200555,T
778471330,299,22,27807,384,2287,2086,7113,200863,T
133878125,1522,235,105018,384,2562,1043,8452,200741,T
432257584,991,157,199191,384,3202,2086,5039,201143,T
735700007,1603,226,157094,384,9607,1043,5170,200409,T
172148203,1618,256,84136,384,8354,521,6327,200775,T
873347991,31,1,6293,384,5056,2607,7061,201000,T
717817885,1490,260,46190,384,2668,1043,8572,200490,T
398626485,1510,240,135900,384,3312,2607,4373,201037,T
761320233,1429,254,247217,384,5651,1043,8507,201056,T
130701558,67,58,14941,384,5822,521,4746,201201,T
129786482,207,21,38088,384,3921,2086,9153,200579,T
931336768,241,32,45790,384,4803,521,4715,200944,T
664495696,270,70,3780,384,2158,2086,7140,201105,T
068169881,340,46,14620,384,2135,521,6858,200423,T
580583076,144,70,27360,384,3843,1043,8943,200403,T
134471939,1535,207,280905,384,2372,1564,8470,200800,T
631927542,1665,222,21645,384,2183,1564,4969,200926,T
615330921,966,152,129444,384,8354,2607,8779,201034,T
599022018,118,34,28910,384,7390,1564,4364,200964,T
384452242,176,50,27632,384,4367,2086,8559,200370,T
152596890,276,42,24012,384,8734,2086,6738,200746,T
900720602,1013,101,34442,384,4270,2086,5121,201161,T
084994491,89,64,7298,384,9607,2607,6829,200707,F
325529735,1655,206,62890,384,10113,1564,4930,200547,T
851031089,1189,109,92742,384,2867,2607,7143,200720,T
155264316,1659,201,383229,384,2867,1564,6987,201156,T
419601685,1432,210,203344,384,2911,1564,4596,200942,T
349218284,1182,125,209214,384,5822,1043,4916,200481,T
421257461,981,103,42183,384,3050,2086,9012,200452,T
879666631,1436,244,117752,384,2668,2607,8330,200791,T
821441462,1059,105,94251,384,3312,2086,4961,200991,T
520268756,1701,237,255150,384,2528,1564,8902,200537,T
317246858,927,117,182619,384,2401,521,8896,200422,T
430065086,977,157,51781,384,7116,1043,8747,200786,T
012004275,881,162,12334,384,13725,1564,9287,200816,T
467310188,342,59,72846,384,2706,1043,4244,200753,T
683216198,1693,245,116817,384,2372,1043,8686,200615,T
737094500,263,14,8679,384,7116,1043,4425,200487,T
298550837,200,13,33200,384,3625,1043,8695,200264,T
799675754,1560,221,229320,384,2745,1043,4899,200717,T
373518614,1484,264,124656,384,5337,2607,5077,200317,T
912381743,126,6,6804,384,2260,2607,9160,200428,T
533410846,51,1,816,384,3150,1564,6254,200935,T
325845052,1491,218,184884,384,10113,1043,4558,201061,T
843865630,1184,136,251008,384,24018,2607,4675,200556,T
452365734,78,64,5304,384,5822,521,4734,200694,T
728172521,314,18,12874,384,10675,2086,6816,200407,T
140823909,192,72,36288,384,2463,2086,8594,200248,T
654855281,30,5,3960,384,2463,521,9160,200492,T
877057979,1463,256,207746,384,3843,1564,9187,200402,T
237908588,1126,98,132868,384,3493,2607,8904,200629,T
199373909,1454,263,21810,384,2158,521,4873,200609,T
106497342,1590,262,335490,384,2066,2607,4729,201121,T
960455136,263,80,42869,384,2088,2607,6601,200964,F
669173682,981,148,89271,384,5337,2086,9143,201045,T
551228383,1718,242,30924,384,3050,1564,8687,200760,T
810189544,1707,253,230445,384,14780,2086,8968,200843,T
469196564,1700,216,93500,384,7686,521,9149,200593,T
549536145,944,118,177472,384,3002,2086,4670,200973,T
084326863,131,25,9956,384,4003,2086,8716,200687,T
868343209,1091,150,150558,384,4803,1043,7156,201166,T
971540571,1186,143,234828,384,5822,521,8548,200355,T
310788128,302,36,32314,384,1921,521,8513,200805,T
153519215,78,18,18486,384,2495,2086,6782,200845,T
353035437,217,77,21700,384,5822,521,8763,200375,T
583321404,1116,107,121644,384,2372,1564,5102,200494,T
271304030,1690,236,255190,384,4270,2607,5037,201197,T
644359529,1138,116,64866,384,2401,1564,9237,200480,T
945530486,1516,221,322908,384,2315,1043,4695,200825,T
593547243,971,94,21362,384,2001,2086,9064,201044,T
853983115,188,72,36472,384,4803,2086,8600,200572,T
629263790,1669,249,80112,384,4926,1564,8419,200849,T
903572224,1487,207,187362,384,2956,2086,9196,200621,T
806010473,1374,111,54960,384,3625,2607,4224,201191,T
057258023,351,23,59670,384,2234,1043,9052,200961,T
187661198,1600,263,291200,384,7686,2607,6257,201062,T
315416262,961,114,86490,384,21350,1043,8662,201076,T
250069872,1675,260,212725,384,7686,1564,5111,200378,T
483364664,134,61,10988,384,4686,2086,8732,201203,T
160069235,359,17,7898,384,1921,1564,6649,200910,T
163164541,932,120,134208,384,2343,521,7044,200803,T
494020798,1700,212,202300,384,3558,2607,8364,201073,T
208933030,949,139,219219,384,6198,2607,4718,200763,T
225825696,151,48,2416,384,5337,521,9261,200847,T
768784855,1112,119,90072,384,1921,1564,4420,200865,T
972208751,301,45,31304,384,6198,2086,6942,201213,T
485353910,270,64,7560,384,11302,1564,7028,200822,T
233624234,289,56,51731,384,2260,1564,8346,200754,T
912857279,1698,222,405822,384,6862,1564,8511,200365,T
432940021,1573,216,346060,384,9607,2607,4296,200514,T
233951862,1520,233,214320,384,3695,1564,6390,200263,T
698335195,1145,99,85875,384,3202,2086,6702,200811,T
575978939,310,53,23250,384,7390,2607,6668,200805,F
930348804,1698,258,39054,384,8006,2086,4290,200561,T
603953349,219,40,13359,384,3312,1043,7056,201011,T
630013159,343,20,51450,384,2867,1043,4971,200515,T
957724804,1217,121,40161,201,933,623,1977,41751,F
678236844,1522,259,193294,384,2784,2607,4779,200996,T
137414132,261,52,6786,384,2044,1564,4341,201010,T
559388550,1688,231,187368,384,3099,1043,8738,200633,T
331001106,357,63,26775,384,2432,521,4989,201074,T
859402141,1578,208,160956,384,2287,2607,4165,201118,T
346720153,996,152,183264,384,5490,2086,8547,200454,T
516940935,1432,220,287832,384,6625,2607,9202,200818,T
697073404,1539,216,78489,384,4575,1043,8847,201042,T
195419548,989,111,165163,384,3050,1043,6425,201157,T
898320938,1564,219,206448,384,5490,521,4185,200217,T
805627436,1723,242,308417,384,2088,521,7019,201085,T
540465040,1691,216,322981,384,3150,2086,4878,200862,T
638686422,1574,248,358872,384,6862,1564,8986,200663,T
648983300,117,40,21060,384,2401,2086,4314,200935,T
518485356,1018,120,176114,384,6198,2607,6278,200210,T
005760235,1151,136,257824,384,2706,2086,8317,200659,T
158467876,50,15,1100,384,2401,1043,8568,200584,T
690248963,983,109,207413,384,3256,2086,5094,201140,T
597058664,917,127,209076,384,14780,1564,6526,200750,T
121738315,70,25,12250,384,2562,2086,8674,201140,T
784629390,1108,109,107476,384,32025,1043,8896,200605,T
594726421,1146,105,154710,384,2911,2607,9096,200393,T
394661005,1519,242,71393,384,3050,2607,9054,201184,T
788393943,1467,265,99756,384,12810,521,4206,200541,T
233163639,1014,100,117624,384,2088,521,6402,200329,T
850576375,309,73,4017,384,4575,1564,9190,200366,T
558015990,964,107,86760,384,3695,1564,6478,201166,T
886463541,33,10,396,384,3695,2086,6628,200465,T
431172592,132,60,4488,384,4575,521,4792,200799,T
545143813,1676,238,80448,384,2135,2086,6874,200863,T
499087040,1668,225,25020,384,3767,2607,8616,200321,T
517524490,1130,138,63280,384,1921,1564,8498,201122,T
529463342,152,64,28424,384,1940,1564,4178,200541,T
567925066,1140,111,67260,384,3558,1564,4564,200378,T
611639437,834,154,10008,384,3625,2086,6583,200321,T
312013831,23,15,2829,384,3558,521,6340,200638,T
637664541,1632,204,239904,384,7116,521,4732,200742,T
625467227,1673,261,117110,384,4367,1043,4174,201048,T
702197790,1589,199,228816,384,4367,521,8630,200586,T
616500160,354,39,59118,384,4088,1564,6445,200674,T
926595893,218,73,10900,384,2234,521,6476,200839,T
234526696,1689,198,412116,384,21350,2607,7012,200507,T
742517860,990,105,215820,384,4270,2607,6591,200577,T
469714454,1643,239,228377,384,5822,2607,8897,201064,T
306189730,1559,240,277502,384,3431,2607,8766,201031,T
667367188,1047,139,140298,384,2432,1043,4852,200368,T
450565735,1118,134,13416,384,2632,1043,8852,201177,T
810087758,1460,201,178120,384,3002,2607,9343,200570,T
981850703,1685,252,225790,384,11302,2086,8828,200628,T
882612483,302,37,52548,384,2825,1043,6378,200470,T
