userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
988457915,991,108,35676,384,542,521,4492,200605,T
077417072,294,36,17052,384,575,2607,6247,200942,F
451114274,336,43,31584,384,441,521,4464,200238,T
194010252,239,75,10994,384,1921,2607,8819,200499,F
921507606,967,130,92832,384,38430,2086,4218,200595,T
170855079,182,75,9282,384,465,2607,6455,201024,F
868575163,1027,146,34918,384,681,2086,8900,200608,T
898228540,261,57,8874,384,2562,2607,8310,200737,F
587663947,1640,267,32800,384,2632,1564,9127,201107,T
824286798,333,26,20646,384,2401,2607,6812,200628,F
636849739,987,96,39480,384,651,2086,9281,200867,T
651073568,103,55,2369,384,5056,2607,8574,201215,F
011893073,157,20,13188,384,1171,1043,6363,200563,T
389049774,65,54,1365,384,539,2607,9209,200289,F
032991181,1230,118,30750,384,419,2607,6268,200622,T
191868446,72,74,4320,384,1130,2607,6227,200888,F
590733970,1498,247,61418,384,995,2086,4516,200780,T
687489993,286,60,26598,384,768,2607,4883,200964,F
721369374,108,20,2268,384,613,521,5153,200265,T
770858579,1458,198,84564,384,1353,2086,4344,201084,F
045699129,129,4,3612,384,391,2086,9070,200510,T
834190830,221,23,15912,384,1027,2607,4881,200328,F
803592412,1157,149,53222,384,621,1564,4693,200390,T
628094345,344,47,13072,384,444,2607,8984,200460,F
424805611,1469,234,74919,384,550,2607,4572,200251,T
349795279,228,25,7068,384,706,2607,8430,201220,F
885466929,930,114,84630,384,522,2086,4804,200828,T
019469630,243,31,12636,384,467,2607,6886,201209,F
643725145,266,62,23142,384,667,2607,4510,200897,F
608586664,931,92,34447,384,1562,2086,5027,200752,T
727232639,1689,259,145254,384,591,1564,6632,200978,T
708225538,351,63,15444,384,711,2607,4222,201018,F
400429592,1317,133,47412,384,577,2086,8443,201061,T
546350336,128,36,7296,384,725,2607,7128,200280,F
353494758,298,62,26820,384,902,2607,7177,201040,F
787311338,1075,109,84925,384,1050,521,4456,200253,T
075041388,192,68,18432,384,662,2086,6467,200444,T
232003537,290,41,20300,384,821,2607,4512,200246,F
074336491,129,73,6063,384,1501,521,6242,200711,T
130866336,100,59,5100,384,784,2607,7093,200867,F
890331411,1612,233,117676,384,946,2607,8506,201158,T
921731900,256,13,8960,384,512,2607,8366,200421,F
514009035,930,102,68820,384,5651,521,4870,200465,T
580112655,344,54,11352,384,941,2607,5059,201138,F
406524159,839,161,23492,384,747,1043,9274,200406,T
757336546,172,48,14448,384,3312,2607,5126,200695,F
183495105,1637,231,63843,384,425,1043,4620,200532,T
308201765,349,78,28967,384,1289,2607,8370,201019,F
082222852,915,134,86925,384,7390,521,4724,200791,T
301299209,136,75,11424,384,38430,2607,6388,200314,F
803264206,1461,227,64284,384,602,2086,5169,200328,T
323025925,321,36,19902,384,6625,2607,8637,200268,F
382691728,1529,251,117733,384,1537,2086,8627,200590,T
099255685,309,43,23175,384,405,2607,8783,200330,F
178627687,1212,115,59388,384,506,1043,6410,201065,T
816176711,83,67,6889,384,485,2607,8907,201042,F
403207214,1575,236,63000,384,747,2086,8417,200457,T
115714502,338,12,18590,384,817,2607,6446,201201,F
666923018,1447,198,114313,384,2745,1043,6425,200530,T
105333388,256,65,17408,384,578,2607,6360,200981,F
784856057,1520,258,71440,384,27450,521,9067,200958,T
512753382,194,29,10670,384,3767,2607,4303,200650,F
698142929,87,40,7656,384,1575,521,8837,200998,T
438095722,217,34,8463,384,817,2607,4625,200490,F
096784743,1476,202,144648,384,9150,1564,6828,201010,T
615458218,214,33,8346,384,571,2607,6987,200489,F
325517755,1208,123,24160,384,6625,521,4164,200487,T
566436038,92,79,6624,384,762,2607,8813,200593,F
164331921,1132,92,83768,384,1847,1564,5107,201198,T
086684987,170,46,13090,384,1011,2607,8374,200420,F
894916903,970,120,46560,384,527,1564,4375,200906,T
308235781,244,25,20008,384,473,2607,8912,201069,F
288583995,1608,220,133464,384,722,1564,4612,200851,T
117041809,139,42,5004,384,610,2607,6467,200686,F
012551134,1172,117,62116,384,533,521,4448,200344,T
771138898,1561,199,78050,384,1746,2086,4186,200411,F
409246544,1482,201,82992,384,422,2086,8874,200831,T
158261615,183,75,17019,384,602,2607,6352,200832,F
775529091,1276,111,48488,384,451,2607,6591,200592,T
760409086,335,56,29815,384,1055,2607,7102,200457,F
636686971,1595,216,39875,384,621,1043,6427,200529,T
853084725,95,25,2850,384,4686,2607,4993,201072,F
026446943,866,162,20784,384,406,2086,4835,200792,T
237289374,336,65,18480,384,2911,2607,6907,200611,F
311217963,1040,156,98800,384,571,521,9018,200241,T
056453346,132,31,11352,384,1178,2607,9185,201175,F
573225798,1538,237,121502,384,445,1564,7060,200656,T
883635041,101,34,7070,384,781,2607,4684,200898,F
442417811,247,44,10127,384,638,2607,8653,200327,F
545942285,73,33,2336,384,585,521,7216,200298,T
168582554,1219,158,26818,384,404,1564,4692,200238,T
123268638,106,76,3180,384,475,2607,6591,200356,F
210722273,1166,115,41976,384,1960,2607,6718,200275,T
404804690,180,77,10980,384,674,2607,6556,200443,F
933957070,952,111,28560,384,1628,2086,4639,200496,T
088037377,211,20,14137,384,450,2607,8305,200386,F
667403914,955,149,58255,384,807,2607,9266,200370,T
302409207,154,19,11396,384,1325,2607,4632,200881,F
556409752,1150,131,31050,384,625,1043,6518,200382,T
697820723,276,24,11868,384,1812,2607,4197,200547,F
