userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
553949063,1721,265,125633,665,6110,456,5530,303962,T
163161131,506,92,53130,665,4403,1826,6300,304329,F
769521907,1970,419,110320,665,19960,1826,7913,303819,T
577513705,1675,316,180900,665,4829,1826,7668,304622,T
160804496,1269,224,62181,665,16634,2283,4375,303850,T
654306917,1476,229,227304,665,37426,913,8114,304619,T
963288544,1710,293,73530,665,3364,2283,7998,304384,T
360311467,216,55,9072,665,3364,1826,4150,304419,T
525905342,1372,217,112504,665,3939,456,8149,303846,T
279705250,1294,228,305384,665,3086,913,7280,304087,T
238817237,1827,391,63945,665,6508,1369,4372,304226,T
246159154,565,58,136730,665,3151,913,3809,304426,T
315866907,150,34,10350,665,15758,1826,4595,303850,T
188582705,1378,211,159848,665,3055,913,7668,304448,T
843630474,1325,173,129850,665,3888,1369,7998,304574,T
562018306,348,3,22272,665,6653,456,6134,304302,T
019625833,1511,214,43819,665,9356,913,8162,303748,T
275706832,578,104,19652,665,3522,1369,4143,303828,T
396127634,233,21,12116,665,3254,2283,4562,304082,T
001543839,1567,322,231916,665,3024,1826,5714,304616,T
100920888,1250,203,212500,665,4468,456,4233,304347,T
681308666,1333,205,221278,665,4752,1826,4627,304335,T
107595036,1462,236,96492,665,3651,2283,4071,304397,T
174574511,255,29,6885,665,6804,1369,3676,304322,T
684115445,1368,174,295488,665,33268,1369,8053,304028,T
155561425,646,60,47158,665,16634,913,4637,303966,T
504143609,1236,193,127308,665,24951,913,4145,303992,T
988851081,2061,412,45342,665,18713,913,4574,304594,T
249356171,1722,296,218694,665,13609,2283,5589,304274,T
499524217,342,25,18126,665,13017,2283,7464,304006,T
291956798,1390,235,76450,665,6804,456,4640,304099,T
043448567,1510,220,178180,665,4046,2283,4433,303861,T
573611769,100,15,19600,665,17612,2283,6158,304325,T
149679454,1620,302,100440,665,27219,456,7584,304412,T
015500727,574,63,29848,665,3185,913,4206,304418,T
078596823,179,22,34010,665,3219,1369,5562,304347,T
678829555,1255,217,194525,665,11515,1369,6316,304218,T
317499368,1693,270,179458,665,3481,913,3779,304492,T
211925849,1595,254,229680,665,3185,2283,4095,303670,T
131882008,1314,218,185274,665,6237,1826,5443,304484,T
707620079,285,14,11115,665,3290,2283,8035,304611,T
823505904,554,86,113570,665,13609,2283,3840,304090,F
147389816,508,42,112268,665,5870,913,4650,304231,T
949065701,1501,185,183122,665,6237,2283,7383,303726,T
021975910,1867,384,97084,665,8806,456,4551,303654,T
112743098,1350,223,305100,665,3254,1369,6387,304253,T
071601004,226,47,29606,665,14257,913,3752,303738,T
706357134,1271,212,105493,665,3118,913,7351,304103,T
854158942,1535,293,62935,665,5544,2283,7294,303796,T
455622032,1378,228,220480,665,33268,1369,4238,304337,T
526117680,151,3,12533,665,21386,1369,7702,304407,T
536586521,1799,413,62965,665,11089,913,7344,304194,T
733133515,1671,307,20052,665,5162,1369,7639,304311,T
270983700,1268,238,44380,665,3055,456,7381,304638,T
933766207,673,66,92874,665,8554,2283,7835,304057,F
274460742,157,25,14758,665,4403,1826,7695,304401,T
724869990,495,65,14355,665,11976,2283,7290,304584,F
425881974,646,69,109174,665,10693,1826,7270,304491,F
534137693,526,78,54178,665,7677,1826,4132,304641,F
832933914,1268,238,287836,665,4990,1826,4166,303939,T
475176743,1661,318,200981,665,4101,1369,8199,303868,T
544768400,1362,207,295554,665,3522,456,4088,304285,T
914633106,149,66,27267,665,6508,1826,8128,303907,T
947782936,1755,263,107055,665,4536,1826,5557,304166,T
297185444,725,38,179800,665,6370,1826,5644,304600,F
235841657,1659,305,89586,665,6110,1826,7327,304592,T
784052115,1432,232,124584,665,4277,1369,6171,304520,T
045763447,1485,190,44550,665,7128,456,5651,304054,T
700441530,350,26,11550,665,3118,1826,5808,304485,T
333655243,1549,277,23235,665,3151,1826,8257,304219,T
217904235,1469,192,80795,665,3402,1826,3913,304502,T
357464107,528,55,82896,665,7128,456,4023,304354,T
727843481,286,14,21450,665,3607,1369,3947,303868,T
126864857,1653,321,180177,665,14970,456,5742,304125,T
530301399,655,43,153270,665,3290,913,5950,304469,T
578833165,1345,197,104910,665,11515,913,7871,304055,T
567695731,616,94,129360,665,2994,1826,7712,304127,F
470498700,295,28,28615,665,8317,1826,6252,304299,T
154834209,1386,205,173250,665,4606,1369,4600,304211,T
402931580,1397,180,238887,665,11515,1826,8088,303713,T
778167669,88,35,20768,665,3055,1826,6308,304299,T
334354276,1325,234,245125,665,3055,1369,3611,304630,T
502782391,655,94,15720,665,29941,913,8127,303873,T
839792583,1234,170,307266,665,5870,1826,5616,304031,T
551792340,710,102,143420,665,15758,913,5973,304283,T
870490749,1323,204,116424,665,3024,1826,6399,304245,T
651836966,599,98,22163,665,3696,1826,6473,303767,F
685902179,158,40,39500,665,15758,1369,4172,303932,T
381751847,695,65,69500,665,5870,1826,7965,303639,F
432158507,1773,301,202122,665,8806,913,7493,303707,T
109842523,1501,201,103569,665,4339,456,4313,303813,T
698290705,535,35,71690,665,4990,2283,4648,304114,F
830613286,90,33,5040,665,2994,1826,7262,304562,T
822892157,661,39,103116,665,4990,913,3800,304088,T
865557244,147,16,33663,665,3607,913,3666,304174,T
869023657,1323,202,235494,665,5757,2283,3619,304429,T
216558203,1272,248,21624,665,4277,1369,4236,304575,T
933514659,647,71,95756,665,4101,2283,6391,304532,F
510086886,1656,314,66240,665,21386,913,4414,304573,T
466245157,681,42,72867,665,3838,456,7876,304450,T
116054850,1391,198,157183,665,6653,913,5747,304621,T
415090401,1277,202,19155,665,3024,1826,7469,303661,T
976040347,1619,309,142472,665,3696,1826,5829,304403,T
