userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
455574713,696,43,14616,665,750,456,5619,304524,T
742358104,483,36,38157,665,741,1826,4606,304191,F
684267245,1539,261,73872,665,19960,456,8078,304127,T
619076468,1850,357,86950,665,683,2283,7893,303786,F
970876371,1349,202,132202,665,3888,2283,6455,304120,T
214282877,669,62,43485,665,735,2283,4552,304301,F
866227013,1398,211,50328,665,1043,913,4278,303727,T
621195275,727,41,54525,665,1730,1826,5794,304204,F
511624071,1897,402,79674,665,598,913,4339,303672,T
482856445,2013,366,96624,665,3326,2283,7883,304438,F
837109892,134,15,7638,665,27219,1826,7380,304272,T
985883474,1887,388,43401,665,1222,2283,4643,303758,F
442165300,1430,241,45760,665,2108,1826,7755,304601,T
219937183,519,79,31659,665,59882,2283,3939,304104,F
337771098,1439,192,76267,665,1129,1826,8158,304008,T
557046143,458,73,35724,665,1092,2283,5893,304423,F
979047683,1729,321,82992,665,811,456,8280,303888,T
062935068,463,74,33336,665,1859,1826,7808,304631,F
582722225,1709,286,131593,665,660,1826,5945,304103,T
667604727,597,75,29253,665,631,1826,7474,303903,F
423553365,325,17,26325,665,656,1369,3650,304247,T
547817874,628,97,42076,665,5252,2283,4580,304008,F
639224155,1420,244,52540,665,870,456,5734,304386,T
047315600,648,50,51840,665,1636,2283,3974,304085,F
168391512,1500,188,64500,665,607,1826,7396,304437,T
391809087,610,87,58560,665,688,2283,3859,304498,F
041853769,1965,420,121830,665,921,2283,5477,304571,F
678807281,1426,197,119784,665,3481,1826,5699,303971,T
299877852,213,16,12354,665,2474,2283,7903,304008,T
501786360,607,43,39455,665,639,2283,7501,303992,F
230062436,91,18,5915,665,2036,1369,7920,304492,T
914287482,462,101,21714,665,4990,2283,5924,303974,F
503287476,1462,218,81872,665,702,2283,7493,304495,T
285618956,1988,378,89460,665,24951,2283,5849,304070,F
863659718,1593,256,97173,665,627,2283,4569,303965,T
140131851,712,103,55536,665,724,1826,7303,304139,F
068105901,629,104,22644,665,18713,456,8130,304401,T
161648552,705,76,40185,665,3118,2283,5926,303988,F
945881862,1637,312,162063,665,702,2283,6196,304560,T
856360801,702,75,53352,665,829,2283,8254,303771,F
581743996,611,62,26273,665,1217,1826,5805,304006,F
184198222,1735,284,74605,665,813,2283,4463,303895,T
026561033,81,64,6885,665,813,2283,4396,304029,T
818755063,609,57,54201,665,739,2283,5558,304596,F
977315730,252,41,21168,665,6963,456,7775,303675,T
020811932,525,59,22575,665,1551,2283,4148,303756,F
445812956,349,2,34202,665,3290,1369,4271,303945,T
693199423,651,58,17577,665,7879,2283,8292,304360,F
328418739,1661,283,73084,665,629,456,7804,304319,T
298866804,2038,361,105976,665,718,2283,7646,303833,F
185496430,1679,281,146073,665,1084,456,5760,304492,T
140635971,1992,365,103584,665,1100,2283,5823,303663,F
425475506,165,68,9075,665,981,456,8110,303648,T
875436586,587,83,36394,665,682,2283,7939,304636,F
073406568,1665,264,64935,665,2697,1826,8073,304565,T
478987758,466,69,44270,665,7677,1826,3963,303887,F
400498201,1891,382,83204,665,2050,1369,7797,303882,T
782126057,2032,363,103632,665,614,2283,5628,304016,F
228403686,1412,177,67776,665,783,1826,8227,304322,T
342537487,756,39,22680,665,988,1826,3943,304569,F
602899518,1477,197,129976,665,1043,1826,7419,304136,T
715198961,1815,366,81675,665,3790,2283,5474,304365,F
432088337,1501,210,82555,665,1618,2283,3802,303901,T
994298798,496,89,34720,665,1551,1826,4018,303796,F
765261335,1574,301,143234,665,609,1369,7551,304121,T
895763956,553,55,40922,665,609,1826,5766,303886,F
950526021,1823,299,36460,665,7128,1369,7844,304465,T
479348592,514,51,33410,665,1108,1826,6260,304079,F
533168750,1707,279,141681,665,9073,1826,8169,304233,T
515937030,659,51,48107,665,2746,2283,7497,303992,F
909316406,1391,227,51467,665,59882,1826,6462,303882,T
645660370,648,91,23976,665,706,1826,4322,304638,F
025500105,125,22,4375,665,1084,1369,6166,304375,T
539532571,642,57,23112,665,2376,1826,5445,304188,F
791485618,684,102,56772,665,965,2283,5728,303822,F
332456177,1222,170,105092,665,2185,913,7891,304563,T
490558719,662,75,42368,665,775,456,4381,303993,T
734981344,719,60,29479,665,1104,2283,5991,304200,F
798280939,1360,220,129200,665,883,1826,7358,304412,T
089164906,467,78,28487,665,829,1826,6133,304616,F
540345404,350,30,8750,665,3888,1369,5732,303781,T
192325272,604,62,16308,665,27219,2283,5733,304123,F
299950429,1264,180,64464,665,652,913,4318,304198,T
670842693,549,73,48861,665,29941,2283,7397,303861,F
516949055,1950,382,40950,665,1057,1826,5935,303647,T
282267793,572,80,41184,665,1710,1826,5731,303915,F
839592187,628,90,55264,665,988,913,4123,304509,T
511465778,560,59,53760,665,1367,1826,4018,304161,F
542833553,1750,313,96250,665,1313,456,7700,304305,T
451134185,586,43,36332,665,1018,1826,7490,303741,F
665791665,1380,210,95220,665,899,1826,5898,304579,T
853008771,2083,402,93735,665,1392,2283,7256,303959,F
417366554,323,13,14212,665,677,913,7543,303714,T
037810525,689,46,15847,665,1183,2283,4019,303789,F
531093182,1376,171,55040,665,737,1369,4200,303698,T
249104679,687,102,58395,665,601,1826,5817,304418,F
178109017,346,7,19030,665,1504,913,7358,304598,T
004493535,637,77,15288,665,848,2283,7850,304389,F
830473217,1769,277,125599,665,1104,1369,5449,303663,T
765906372,535,84,16585,665,2559,2283,5680,304362,F
