userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
175416443,1649,132,62662,426,11531,881,1088,187653,T
636975690,786,161,13362,426,6150,1762,1776,187312,T
776412196,91,52,7644,426,3181,1321,1710,187554,T
552769446,2073,330,269490,426,4855,881,1986,187227,T
148483905,1432,155,73032,426,3843,2203,2316,187321,T
536975915,1464,261,16104,426,3354,1321,1073,187731,T
193258905,2119,267,457704,426,1845,1762,1605,188080,T
547767593,1461,129,315576,426,4500,1321,1348,187919,T
187641153,1984,322,83328,426,1902,2203,2109,187707,T
123471489,218,21,11772,426,3925,881,1882,187641,T
840390835,1946,299,247142,426,1845,2203,1386,187652,T
000551351,1460,222,162060,426,4855,1762,1564,188084,F
595620542,941,193,52696,426,3075,1321,2372,187642,T
642981184,1020,210,21420,426,1845,2203,2180,187790,T
987103081,1918,286,281946,426,9225,440,1178,187249,T
917555946,1541,127,363676,426,3843,440,2158,187402,T
950502927,60,43,9960,426,2250,1321,2201,187691,T
259706276,822,187,22194,426,5765,1762,1222,187165,T
868092462,1648,202,79104,426,2673,1762,2335,187431,F
962500284,752,169,154160,426,2396,1321,2249,187252,T
847030981,592,39,74000,426,6833,881,2567,187195,T
205584513,723,214,35427,426,2795,1321,1450,187341,T
708850384,558,97,85374,426,2306,1321,1446,188084,T
007008879,786,176,28296,426,7096,1762,1264,187217,T
567030120,1608,207,157584,426,2073,1321,1752,187240,T
816843197,78,40,16458,426,6362,881,1589,187130,T
106651347,602,66,96320,426,4730,2203,2160,187518,F
550813619,448,42,101696,426,4986,2203,1914,187618,F
871797135,414,58,94392,426,30750,1321,2752,187124,T
388489222,1606,257,134904,426,9710,881,1540,187551,T
745529968,583,56,97944,426,3127,1321,2279,187975,T
376467494,1944,315,270216,426,16772,1321,1614,188013,T
349922809,909,187,14544,426,8785,1321,1564,187222,T
737445279,1553,224,27954,426,7687,2203,1047,187140,F
871643753,39,18,8190,426,10250,881,1876,187903,T
166630245,2080,291,478400,426,6362,1321,1359,187877,T
518077641,212,26,29044,426,9225,440,974,187346,T
858270875,736,193,111136,426,2365,881,1894,187100,T
204502194,1902,286,378498,426,5765,881,1526,187550,T
830936136,1597,139,169282,426,3127,1762,2702,188048,T
140426608,545,102,126440,426,6833,2203,1749,187274,F
620634787,608,60,125856,426,14192,1762,1296,187257,T
805337833,1512,257,185976,426,5951,881,2703,187452,T
773191152,1424,142,321824,426,18450,881,1130,187269,T
310723329,1942,345,73796,426,3127,1321,2227,187574,T
189905732,1606,134,96360,426,8785,1762,1074,187214,T
739396181,1606,148,292292,426,2145,440,842,187899,T
459786741,946,172,120142,426,3354,1321,2568,187660,T
976301495,165,12,34980,426,4100,1321,2587,187930,T
637064473,895,153,114560,426,1902,881,1552,187723,T
550800058,446,40,36126,426,4193,1762,1646,187328,T
032999338,496,108,57536,426,20500,881,2034,187714,T
876440274,1651,228,287274,426,7687,1762,1546,187963,F
978185462,1519,227,358484,426,2635,1762,1461,187989,F
425970105,405,48,21465,426,2882,2203,1844,187662,F
321921617,1414,200,89082,426,2096,440,2599,187918,T
560898416,477,45,36252,426,2145,2203,1507,187912,F
564065461,449,60,44002,426,5271,1321,1813,187482,T
885430971,781,196,46079,426,20500,881,1194,187147,T
979992022,1696,218,245920,426,2928,881,1842,187795,T
803409564,462,97,73458,426,1942,1321,1467,187536,T
152034274,832,171,68224,426,2050,440,2616,187866,T
389662356,958,168,72808,426,2277,881,1557,187867,T
026902800,423,47,28764,426,2096,440,1683,187332,T
048077322,1826,376,51128,426,2928,1321,1594,187926,T
779678713,760,150,41800,426,9710,1321,1061,187348,T
033655277,878,191,54436,426,1983,440,2540,188068,T
180185183,2072,323,501424,426,5590,2203,2580,187794,T
727244964,1549,255,125469,426,36900,881,1805,187540,T
226663025,2113,269,490216,426,4612,881,2244,188041,T
480329002,395,48,41475,426,8021,881,2252,187691,T
795064200,1537,225,106053,426,9225,440,1317,187351,T
094676693,371,74,64554,426,3416,1762,1391,187506,T
174970628,49,32,9604,426,2365,440,1307,187484,T
834470148,1445,143,235535,426,8785,440,1476,188080,T
118668915,531,67,54162,426,2277,440,1811,187291,T
117626165,1691,206,360183,426,26357,440,1574,187675,T
683604573,2102,329,161854,426,3024,1762,1870,187426,T
017097688,1575,135,322875,426,2975,2203,2611,187490,T
137295795,397,72,81782,426,2975,1321,2040,187632,T
123916915,93,38,14415,426,2277,2203,1280,187491,T
042802618,909,149,91809,426,13178,440,1669,188085,T
885763330,1445,256,264435,426,20500,1762,2623,187310,F
157630049,1620,247,307800,426,2222,881,882,187158,T
210159735,1633,149,173098,426,30750,1321,1721,187565,T
345463549,1508,132,122148,426,13178,440,1307,187939,T
630336443,2080,315,168480,426,2882,2203,2068,187804,T
839017246,1860,350,93000,426,6150,1321,1957,187718,T
535107675,1936,276,180048,426,2306,2203,2446,187717,T
156977739,2003,323,258387,426,1983,2203,893,187810,T
414442760,496,70,117552,426,3548,1321,1548,187961,T
349871358,88,25,16720,426,2795,881,1444,187395,T
124007246,534,46,59274,426,3843,1762,2738,187388,T
684287344,458,46,10992,426,4730,440,2622,188050,T
