userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
577466624,1252,115,272936,115,442,1784,6056,40714,F
754199689,1528,237,45840,115,4224,356,7346,41459,T
844565008,1871,393,409749,115,864,713,7410,40830,T
520519917,403,23,93899,115,452,713,4567,40673,T
000472175,2093,180,35581,115,844,356,7113,41117,T
672099567,2039,173,240602,115,535,1070,4264,41046,T
180326620,1853,405,370600,115,1027,713,7851,40664,T
630755932,1568,208,106624,115,2924,1427,5667,41269,T
908687510,1729,207,326781,115,1810,1070,5943,41419,T
771620200,1893,195,261234,115,905,713,4434,41065,T
670664308,110,2,20680,115,475,356,4202,41147,T
276134399,2067,431,351390,115,884,713,7549,40998,T
617659086,85,17,13090,88,436,624,1460,13739,T
752000659,195,1,9165,115,427,1427,5650,40592,F
309290998,1688,260,65832,115,493,1070,6004,40832,T
990510247,1912,385,374752,115,481,713,3531,40849,T
407785566,1523,269,379227,115,760,1427,3975,40772,T
678967214,1976,430,347776,115,691,1784,5833,40608,F
130284421,1140,123,190380,115,493,713,7204,40646,T
142050779,2108,174,183396,115,1267,713,5801,41336,T
508220023,1810,204,450690,115,2000,1070,7773,41047,T
814060644,229,18,45113,115,717,356,4041,41393,T
230325321,1630,227,185820,115,1188,356,4216,41317,T
741150963,110,11,24530,115,2000,713,4139,40766,T
097798461,1680,214,114240,115,974,1427,6279,41258,T
010026984,420,57,26040,115,408,356,5943,40850,T
773288417,1995,425,157605,115,400,356,5948,41389,T
076349592,1848,421,338184,115,864,713,7666,40588,T
604034648,1660,205,338640,115,974,1070,6025,40564,T
147958938,77,1,10395,115,2000,356,7360,40533,T
803138805,245,59,25725,115,1584,713,8020,40843,T
416182596,1813,426,346283,115,2715,1070,7970,41049,T
930948960,232,22,56144,115,567,1427,7733,41252,T
467086782,2036,390,474388,115,884,713,6229,40653,T
526338937,1874,419,264234,115,717,1427,8004,40699,T
554721640,1084,121,208128,115,1357,1427,4513,40757,F
780329996,1587,265,138069,115,567,1427,3983,41321,T
796395762,98,44,23226,115,442,1070,3902,41462,T
957439505,45,49,9720,115,2000,1427,7340,40640,F
624041660,2010,213,476370,115,1267,713,5742,40583,T
703569725,1980,195,79200,115,567,1070,4538,41118,T
418789321,2035,193,142450,115,408,1070,8072,40526,T
004145632,1679,230,352590,115,535,1784,3716,40679,T
367882937,2044,179,32704,115,1728,1070,5827,41108,T
216855088,1972,240,337212,115,613,713,3935,40719,T
706025077,2101,410,397089,115,543,1070,7648,41145,T
330100787,2066,419,334692,115,567,356,7930,40976,T
456312976,295,55,23600,115,678,1427,7712,41220,T
993628957,2104,232,460776,115,826,1427,5543,41180,T
934250233,1908,207,303372,115,535,1784,5401,40763,T
674279878,1283,126,291241,115,427,1070,6030,41105,T
372666151,1904,201,186592,115,792,1070,6137,41302,T
839649447,2040,186,81600,115,550,1784,4204,41079,T
126860891,1664,257,316160,115,387,1070,5857,40817,T
891933854,1645,249,327355,115,2534,1427,6318,40754,T
386376739,1988,209,306152,115,2236,1427,3598,40851,T
632899845,1165,103,260960,115,528,1427,7715,41105,F
965860221,1150,133,217350,115,422,1070,5738,40867,T
540042211,2100,424,470400,115,469,356,4563,40596,T
763645023,277,23,32132,115,745,1427,3783,40957,T
158565322,1663,249,169626,115,2924,1070,6119,40774,T
777844472,109,23,8393,115,384,356,4234,40791,T
164049014,2052,212,63612,115,391,1427,5800,41085,T
836436370,1990,398,23880,115,442,1784,7688,40951,F
991645983,1836,395,326808,115,950,356,7258,41336,T
885302121,1536,228,241152,115,1810,713,5614,41384,T
225554391,2033,199,132145,115,576,713,3538,40683,T
284721943,1936,195,156816,115,731,1784,5775,41084,T
894140701,206,58,42436,115,543,1784,4186,41063,T
734623805,1934,383,214674,115,432,1427,3728,40516,T
983260587,2016,372,441504,115,1652,356,5855,40569,T
096213281,348,25,76560,115,1462,356,7533,40791,T
319619108,1729,207,366548,115,400,1070,5746,41504,T
324378958,417,37,92574,115,2924,1070,7130,40643,T
236581011,2000,368,160000,115,520,356,3792,41474,T
999472392,2037,391,421659,115,396,356,5702,41075,T
741086287,181,65,31675,115,6336,713,3547,41126,T
732153157,1937,401,104598,115,826,1427,7452,40661,T
830476951,166,28,39840,115,1056,1427,6078,40871,T
933559061,1982,409,95136,115,644,356,5949,41015,T
879270123,316,29,60040,115,844,1784,5627,40988,T
882788356,179,82,35442,115,1267,1427,7967,40535,T
988883151,2048,400,102400,115,520,1070,3703,40847,T
091734060,1987,234,266258,115,1408,1070,5313,40831,T
768227891,1972,371,134096,115,717,356,7248,40894,T
271789548,1950,392,198900,115,387,1070,7218,40873,T
410342379,452,55,9944,115,2534,1784,3893,40774,T
992881331,1175,108,213850,115,1462,1784,7128,40956,F
116145467,1627,211,17897,115,2715,1784,7689,41091,T
018981473,382,18,47750,115,550,1427,3863,40968,T
755065462,1852,400,401884,115,506,356,5634,40647,T
339978161,1925,173,288750,115,927,1784,4119,40517,T
473765317,2051,423,410200,115,6336,1427,8073,41325,T
496473905,1733,251,164635,115,1118,1070,6239,41410,T
590584007,1610,269,379960,115,808,1784,7122,40615,T
121573996,373,40,67140,115,1810,1070,5981,41092,T
627154590,1927,196,202335,115,481,1784,5829,41172,T
020080830,1213,138,259582,115,475,1070,5780,40830,T
443411781,379,83,78832,115,400,356,6104,41240,T
625885540,282,58,63732,115,1584,1427,4239,40827,T
274784341,6,56,1404,115,731,1070,8113,41002,T
562636127,177,6,12744,115,4224,713,7171,40596,T
922674462,222,16,10656,115,2376,1784,7947,41121,T
793172707,1901,413,471448,115,623,1427,6184,40839,T
481353495,105,39,5775,115,391,1427,7507,40497,F
453092583,1574,228,20462,115,808,1784,3804,41357,T
552794784,2066,216,380144,115,826,713,5328,40982,T
236817811,1948,180,405184,115,792,713,4334,41388,T
946839028,381,76,75438,115,1462,1784,5767,40731,T
323492322,449,65,98331,115,623,356,7534,41097,T
058789431,1212,142,235128,115,447,1427,4246,41136,F
608855780,1267,153,304080,115,927,1427,7324,41482,F
709831023,2042,370,471702,115,2236,356,5906,40719,T
118114604,1880,189,218080,115,594,1427,3623,40669,T
640577282,1668,268,180144,115,950,1784,5829,41037,T
819150362,1712,264,398896,115,487,356,4075,40645,T
450364620,1519,266,120001,115,396,1427,7217,40909,T
762560138,170,56,21420,115,396,1784,4163,40709,T
907643279,1096,123,164400,115,384,1784,3726,41025,F
437030791,2096,198,329072,115,2000,356,3636,40810,T
680149614,2077,397,147467,115,417,1784,6015,40788,F
196349204,415,38,10790,115,4752,713,7565,41270,T
503642737,353,14,34594,115,1086,1070,5711,41082,T
586251391,1859,379,26026,115,513,1070,7088,41235,T
509440791,1902,409,329046,115,2236,713,6252,41471,T
446317224,1624,225,100688,115,5430,356,4231,40985,T
534291115,33,15,7326,115,717,1427,8023,40669,F
350955974,247,61,37297,115,469,1427,7355,40904,T
155644387,170,32,17510,115,666,713,4543,41280,T
920260188,1858,224,367884,115,427,1070,4092,40807,T
008854267,1843,204,108737,115,3168,1784,4034,40931,T
805372942,239,14,26290,115,2715,1070,5948,40892,T
891777936,253,24,48323,115,520,713,5558,40839,T
247380285,1814,239,333776,115,792,1784,5371,41250,T
626740426,1956,377,66504,115,458,713,3857,40735,T
702838451,1876,218,395836,115,1520,356,4130,41158,T
498381800,177,83,36639,115,3801,1427,7649,41057,T
980884636,1914,408,216282,115,384,356,3837,41454,T
728627995,1898,423,28470,115,493,713,5316,40978,T
613153942,1911,199,189189,115,6336,1784,6309,41495,T
504720815,64,61,15040,115,576,1070,5829,40810,T
851499048,1723,209,416966,115,391,713,7482,41448,T
510936739,11,35,2618,115,1152,1784,4391,40665,F
187245626,2091,429,347106,115,422,356,7089,40989,T
949093636,166,30,3652,115,2534,356,6079,40695,T
939542066,1727,258,188243,115,1584,1784,6073,41464,T
775639865,137,17,16029,115,1357,1784,6247,41101,F
915793049,398,40,80396,115,760,1427,4526,40902,T
474418879,1967,393,64911,115,678,356,5960,40669,T
356494200,25,27,2800,115,905,1784,5465,40516,F
048734817,1998,386,225774,115,5430,356,3948,40896,T
509490665,403,69,78182,115,704,1070,6149,41235,T
846946369,1214,122,275578,115,655,1784,3629,40915,F
030120645,1689,240,200991,115,481,1070,7945,41279,T
846886053,1062,134,193284,115,567,1427,8081,41385,F
386232934,457,71,70835,115,520,1784,5952,41310,T
764634074,158,14,23068,115,442,356,5602,40870,T
736586699,1700,257,414800,115,974,1070,3632,41412,T
730483928,280,73,66080,115,927,356,5522,40577,T
892376311,2024,205,287408,115,623,1070,4398,41463,T
282206071,1856,413,63104,115,3456,1784,5893,41076,F
658850638,1989,424,274482,115,603,1427,8029,41347,T
164523989,325,34,79300,115,1267,713,5823,41155,T
183845812,1860,191,461280,115,447,1784,7461,41007,T
218808392,1468,255,95420,115,666,1784,7931,40955,T
379581741,2086,389,60494,115,974,1784,6270,41441,F
350085555,1998,227,275724,115,655,1427,5417,41301,T
759971258,2003,189,232348,115,391,356,4390,40848,T
676798701,29,46,1740,115,691,1070,5685,40749,T
949271879,2029,403,184639,115,2534,1784,7813,40956,F
222771773,173,81,5017,115,506,1427,5357,40672,T
953205172,218,76,34444,115,5430,713,5894,41313,T
596501416,1527,258,265698,115,1188,356,7240,41318,T
246770242,1940,388,310400,115,1408,1070,3664,41162,T
180555934,1718,220,113388,115,513,356,3888,40850,T
940786124,1666,263,156604,115,387,1427,8110,41484,T
391786568,247,32,49400,115,613,356,6170,41286,T
249083786,1930,184,164050,115,432,1427,7595,41340,T
886702903,1612,243,35464,115,463,1427,4205,40979,T
251282984,1874,209,296092,115,1086,356,3850,40946,T
086359747,292,17,43800,115,500,1070,7403,40703,T
197908303,449,35,83514,115,396,1784,7121,40954,T
520081716,1582,266,210406,115,3456,1070,4531,41083,T
907925013,13,56,2782,115,559,1427,5337,40743,F
776116733,217,22,29295,115,666,1427,4038,40586,T
732025956,383,79,78132,115,513,1784,4108,41256,T
598171260,1996,373,421156,115,408,713,7966,40962,T
585484942,2027,401,421616,115,567,1784,7667,40807,F
489433339,446,45,58872,115,463,1070,7449,41467,T
149781818,184,43,33672,115,422,1784,6331,41215,T
246895484,1053,135,211653,115,594,1427,3920,41078,F
314048418,253,71,47058,115,884,1070,5952,41089,T
961081392,1904,380,430304,115,2112,713,7674,40602,T
529079831,1839,415,22068,115,717,1070,5768,41226,T
975829891,461,80,51171,115,422,1784,7912,41347,T
483101866,1913,180,336688,115,1810,713,4465,41396,T
840964643,1959,195,94032,115,442,356,5439,41495,T
469509588,2105,375,446260,115,760,713,5945,40673,T
607078357,1858,193,327008,115,1152,713,4551,40527,T
946269267,1498,256,313082,115,844,1427,5507,40705,T
453178331,70,49,1610,115,974,1070,3996,41345,T
075239485,1726,291,331392,115,5430,1784,4390,40985,F
838710898,1928,425,316192,115,3801,1070,7852,41328,T
380461042,1019,118,220104,115,1520,1784,7781,40742,F
550157968,2032,175,56896,115,506,1784,7686,40888,T
145389004,1473,227,306384,115,432,356,7713,40547,T
970589991,1476,228,188928,115,452,1427,3657,41235,T
769817564,222,60,15984,115,1652,713,5750,40734,T
990295061,1901,207,328873,115,760,356,4036,41407,T
036221376,1980,372,182160,115,506,1427,6339,40855,T
332581003,2040,195,420240,115,506,1427,3703,40507,T
351871841,1991,206,19910,115,633,356,7839,40547,T
240784904,1926,418,52002,115,550,356,7340,41015,T
874211726,1027,122,246480,115,391,1427,5355,41129,F
284029283,1469,224,127803,115,1408,1784,3909,40909,T
160926471,1991,399,346434,115,2236,1784,4004,40558,F
750912430,1919,183,243713,115,481,356,6293,40835,T
705118996,1717,253,233512,115,678,1784,4258,40671,T
262499982,1836,172,91800,115,404,1427,3630,40623,T
987017954,1971,226,283824,115,3801,1427,7455,41309,T
007459145,2017,371,429621,115,469,1070,5783,41435,T
657745035,1128,160,244776,115,396,713,5434,40947,T
507025255,1853,215,259420,115,731,1784,6045,40687,T
941880454,1284,140,310728,115,691,1070,5918,40530,T
946298091,33,5,5247,115,655,1427,4107,41049,F
544287160,1567,250,194308,115,775,1427,6277,40778,T
598442542,1651,259,321945,115,1462,1070,5799,40514,T
778474298,1902,209,351870,115,2924,1070,5379,40556,T
966676243,1478,263,208398,115,5430,1427,7901,40643,F
958655267,239,62,32743,115,2000,1427,7566,41261,T
785629502,1925,388,413875,115,1188,356,7656,41287,T
502065229,1600,243,131200,115,1152,1070,7667,41479,T
529279691,1860,176,459420,115,655,356,5639,40603,T
986036170,1132,141,263756,115,400,713,5732,41113,T
906661005,2099,362,228791,115,487,1784,5499,40706,F
133184349,1985,185,319585,115,2112,1427,7654,41273,T
207560908,15,63,2595,115,1728,713,7306,41032,T
274831986,1898,393,284700,115,927,1784,7638,40716,F
763200252,461,81,30426,115,666,713,3646,40504,T
167404216,1956,410,389244,115,1728,1784,6342,41333,F
043784717,7,59,1659,115,584,713,7220,40575,T
972610939,1870,222,252450,115,594,356,5563,40497,T
278338825,1872,415,86112,115,404,1070,8109,40747,T
245350964,311,68,9641,115,384,356,7144,40847,T
359809688,2103,220,441630,115,396,713,5382,40550,T
