userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
844644418,1928,205,156168,115,114,1070,8096,40520,T
120514582,1810,408,76020,115,161,1784,7439,40959,F
593576764,2045,415,114520,115,137,1784,5357,41067,F
297440332,1817,172,81765,115,603,1070,5882,41301,T
067972306,1983,385,144759,115,84,1070,3774,41051,T
984568449,2000,392,104000,115,150,1784,6320,40889,F
159051560,299,56,24817,115,442,1070,4312,41125,T
220607421,1950,429,177450,115,144,1784,8014,41238,F
900853567,1497,237,95808,115,113,1070,4466,41199,T
658471292,1876,409,101304,115,243,1784,5376,40923,F
867212794,1706,230,105772,115,224,356,4418,41105,T
775663336,1867,407,37340,115,91,1784,3966,41010,F
157007212,1819,367,140063,115,180,1070,7177,41261,T
940868178,145,6,11310,115,436,1784,3704,41057,F
839872098,1529,253,99385,115,100,356,5940,40792,T
200748703,2016,430,40320,115,117,1784,4485,40730,F
582334541,2106,213,61074,115,99,1070,7720,40549,T
064755689,29,66,2291,115,251,1427,4120,41173,F
099574541,1690,244,136890,115,80,1784,7182,40867,T
857575994,1868,402,166252,115,94,1784,8032,40722,F
046075643,21,67,1890,115,132,356,5848,41139,T
777941747,1992,426,75696,115,1584,1784,4442,40858,F
521531344,157,19,9577,115,125,1784,3870,40577,F
053350497,2036,240,177132,115,2112,713,7605,40609,T
091751352,1583,201,112393,115,149,356,7663,40841,T
418422909,5,15,440,115,301,1784,3565,40761,F
542314992,251,64,18323,115,172,1070,3957,40982,T
399181279,139,40,12927,115,97,1784,5799,40655,F
802796792,1906,405,106736,115,212,713,3735,40714,T
680699884,104,6,9360,115,195,1427,7342,40978,F
049571710,1611,228,96660,115,447,713,4131,41039,T
328457450,191,8,18527,115,83,1427,7338,40498,F
527747282,1826,396,153384,115,139,1427,4434,40944,T
608439915,56,64,3416,115,311,1784,5437,41370,F
098719404,1578,227,149910,115,90,1427,3836,41039,T
120686987,12,45,696,115,94,1784,8097,41081,F
623228022,131,30,11790,115,96,1784,7559,40699,F
493916733,1874,173,121810,115,151,1070,5847,41494,T
790823907,12,15,768,115,181,1427,5934,40896,F
942834296,199,47,12935,115,102,356,3851,40866,T
122503109,2110,196,208890,115,168,1070,4414,40758,T
527098346,177,1,6549,115,146,1784,4455,40537,F
911528011,107,40,9202,115,309,356,7793,41436,T
248907972,56,5,4144,115,79,1784,7963,40578,F
011157233,195,60,6630,115,142,1070,4066,41305,T
656342567,1812,405,137712,115,1000,1784,5672,40580,F
016193682,1541,251,115575,115,97,713,7858,41317,T
431123921,65,41,1755,115,165,1784,5787,41120,F
647040028,408,76,12648,115,163,1427,7928,41488,T
484242530,129,19,2709,115,79,1784,4453,40759,F
062808440,1993,195,147482,115,384,1784,7822,41300,T
667167018,2000,368,146000,115,122,1784,4247,41428,F
908526938,1837,370,176352,115,87,713,7497,41321,T
649234807,2053,406,178611,115,182,1784,7470,41336,F
378356099,407,80,35816,115,127,1070,7516,40915,T
541713709,2019,412,54513,115,2112,1784,7355,41287,F
651300637,325,14,20800,115,3168,1427,7755,41156,T
318184864,177,8,14160,115,115,1784,8087,41099,F
912928670,295,28,24190,115,342,1070,7725,40835,T
082660926,18,15,864,115,214,1784,3790,40978,F
824008438,1552,210,65184,115,105,356,3566,41035,T
528199751,149,3,14006,115,100,1427,4290,40511,F
816361873,293,68,15529,115,87,1784,4066,40583,T
395660465,200,1,6400,115,365,1784,5470,40804,F
974539557,1984,197,113088,115,218,356,5593,41350,T
894331931,2041,418,73476,115,168,1784,5509,40651,F
520871132,1982,374,47568,115,264,713,7687,41236,T
898173594,2014,431,84588,115,171,1784,7735,40797,F
733827354,2076,220,53976,115,192,713,5314,40500,T
387095285,1896,403,132720,115,86,1784,7998,41405,F
448172160,2040,198,116280,115,277,1070,4151,41307,T
965124072,1813,386,52577,115,80,1784,8082,41382,F
191044592,2086,368,77182,115,82,713,4274,40619,T
285736180,2078,371,51950,115,99,1784,5569,41027,F
691359992,167,76,12024,115,118,1070,7699,41149,T
240341847,27,59,1566,115,277,1427,3571,40694,F
884150151,1609,242,119066,115,208,356,3980,41054,T
666272512,139,55,5838,115,96,1427,5309,40525,F
875466211,338,53,24336,115,203,1784,7658,41145,T
126064025,1967,406,86548,115,83,1784,6155,40690,F
162087813,1603,215,86562,115,111,356,5743,41466,T
099324999,122,65,11956,115,76,1427,4248,41021,F
796647624,1958,387,46992,115,85,713,4089,41192,T
370320717,1931,365,111998,115,82,1784,3593,41231,F
047467100,1547,261,57239,115,88,1784,6054,41307,T
591745812,1928,374,156168,115,408,1784,5423,40549,F
306332218,127,20,5842,115,95,1784,3992,41255,F
862956805,2074,364,157624,115,76,356,3571,41492,T
375894877,1571,255,64411,115,139,1070,5733,40839,T
201596211,1898,414,180310,115,239,1784,7171,40902,F
953890228,34,2,2788,115,223,356,4054,41200,T
725676591,70,20,2520,115,84,1427,6289,41362,F
067210204,1728,223,34560,115,567,356,5672,41019,T
949047637,1892,413,117304,115,116,1784,7770,41147,F
525558466,1545,228,135960,115,132,713,5415,40620,T
359470305,1876,427,108808,115,165,1784,4302,40674,F
225339887,2055,397,197280,115,222,356,5534,40964,T
812357209,1851,371,64785,115,123,1784,7984,40969,F
038654926,1909,377,110722,115,154,1784,5848,40616,F
351184143,376,25,9776,115,96,1427,3816,40934,T
