userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
525828557,1004,186,92368,813,808,319,5970,259761,T
772640255,580,143,26680,813,635,1279,3380,259311,F
953999661,1506,188,134034,813,2261,1599,5150,260028,F
706714297,735,169,62475,813,788,639,5617,259416,T
512395335,213,43,15549,813,1786,639,5515,259538,T
244371019,652,164,29340,813,537,1279,5672,259964,F
170316607,1441,312,96547,813,1411,319,5169,260103,T
990508204,1142,186,49106,813,515,1599,4446,260235,F
723515254,1225,131,64925,813,906,959,4715,260129,T
285337193,744,155,29760,813,758,1599,3044,259580,F
124871033,356,18,8900,813,3078,1599,4826,259278,T
036017947,1754,167,154352,813,949,1599,2989,260128,F
068084409,1060,200,72080,813,1210,959,3240,260104,T
432307543,510,122,28560,813,641,1279,3352,260237,F
683371431,126,62,3906,813,617,1599,5852,259922,T
967900226,746,144,45506,813,978,1279,5251,259799,F
749792468,585,135,22230,813,1096,319,6013,260188,T
157791368,949,194,78767,813,3193,1599,3790,259951,F
887872374,1628,334,78144,813,744,1279,5348,259467,T
481530675,1773,217,148932,813,1246,1599,4096,259737,F
871681132,602,112,34314,813,795,1279,4239,259512,F
843661713,1630,218,83130,813,4482,319,5236,259962,T
732152130,1670,227,131930,813,1101,1279,3538,259833,T
555378485,1563,198,101595,813,1373,1599,5148,259930,F
935021311,1584,300,131472,813,692,639,2693,259346,T
592302699,529,170,38088,813,555,1599,3444,259942,F
695673962,526,114,23670,813,624,1599,5295,259821,F
408098479,1166,135,48972,813,1567,1279,4626,259721,T
404862874,628,107,52752,813,2505,959,4717,259532,T
894893407,589,118,21204,813,1101,1599,5202,259700,F
012570022,1744,167,61040,813,6387,1279,4496,259288,T
190085933,507,122,36504,813,776,1599,4545,259422,F
142387911,275,61,8250,813,791,1279,3321,260156,T
707925354,649,121,50622,813,2971,1279,2711,260258,F
753109649,1680,322,164640,813,1283,1599,3802,260114,T
482381693,918,188,54162,813,1935,1599,5137,259831,F
415225990,678,109,31188,813,1980,639,5301,260082,T
470780341,765,110,42840,813,1234,1599,6023,259375,F
511844590,788,125,27580,813,730,1279,5592,260185,F
834062882,1746,175,36666,813,747,959,3475,260173,T
379446614,123,10,2460,813,605,639,3179,259854,T
951709681,713,118,57040,813,1038,1279,5943,259391,F
988035816,1704,183,165288,813,2529,959,4345,259483,T
101590353,1132,226,87164,813,641,1599,4235,259510,F
489881080,535,149,12840,813,1906,639,5178,259861,T
372892381,1633,204,161667,813,2202,1599,2986,260129,F
853819682,1550,310,150350,813,571,319,4190,259285,T
360847540,549,155,53802,813,12167,1599,2996,260095,F
656735037,279,57,23157,813,707,959,3082,259766,T
845326964,1116,207,59148,813,1648,1599,3213,259332,F
097781122,1044,138,69948,813,592,959,5531,259926,T
390841292,893,197,41078,813,1396,1599,2651,259381,F
656584146,1738,173,173800,813,747,1599,2939,259388,F
084848715,508,119,38100,813,711,319,2794,259298,T
496417214,288,43,24192,813,1427,1599,3421,260161,T
912755189,1791,224,109251,813,696,1599,3282,259285,F
455352044,1441,309,92224,813,2580,1279,5345,260076,T
103981030,748,120,20196,813,612,1599,3983,259487,F
632483010,1588,337,106396,813,3757,319,3406,260075,T
879406590,656,107,32800,813,1246,1599,2938,259692,F
309330420,245,40,13475,813,560,959,2730,259338,T
896704463,675,135,55350,813,1047,1599,3113,259966,F
989605439,1110,140,44400,813,4482,319,4764,259432,T
573297159,1790,215,50120,813,4330,1599,5651,260109,F
957867146,1100,243,58300,813,535,959,5559,259893,T
057299070,1723,205,124056,813,4405,1599,5997,259436,F
478109048,1697,339,115396,813,554,1599,3832,259961,T
189419588,742,130,37100,813,582,1599,5333,259354,F
561132985,1430,296,42900,813,511,1599,5513,259584,T
892105406,1748,186,71668,813,7515,1599,5515,259699,F
366355356,1498,307,133322,813,818,639,4625,259947,T
408479631,1052,213,87316,813,580,1599,3893,260212,F
808781527,955,212,31515,813,547,639,5311,259277,T
148855605,986,221,64090,813,857,1599,5789,260165,F
117303298,1480,323,102120,813,696,1599,4744,260195,T
019968402,965,183,54040,813,2044,1599,3412,259531,F
412292905,1760,209,98560,813,9463,959,4078,259470,T
104162417,757,146,35579,813,1005,1599,4406,259313,F
749047387,1695,214,103395,813,645,1599,2564,260060,F
968992970,1066,240,72488,813,5678,959,4554,259910,T
463632784,1458,314,68526,813,618,959,4438,259911,T
359271067,675,122,67500,813,594,1279,3540,259612,F
044030601,793,159,35685,813,2202,319,5507,259380,T
616403099,755,149,22650,813,1210,1599,2658,259791,F
586310000,1730,175,60550,813,1193,639,4321,259451,T
919740247,1616,210,71104,813,1130,1599,2748,259670,F
539502307,1233,136,66582,813,580,1599,3122,259530,T
267509248,647,137,55642,813,586,1279,3360,259785,F
595033957,959,151,67130,813,590,1279,2855,260077,T
355890030,587,145,56939,813,608,1599,5394,259385,F
864835625,1664,317,43264,813,857,1599,3243,259804,T
972885082,730,119,48180,813,1055,1599,5958,259437,F
895912112,746,117,50728,813,554,1599,4347,259881,F
692533980,182,6,17290,813,556,639,5545,259480,T
703799774,1027,139,95511,813,3154,1599,3903,260201,T
867331622,670,136,21440,813,1264,1279,4488,259478,F
320157264,923,241,22152,813,730,319,2741,260018,T
515912893,699,109,32154,813,511,1279,3030,259669,F
500127066,550,118,49500,813,533,959,4676,259584,T
875946861,770,122,45430,813,821,1599,3865,260120,F
