userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
903675782,1269,212,257607,361,12596,2507,3940,181354,T
494405632,1335,220,40050,361,10234,1003,6281,180810,T
622413560,1452,274,103092,361,1705,1003,6026,181437,T
771073387,1114,218,278500,361,2558,501,3312,180882,T
402322452,1642,195,302128,361,2274,1003,5236,181130,T
084897192,1210,210,278300,361,2519,1504,6738,181279,T
003193536,1709,186,319583,361,5458,1504,5272,180642,T
537488620,1933,334,98583,361,3638,2507,4924,181483,F
737730470,1044,209,242208,361,2481,501,3272,181326,T
135471624,1726,332,236462,361,16374,2006,4481,181009,F
368127564,1829,334,320075,361,4678,2507,6738,181205,F
482353021,1555,133,116625,361,1779,2507,7002,180988,F
659888760,535,89,122515,361,1670,1504,6148,181450,T
903133524,380,49,79040,361,32749,1003,5335,181121,T
783149569,1813,367,324527,361,6822,2507,2971,181106,F
806153301,1467,320,26406,361,2408,1504,4966,180475,T
848554167,499,59,90818,361,8618,2006,5251,180652,T
400658651,482,107,9640,361,4425,2507,5315,180624,T
120712470,1230,203,44280,361,2684,1504,3007,180549,T
014331905,313,68,28796,361,2408,501,4841,180707,T
218519654,542,104,86720,361,1705,2507,5330,180637,T
083462096,1632,145,290496,361,1949,501,4807,181414,T
430989075,528,80,123024,361,2243,2507,7004,180495,T
654460870,250,52,39250,361,2444,2006,3258,180754,T
124404811,1458,291,48114,229,496,431,1048,49394,F
274489387,1670,376,300600,361,2729,501,3688,180634,T
316635135,1677,392,162669,361,2274,1504,3640,181126,T
977690311,1725,363,100050,361,3559,2507,6280,181385,F
717829167,1191,195,32157,361,3638,501,4577,181072,T
668292459,1362,191,28602,361,13645,1003,3836,181329,T
967941410,1350,234,133650,361,1926,1504,3191,180981,T
176377114,1423,154,249025,361,2046,1504,5300,181293,T
448913929,350,71,14000,361,13645,1003,4919,181059,T
005305137,1446,162,309444,361,4425,501,5153,180556,T
797998771,1601,144,96060,361,2444,1003,6440,181230,T
730840556,1821,355,222162,361,7119,501,5223,180807,T
997707709,1819,356,338334,361,3411,1003,5431,181295,T
563277764,1052,208,174632,361,2183,1504,5118,180772,T
930988003,1612,150,312728,361,2306,1003,3346,181169,T
409132288,1513,138,276879,361,2021,1504,3333,180934,T
025205055,255,64,34680,361,4678,2006,6358,181396,T
304244499,1669,393,210294,361,3993,501,6984,181046,T
809454128,1419,274,51084,361,1949,2507,6323,181464,T
780981822,1677,163,204594,361,6822,1003,6091,180869,T
803200736,1796,340,35920,361,5458,2006,5241,181207,F
627779282,1017,179,210519,361,1904,501,6245,180865,T
169899992,444,54,94572,361,2183,1003,5313,180728,T
315248146,272,67,28288,361,16374,1003,5145,180818,T
