userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
101203624,1466,324,71834,361,1231,2507,3836,180625,T
000209431,1705,341,92070,361,355,2006,5305,181105,F
620178151,1042,175,25008,361,1654,2507,6472,180852,T
201992758,1910,390,99320,361,379,2006,5084,181401,F
444688295,1531,160,107170,361,1320,1003,6409,180885,T
464840314,1870,375,102850,361,946,2507,5211,180890,F
468758447,1242,199,111780,361,754,501,6813,180715,T
082851888,1802,389,43248,361,429,2507,5405,180767,F
708779565,1050,194,71400,361,1436,1504,6396,180570,T
769819195,1894,374,71972,361,536,2006,3374,180581,F
705426293,520,54,25480,361,1462,2006,4958,181226,T
144006221,1804,383,50512,361,401,2006,3896,181473,F
533543634,1332,207,66600,361,1475,1003,3015,181215,T
679197300,1694,353,118580,361,553,2507,3471,180860,F
457242496,1225,203,83300,361,974,501,3008,181324,T
210208248,1898,375,47450,361,435,2006,3493,181443,F
402423753,1137,256,67083,361,328,1504,5288,181182,T
126503225,1843,378,49761,361,852,2507,4804,181034,F
235637047,1906,383,51462,361,662,1504,4637,181400,T
895384015,1779,348,152994,361,660,2006,5267,180489,F
877685814,1938,335,42636,361,904,1003,3117,180850,T
536893259,1526,165,134288,361,566,2006,6080,181471,F
722377455,1720,346,58480,361,899,2006,6404,181170,F
090231092,352,99,22880,361,765,501,6893,180625,T
410146837,1513,336,72624,361,358,1504,3310,180502,T
558205388,1749,347,59466,361,483,2006,2982,180768,F
765465278,1595,284,82940,361,676,1003,3792,181309,T
267925810,1688,353,168800,361,1113,2507,4494,180878,F
858612724,1703,158,158379,361,385,2507,5187,181150,F
527915870,1429,275,111462,361,526,2507,5324,181256,T
867317545,1733,365,114378,361,363,501,5408,180714,T
471661222,1669,380,160224,361,1153,2507,6827,181084,F
938477059,1787,340,150108,361,654,2507,5035,180790,F
815292402,1678,357,140952,361,914,1003,4942,180678,T
528931383,450,44,10800,361,662,2006,4536,181469,T
886167535,1673,388,103726,361,747,2006,6833,181404,F
808407647,1907,385,70559,361,3808,501,3932,180829,T
956060522,1932,351,61824,361,1106,2507,3656,181330,F
138454128,1414,212,28280,361,395,1504,6460,180550,T
013885125,1680,148,42000,361,556,2507,3162,180829,F
088498440,1589,161,41314,361,2072,2507,5272,181034,F
793004320,1607,155,151058,361,885,1003,3004,181279,T
463404554,1164,230,95448,361,3898,1504,5512,180561,T
549637979,1706,342,100654,361,510,2006,3324,180937,F
235947898,1392,223,122496,361,380,501,4468,181118,T
393081589,1781,353,128232,361,549,2006,6542,181445,F
635290362,1920,372,147840,361,477,1504,6833,181310,T
722817625,1701,333,76545,361,434,2507,6992,181241,F
425382067,1562,138,54670,361,1129,1003,5165,180700,T
385953983,1929,359,52083,361,449,2006,4002,181451,F
276084297,520,51,15080,361,430,2006,5418,180991,T
225629135,1712,338,169488,361,986,2507,6904,180621,F
422421249,265,59,17755,361,415,2507,4865,181074,T
022594935,1661,341,114609,361,1742,2507,6919,181227,F
752918482,1398,240,132810,361,424,2507,5407,181482,T
351861131,1600,138,118400,361,444,2006,3020,180827,F
360039435,1889,336,119007,361,1231,1003,6904,181035,T
568621827,1758,383,128334,361,380,2507,6470,180645,F
490066034,1742,363,172458,361,835,2507,4796,181195,F
616899358,1196,208,90896,361,1449,1504,3631,180740,T
201847352,1303,229,79483,361,1299,1504,6825,180877,T
401762165,1710,367,135090,361,831,2006,3682,180995,F
825506448,1158,225,111168,361,16374,1003,3846,181191,T
785164135,1463,136,105336,361,3274,2507,6943,180621,F
343687009,1815,389,168795,361,591,1504,3455,181424,T
846122999,1745,346,41880,361,500,2507,3371,181311,F
701915164,250,108,23000,361,1331,1504,4959,181043,T
422125428,1863,395,121095,361,355,2507,4768,180656,F
287664447,1746,389,143172,361,524,1003,3301,181465,T
513551095,1580,148,118500,361,688,2507,6360,180849,F
420036857,406,71,24360,361,665,1003,3910,180791,T
262832179,1683,329,141372,361,925,2006,3332,180900,F
266489811,295,90,14455,361,2924,1504,6638,181168,T
507389735,1689,144,77694,361,810,2507,6968,180863,F
277285420,364,80,23296,361,386,2507,6780,181272,T
827051980,1915,344,116815,361,418,2507,5082,180586,F
368740167,389,104,32676,361,330,2507,3294,181416,T
958607805,1535,135,59865,361,407,2006,3059,180976,F
327714822,1913,396,168344,361,1779,1504,6488,181122,T
379937645,1756,367,159796,361,528,2507,5350,180755,F
108902373,1668,357,108420,361,589,2006,6139,180763,F
045657632,1017,181,80343,361,449,2006,6974,181065,T
349193939,1219,202,102396,361,802,501,3877,180938,T
684064688,1837,339,77154,361,513,2507,6170,181367,F
352489227,1317,247,117213,361,342,501,3994,180938,T
597570467,1648,156,54384,361,2444,2507,4658,181244,F
203729698,1532,149,68940,361,513,1504,3933,180542,T
881552411,1676,336,83800,361,531,2507,3652,180863,F
128755522,438,79,35040,361,617,501,5444,181445,T
702942841,1679,354,129283,361,503,2507,2968,180615,F
839109043,1523,157,59397,361,1502,2507,6001,180859,F
754900366,288,108,27072,361,3032,1504,3750,180674,T
418788413,1917,346,97767,361,20468,1003,4666,180951,T
239490673,1936,381,71632,361,339,2507,3242,181146,F
576299952,1656,362,129168,361,731,2006,3326,180589,F
631634593,351,61,14040,361,327,501,3972,181148,T
014107919,258,101,7740,361,443,1003,3551,181053,T
092493952,1796,358,158048,361,404,2006,6041,181130,F
698195291,1537,145,113738,361,4425,1504,4585,181219,T
085222085,1554,141,35742,361,424,2507,2962,180666,F
