userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
772512682,269,67,19906,430,6343,2064,2845,222289,T
524355792,1697,363,397098,430,4412,1032,2822,222655,T
449254280,1764,348,84672,430,2819,1548,1201,222422,T
737420811,797,184,82091,430,4720,516,2117,222268,T
740933807,217,50,37541,430,2071,516,1968,222607,T
317123045,5,7,85,430,8458,1032,2638,222226,T
200658163,1369,205,123210,430,3274,1548,1597,222154,T
963429693,60,4,3060,430,2206,1032,1760,222332,T
189298373,975,154,236925,430,7249,1032,1062,222420,T
127766965,1405,251,230420,430,2743,516,1796,222673,T
690592901,17,1,3587,430,2092,1032,2238,222294,T
457528872,1710,359,29070,430,3440,2581,1627,221897,T
848548539,1726,388,243366,430,5799,2064,2078,222512,T
053370628,2083,217,68739,430,8119,1548,2387,222622,T
956196003,1475,267,35400,430,10683,1032,2417,222570,T
804349444,1647,339,296460,430,4319,1548,1488,222015,T
027172246,4,1,52,430,2899,1032,1790,222688,T
809422590,1483,220,131987,430,5341,1032,2974,222520,T
459709037,288,51,26496,430,2780,2581,2337,222232,F
259794493,1920,185,144000,430,3123,1032,1833,222764,T
439440893,30,1,4860,430,2780,1032,2171,222504,T
110051978,869,155,156420,430,8119,1032,2736,222030,T
544162668,814,180,37444,430,4142,2064,1834,222337,F
228922086,28,41,4340,430,2670,1548,1857,222566,T
192632611,1603,266,35266,430,3075,2581,2128,222670,F
554651326,1933,356,293816,430,2602,2064,1736,222302,T
127912149,150,60,9450,430,2706,2064,2307,222703,T
472751096,1010,171,169680,430,4319,1032,2169,222768,T
457095540,1832,394,395712,430,8119,2581,2104,222288,T
869130330,1003,140,59177,430,3383,2581,2360,222150,F
091822424,791,181,111531,430,2255,2581,1573,222315,F
236645185,1442,283,40376,430,3830,1548,1137,222329,T
333406809,1924,341,323232,430,4142,2581,2381,222141,T
602925146,847,153,25410,430,2941,516,2228,222540,T
217994360,10,1,510,430,2780,1548,3018,222693,T
429404870,46,55,7682,430,2445,2581,1892,222867,F
890248173,861,138,215250,430,5799,1548,1628,222597,T
468582227,1724,392,341352,430,3499,1032,2754,222663,T
535287662,1858,373,196948,430,3903,516,1618,221920,T
007062546,1777,386,406933,430,2819,2581,2038,222547,T
695855369,776,154,60528,430,22555,2064,2134,222757,F
798070149,1880,396,71440,430,2136,2581,2116,222528,T
158991406,2,13,92,430,8825,1548,1895,222331,T
745989567,156,72,19812,430,9227,516,1248,222621,T
265141843,15,1,1725,430,5074,1548,1032,222108,T
028316208,772,169,138188,430,2506,516,1172,222279,T
048813186,808,121,129280,430,3123,2581,1463,222570,F
615464485,61,31,11956,430,3123,1548,2917,222618,T
438677675,4,16,124,430,2537,516,2446,222822,T
270557668,866,131,90064,430,2537,2581,1729,221953,F
828288063,1632,246,306816,430,2159,1032,1628,222246,T
902998783,276,56,32016,430,2159,2064,2966,221973,T
735562824,1736,388,307272,430,4059,516,1865,222665,T
172785514,878,122,138724,430,5205,516,2354,222678,T
900269550,20,1,2200,430,2819,2064,2317,222097,T
019354039,133,71,11438,430,2569,1548,1690,222119,T
080082517,157,56,15543,430,8119,1548,1920,222402,T
641196398,1803,341,54090,430,2537,516,1823,222401,T
336427939,851,135,41699,430,2859,1548,2121,222844,T
165781040,1644,261,47676,430,2569,1548,1963,222878,T
958473553,1861,340,160046,430,2050,1548,3035,222210,T
271545916,272,51,29104,430,2569,2581,2400,222674,F
716506118,880,120,108240,430,14499,1548,3004,222294,T
855257207,21,68,2793,430,3980,2064,1247,222727,T
605436891,1461,226,296583,430,3171,1548,2105,222351,T
311902216,1546,253,278280,430,3327,2064,2340,222876,T
932965955,1669,329,86788,430,3759,1032,2080,222286,T
044014166,1385,209,210520,430,2819,2581,2531,222627,T
093973163,178,57,32752,430,2255,2064,1390,222547,T
914807312,1917,394,339309,430,4412,516,1970,222844,T
487056355,1399,223,300785,430,4511,2581,1677,222616,T
178247924,1846,355,304590,430,9666,1548,1812,222409,T
792822983,915,180,138165,430,4951,1032,2783,222585,T
365636782,996,149,239040,430,6151,2064,1905,222544,F
280245770,1648,254,283456,430,3561,2064,2636,222438,T
257451653,11,9,2046,430,28999,1032,2880,222454,T
938115762,1416,238,131688,430,3561,1032,1782,222584,T
713723712,123,16,4305,430,3499,2581,2750,222054,F
457308403,885,175,60180,430,2706,2064,1396,222189,F
722571012,271,45,22764,430,25374,2064,2404,222710,T
031510461,1518,241,60720,430,4059,516,2672,222318,T
705524333,915,155,136335,430,2136,516,2539,222304,T
039715309,276,58,57132,430,2029,1032,2833,222594,T
218851260,5,1,390,430,10149,2064,1885,222857,T
278590907,1638,373,129402,430,3903,1032,1520,222865,T
395604043,1413,246,243036,430,2780,2581,2414,222490,T
456896513,1532,236,289548,430,9666,516,1189,222540,T
440394840,1870,384,33660,430,2819,1548,1578,222400,T
061493206,1641,339,247791,430,3440,2064,2123,222236,T
203686441,839,147,31043,430,2029,516,1512,222420,T
945731873,1883,339,205247,430,5638,1548,1736,222602,T
361327832,1644,191,373188,430,6999,1548,2012,222769,T
096332232,229,14,43281,430,2780,1548,1272,221901,T
739708184,1840,366,18400,430,14499,1548,1946,222588,T
333531016,1578,208,356628,430,2255,1032,3061,221917,T
833088305,36,4,3312,8,40,988,3447,3954,F
986201101,60,7,2340,430,3690,1548,2327,222308,T
322073765,133,62,5985,430,3029,2064,2110,222517,T
854065481,1427,229,214050,430,2230,2581,1456,222028,T
435203929,314,32,39878,430,7807,2064,2454,221982,T
745863081,165,29,30855,430,5799,1548,2145,222458,T
963943358,1,6,227,430,22555,2064,1383,222318,T
300582184,951,149,99855,430,10683,516,1917,222596,T
365765947,258,64,23478,430,2985,2064,2080,222252,T
060976277,1815,329,123420,430,5074,2581,2080,222244,T
765591348,1723,392,108549,430,5638,516,1960,222604,T
004531480,839,139,164444,727,12649,245,1388,178692,T
756882594,1860,226,20460,430,11277,2064,1141,222291,T
715144585,2,14,424,430,3759,1548,1803,222181,T
296600973,1809,382,452250,430,18454,1548,1763,222199,T
169665519,744,188,141360,430,6343,516,1093,222363,T
436845646,149,29,2682,430,5205,516,2480,222454,T
070123358,842,166,121248,430,4412,1548,2603,222149,T
550767018,1828,360,237640,430,10149,1548,1334,222707,T
990568596,1525,241,225700,430,4319,2581,1397,221996,T
