userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
255631785,1516,198,127344,430,1611,1548,2501,222851,T
836127452,910,141,66430,430,760,2581,2543,222111,F
384690865,14,6,1120,430,672,1548,2133,222569,T
541345424,875,141,80500,430,1720,2581,2447,221960,F
920574008,988,160,54340,430,1720,2064,1223,222244,F
483703270,2,9,106,430,475,516,2066,222262,T
155571950,289,44,11849,430,672,2064,1673,222560,T
257953538,156,39,7020,430,544,2581,1758,222076,F
809013019,213,32,4473,430,1429,1548,1595,222264,T
668961962,44,46,2772,430,1115,2581,1165,222179,F
144430887,1591,286,39775,430,1845,1032,1804,221933,T
600638834,1535,279,52190,430,1691,2581,1929,222037,F
863528644,787,157,62960,430,636,1032,1927,221949,T
102123875,191,60,6303,430,425,2581,2694,222477,F
436054131,57,12,2565,430,554,2064,1762,221945,T
262334575,1039,119,70652,430,409,2581,1741,222243,F
538807202,1913,375,120519,430,624,1548,2881,222180,T
981333236,748,178,17952,430,33832,2581,1415,222154,F
895930390,104,35,3432,430,652,516,2030,222785,T
556234924,1020,166,44880,430,802,2581,2925,222217,F
840634681,1692,273,33840,430,2136,1548,2812,222506,T
828108094,45,60,4050,430,483,2581,2490,222357,F
081432403,835,174,17535,430,3759,1548,2036,222282,T
613592356,978,133,65526,430,461,2581,2358,222381,F
225173658,1780,396,42720,430,1828,1032,1074,221897,T
970891172,848,163,50880,430,478,2581,1864,222120,F
722703098,5,1,335,430,521,1548,2535,222158,T
304578278,1021,125,36756,430,553,2581,2954,222233,F
589931120,302,26,8456,430,553,2064,2440,222805,T
156590269,806,184,24180,430,3075,2581,1871,221899,F
592987642,1859,328,122694,430,1041,2581,1217,222713,T
938599853,1465,254,79110,430,492,2581,2442,222143,F
536767346,1792,369,51968,430,1004,516,2532,222056,T
819840037,959,188,39319,430,1677,2064,2238,221923,F
455993175,1028,151,53456,430,40599,516,2822,222828,T
502608744,1025,186,50225,430,1439,2581,1939,222628,F
354570518,1898,352,64532,430,473,1548,1604,222438,T
180595849,817,131,26961,430,874,2064,2915,222554,F
248964696,1962,182,41202,430,5799,516,1397,221930,T
625079430,911,147,87456,430,465,2581,983,222487,F
345814310,1711,390,94105,430,452,1032,1237,222330,T
849052985,1010,160,82820,430,1796,2581,2401,222650,F
012002991,838,127,25140,430,445,2064,2713,222127,F
811916356,1536,244,79872,430,467,2064,2358,222358,T
200015769,1823,218,92973,430,3440,516,2159,222747,T
794033104,226,56,18080,430,507,2581,2260,222648,F
633718489,22,74,660,430,1845,1548,2496,222855,T
831649018,907,172,33559,430,560,2581,2181,222102,F
140035215,849,128,21225,430,2159,2064,1180,222578,F
467854806,1638,289,50778,430,523,516,1926,221877,T
850829303,1914,231,55506,430,422,1032,1023,222126,T
899641240,809,184,72810,430,1503,2581,1844,222464,F
052899591,742,171,28196,430,15615,1032,1984,222855,T
589023611,1440,279,66240,430,485,2581,2658,222645,F
278368385,1689,333,155388,430,1237,1032,1744,222629,T
002783557,1674,253,80352,430,630,2581,3061,222746,F
688618537,115,33,6210,430,581,2581,2852,222426,F
682264680,2050,184,61500,430,642,2581,2451,221997,T
669839254,754,132,68614,430,2602,1032,1506,222063,T
265981981,1690,244,40560,430,3903,2581,2290,222406,F
535443712,972,177,23328,430,667,1548,2319,222871,T
002281752,937,150,39354,430,538,2581,1113,221928,F
771450690,1804,388,151536,430,962,2064,1388,222260,T
299590089,303,13,6969,430,551,2581,2314,222298,F
369673287,1751,337,47277,430,751,2064,1987,222048,T
932107443,239,8,5975,430,1933,2581,1869,222491,F
720770643,890,150,17800,430,871,2064,1958,222231,F
425799380,129,19,4386,430,768,516,2263,222076,T
562350369,1873,199,157332,430,878,2064,2237,222318,T
936993481,114,6,10374,430,1677,2581,2117,222739,F
369598764,1652,246,54516,430,442,2064,1747,222067,T
645464266,174,60,6786,430,457,2581,2468,222220,F
990629093,27,36,1809,430,1046,1548,1530,222644,T
917670303,1570,240,58090,430,424,2581,1985,222555,F
155170174,2022,177,52572,430,406,2064,2939,222490,T
739934221,929,130,84539,430,434,2581,1776,222116,F
823049846,191,7,8977,430,894,1032,2145,222747,T
583235517,939,168,70425,430,894,2064,2444,222678,F
656008108,210,20,15330,430,439,2064,2663,222505,T
555218735,192,20,15744,430,2569,2581,2021,222021,F
326180133,2077,211,76849,430,1879,2581,2428,222257,T
591138674,764,140,53480,430,727,2064,1881,222846,F
376977359,1541,233,103247,430,1828,2064,2070,222157,T
246389882,263,68,15780,430,6343,2581,1489,222573,F
003378977,1643,278,47647,430,439,1548,2700,222077,T
030827701,858,154,84942,430,2050,2064,2553,221986,F
762298565,1703,386,117507,430,3274,1548,2012,222584,T
451142463,920,121,76360,430,431,2064,1905,222351,F
392386716,244,66,10736,430,754,2064,2023,222224,T
073337568,56,72,1736,430,433,2581,2448,222475,F
210806489,1573,210,128986,430,1115,516,1661,222388,T
322791943,801,123,28836,430,571,2581,2034,222466,F
521732681,1880,220,50760,430,1390,1548,2975,222247,T
503245629,80,40,5120,430,3759,2581,2779,222803,F
895054179,170,8,14620,430,414,2064,1742,222394,T
137541861,852,133,82644,430,523,2581,2538,222007,F
980933490,927,121,70452,430,40599,2064,1803,222734,F
956737983,1978,208,47472,430,1109,2581,2737,222812,T
053293904,819,183,66339,430,423,2581,1513,222129,F
976389448,1860,372,159960,430,409,2064,2039,222485,T
