userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
566237586,743,113,63155,20,96,978,5570,9599,T
934165962,229,43,15572,20,134,489,4903,10280,T
297642679,839,82,101519,20,105,1468,5630,10430,T
830185674,108,12,6696,20,189,489,5739,10018,T
148145177,504,89,47880,20,107,978,5212,9983,T
835637433,927,115,66744,20,93,1957,5107,10342,F
774483546,839,101,204716,20,154,1957,10728,10090,F
670521348,208,11,41808,20,97,1468,5886,10268,T
463130413,1751,352,147084,20,210,1468,10759,9709,T
715057065,272,46,36448,20,206,489,10229,9637,T
960905941,1669,346,335469,20,93,2446,10741,9525,F
027482207,224,7,11200,20,309,1957,10381,9763,T
243847099,332,58,11620,20,109,1468,5735,10062,T
225733164,751,84,117907,20,136,1468,9912,9651,T
055449505,1585,329,33285,20,93,978,9741,9681,T
938661159,965,144,180455,20,101,1468,7875,9945,T
702012323,710,129,77390,20,185,489,10040,9639,T
891827975,1765,367,227685,20,97,1468,7830,10338,T
433391274,191,55,33043,20,122,978,10395,10014,T
374980537,1579,332,364749,20,215,1468,7380,9759,T
583507136,471,27,41919,20,1545,978,10406,9779,T
158431991,1818,356,378144,20,105,978,8126,9795,T
686258039,278,77,30302,20,309,2446,5599,9616,T
864338374,1621,359,380935,20,125,978,5536,10246,T
563672924,957,123,134937,20,370,1957,9928,9510,F
050855513,401,92,100250,20,370,1957,9928,9571,T
694609249,473,94,12298,20,136,1468,5233,10231,T
320857552,207,55,40779,20,421,978,9735,10353,T
349698666,1666,323,318206,20,843,1957,4950,9836,F
912893971,227,32,40633,20,1324,1468,5804,10170,T
431894818,678,121,103734,20,144,489,10196,10288,T
630416634,468,67,25272,20,713,1468,7526,10416,T
148729121,407,53,45991,20,96,978,5888,10225,T
686687215,335,23,18425,20,210,1957,8292,10265,T
672603554,364,85,11284,20,1030,1957,7826,10110,T
259445895,1585,356,288470,20,140,1468,10316,10399,T
954565760,494,62,33098,20,201,2446,9861,9691,F
445108819,263,77,56808,20,107,489,8329,9552,T
889568417,1579,362,380539,20,107,1468,9825,10110,T
719506965,1579,381,246324,20,159,2446,10077,10378,F
212581287,780,140,31980,20,1545,2446,5115,10437,F
558614529,954,127,98262,20,92,978,8230,10362,T
888263122,1604,333,211728,20,125,489,5599,9808,T
027272381,333,54,14319,20,97,1468,7543,10168,T
406817634,952,135,94248,20,152,1957,5145,10335,F
302494993,1569,363,357732,20,97,1957,5658,9489,F
204468593,1632,361,378624,20,244,1468,10779,10266,T
688583363,230,34,33120,20,1159,1957,7743,9557,T
334562197,367,68,81107,20,159,489,9898,9799,T
318890126,213,22,53037,20,927,489,7530,9491,T
247778368,1735,375,140535,20,107,1957,7610,9531,F
054669075,1760,364,168960,20,331,1957,5223,10144,F
836009016,251,22,52710,20,289,978,7505,10018,T
712307070,865,79,138400,20,134,978,5456,9711,T
533080513,1688,312,376424,20,1324,2446,7992,10172,F
599821639,236,8,43660,20,98,2446,7815,9941,T
351452552,1563,375,292281,20,123,1957,8128,10358,F
194371687,838,76,183522,20,138,489,7740,10151,T
333255063,847,97,139755,20,101,1957,10493,9971,F
218978583,1628,343,306064,20,94,2446,10591,9606,F
158192947,426,68,47286,20,488,1468,10654,9947,T
853659297,840,84,120120,20,1854,2446,10407,10253,F
969899346,887,81,150790,20,136,1468,10235,10469,T
016437843,1814,341,43536,20,843,978,7727,10487,T
651645212,487,27,88147,20,106,489,5552,9558,T
533210436,418,59,91124,20,772,1468,7580,10026,T
480330602,306,30,7344,20,210,489,7979,9948,T
059607367,345,74,65205,20,226,1468,9874,10022,T
432753812,356,4,52332,20,237,978,9927,9718,T
537936630,1719,330,412560,20,237,1957,4983,9782,F
880724056,1626,323,367476,20,142,2446,7780,9768,F
675118298,487,61,104705,20,113,489,10349,9490,T
202955078,502,61,29618,20,206,1468,9901,9532,T
385916743,959,101,163989,20,210,489,7544,10354,T
095005082,461,79,76987,20,138,1957,7938,9656,T
425039706,414,60,47196,20,159,2446,7748,10065,F
929682703,764,144,150508,20,1159,489,7823,10212,T
102815737,334,82,25050,20,189,1468,5066,9725,T
795035849,1721,325,404435,20,772,489,4883,9533,T
860161126,271,43,65582,20,114,489,9765,9591,T
572055864,916,120,205184,20,138,1957,7608,9897,F
723279874,99,35,23661,20,110,2446,7343,10090,T
872674459,1788,353,321840,20,168,1468,5317,10141,T
787392067,917,108,202657,20,115,2446,5384,9754,F
406954544,165,17,4455,20,120,2446,5561,10098,T
346946073,167,28,21877,20,843,489,10046,9608,T
051579718,1754,346,124534,20,662,1468,5382,9656,T
075875202,1783,325,401175,20,299,1957,10595,10195,F
845569306,296,29,27528,20,421,2446,5859,9716,T
202632327,259,78,64232,20,100,978,7732,9814,T
069708173,961,143,49972,20,226,1468,8038,9873,T
410799392,1565,341,228490,20,162,489,5706,10018,T
514519458,706,106,159556,20,118,1468,10038,9726,T
925449676,228,82,25536,20,618,489,7506,9806,T
555517613,367,60,15414,20,99,1468,5674,9966,T
849798487,777,123,181041,20,115,978,10533,10215,T
110476459,744,122,110856,20,231,489,7592,9491,T
015248759,360,47,27720,20,545,1468,4950,9936,T
200918037,954,112,48654,20,174,1468,9843,9497,T
274940522,155,12,33635,20,168,978,5106,10417,T
491044832,187,80,34034,20,110,489,7765,10261,T
928928889,272,11,41888,20,98,2446,7962,10002,T
402431571,263,86,26563,20,110,2446,9914,10361,T
195896309,417,63,9591,20,111,2446,5080,10381,T
979647380,840,132,181440,20,289,489,7458,9931,T
680187001,351,4,49491,20,171,978,10675,10349,T
864572812,387,90,36378,20,1854,1468,5040,9797,T
312916820,1791,367,320589,20,264,1957,5375,10307,F
128654640,1616,378,63024,20,1159,489,10288,9961,T
706369334,1606,340,75482,20,220,2446,5875,10389,F
785054070,181,51,26245,20,109,1468,9899,10016,T
706451399,301,75,53277,20,96,489,5328,9574,T
659273125,1747,348,204399,20,109,978,10773,9829,T
836937003,1576,331,201728,20,178,489,5392,9846,T
101996267,1688,315,270080,20,370,489,7409,10011,T
325478376,1661,344,24915,20,1545,1957,5269,9616,F
316878565,872,116,177888,20,220,489,5736,9967,T
817500321,1809,357,338283,20,110,978,7788,10324,T
759469709,1701,354,316386,20,927,1468,5444,9868,T
719612520,129,7,27090,20,545,489,10657,9943,T
699672339,1817,345,78131,20,140,2446,9834,9992,F
137629673,848,107,199280,20,147,978,7421,9897,T
559089723,112,23,25648,20,130,978,5158,9915,T
666129637,720,134,78480,20,117,978,7896,9540,T
282591519,900,76,67500,20,1545,2446,7437,9603,F
504778754,313,14,69486,20,114,978,10762,10114,T
671695353,935,129,57035,20,171,1468,8120,10465,T
