userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
703967871,899,121,42253,20,28,1957,10066,9725,F
464529161,340,73,25500,20,31,1957,9765,10025,T
080048125,898,87,61064,20,24,2446,8319,9699,F
607569054,373,52,29467,20,28,489,10580,9989,T
648923523,1629,379,48870,20,74,1957,10389,9807,F
130500184,249,37,21414,20,29,978,5400,9569,T
250700142,846,138,59220,20,68,2446,5735,9674,F
003290797,246,4,21648,20,18,1957,5026,9727,T
994737035,869,93,79079,20,41,978,10571,10166,T
504840122,1706,313,68240,20,152,1957,10316,10092,F
875681355,809,85,55821,20,24,1957,10207,10463,F
048101888,237,37,5925,20,34,1468,8260,10224,T
854815852,374,59,17578,20,27,1468,10703,9821,T
634379259,1568,343,119168,20,96,2446,7353,10214,F
852996833,689,113,56498,20,20,978,5068,10467,T
220636045,1715,344,80605,20,82,2446,5749,9527,F
798994876,1622,334,82722,20,56,489,7576,9940,T
195601227,861,110,71463,20,21,2446,9913,9758,F
278192755,511,76,43946,20,20,1957,7321,9875,T
543671893,765,124,63495,20,24,1957,8042,9680,F
569867225,374,37,26180,20,19,1957,10633,9647,T
816822312,781,87,67947,20,27,2446,5010,10168,F
182006389,1608,360,49848,20,31,1468,10773,9614,T
698859539,493,76,45849,20,51,2446,9905,10040,F
566435556,221,6,20995,20,20,2446,8178,9707,T
739752684,689,91,56498,20,42,1957,5363,9619,F
624727725,886,102,41642,20,41,2446,5309,9849,F
380146400,717,141,50190,20,299,1468,5100,10137,T
454593551,1573,358,39325,20,55,1468,4905,10017,T
429348545,1683,365,47124,20,26,1957,5869,9731,F
241249684,222,60,16650,20,21,1957,7400,10430,T
153607053,1603,323,105798,20,89,1957,7531,9720,F
092937428,1746,355,109998,20,25,1468,10585,9760,T
760366664,1569,312,42363,20,105,2446,10700,9692,F
549174505,1573,375,51909,20,19,1468,7909,9538,T
182340088,1728,311,91584,20,33,1957,5222,10276,F
845068988,295,88,14455,20,22,2446,5668,9957,T
124584993,346,94,30448,20,1324,2446,5696,10113,F
413632957,1810,338,175570,20,40,2446,10414,10364,F
021579051,1673,364,157262,20,50,978,7510,10109,T
655306153,766,133,61280,20,78,1468,5241,9979,T
077992601,1806,322,92106,20,25,2446,10341,10419,F
124297498,476,75,21420,20,63,1957,9925,10017,T
599195306,1617,315,113190,20,22,1957,5580,10489,F
523444549,195,24,16185,20,20,1468,10729,9864,T
652627952,1815,327,99825,20,38,1957,5231,9894,F
945840679,776,125,46560,20,24,978,5619,9734,T
796358108,743,96,60926,20,25,2446,8032,10086,F
529524954,1802,377,68476,20,22,1468,10611,9781,T
778427881,1827,338,171738,20,18,2446,5006,9804,F
540125134,301,43,19565,20,23,1468,8234,9728,T
405961136,1844,362,173336,20,20,1957,9975,10443,F
081060119,333,74,17982,20,18,1957,5524,10100,T
046272513,1607,370,159093,20,25,1957,7509,10000,F
766567200,338,74,18252,20,47,2446,5706,10349,F
042339483,1791,328,132534,20,37,489,9849,9507,T
794037326,230,9,13110,20,26,1468,8305,10381,T
285381738,811,122,52715,20,140,1957,5568,9891,F
314181610,393,35,33012,20,38,489,7602,10206,T
716954920,1740,325,92220,20,20,1957,5395,9744,F
620111720,783,94,51678,20,123,2446,7913,10208,F
479495058,731,143,64328,20,28,489,5300,10130,T
721647789,207,40,9729,20,21,1957,7889,9960,T
376095244,925,119,69375,20,331,2446,10244,9605,F
541180234,261,60,9135,20,42,2446,10459,10257,T
120356850,771,146,70161,20,46,1957,5305,10329,F
925073881,837,145,42687,20,1854,489,7384,9836,T
942543291,333,60,17649,20,21,2446,7816,9971,F
315407927,1591,351,47730,20,19,978,10428,9491,T
724259306,1678,343,162766,20,33,2446,7503,9828,F
431886901,1714,334,51420,20,20,978,10215,10214,T
792182225,808,112,40400,20,20,1957,5468,10325,F
042799212,1645,333,69090,20,21,1957,5792,9506,F
002355572,178,12,10324,20,79,1468,4990,10367,T
940296092,840,78,53760,20,55,1468,5549,10359,T
173521769,934,122,48568,20,25,2446,5800,9853,F
955076031,804,91,57084,20,37,978,5635,10469,T
032924616,1779,365,160110,20,37,2446,7652,10441,F
820798061,341,74,17050,20,41,2446,7718,10482,F
594103064,939,136,65730,20,24,978,10754,9550,T
416266460,1669,369,33380,20,21,1468,10123,9626,T
732295009,925,143,51800,20,250,2446,5268,9534,F
558557561,501,89,19539,20,30,978,7718,9741,T
650531090,1611,353,93438,20,32,2446,10320,10373,F
126114089,813,95,72357,20,114,489,9779,10458,T
346710115,792,83,74448,20,20,1957,7425,10145,F
677270684,865,82,83905,20,110,2446,7974,9619,F
362904055,216,76,13608,20,45,978,5152,9695,T
008685382,1839,333,167349,20,421,489,10221,9646,T
466510489,1715,320,82320,20,37,2446,10731,10488,F
790486370,240,66,6480,20,331,1957,10248,10127,T
552451367,887,107,39915,20,24,1957,7434,9598,F
199841086,217,6,19530,20,309,2446,5480,10394,T
031878405,802,146,68972,20,19,2446,10592,10460,F
539834911,1714,326,121694,20,331,2446,5015,9557,F
576422213,360,36,10800,20,34,1957,5050,9752,T
927142336,748,142,57596,20,40,978,5261,10440,T
183100172,1639,350,93423,20,1854,2446,5350,10256,F
222215212,795,116,44520,20,29,978,10437,9484,T
946080018,1789,331,153854,20,19,1957,5775,9554,F
