userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
330142541,1228,134,241916,447,2008,1323,5163,197013,T
593755323,195,19,24570,447,2517,441,9039,197147,T
696219746,1958,396,215380,447,2451,441,6758,196429,T
718595096,1258,139,42772,447,2586,882,4727,196798,T
129554252,315,18,16695,447,10487,1323,4365,196500,T
797184072,422,31,62034,447,4390,1764,8856,196597,F
710296916,1909,363,471523,447,6509,441,6930,196793,T
020781361,1319,177,291499,447,8989,1764,4483,197177,T
829582873,1406,144,227772,447,4494,441,4604,196828,T
602082996,2026,402,64832,447,4604,1323,6727,197059,T
632398540,208,84,30576,447,2145,1323,4787,196442,T
695069059,1317,152,215988,447,2389,1323,6931,196229,T
181336546,1439,140,201460,447,3371,882,9543,196908,T
539866791,432,19,27648,447,6509,1764,4952,196975,F
036041967,630,89,51030,447,2735,1323,4888,196639,T
329047647,1308,163,166116,447,2658,1764,4623,197194,T
119033687,552,100,29808,447,3094,882,7291,196873,T
157904631,191,51,18145,447,10487,1764,6579,196706,F
184138481,1360,178,251600,447,3044,1764,7410,196805,T
478811319,1939,406,190022,447,26968,1764,4594,197052,F
775322437,447,28,95211,447,18877,2205,6921,197106,F
833605354,1863,432,40986,447,20975,2205,9279,196326,F
371326756,562,97,134318,447,2274,882,4365,196801,T
711979403,1839,388,386190,447,3146,1323,6835,196909,T
967504842,1207,190,252263,447,2145,1323,7608,196996,T
412954398,672,110,69888,447,2274,2205,8923,197015,T
200056264,639,130,45369,447,2860,882,9113,196433,T
241510519,353,48,46596,447,2195,441,4931,196247,T
538069636,1352,173,232544,447,15731,2205,9035,197200,T
884989875,634,66,82420,447,3775,882,4896,197177,T
565663806,484,85,96316,447,3495,2205,4878,196982,T
476348605,1283,180,19245,447,3311,2205,6627,197203,T
848283389,1928,411,148456,447,3094,441,4809,196257,T
434092126,290,43,57420,447,14521,1323,6686,196898,T
653424520,1225,130,192325,447,2517,1323,6587,197062,T
642176946,1326,135,131274,447,4290,2205,5288,196834,T
105598671,1926,418,292752,447,2029,2205,9395,196332,F
821374356,1926,404,234972,447,3932,1323,4830,196791,T
392902876,1414,128,176750,447,2696,2205,6703,196769,T
999351888,1870,366,387090,447,4016,882,9092,197110,T
319083868,220,63,36300,447,2389,441,9090,197007,T
010624555,1234,158,233226,447,2330,1764,9551,196239,T
127696128,1886,406,256496,447,26968,1323,7025,196958,T
767276782,2062,425,414462,447,11104,1764,4883,197119,F
032391539,1218,142,142506,447,2949,441,7556,196917,T
263214878,1277,189,247738,447,3311,2205,9141,196640,T
813542287,1989,369,105417,447,13484,1764,7008,197020,F
236917087,1943,425,330310,447,2420,1764,7098,196909,F
367186920,332,70,7636,447,6742,441,5055,196539,T
390538969,1241,150,129064,447,2817,1764,9429,196887,T
143076260,682,64,141856,447,2420,1764,5101,197132,T
864118991,2015,370,137020,447,7865,441,7265,196424,T
719374732,1224,190,156672,447,2195,882,5215,196713,T
606977551,565,133,18645,447,4290,1323,9072,196993,T
778691256,1217,134,183767,447,3852,1323,6832,196419,T
625740384,1345,132,161400,447,8580,2205,6711,197108,T
893107537,1844,431,263692,447,26968,1323,4710,196813,T
495323689,1225,175,182525,447,4103,1764,9361,197044,T
995215125,1909,407,473432,447,3561,441,7469,196857,T
852065573,642,125,20544,447,3561,882,4419,196215,T
903331857,1324,149,251560,447,2517,2205,9519,196703,T
537342260,1986,392,295914,447,14521,882,4845,196520,T
398635789,1493,179,228429,447,31463,1323,5036,196535,T
085157924,328,34,53792,447,3432,1764,8910,196387,F
416879741,665,83,71820,447,3044,1764,8833,196629,T
263189738,543,131,45069,447,2817,882,8787,196366,T
600807770,371,43,44149,447,3630,1764,6935,196261,F
146124710,603,74,118791,447,2817,441,4589,196769,T
289551520,1473,160,262194,447,3199,1764,9076,196629,T
263100302,1239,161,292404,447,2551,2205,7319,197124,T
052584591,453,27,17214,447,3495,2205,9344,196732,F
646461497,2110,425,120270,447,3044,2205,4528,196451,F
938789424,1262,133,254924,447,2735,2205,9026,197206,T
283447429,742,112,7420,447,2008,441,8831,196811,T
986755637,2112,402,209088,447,31463,441,9160,196680,T
957337623,1951,399,415563,447,2996,882,9407,196381,T
014988107,1450,144,59450,447,7865,441,7272,196527,T
737796295,385,58,8470,447,2051,1323,7532,196389,T
698046227,635,69,79375,447,2145,1764,4741,196830,T
894942425,507,102,61347,447,2451,441,9055,196929,T
756332654,1902,432,235848,447,2359,882,7318,196748,T
467869329,1251,192,238941,447,2904,1764,9533,196604,T
987858642,333,48,46620,447,9438,441,5373,196806,T
862358410,327,57,13080,447,4195,1323,8783,197159,T
843340623,367,47,24956,447,8207,882,5071,196607,T
732888539,268,82,2680,447,2359,882,8894,196645,T
629198657,673,64,41053,447,4390,1764,4594,196250,T
387966795,699,96,16776,447,13484,441,7486,197176,T
643681791,1995,421,496755,447,4604,2205,6617,196320,F
982110539,223,77,9812,447,5552,882,9091,196227,T
792580170,585,67,122850,447,4604,1764,7289,197211,T
641971655,2070,399,517500,447,2220,1323,8980,196742,T
705922903,2076,365,124560,447,2389,1323,9262,196577,T
275068401,254,40,57404,447,31463,882,7333,197104,T
965426759,499,132,59381,447,4103,1323,9810,196678,T
780773851,614,80,119730,447,2586,882,7380,196428,T
089027543,1324,125,21184,447,23597,882,7515,196998,T
283935261,321,60,41409,447,3199,1764,7522,196909,F
278648133,274,44,47402,447,3371,441,9233,196467,T
515969728,1953,430,246078,447,2169,1323,4380,196699,T
586800827,1443,169,305916,447,1926,1764,9193,196557,T
747418519,2074,413,306952,447,3311,882,9102,196432,T
939411300,409,25,14315,447,2145,882,4472,196640,T
203424825,556,77,80620,447,1887,2205,4412,197202,T
613497446,512,86,34304,447,6089,1323,4471,196299,T
138821194,1941,413,126165,447,9935,882,6667,197112,T
347987234,1352,136,137904,447,6509,1764,6684,196434,T
282679396,313,25,5321,447,4103,882,4782,196721,T
169170260,1250,143,185000,447,3199,1764,9438,196614,T
736088626,617,91,140059,447,2817,2205,7403,196713,T
777090241,314,28,61858,447,3199,1764,7547,196424,F
548660635,218,25,18094,447,6089,1764,5240,196888,F
367173296,1242,123,275724,447,3932,1323,7231,196411,T
366385376,1863,405,96876,447,9438,441,7596,196712,T
944362388,1919,383,272498,570,7364,986,4208,281065,T
025365693,1851,367,27765,447,5899,441,9089,196257,T
191762931,242,48,27346,447,4494,2205,7357,196763,F
237699004,1380,183,104880,447,4604,1764,4501,197187,T
501548525,1891,363,187209,447,7865,1764,5062,196710,F
301471159,2019,422,302850,447,4390,2205,4854,196389,F
123389605,197,20,39794,447,2551,882,4812,196751,T
855122825,1383,176,266919,447,2776,2205,7070,196706,T
483416674,2092,401,209200,447,1926,1764,6771,196566,F
786032657,2076,424,120408,447,6742,1323,5146,196634,T
326097743,295,57,14455,447,3371,1764,7114,196891,F
110968782,1354,159,163834,447,4604,2205,7070,196618,T
514244626,769,84,102277,447,2420,882,5128,196566,T
810577121,1257,162,184779,447,8580,441,6779,196856,T
803717779,1465,168,171405,447,5102,1323,5297,196934,T
947340476,1448,164,183896,447,3254,2205,5159,196253,T
887039694,495,69,10395,447,3199,441,7603,197184,T
885766436,2104,379,378720,447,2860,2205,9237,196823,F
963642794,1878,389,238506,447,6089,1323,5363,196241,T
324646908,1275,178,109650,447,2735,1323,5378,196296,T
649147170,718,128,89750,447,3094,441,5349,196293,T
447124159,724,96,120908,447,2145,1323,7370,196990,T
356207091,1947,416,48675,447,2074,441,9261,196720,T
473504489,1218,165,187572,447,10487,1764,8894,196592,T
275447323,1364,188,324632,447,2359,441,9138,196305,T
135312272,636,133,62328,447,2483,1764,4688,196935,T
731752742,363,54,14520,447,2696,1323,6735,196806,T
448947029,552,70,129168,447,6089,441,7424,196341,T
043318925,497,90,120771,447,6991,2205,4856,196596,T
770048725,600,70,82800,447,3432,1323,7301,196839,T
096288033,670,85,49580,447,3044,882,5003,196751,T
932675596,1825,373,27375,447,3495,441,9153,196610,T
349726137,1846,255,398736,447,31463,2205,8867,196990,T
582812166,537,90,105789,447,7551,1764,7247,196273,T
490246603,1382,162,279164,447,2389,882,9337,196223,T
819666077,1464,126,234240,447,2483,441,9205,196561,T
609928101,781,72,81224,447,17161,1323,9426,196858,T
613675110,1304,123,200816,447,5552,1764,7065,196217,T
073585642,240,62,3840,447,3254,441,4944,196384,T
985444522,1921,384,169048,447,2330,882,7054,196831,T
520084400,1366,159,31418,447,3775,2205,9814,196911,T
167416529,721,90,100940,447,3199,1323,4910,196239,T
020721192,187,66,32538,447,2696,1323,7352,196665,T
480658625,583,89,50721,447,2145,441,9150,197174,T
671025795,2001,405,188094,447,2220,882,4669,196444,T
055096195,696,98,37584,447,2451,882,9730,196398,T
281254919,633,98,6963,447,18877,2205,9753,197182,T
439412185,1850,432,205350,447,4016,882,8807,197070,T
874826357,1965,408,282960,447,4103,2205,9394,197207,F
389267022,387,27,11997,447,3701,1323,4663,196254,T
962644221,1428,127,352716,447,2074,1764,4513,196220,T
966887757,267,61,40851,447,2696,882,9106,196931,T
077021602,1334,191,242788,447,2097,2205,9428,197037,T
809931873,663,67,84864,447,2169,1764,6695,196498,T
742144473,622,107,47272,447,3199,882,9761,196442,T
176755825,498,89,111054,447,4390,1323,7307,197216,T
324717518,1837,386,225951,447,6742,1764,4786,196328,F
768897210,592,92,122544,447,2029,1323,9083,196586,T
767314060,1313,163,291486,447,1926,882,9791,197157,T
024980342,1986,421,131076,447,4290,1323,6795,196335,T
330513648,252,68,55440,447,5899,441,8985,196925,T
454256795,2060,422,440840,447,2776,2205,9280,197096,F
483596705,2074,396,95404,447,3254,1323,8802,196515,T
289759717,1236,128,134724,447,5899,2205,6679,196893,T
853977452,2108,403,486948,447,2008,1323,5237,196721,T
826012218,249,69,31623,447,3311,441,9185,196412,T
312658652,1243,128,226226,447,3044,441,7191,196404,T
944045956,601,78,37863,447,2776,441,7378,196357,T
506090328,1437,162,204054,447,2359,1764,5356,196605,T
602657498,531,106,103545,447,31463,882,9045,197094,T
718734397,2010,405,255270,447,9438,1323,4460,196706,T
494455191,396,58,33264,447,2359,441,5332,196313,T
347258762,2090,393,440990,447,3701,2205,9139,197047,F
032315437,711,128,78210,447,3044,1323,9713,196275,T
825568045,1976,409,316160,447,5243,1764,4640,197163,F
865695099,266,74,23940,447,2860,2205,8956,196259,F
790785355,236,26,37996,447,9935,2205,5052,196318,F
173392210,763,68,90034,447,2551,1323,9745,196597,T
483007604,518,99,115514,447,6742,2205,7423,196598,T
362241771,1885,370,197925,447,26968,441,4974,196663,T
222041153,1212,143,23028,447,3561,2205,4730,196829,T
103938361,1427,187,75631,447,2169,1764,6624,196918,T
884327513,1925,368,173250,447,11104,2205,7301,197046,F
619089038,327,53,7521,447,11104,2205,4951,196778,F
002837842,1197,152,44289,447,5393,882,4366,197053,T
767529976,1263,124,221025,447,6742,1323,9601,196254,T
172416782,2061,398,284418,447,9438,1323,7177,197136,T
044584389,304,23,5776,447,8989,2205,9467,196843,F
312841239,363,33,49731,447,2029,441,8916,196369,T
754789156,655,85,13100,447,2359,1764,9817,196461,T
863176190,524,77,8384,447,2302,1323,8779,197179,T
701151968,238,76,24038,447,5899,1764,7453,197100,F
790666865,2030,406,426300,447,3044,2205,9723,197067,F
733180403,222,23,31302,447,8989,1764,4475,196336,F
741456012,1955,403,103615,447,4390,2205,9798,196765,F
678032214,583,104,69377,447,3254,882,6788,196273,T
201452116,1205,138,34945,447,18877,441,5257,196768,T
732046096,515,101,114330,447,3852,441,4838,196605,T
052410876,2072,388,31080,447,1887,441,7428,196609,T
491936391,277,71,35179,447,3701,441,7034,197062,T
640543856,1949,379,25337,447,6509,441,5372,196523,T
724300938,595,86,24395,447,2359,2205,4670,197052,T
201063244,594,113,50490,447,8207,882,6729,197196,T
770693597,1223,128,198126,447,7551,441,4973,197007,T
375767353,1469,177,286455,447,3630,2205,5382,196945,T
912580754,510,81,84660,447,2949,1764,9507,196626,T
566192561,237,77,30336,447,4494,1323,4361,196409,T
931856520,1198,134,204858,447,2904,2205,5174,196488,T
668456921,1896,233,365928,447,37755,441,6630,196782,T
658803189,1984,375,299584,447,3775,1323,7567,196211,T
449560517,2037,417,352401,447,8207,1764,6818,197164,F
087655588,1387,190,332880,447,2169,1764,5391,196444,T
031215009,1487,193,32714,447,2904,1323,6585,196941,T
201830007,1864,427,264688,447,6742,1323,4876,196404,T
