userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
698936962,2047,431,100303,447,383,882,9140,196733,T
400208170,1843,407,116109,447,388,2205,8934,196615,F
877862183,1393,160,129549,447,534,1764,8843,196652,T
533592403,399,17,16359,447,627,2205,9439,196551,F
070402010,1417,192,134615,447,973,441,4652,196775,T
035698579,2027,399,58783,447,410,1764,5176,197207,F
369546108,616,112,51744,447,1004,1323,7012,197035,T
757554980,2113,390,131006,447,1398,2205,7357,196610,F
053212662,751,98,40554,447,731,441,7036,196993,T
578941782,356,18,14952,447,1764,2205,8866,196333,F
019296962,659,133,23065,447,2051,882,9013,197087,T
331379166,1939,425,147364,447,500,2205,7463,196320,F
087207092,556,101,46148,447,524,1323,4823,196793,T
168126780,305,75,6405,447,3254,1764,4420,196661,F
872103128,203,41,5481,447,1780,1764,4904,196830,F
890823278,1336,164,122912,447,3932,2205,9808,196782,T
003738276,562,110,24728,447,566,441,5193,196588,T
467031955,2008,391,126504,447,633,1764,7176,196636,F
046824057,1890,401,120960,447,394,1764,7241,197172,F
169242916,767,129,34515,447,2420,882,7559,196914,T
197314042,240,62,20160,447,421,441,9528,196768,T
908199219,230,77,11960,447,3630,2205,9788,196336,F
754063388,1954,404,150458,447,593,2205,4737,196922,F
707186374,564,93,35532,447,1266,1323,9313,196827,T
614834362,629,89,29563,447,451,441,5346,196902,T
705463137,296,47,19536,447,2097,1764,7512,196981,F
526990771,520,126,28600,447,1329,1764,9254,196982,T
520395244,447,54,14751,447,1599,1764,6877,196406,F
379727401,695,125,63940,447,556,2205,9251,197090,T
731601127,424,49,11024,447,566,2205,9817,196739,F
220740904,571,76,50819,447,379,441,9276,196635,T
171606545,262,49,5502,447,1655,2205,4811,196678,F
432223967,1221,170,32967,447,717,441,6751,196855,T
929445837,1925,378,75075,447,480,1764,5067,196907,F
465850267,673,101,13460,447,846,2205,9252,197093,T
186581162,2078,427,189098,447,4195,1764,9226,197183,F
869425551,1930,369,90710,447,477,1323,5208,197170,T
316138823,1941,422,98991,447,1031,1764,4542,196267,F
452463928,775,104,53475,447,560,2205,7328,196604,T
287344575,2031,404,77178,447,2517,1764,6602,196806,F
382569369,1991,413,79640,447,7551,882,4382,196613,T
367730292,1859,422,120835,447,1025,2205,7125,197110,F
905324781,586,71,46294,447,767,2205,5011,196277,T
459034801,1993,392,111608,447,1946,1764,9747,196545,F
110945136,413,58,21476,447,1110,1764,9230,196881,F
080280369,382,57,27504,447,1780,1323,9755,196315,T
024787319,487,130,36038,447,579,2205,9525,196686,T
535400687,363,56,27225,447,416,2205,9476,196918,F
286801783,518,70,15540,447,850,1323,8933,196808,T
882930478,266,57,23408,447,873,2205,4632,196449,F
258592107,1982,384,77298,447,749,882,4919,196775,T
041009700,2036,425,152700,447,1014,1764,5328,196884,F
597637597,1895,409,170550,447,674,1323,4991,196732,T
492514941,1848,372,157080,447,429,1764,4843,196878,F
776412620,532,93,35644,447,1284,1764,6812,196614,T
265369658,188,47,17108,447,920,2205,8954,196457,F
175626205,212,22,12720,447,3311,2205,9150,196212,F
547450406,767,105,29913,447,8207,2205,5068,196925,T
658200878,1330,140,65170,447,431,1764,4498,197140,T
902339586,1984,427,113088,447,799,2205,4798,196372,F
599364050,1896,432,128928,447,507,2205,9715,196330,F
697385039,1348,154,75488,447,434,441,7119,197104,T
621121358,1959,373,143007,447,1250,882,6966,196236,T
808685205,239,81,20315,447,2029,1764,7421,197067,F
995317072,570,126,46740,447,422,1764,9677,197023,T
547606412,1909,413,103086,447,579,2205,6767,196630,F
582004050,198,25,11880,447,1780,441,9073,196873,T
421273779,1940,381,48500,447,1042,1764,7115,197210,F
909199747,1484,170,87556,447,577,1323,5163,196550,T
688625856,245,82,6125,447,427,1764,9251,196915,F
264981269,1274,137,31850,447,709,882,9342,196294,T
691512680,1893,398,140082,447,773,2205,7430,196869,F
491735839,1472,171,131008,447,734,1764,7365,196697,T
320950762,194,74,14550,447,383,1764,9387,196530,F
664932821,628,76,32656,447,1275,441,4636,196422,T
884367926,2058,399,84378,447,391,2205,4975,196470,F
003063460,1394,125,107338,447,5243,1323,9499,196950,T
429402117,2074,433,72590,447,813,2205,9153,197123,F
215777708,291,35,27063,447,1367,1323,7466,197141,T
341031692,313,68,15337,447,511,2205,9339,196221,F
086545595,1984,363,113088,447,414,2205,4982,197157,F
104077140,1471,186,82376,447,492,1764,9388,196393,T
133909288,1200,131,39600,447,563,1764,5325,196641,T
951311865,2109,421,118104,447,948,2205,8916,196470,F
374410437,643,76,60442,447,396,2205,7261,196275,T
493738714,1966,373,163178,447,550,2205,9689,197080,F
024084202,1924,406,100048,447,1358,882,4883,196954,T
449017136,1820,363,123760,447,1202,2205,7241,197195,F
705154728,681,74,14982,447,878,2205,9555,196478,T
310598985,266,52,19418,447,2551,2205,4590,196756,F
490562240,719,116,33074,447,534,882,7115,196443,T
427312102,1939,432,108584,447,394,1764,7049,196436,F
855235718,1401,173,32223,447,1522,441,7273,196771,T
975255260,324,23,9720,447,401,1764,8970,196526,F
620652830,524,82,36156,447,740,1764,9108,196505,T
964921257,2021,369,44462,447,694,2205,4837,196385,F
071970495,575,79,43700,447,563,441,9241,197002,T
444519141,376,26,12784,447,394,2205,9778,197029,F
119531773,737,67,22110,447,570,1323,6590,197111,T
082076541,229,58,11908,447,2817,1764,9169,196842,F
