userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
957272802,892,78,198024,818,2765,955,2668,194540,T
670915452,1103,135,228321,818,31800,477,1519,195159,T
020169781,1556,302,272300,818,9540,1194,2508,194839,T
214345869,999,105,151848,818,23850,955,2932,194660,T
551991738,1546,286,234992,818,4147,477,3080,194670,T
714276579,1134,119,154224,818,21200,955,3787,194869,T
775457385,1427,283,338199,818,4892,1194,3547,195056,T
957595610,1054,92,51646,818,2415,477,1616,195137,T
725478036,378,43,5292,818,2935,955,1658,195227,T
149778128,884,85,108732,818,11925,1194,3756,195256,F
322972531,719,97,103536,818,2051,955,2247,194825,T
758487222,1477,271,358911,818,15900,955,3545,194545,T
031649690,1081,89,265926,818,2029,1194,3386,194470,F
884984458,1017,78,224757,818,3180,1194,2026,195228,F
625570570,880,116,183920,818,2578,1194,1606,195072,F
645999610,413,96,18998,818,3077,955,1614,194599,T
016011743,463,37,32873,818,6154,1194,2979,194902,T
462528076,372,73,28644,818,3233,716,2275,194550,T
363451898,918,75,50490,818,31800,477,2137,194583,T
061913897,591,54,67374,818,2544,955,2784,194677,T
334752585,1573,288,276848,818,2244,955,2751,194522,T
221831540,440,40,36520,818,2765,477,2122,195026,T
443763150,430,61,35690,818,3180,716,2972,195376,T
478725683,1139,99,261970,818,2193,955,2410,195307,T
799663866,1135,110,139605,818,2143,716,2768,194894,T
449042536,1105,139,244205,818,3028,477,3048,195125,T
827042442,882,105,220500,818,2218,955,3651,195383,T
892851137,1121,113,252225,818,4770,1194,2177,194569,F
291688651,885,128,41595,818,7950,238,3009,195120,T
354746141,721,111,63448,818,3347,238,1612,194813,T
615808272,1460,279,264260,818,3289,477,1903,195242,T
631869319,415,95,38595,818,2051,716,3059,194519,T
359066867,928,98,197664,818,2193,1194,3034,194608,F
615553608,1064,133,226632,818,2544,955,2366,195051,T
249347671,1067,105,190993,818,3289,477,3030,194538,T
952536530,931,139,114513,818,11925,477,2885,194819,T
231379958,723,73,14460,818,5300,238,3083,195053,T
753153033,1577,308,241281,818,10600,238,1918,194960,T
262278867,1631,278,301735,818,2168,477,3209,195083,T
878633269,660,99,114180,818,9085,1194,2823,195326,F
321045163,482,50,79530,818,3533,238,2365,194589,T
226704865,493,53,47821,818,2298,477,3321,195231,T
952691869,1574,289,363594,818,3233,477,2821,194530,T
985426561,419,59,42319,818,9540,1194,3505,195363,T
658421035,887,118,68299,818,4542,955,2858,194842,T
502965865,1010,139,125240,818,4336,955,3269,194551,T
130376233,748,110,56100,818,4437,716,2940,195128,T
519224534,1373,275,339131,818,5611,238,3072,194489,T
471985331,329,35,28952,818,6579,477,2090,195296,T
427342873,399,56,80997,818,6814,716,1459,195195,T
271059472,1150,127,93150,818,3816,238,3489,195295,T
287394090,442,58,48178,818,21200,1194,3417,194404,T
