userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
165509481,1094,100,38290,818,621,477,2921,194713,T
181511431,659,138,23065,818,617,1194,2321,194418,F
168460666,581,42,45318,818,1306,238,3821,194926,T
793092519,990,106,51480,818,435,1194,2864,194977,F
223923085,923,108,31382,818,711,477,2904,195130,T
928004847,1098,89,34038,818,590,1194,2814,195195,F
322924537,656,78,62976,818,788,955,3675,195355,T
141083770,1028,83,52428,818,754,1194,2194,195255,F
574843028,406,58,26796,818,1185,955,2893,195074,T
306366474,1084,141,81300,818,500,1194,3093,194778,F
736970908,1000,129,71000,818,2096,955,3613,195293,T
313482972,1028,81,53456,818,1315,1194,1401,194469,F
178317285,666,89,55278,818,887,477,2337,195128,T
509588968,1103,76,37502,818,435,1194,2657,194932,F
689740172,693,103,67221,818,524,238,3677,195243,T
124944370,903,121,56889,818,465,1194,2937,195081,F
691046881,1065,119,70290,818,1750,1194,1646,194412,F
679689024,477,33,10971,818,2725,955,2829,195051,T
703691442,1129,115,71127,818,1688,955,2554,194885,T
515356293,903,97,38829,818,698,1194,2203,194855,F
503677336,344,44,33024,818,1870,955,3808,195166,T
239100595,806,74,44330,818,12720,1194,2765,195010,F
882408337,669,124,45492,818,4770,716,2261,194767,T
525995059,1062,101,50976,818,490,1194,3126,194679,F
452459446,799,74,55930,818,6814,238,3072,194710,T
190782454,983,136,27524,818,2765,1194,1794,194618,F
151163886,1123,136,49412,818,598,716,2876,195287,T
140850812,854,108,32452,818,1734,1194,3639,194965,F
525475405,919,128,87305,818,553,716,3305,194857,T
210753560,880,93,51040,818,543,1194,3562,194760,F
722582255,857,122,77130,818,7632,1194,1840,194518,F
897032892,545,37,53410,818,4059,1194,2207,194819,T
225474230,406,101,40194,818,466,716,2642,194973,T
999470600,1131,121,95004,818,1122,1194,1922,195233,F
505849663,442,57,41990,818,530,477,2937,195270,T
712693796,709,115,18434,818,490,1194,3800,194883,F
389842477,380,60,38000,818,836,716,2145,195138,T
192474639,1098,138,75762,818,2578,1194,3107,195198,F
572325151,547,70,17504,818,423,955,3432,194418,T
119547380,1081,136,90804,818,833,1194,2402,194752,F
240971801,423,95,13959,818,400,955,2136,195095,T
355046560,720,83,34560,818,423,1194,2199,195213,F
099938047,604,50,24764,818,3233,477,2982,195266,T
933236823,1021,112,63302,818,655,1194,2272,195004,F
212811918,614,35,49120,818,954,477,2601,194654,T
898005363,640,81,16640,818,1502,1194,1690,194532,F
242520418,996,82,25896,818,1031,955,2138,194747,T
603546332,979,88,73425,818,671,1194,1458,194967,F
170094251,1055,80,36925,818,477,1194,2494,194471,F
744922180,1020,129,102000,818,895,716,2833,195372,T
459843688,411,101,34113,818,411,477,2110,194603,T
514780855,1099,145,75831,818,1297,1194,2968,195348,F
926242665,1003,113,92276,818,930,955,3716,194640,T
853959385,1037,108,47702,818,1834,1194,2160,195207,F
108504709,713,122,24242,818,1142,238,3748,195031,T
049441498,1033,139,27891,818,625,1194,3639,195091,F
312197791,951,96,72276,818,3816,1194,1791,195208,F
044563448,434,80,16926,818,836,955,2687,194835,T
157173566,931,105,69825,818,640,716,3825,195194,T
289762505,1087,90,43480,818,709,1194,1488,195216,F
018699407,464,85,45936,818,495,1194,3323,195252,T
854182249,926,78,38892,818,617,1194,2120,195195,F
027433018,984,83,93480,818,1445,1194,2375,194719,F
539943750,564,60,36660,818,489,955,3718,194850,T
479361653,1076,89,105448,818,6360,1194,3314,194684,F
074416326,1140,119,74100,818,485,477,3720,195254,T
317406106,469,53,10318,818,527,238,2777,195049,T
435350601,1106,100,100646,818,499,1194,2339,194454,F
913434637,967,136,29010,818,778,477,2125,194881,T
397767286,1086,112,49956,818,559,1194,3061,195270,F
117660243,954,107,24804,818,431,477,2167,195038,T
848515813,980,135,33320,818,2650,1194,2238,194638,F
700555513,705,123,22560,818,621,477,2304,195132,T
183129973,902,97,88396,818,605,1194,3561,195053,F
049605642,498,44,24900,818,4059,477,2611,194595,T
007306543,1003,90,44132,818,617,1194,3397,194488,F
652127050,652,114,54116,818,460,716,2395,194921,T
682540195,896,140,57344,818,1644,1194,2438,194620,F
272428420,391,51,28543,818,466,238,3515,195131,T
760876544,963,87,27927,818,480,1194,1902,194588,F
358200535,1049,80,81822,818,548,238,2180,194514,T
953625604,1128,90,64296,818,495,1194,2342,194519,F
896042713,1120,125,39200,818,423,955,3129,194612,T
181610285,990,114,31680,818,1514,1194,3549,194914,F
115891125,417,73,25854,818,1434,477,2391,194927,T
895445270,1070,91,49220,818,468,1194,3200,194695,F
096101864,969,133,19380,818,607,238,3159,194957,T
621582115,951,95,29481,818,410,1194,2720,195098,F
999242119,432,89,40608,818,822,955,2310,194952,T
133856739,954,113,22896,818,532,1194,2852,194892,F
628239936,1133,128,43054,818,395,477,2947,194499,T
407591551,1098,92,105408,818,418,1194,2252,195369,F
426623448,417,52,12510,818,2477,477,2231,194538,T
610992694,900,127,83700,818,736,1194,1757,195273,F
407945299,1039,95,93510,818,763,1194,3315,195049,F
162302618,702,70,25272,818,601,955,3000,195262,T
835860244,697,122,50881,818,557,477,2841,195143,T
213727781,854,114,42700,818,2847,1194,2272,195231,F
221513163,1141,105,106113,818,3180,955,1900,195302,T
883754006,959,123,93023,818,2415,1194,2888,194558,F
