userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
865800659,985,183,24625,371,4645,1094,2576,134753,T
596244296,847,99,166012,371,1941,1824,3434,134897,F
927504475,1489,201,329069,371,16260,729,3142,135274,T
410591672,846,77,142128,371,1913,1459,2356,134652,F
320208518,2073,326,308877,371,5913,1094,3327,135319,F
317903221,676,74,113568,371,1734,729,1914,134796,T
111629981,638,127,29986,371,2322,1459,3102,134693,F
335403355,577,109,113669,371,21681,1094,3683,135395,T
499451140,706,88,175088,371,21681,729,2907,135437,T
323394452,1612,206,116064,371,2501,1459,2343,134847,T
093901127,616,74,135520,371,3942,364,3121,134664,T
215015348,932,157,44736,371,6194,1459,3324,134761,T
485149029,592,75,124912,371,1885,364,3624,135208,T
978871537,1587,203,260268,371,1512,1094,3276,135448,T
271584931,764,111,32088,371,2956,1094,1425,134765,T
859062448,827,143,191037,371,8672,1094,2154,135160,T
583547892,1854,308,422712,371,1941,1824,2213,135418,F
185484938,1156,223,17340,371,4485,729,2113,135547,T
133137491,1725,168,400200,371,3613,1824,2970,135098,T
355209758,1630,151,156480,371,3826,1459,2178,134753,F
080589507,747,83,114291,371,10840,729,2013,134974,T
578874014,1512,210,189000,371,1413,1824,2051,134649,T
382168721,1989,311,467415,371,2654,1094,1963,135069,F
876425163,1980,290,316800,371,7652,1094,3628,134720,F
021098474,1690,161,341380,371,2550,1824,1996,135044,T
856073868,1455,215,269175,371,5203,364,1795,134943,T
602398480,601,100,145442,371,2550,1459,2309,135187,F
171101388,2019,266,270546,371,3025,1824,3795,135159,F
499064782,678,73,63732,371,2710,1824,2336,135652,F
411193705,587,115,39916,371,9291,1459,2419,135090,F
235916498,722,97,20216,371,1478,1824,2475,135378,F
346946472,1468,179,91016,371,4065,1824,3550,135025,T
224367096,2143,321,387883,371,11826,1459,2297,134761,F
454683349,1595,198,162690,371,2282,1824,3054,135131,T
082604403,702,96,31590,371,1606,1094,2416,134798,T
316468344,709,92,105641,371,1941,1459,2692,135022,F
174634436,2134,289,426800,371,4336,1094,3099,135250,F
336458749,603,87,42210,371,1913,1459,2203,135554,F
926814578,1529,180,169719,371,5913,1094,2817,135066,T
634463172,1441,154,341517,371,4818,1094,2404,135352,F
063962930,952,244,16184,371,21681,1094,2195,134679,T
176602575,1611,210,280314,371,4818,364,2089,135628,T
751156558,840,100,86520,371,3335,1094,1452,134827,T
570178127,1898,284,474500,371,1341,1824,2698,135568,F
879207457,1538,159,330670,371,1941,1094,3421,135349,T
844807648,1942,262,316546,371,1734,729,1574,135384,T
515356938,2077,316,292857,371,5913,1094,3846,135580,F
196433794,886,142,23036,371,4645,729,1672,134858,F
424286226,1489,201,157834,371,1913,1824,1869,135414,T
862240093,840,133,122640,371,1530,1094,1460,135441,T
302632300,778,84,140040,371,7652,729,2179,135094,T
470754949,724,79,110048,371,2767,1459,2174,135486,F
530351071,2062,268,435082,371,14454,1459,2359,135027,F
081588231,657,93,130086,371,4196,729,1661,135389,T
010585698,983,215,62912,371,3942,1094,2596,134838,T
836784787,1522,163,68490,371,5655,1094,3067,134745,T
990183478,1953,279,367164,760,3864,489,2734,372361,T
872637024,1732,164,303100,371,1667,1094,2142,135362,T
042726480,583,73,110770,371,3335,364,2993,135067,T
031006561,1584,203,248688,371,1806,1824,2394,134703,T
545447667,1527,168,282495,371,3172,1459,3217,134686,T
177167323,810,147,46170,371,4336,1824,2894,135459,T
061481475,587,95,41677,371,1341,1459,2343,135276,F
579040070,2033,302,502151,371,5655,729,2885,135443,T
156870795,1607,216,67494,371,1858,1459,1529,134763,T
597262572,2083,317,260375,371,11826,729,3187,135012,T
075746720,1459,176,100671,371,1913,729,3181,135338,T
254558077,580,122,28420,371,21681,1094,2309,135525,T
229612979,1561,176,190442,371,1626,1824,3396,134724,T
182677753,1954,310,386892,371,1941,364,3017,135348,T
390111038,1544,220,231600,371,1941,1094,1639,135300,T
663960407,642,117,133536,371,1300,729,3070,135388,T
351437195,972,188,43740,371,3826,364,1781,135610,T
326951254,2054,297,285506,371,2956,1459,3849,135208,F
874087160,1111,209,12221,371,1711,1824,2208,135652,T
656239167,2064,312,476784,371,1413,364,2034,135267,T
982245655,829,209,33160,371,1646,1824,2373,135023,T
591007599,1482,217,130416,371,4645,729,2866,135117,T
314238832,1475,168,202075,371,2601,1459,3560,135060,T
608132536,673,94,152771,371,4196,1459,2478,134886,F
163724682,854,120,97356,371,3942,1824,3650,135569,F
895761505,614,127,141834,371,1734,1459,3269,135258,F
730930175,1976,309,470288,371,4485,1459,2974,135531,F
920668363,843,164,9273,371,3025,1094,3744,134986,T
650947490,1643,209,228377,371,7652,364,3547,134809,T
387417842,580,80,124700,371,1782,1459,3672,134848,F
249605265,1540,186,351120,371,1314,1459,2798,134925,T
902755114,1071,242,61047,371,4645,1824,2065,135045,T
889560064,1521,153,310284,371,2601,729,3296,134911,F
286183937,694,128,38864,371,1734,1824,3179,135331,F
782710614,690,120,94530,371,5203,1824,3268,135638,F
182460186,1663,220,322622,371,1782,364,3085,134953,T
261111467,1517,212,309468,371,1626,1094,2602,135264,T
525122159,940,238,52640,371,9291,1459,2025,135191,T
544275049,769,132,136113,371,1327,1459,3257,135012,F
775372187,764,88,160440,371,5003,1094,1708,134800,T
748571583,688,137,150672,371,2550,364,2363,135091,T
230340078,1713,162,119910,371,1314,1459,2181,135438,T
158425972,565,80,84750,371,1782,364,1529,135414,T
926969737,2103,276,368025,371,5655,1824,2966,134655,F
461644196,643,94,55941,371,2032,729,3618,135291,T
398939626,926,233,28706,371,5003,1824,3721,135487,T
239510561,1529,157,100914,371,2322,364,2087,134977,T
833440284,747,91,143424,371,14454,1094,3715,135361,T
224596972,1964,315,284780,371,6194,364,2014,135077,T
844703000,1608,182,297480,371,1512,1094,3762,134761,T
693273228,1853,312,309451,371,6504,729,2241,135113,T
770961599,1460,201,251120,371,2601,1459,2340,135494,T
420727953,1723,167,427304,371,1858,1824,2179,135289,T
729854259,601,131,141836,371,2282,1459,1824,134929,F
754256611,1804,192,389664,371,2454,1459,3872,135223,F
941903483,633,112,96216,371,1567,729,3148,134719,T
010348289,1845,195,446490,371,9291,1094,2199,134647,F
744306981,1785,214,410550,371,1971,1824,2877,135160,F
473172656,649,115,48026,371,1757,1094,1806,135128,T
889423955,730,210,58400,371,2001,1094,2351,135328,T
750387539,2144,269,520992,371,1341,364,2706,135643,T
805648193,905,187,65160,371,1300,364,2914,135559,T
516369788,813,75,17073,371,3025,1824,1479,134890,F
064489931,820,146,18040,371,26017,364,2412,135418,F
014349406,1572,165,160344,371,1832,1459,2366,134698,T
871943444,1469,185,323180,371,1586,1459,2945,134745,T
948077727,624,74,126672,371,1606,1094,2560,135034,T
487504698,825,122,199650,371,1548,1824,3128,135065,F
762083404,2012,292,486904,371,4485,1459,2943,135323,F
003295424,1604,163,303156,371,1858,1094,2936,134804,T
742471016,1673,217,182357,371,1711,1459,2670,135475,T
007852705,1016,212,26416,371,1398,729,2257,134964,T
587352457,714,97,65688,371,2767,364,2741,134940,T
794518081,1775,190,347900,371,4065,1094,3832,134742,F
999473714,789,106,78111,371,1626,729,2657,134922,T
417026896,2012,294,253512,371,2132,364,3846,135592,T
