userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
698891832,806,187,51584,371,573,1459,3813,134809,T
058949443,1441,156,109516,371,382,1094,2907,134730,F
220991087,1696,207,152640,371,338,1094,2949,135163,T
254558913,774,75,71982,371,319,1824,3183,134941,F
464562783,905,187,38915,371,327,729,3105,135447,T
562226202,654,120,30738,371,260,1459,2725,134940,F
570674349,1484,170,126140,371,337,1459,2421,135359,T
343943794,1690,151,121680,371,730,364,3784,134782,F
606301342,912,168,28272,371,294,1459,1905,135503,T
286143159,1514,154,40878,371,2827,1459,2188,135583,F
293720937,737,78,64856,371,653,364,1517,135041,T
691085159,645,125,60630,371,734,1824,3548,135457,F
525166928,1690,190,157170,371,461,1824,2717,134831,T
009617421,639,104,20448,371,358,1459,2564,135347,F
860666906,740,204,27380,371,380,1094,1653,134662,T
664790010,588,74,11760,371,282,1824,3392,135003,F
830943926,1057,214,43337,371,26017,1094,2986,135460,T
601874502,663,92,13923,371,304,1824,3744,135402,F
020787942,997,212,36889,371,361,1094,3774,134776,T
194050549,1672,155,33440,371,364,1094,1739,135651,F
406941867,1444,164,129960,371,760,729,1862,135594,T
250505524,819,95,67158,371,461,1459,3857,134966,F
497343914,1600,154,88000,371,302,1824,3430,135368,F
458348113,873,172,41031,371,956,1824,3080,134809,T
377534179,840,78,81480,371,2890,729,1809,135098,T
446006863,1666,154,81634,371,2601,1459,3422,134989,F
097996400,873,188,50634,371,360,729,2374,135100,T
610297296,689,90,35828,371,2168,1824,2061,134803,F
151957467,606,140,44844,371,734,1824,3386,135033,F
537513003,1092,194,57876,371,307,729,2052,134786,T
501080761,1618,181,85754,371,949,1824,2649,134964,T
852895321,615,116,20295,371,1032,1459,2296,134984,F
131857811,737,199,36113,371,445,1824,2854,135056,T
593571299,668,143,46092,371,297,1824,3126,135090,F
155736600,838,105,31844,371,269,1094,3288,134688,T
265330307,800,101,55200,371,412,1824,3149,134733,F
892393447,1049,182,49303,371,560,1094,2993,135103,T
881461842,833,103,55811,371,277,1824,2450,135174,F
323619676,780,181,40560,371,285,729,2548,135491,T
075669642,818,111,62986,371,328,1459,3108,134878,F
638871751,857,141,81415,371,473,1094,3737,134838,T
777006028,564,137,19740,371,510,1824,2194,134733,F
188334815,1528,208,30560,371,823,729,3778,135089,T
370476656,593,116,37952,371,985,1824,2955,135541,F
347049265,720,175,45360,371,326,1094,2515,135479,T
257820524,840,143,71400,371,306,1824,1831,135231,F
658563969,666,76,37296,371,432,1459,2318,134831,F
307556077,1007,229,41287,371,388,1824,1634,134681,T
750256441,770,73,56980,371,970,1824,2280,135315,F
615675595,759,149,58443,371,285,364,2253,134657,T
431014218,1523,202,150777,371,351,1459,1986,135345,T
802449337,704,108,42944,371,558,1459,2987,134820,F
872367054,837,79,80352,371,466,1824,2467,134728,F
735602951,860,187,33540,371,267,1459,2515,135204,T
455787085,756,158,24948,371,739,1824,2893,135213,T
019719915,693,84,20790,371,730,1459,3050,135009,F
203416385,1479,197,72471,371,828,1824,2876,135489,T
965959853,598,126,29900,371,262,1459,2690,135506,F
447125376,890,178,44500,371,555,729,3903,135283,T
834676582,1487,153,95168,371,288,1094,3161,135596,F
753001551,966,147,20286,371,1141,1094,1411,135542,T
387861665,1625,151,157625,371,551,729,2679,135535,F
231789387,651,111,44919,371,388,364,2252,134773,T
750808724,570,126,14820,371,631,1459,3227,135313,F
469805840,1500,176,130500,371,710,1824,3809,134896,T
529440349,1499,155,104930,371,11826,364,2262,135510,F
037565398,875,178,58625,371,599,1094,2947,135432,T
003075220,622,82,56602,371,622,1824,3290,135097,F
999649410,560,83,24080,371,833,1459,3201,135230,F
965688838,710,156,56800,371,674,364,3733,135358,T
903116260,794,106,76224,371,426,1094,1633,135275,T
883491637,1484,150,90524,371,340,1094,2922,134760,F
677371874,930,209,26970,371,321,364,2295,134915,T
459787505,780,96,76440,371,1586,1459,2690,135035,F
180714231,794,166,61932,371,551,1824,2397,135608,T
818401690,1441,150,131131,371,2365,1824,2435,135229,F
009725034,637,137,21658,371,371,1824,3536,134847,F
226433226,1657,198,119304,371,1355,1824,3128,135642,T
125839500,705,104,46530,371,5420,729,2033,135337,T
024673395,805,146,24955,371,325,729,2312,135095,F
932709032,1561,180,112392,371,710,364,3105,135315,T
835412146,850,134,62900,371,302,1459,1459,135549,F
040080686,1463,201,33649,371,267,1824,2413,135454,T
376167166,1499,152,59960,371,388,1459,3308,134722,F
708743651,1511,173,117858,371,353,1459,3485,134875,T
856174266,1596,152,35112,371,2654,364,2990,135470,F
286496542,691,139,40769,371,430,364,1619,135330,T
279887821,562,95,50018,371,302,1824,3856,135064,F
957162367,742,87,43778,371,1782,729,3048,134814,T
841408431,1651,155,151892,371,1102,1094,1773,134879,F
530718935,1580,189,97960,371,363,1459,2314,134743,T
617936384,740,74,53280,371,739,1459,3060,134772,F
665955020,839,143,43628,371,591,729,2395,135512,F
864193342,790,140,18960,371,464,1824,1512,134819,T
150376320,716,119,62292,371,316,364,3859,135611,T
442055035,843,142,75870,371,1646,1459,3768,134649,F
026055988,1614,208,51648,371,389,1094,2081,135046,T
380518506,562,106,23604,371,722,1824,2560,134914,F
652111017,790,164,28440,371,328,364,3311,134890,T
119177093,726,121,67518,371,351,1459,3216,135143,F
