userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
052002123,2046,271,59334,260,313,907,3558,118067,T
308739120,2113,266,78181,260,3251,2269,2415,118161,F
375874986,1995,321,85785,260,214,2269,3026,117501,F
307164997,1911,325,99372,260,362,1361,2674,118065,T
329834913,12,6,312,260,225,1361,2288,118258,T
893597746,2062,299,47426,260,727,2269,2372,118272,F
262355363,79,47,1738,260,870,907,3851,117420,T
042526613,944,200,93456,260,1875,2269,4057,117789,F
364123481,744,110,43896,260,199,2269,3518,118143,F
135086842,1778,203,122682,260,3751,453,2298,118222,T
552499035,1662,196,93072,260,2709,453,3657,117798,T
715726104,2145,320,70785,260,248,1815,3941,118257,F
970941530,775,123,24800,260,557,907,3610,117491,T
765488956,1942,312,108752,260,793,1815,3175,117739,F
820194812,207,47,6831,260,701,1361,2752,118045,T
063519947,2066,316,204534,260,411,1815,3243,117994,F
376045765,940,121,91180,260,265,1815,2622,117459,T
039910374,1912,326,149136,260,1336,1815,3529,117840,F
364596748,1884,308,67824,260,197,1361,2815,117687,T
291194051,917,160,66941,260,516,2269,3681,118267,F
529514813,188,50,6956,260,322,2269,3690,118121,T
409840983,844,140,26164,260,722,2269,4379,117310,F
503655084,866,190,78806,260,431,1361,4048,117548,T
511186020,744,115,67704,260,220,2269,3109,118124,F
982740707,2052,287,162108,260,268,453,2927,117989,T
428623228,2116,283,105800,260,1283,2269,3607,118008,F
121636051,138,1,13662,260,1413,453,2418,117891,T
979254402,1986,283,109230,260,345,2269,2501,117321,F
533530493,1979,292,116761,260,201,907,4320,117772,T
764684786,1851,308,153633,260,2501,1815,2090,117985,F
379431219,1992,294,195216,260,1134,2269,3258,117435,F
918283974,969,186,72675,260,207,907,2124,117836,T
683384520,175,31,7875,260,239,1361,3847,117593,T
036596224,2078,269,83120,260,1681,2269,3129,117332,F
723450424,866,144,78806,260,221,453,4088,117816,T
730482682,840,132,24360,260,650,2269,1905,117297,F
290807064,935,125,79475,260,686,907,3131,117368,T
922908111,1906,286,95300,260,1134,1815,2761,117449,F
198912513,949,179,32266,260,7503,453,4596,117789,T
429979425,941,116,60224,260,288,2269,3417,117551,F
110835387,232,8,5104,260,466,1361,3426,117570,T
541170601,1958,285,184052,260,270,1815,4296,117946,F
486534605,1999,309,83958,260,246,2269,2827,117616,F
470026054,866,144,70146,260,480,1815,2497,117417,T
943372171,1954,292,117240,260,799,1815,2034,117467,F
618688615,1661,168,34881,260,659,453,4104,118269,T
314059059,2024,265,198352,260,1599,453,3955,117812,T
586531419,1960,289,127400,260,334,1815,4305,117696,F
398734220,18,23,738,260,263,1361,4457,117609,T
548901360,1875,272,50625,260,2636,1815,2512,118046,F
830327221,1929,320,190971,260,443,907,1989,118100,T
628111026,1928,263,175448,260,502,1815,2711,117559,F
061388294,861,136,29274,260,381,1361,4184,118034,T
879823090,1879,308,71402,260,727,1815,4369,117893,F
828000358,694,151,36782,260,863,907,2188,117871,T
812319213,2021,324,40420,260,1219,2269,1960,117609,F
326414641,1787,214,171552,260,1773,2269,3578,117492,T
436558753,2138,258,100486,260,370,2269,2088,117940,F
121402708,1670,197,155310,260,10837,907,3079,117650,T
389806082,1851,301,109209,260,573,2269,3646,117336,F
915970609,1980,313,180180,260,302,1361,4327,118154,T
361647597,2012,301,52312,260,199,2269,3285,117443,F
245758294,1866,216,149280,260,1283,1815,4211,117469,T
411716567,699,152,43338,260,195,2269,2672,117525,F
870479132,1739,162,104340,260,258,1815,2554,117844,T
487936497,1880,286,39480,260,1912,2269,3026,117846,F
525166705,1713,188,123336,260,5133,1815,4219,117848,T
996204724,2099,280,56673,260,584,1815,2259,117636,F
042306231,239,18,7170,260,382,453,3996,118248,T
192123580,2136,323,81168,260,717,1815,3607,118164,F
789413698,1974,309,86856,260,1573,453,3065,117739,T
878321302,1958,319,180136,260,223,1815,2965,117407,F
362640939,1979,327,49475,260,768,1361,2945,117818,T
513989751,789,131,29982,260,263,2269,2597,117968,F
826177937,115,35,5635,260,278,1361,3297,117471,T
333565459,1870,288,106590,260,455,2269,4547,118257,F
039094679,820,156,25420,260,464,1815,4444,117553,T
684036144,2076,316,137016,260,354,1815,4068,117397,F
794997306,2075,323,41500,260,229,1361,3362,117867,T
433716758,821,163,18062,260,235,2269,2607,118165,F
826418567,738,170,41328,260,265,2269,4011,117445,F
913058502,741,149,39273,260,242,1361,2765,117402,T
165258993,720,146,36720,260,322,1361,4173,117717,T
444213112,1935,270,183825,260,214,1815,3572,117968,F
938881900,176,29,16544,260,403,453,4269,117481,T
744567165,2055,265,65760,260,217,2269,4281,117924,F
597522762,739,126,63554,260,870,1361,2801,117957,T
174008048,2039,318,55053,260,277,1815,1801,118141,F
880463611,1842,186,106836,260,1573,1815,3544,118232,T
678432970,2040,303,104040,260,878,2269,4306,118042,F
796213991,1640,214,96760,260,256,1815,3449,118070,T
926787902,831,164,23268,260,203,2269,3977,117975,F
050916918,2,10,114,260,273,453,2354,117771,T
127887237,805,178,44275,260,202,2269,4067,117990,F
588739074,1880,206,135360,260,208,1361,2988,117403,T
295626544,983,194,66844,260,1060,2269,4238,117556,F
326260110,2048,318,137216,260,2167,1815,3274,117789,F
563859753,123,1,7749,260,733,453,2718,117632,T
823382907,830,196,76360,260,513,907,3317,117769,T
299760529,833,140,66640,260,335,2269,2081,117573,F
