userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
593835221,1546,215,139140,611,1202,1505,5285,306396,T
047569581,179,57,10203,611,1607,2007,8504,307118,F
307728097,1789,157,71560,611,1070,2007,10279,306584,T
136994166,274,57,12878,611,1073,2007,5564,306236,F
040459364,1439,233,112242,611,609,2509,7605,306684,T
298165524,271,30,24932,611,604,2007,10981,306409,F
540797516,167,66,11022,611,643,1003,10066,306701,T
378229507,132,38,3696,611,1188,2509,10369,306478,F
578775297,262,64,17554,611,900,1505,5055,306138,T
454442630,150,69,11550,611,626,2509,8337,307073,F
991284544,705,141,47940,611,652,1505,10472,306349,T
947962872,377,27,24882,611,1902,2509,10009,306499,F
733162529,367,36,16515,611,1062,2007,8099,306627,F
259553774,1512,310,90720,611,1379,1003,5341,306830,T
642552084,1392,241,72384,611,780,2007,4992,306141,T
908099106,347,19,19779,611,992,2509,10312,306436,F
187043678,1480,279,87320,611,4295,1505,5692,307033,T
937821085,187,35,4862,611,672,2509,5164,307109,F
995987437,1350,307,99900,611,1822,1505,8188,306661,T
064973374,104,52,4472,611,4698,2509,8389,306501,F
605551473,1518,269,115368,611,905,1003,5033,307118,T
270098211,177,50,10266,611,1005,2007,5420,306188,F
468627147,1630,211,110840,611,761,1003,10079,307122,T
492740917,359,61,13642,611,686,2509,10657,306283,F
480340164,1494,209,37350,611,1138,2509,10196,306256,T
543263701,233,12,15844,611,2484,2509,8424,306690,F
659522405,1468,326,77804,611,1510,2007,7526,306251,T
645081278,189,12,16632,611,1019,2509,5261,306849,F
636103802,1436,284,107700,611,837,501,8436,306494,T
601334154,359,16,10411,611,9396,2509,10863,306750,F
097298493,219,24,19929,611,704,1003,10761,306503,T
846242135,160,4,5920,611,1296,2007,10716,306549,F
116411390,1207,205,118286,611,2592,1505,10026,306589,T
734031286,397,10,16674,611,1718,2007,8086,306492,F
210140202,1287,198,50193,611,1232,2509,10029,307112,T
346771039,114,28,9348,611,616,2007,5416,306861,F
824132921,890,161,50730,611,2277,2509,10379,306847,T
420124492,324,54,23652,611,1188,2509,5786,306575,F
533991669,1351,319,45934,611,678,2509,10647,306442,T
900769510,291,26,14550,611,922,2007,10356,307047,F
745393629,1315,310,59175,611,678,2007,10326,306210,T
203781035,115,31,3105,611,1152,2509,5605,306747,F
347132453,1379,310,121352,611,1481,1003,5596,306869,T
583948870,299,16,25415,611,622,2007,10161,306781,F
587918958,274,57,16440,611,3956,1003,10845,306734,T
142197003,125,58,9250,611,1625,2007,5490,306165,F
707093605,1423,293,133762,611,3496,2007,7872,306278,T
785907077,117,18,10179,611,828,2509,8250,306770,F
067480342,1399,246,37773,611,643,2007,8453,306138,T
007674003,242,64,18392,611,608,2509,7635,307079,F
078794934,1237,206,123700,611,1748,501,5634,306361,T
110740428,313,39,14085,611,12528,2509,5608,306354,F
521677034,1516,332,40932,611,1670,1505,10248,306753,T
745834592,325,52,23725,611,4063,2509,8483,306983,F
794400130,1977,159,53379,611,1217,501,5562,306419,T
357699541,156,48,7332,611,8126,2509,10194,307113,F
337999938,1607,215,110883,611,1232,2007,10559,306248,T
415099483,394,42,29156,611,2405,2007,7896,306965,F
083431299,105,5,8715,611,3579,2509,10304,306491,F
800667435,1257,252,108102,611,738,1003,8514,306810,T
413087094,1646,220,133326,611,1242,2007,5043,306533,T
502309456,211,59,14137,611,1174,2509,4999,306354,F
523094312,1252,256,120192,611,957,501,10550,306256,T
981083159,141,62,8037,611,15824,2007,5207,306440,F
145694703,1593,286,156114,611,12528,1003,7529,307011,T
977311338,110,42,3300,611,1698,2007,10832,306915,F
193020993,847,175,24563,611,982,1003,10348,306152,T
375336399,339,42,32544,611,1324,2007,5964,306373,F
679337740,109,16,7848,611,662,2509,7540,306789,F
886190376,1546,315,52564,611,1844,2509,7849,306170,T
671366486,281,33,14331,611,1070,2509,5560,306364,F
320522357,850,149,33150,611,1991,1003,5361,306270,T
877393131,1538,315,55368,611,601,2007,7641,306700,T
803259390,266,48,6118,611,1212,2007,7530,306305,F
279732458,1508,316,88972,611,2386,1505,5212,306182,T
141602754,100,50,3900,611,1445,2007,5033,306884,F
955065247,1584,270,93456,611,1354,501,7881,306698,T
758637529,145,36,13340,611,902,2007,5705,306890,F
906515955,1447,210,75244,611,1541,501,8523,306478,T
967990473,230,39,19550,611,2210,2509,7899,306919,F
318553109,315,3,10395,611,1643,501,5909,306832,T
129620388,354,48,7788,611,652,2007,5776,306434,F
228452056,1425,196,59850,611,791,2509,7755,306543,T
393239512,395,66,35945,611,2312,2007,8113,306489,F
697320207,710,154,32660,611,1379,2007,8323,306202,T
675043569,351,66,11934,611,844,2007,10222,306501,F
096727299,1219,224,92644,611,1109,1505,10414,306981,T
623283766,300,55,24600,611,5466,2509,5805,306322,F
484703682,1322,224,122946,611,5782,2007,8137,306240,T
517345650,259,34,14504,611,886,2509,7840,306495,F
412346013,746,177,35062,611,954,1505,8102,306591,T
973982808,299,38,12259,611,985,2509,10912,306581,F
934512711,1611,226,114381,611,1879,1505,10036,306733,T
706244104,1851,196,48126,611,1398,2509,10668,306323,F
373812717,1580,306,120080,611,1366,2509,10214,306824,T
213704779,346,37,21452,611,11564,2509,10373,306790,F
556259749,633,187,32916,611,674,1003,5067,307114,T
086170678,386,27,23160,611,2210,2007,8441,307044,F
029283401,1638,243,76986,611,617,2007,8213,306808,T
419946825,103,30,6386,611,2312,2007,5518,306497,F
