userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
821531602,1346,264,82106,572,14799,1110,6158,317426,T
193080610,1291,219,215597,572,2811,1666,8430,317659,T
213002898,1247,111,58609,572,7399,555,11534,316977,T
584474155,793,98,67405,572,7599,1666,6223,317258,T
089726014,242,35,6534,572,17574,1110,12062,317277,T
178492623,1306,204,104480,572,5207,555,6403,317450,T
441846395,1157,183,18512,572,9070,1666,6009,317531,T
222443020,1458,264,336798,572,3559,1110,11664,317804,T
731014709,1422,268,201924,572,21630,1110,6003,317271,T
685045084,815,134,80685,572,2840,1110,5809,317043,T
799161528,715,96,18590,572,6539,1666,11192,317698,T
737070105,1213,185,107957,572,2869,2777,11724,317271,F
248746842,1318,222,168704,572,3749,2777,5682,317546,F
013648567,1325,247,259700,572,14059,1666,8972,317206,T
551151413,670,105,95140,572,8520,2221,12090,317387,T
295020016,1404,147,199368,572,15621,2221,9145,317383,T
378163171,323,39,4199,572,9070,1110,11655,317667,T
850641188,536,51,13400,572,5982,2221,5742,317717,T
592327569,791,130,155036,572,7210,2777,11292,317095,T
663120269,587,121,111530,572,3387,555,11738,317446,T
586163336,1173,108,254541,572,4535,2777,11486,317239,F
551076091,657,71,121545,572,3056,1666,9167,317458,T
683808664,867,72,75429,572,8270,555,6416,317196,T
222870631,707,125,138572,572,5207,555,6353,317850,T
312180581,1310,109,17030,572,6390,1110,6381,317595,T
511419026,850,68,156400,572,3023,1110,11173,316973,T
336706396,1365,248,320775,572,3347,1110,11503,317414,T
598578148,1517,262,263958,572,3471,2221,11405,317104,T
849590969,386,47,11194,572,6695,1110,11859,317242,T
715921350,1320,224,163680,572,12225,2221,11952,317376,T
824333387,1154,249,23080,572,3232,2777,8370,317256,F
681466141,1434,123,25812,572,5623,1666,9233,316946,T
218763487,1414,126,162610,572,31243,2777,11407,317900,F
514114890,1294,111,229038,572,3699,1666,8669,317488,T
571184277,1166,129,38478,572,16540,1110,8996,317819,T
843204027,1296,232,237168,572,7599,2221,6542,317731,T
928290089,611,62,53768,572,3090,2221,11228,317444,T
967136772,648,85,97848,572,13390,2777,9094,317820,T
795246995,658,63,18424,572,3090,555,8437,317729,T
729559295,1199,226,69542,572,3308,2777,5609,317841,F
642155260,1345,231,90115,572,2929,2777,8404,317592,F
674252705,1231,218,192036,572,4933,1666,11459,317047,T
915270887,625,108,16875,572,5207,1666,6498,317146,T
383634659,1272,198,167904,572,3699,555,11973,317795,T
380579151,1157,136,172393,572,3960,555,11649,317398,T
441652813,812,98,165648,572,2869,555,11507,317347,T
677586629,1273,197,26733,572,4135,2777,11466,317094,F
062740426,1334,125,105386,572,7399,555,9051,317159,T
439853797,1342,272,330132,572,11716,2777,6416,317059,T
071948116,781,110,95282,572,3269,555,11671,317097,T
808941232,1377,239,265761,572,5305,1110,5616,317239,T
907982480,652,108,59332,572,6858,2777,8710,317809,T
570134110,865,94,89960,572,3124,1666,11866,317482,T
608302448,664,85,34528,572,15621,1666,8676,317585,T
955698987,1193,108,151511,572,3159,1666,6484,317274,T
598215762,1434,129,258120,572,2869,555,5757,317363,T
439341236,1474,263,215204,572,21630,2221,8589,317425,T
931868440,1436,156,347512,572,56238,2221,9313,317340,T
857004293,577,117,39813,572,6390,2777,11177,317054,T
130939764,679,120,115430,572,3159,1110,8931,317064,T
589298849,1221,152,189255,572,9070,1110,9098,317335,T
285260532,697,134,22304,572,2991,2221,11501,317355,T
429114495,1517,250,351944,572,12225,1666,9221,316973,T
095558000,1389,262,223629,572,31243,2777,8930,317241,T
531044103,1384,205,311400,572,14799,555,11904,317571,T
754212796,203,10,20097,572,7210,1666,9091,317271,T
425038282,586,51,66804,572,4196,2221,11154,317072,T
375067404,1111,238,42218,572,6390,2777,9095,317018,F
806622333,1110,206,12210,572,3195,1666,8643,316932,T
313954174,281,26,13207,572,4765,2221,5520,317867,F
765357263,837,126,120528,572,3124,2221,9304,317512,T
677126340,1310,263,284270,572,3651,555,11849,317632,T
950481486,1213,126,206210,572,35148,2221,12033,317402,T
226696391,230,11,20240,572,8787,2221,12035,317293,F
176248755,1238,135,142370,572,4933,555,11813,317125,T
302408623,443,58,8860,572,4017,555,5951,317384,T
326486490,1309,248,215985,572,4463,2777,9230,317817,T
337337863,1260,167,214200,572,12781,555,6067,317841,T
312315472,1218,220,28014,572,3651,2777,8829,317071,F
074020619,234,39,13806,572,14059,2221,8361,316991,F
350745703,1416,110,124608,572,4686,2221,11705,317046,T
088435623,534,49,40584,572,3159,2221,8619,317520,T
221059278,490,78,5390,572,3308,2221,8554,317493,T
022678226,748,106,103224,572,4075,2777,11812,317545,T
860226708,586,87,125990,572,20085,555,8566,317336,T
519918494,1270,122,281940,572,13390,1110,11128,317746,T
645573537,1380,192,160080,572,2929,1666,5547,317310,T
