userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
110213428,788,64,43340,572,1487,1666,6302,317589,T
172031290,1401,187,39228,572,738,2777,8724,317536,F
916011422,556,89,38920,572,1825,2221,8760,317624,T
224937259,1288,243,123648,572,768,2777,11369,317354,F
990833786,649,86,63602,572,1472,1110,11136,316916,T
439511756,217,16,7378,572,878,2221,6131,317591,F
548997929,323,11,20672,572,570,1110,5822,317486,T
042180543,1167,112,39678,572,570,2777,11764,317887,F
664275654,1312,103,89216,572,2533,1110,8962,317527,T
934753668,1329,251,62463,572,9373,2777,5838,316986,F
280653808,477,61,20511,572,934,1110,6337,317301,T
575132790,1353,130,119064,572,2466,2777,11779,317260,F
316587930,1144,120,110968,572,5738,555,5694,317425,T
668567078,1152,183,112896,572,1260,2777,5674,317081,F
570095370,656,134,60352,572,2267,555,6112,317453,T
553998193,213,10,12141,572,1925,2221,8457,317898,F
248090402,1208,197,100264,572,817,2777,9202,317905,F
048911031,1192,104,57216,572,918,2221,12050,317440,T
189266405,303,35,22725,572,603,555,8675,317612,T
936205699,249,28,7968,572,2929,2777,6187,317900,F
714563076,392,69,27440,572,766,1666,11160,316901,T
014067656,1161,127,101007,572,5305,2777,11431,316981,F
275888172,487,87,36038,572,1326,2777,9110,317044,T
898286920,1313,187,114231,572,1392,2777,11972,317661,F
323699677,1248,106,98592,572,907,2221,5586,317183,T
366818446,1211,136,76293,572,31243,2777,11468,317500,F
787667893,395,62,13430,572,10042,555,11853,317597,T
895010765,1325,190,107325,572,626,2777,11959,317543,F
587330948,716,110,30072,572,6248,1110,6263,316988,T
034821648,1420,133,49700,572,1152,2777,11385,317840,F
970744492,767,132,17641,572,613,1666,11641,317847,T
645989709,1312,230,127264,572,687,2777,5704,316938,F
930471014,771,115,64764,572,794,2221,8838,317405,T
815915648,1216,185,75392,572,1157,2777,8794,317875,F
022553975,762,100,31242,572,1616,2221,8897,317162,T
600892473,1281,251,108885,572,571,2777,11121,317265,F
745365253,730,97,19710,572,1634,1666,6422,316984,T
894813792,1371,232,37017,572,1018,2777,8345,317307,F
802032132,1368,240,136800,572,2533,1110,6485,317853,T
226932747,1298,207,38940,572,1249,2777,5952,317307,F
186289323,1243,183,120571,572,2784,555,9039,317843,T
346076441,300,15,15900,572,15621,2777,8813,317161,F
202392113,428,123,28676,572,711,2777,9152,317479,T
142701278,206,17,4532,572,25562,2777,8812,317635,F
758180112,1140,183,74100,572,3651,1666,5986,317434,T
929254198,1328,226,34528,572,689,2777,11850,317337,F
246126718,1245,226,56025,572,1616,2221,9098,317691,T
895748454,1196,197,104052,572,6695,2777,6322,317522,F
855721644,812,124,29232,572,755,2777,9279,317041,T
197004674,1326,134,127296,572,696,2777,6282,317206,F
315524751,1236,105,50676,572,1272,1666,11328,317084,T
729009065,356,8,12104,572,5207,2777,11458,317155,F
822683202,334,15,22378,572,1004,555,12032,317283,T
939769693,1282,230,61536,572,1283,2777,8840,317139,F
869809658,1282,205,56408,572,1332,2221,8559,317499,T
933318226,207,23,11178,572,5021,2221,6388,317838,F
000997944,729,53,47385,572,719,2777,12002,317204,T
379894768,221,37,7072,572,798,2221,11891,316920,F
682749481,785,88,46315,572,23432,1110,11633,317606,T
830454851,265,14,12190,572,2556,2221,6465,317163,F
565446219,1358,258,33950,572,14799,555,6043,317739,T
218854231,1271,198,85157,572,627,2777,11981,317439,F
533983149,665,65,14630,572,702,555,6042,317670,T
604319149,1122,203,79662,572,728,2777,5877,317224,F
213144436,646,55,38114,572,627,2777,6190,317599,T
434900890,1360,196,73440,572,940,2777,12066,317332,F
547875988,445,112,33375,572,588,2221,9168,317809,T
424842570,261,31,14355,572,1849,2777,6192,317378,F
301180221,814,52,65120,572,589,1110,6465,317754,T
483222559,276,25,19320,572,629,2221,6047,317328,F
478912575,1245,199,108315,572,1191,1666,9157,317358,T
479782940,1354,181,44682,572,901,2777,11958,317006,F
818030857,663,51,32487,572,827,1110,11745,317603,T
099251794,1406,136,43586,572,1073,2777,11607,317763,F
849459903,428,111,41516,572,815,1110,11615,317225,T
439801599,1373,108,72769,572,2323,2777,5787,317505,F
879705781,1527,256,111471,572,20085,2221,5936,317022,T
597290930,199,25,12338,572,783,2221,6521,317082,F
608531520,1174,229,39916,572,12225,2221,6532,316937,T
600611074,1289,208,87652,572,697,2777,9260,317095,F
291946478,585,114,32760,572,713,2221,6515,317361,T
876249421,1181,221,83851,572,745,2777,9308,317120,F
737290137,781,109,37488,572,1634,1110,9174,317553,T
688238831,1166,228,52470,572,805,2777,6036,317653,F
522769922,1276,229,80388,572,710,1666,5608,317284,T
510057077,1135,215,43130,572,591,2777,11086,317251,F
544009645,421,59,18945,572,774,555,12056,317007,T
534660138,276,10,23184,572,1925,2777,8722,317410,F
462252657,1279,190,40928,572,772,555,5616,317638,T
670591306,1131,210,104052,572,611,2777,9328,317109,F
659437460,790,90,44240,572,1536,1110,11788,317877,T
828364949,1212,223,36360,572,580,2777,5510,316947,F
354728872,774,60,77400,572,1227,2777,9285,317785,T
090162558,1302,224,54684,572,1307,2777,11887,317056,F
657140750,796,98,50944,572,6539,555,8780,316928,T
059097161,1216,223,62016,572,2991,2777,9329,317152,F
697936881,691,80,50443,572,7599,2777,5898,317610,T
150706084,187,42,4114,572,803,2221,8819,317210,F
578413488,215,14,20210,572,768,2221,5568,316921,F
033143331,865,134,29410,572,969,2777,6067,317017,T
