userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
284071225,208,98,6656,135,1081,418,2540,56176,T
516926526,682,85,168454,135,3940,418,877,56650,T
698177219,1849,249,57319,135,1313,837,2116,56398,T
001381150,1613,281,114523,135,1779,1256,1640,56584,T
659874574,610,84,102480,135,1081,837,1879,56452,T
801274689,1573,287,25168,135,641,1675,1894,56402,T
473221139,1593,224,105138,135,1125,2093,2468,56021,F
288097293,528,62,55440,135,951,418,2028,56793,T
477474864,1586,239,31720,135,3447,2093,2305,56242,F
821691323,761,109,140024,135,6129,2093,1743,56005,T
264687361,1761,280,116226,135,568,418,1280,56095,T
096438166,250,61,54750,135,985,418,1623,56347,T
586894696,671,126,56364,135,823,2093,1997,56008,T
638569250,579,82,52110,218,704,1233,3177,53799,F
150207053,730,93,35040,135,4243,418,1705,56359,T
102351086,293,77,47759,135,1970,418,1389,56072,T
830067097,1689,255,292197,135,574,837,1967,56359,T
871590600,504,98,39816,135,4597,1256,1162,56202,T
729973388,485,86,55775,135,2206,1675,1623,56700,T
368418900,1808,249,338096,135,735,1256,1806,56732,T
649674452,408,35,26928,135,5015,837,2123,56589,T
025942664,271,30,34959,135,799,837,1007,56321,T
019640459,1858,283,273126,135,5015,418,1623,56751,T
048127016,324,80,63828,135,951,418,1590,56621,T
875427450,251,44,61244,135,649,418,1803,56687,T
567421034,1852,256,109268,135,681,418,1241,56854,T
471236698,490,45,20090,135,649,1256,949,56449,T
699142411,392,29,83496,135,835,2093,1119,56160,T
720596125,1721,252,130796,135,593,1675,2534,55885,T
796770795,255,86,50745,135,593,1675,1365,56601,T
839693170,388,66,89628,135,3245,418,2052,56158,T
024056032,1644,220,157824,135,3940,1675,1814,56615,T
552616311,717,74,100380,135,1199,1675,1694,56567,T
636517249,778,113,10114,135,1902,1675,2306,56305,T
942384560,571,105,65094,135,612,1256,2408,55871,T
066277327,572,79,49192,135,656,837,2152,55919,T
050971192,330,87,29700,135,593,2093,1708,56016,F
573207674,1628,230,366300,135,799,1675,1496,56653,T
506600291,540,100,12960,135,5516,1256,1934,56298,T
064994401,1784,235,251544,135,951,2093,837,56307,F
690517533,1851,264,42573,135,1345,837,961,56778,T
546138237,288,53,9504,135,985,2093,1625,55938,F
276932154,1722,261,418446,135,656,418,1294,56205,T
075061344,516,115,93912,135,735,1256,1089,55894,T
