userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
392266890,1599,259,103935,135,165,2093,2149,56499,F
308461737,709,115,21979,135,346,418,1147,56105,T
628244512,630,132,25830,135,402,1675,2340,55908,T
362017907,1626,273,131706,135,187,2093,1082,56719,F
652842074,633,115,37980,135,318,2093,1951,56650,T
981412185,1704,285,156768,135,181,2093,1867,56574,F
975323231,703,84,68191,135,358,1256,1322,56110,T
442044680,453,62,30804,135,121,2093,2534,55894,F
266341138,775,110,37975,135,551,418,1716,56169,T
446018786,1771,258,35420,135,2298,2093,1827,56131,F
810717330,1655,247,74475,135,315,2093,1669,56591,F
427673884,1765,225,91780,135,383,1256,1486,56833,T
807830643,1821,277,145680,135,143,1256,1305,55868,T
136014059,470,45,17390,135,185,2093,1891,56221,F
225753333,353,54,11649,135,111,2093,1558,56584,F
373396128,1636,230,91616,135,306,418,1466,56623,T
645491913,563,100,29839,135,463,837,2276,55860,T
276309132,329,38,16450,135,262,2093,1071,56378,F
157193153,1711,274,128325,135,182,837,1439,56132,T
292339495,249,42,18924,135,149,2093,2500,56534,F
137674211,1637,222,103131,135,166,2093,1366,56576,F
104301143,475,56,42750,135,277,837,1796,56164,T
582795200,206,83,5768,135,170,1256,1089,56318,T
992359745,1699,284,149512,135,147,2093,812,55855,F
967658953,522,120,26622,135,166,418,1546,55986,T
597911461,276,89,8004,135,467,2093,1603,55877,F
157668037,377,51,13572,135,124,837,1298,56710,T
379690871,435,44,14790,135,535,2093,1172,56129,F
708602617,329,29,32571,135,258,1675,2186,56041,T
494669100,1606,268,44968,135,281,2093,1198,55919,F
395727211,271,93,15447,135,120,837,1845,56518,T
605934441,444,51,31968,135,148,2093,1480,55926,F
784578135,720,78,24480,135,145,1256,1563,56002,T
063924085,1807,264,99385,135,338,2093,1249,56685,F
244218841,483,117,17871,135,326,837,1404,56691,T
080232043,1632,247,94656,135,430,2093,1120,56657,F
239346454,506,90,15180,135,149,418,1807,56552,T
091038433,1800,238,77400,135,123,2093,1287,56699,F
432205481,1630,278,132030,135,113,1675,2490,56338,T
150471102,1829,238,160952,135,1173,2093,1912,56799,F
999587803,1595,252,124410,135,324,2093,1210,56258,F
799141815,1814,270,97956,135,210,418,948,55932,T
288175638,616,79,40040,135,114,1256,2197,56016,T
149587151,1772,268,166568,135,360,2093,1520,56150,F
580120531,530,123,11130,135,1313,837,1275,56609,T
572248344,1618,223,119732,135,122,2093,1522,56813,F
191387850,593,116,43289,135,246,2093,1221,56256,T
020993209,401,58,19248,135,136,2093,2025,56751,F
289979673,1636,271,39264,135,322,418,1658,55989,T
604817606,1817,260,38157,135,2206,2093,2468,56405,F
843309040,603,100,52461,135,1532,837,1334,56217,T
909492763,1770,278,46020,135,467,2093,1305,56765,F
469223941,1617,279,72765,135,111,1256,2562,56445,T
648412228,1752,277,145416,135,385,2093,787,55926,F
694544126,575,74,54625,135,672,1256,1522,56088,T
576989820,1707,281,69987,135,141,2093,1896,56297,F
595361664,629,76,46546,135,199,2093,1828,55872,T
067531877,1849,280,40678,135,118,2093,1493,56740,F
714870717,348,76,25752,135,1225,1256,1100,56263,T
595583954,1724,230,62064,135,1081,2093,1695,56372,F
267666565,1810,244,126700,135,123,418,1975,56153,T
926950457,412,63,14832,135,228,2093,2458,55995,F
817611166,1754,267,82438,135,183,837,1576,56346,T
338444163,373,67,34316,135,306,2093,2147,56732,F
417086055,1774,237,140146,135,304,2093,1723,56213,F
871624390,705,66,24675,135,131,418,1759,56012,T
568655123,555,131,31080,135,313,2093,1644,55958,T
165079436,253,86,23782,135,135,2093,2108,56266,F
760279057,553,78,53641,135,330,418,1610,56774,T
473598872,270,82,25650,135,124,2093,1320,56555,F
968051282,352,60,21824,135,664,418,1813,56150,T
885663479,278,58,13622,135,181,2093,2243,56782,F
303624671,1641,231,113229,135,119,1675,1341,56375,T
893475974,1599,268,78351,135,149,2093,2136,56493,F
315182221,757,127,60560,135,287,837,1951,56253,T
181007369,364,45,11648,135,126,2093,1244,56222,F
803456130,453,45,24009,135,4243,1675,2195,56180,T
523120069,283,50,28300,135,142,2093,830,56758,F
910781326,1607,255,146237,135,317,418,2551,56849,T
699497666,1707,267,66573,135,1970,2093,830,55924,F
080190951,610,76,18910,135,151,1256,1662,56690,T
284133753,404,31,31916,135,126,2093,1951,55925,F
733658846,1751,288,117317,135,626,418,2189,55893,T
945785699,392,55,33320,135,261,2093,1591,56091,F
477798265,1694,242,162624,135,288,1675,1501,56290,T
894429930,206,54,8858,135,163,2093,1782,56785,F
859588154,1632,228,37536,135,135,418,1636,56479,T
117197112,1823,243,158601,135,399,2093,1228,56852,F
709137711,290,93,13340,135,137,1256,1840,56442,T
906686616,339,92,33561,135,2626,2093,1456,55976,F
711255624,706,125,67776,135,230,418,1839,56118,T
521618520,1588,222,84164,135,152,2093,2202,56247,F
738401943,1798,232,160022,135,154,1675,2480,56653,T
118057692,1782,277,57024,135,434,2093,1889,56515,F
421667438,238,30,19040,135,120,1256,1635,56184,T
979389449,222,33,6216,135,110,2093,1346,55971,F
621140395,1634,229,145426,135,421,837,2414,55988,T
783335934,1744,220,104640,135,372,2093,1554,56444,F
661639991,487,114,35064,135,191,418,2067,56368,T
194622978,293,74,18166,135,114,2093,1794,56666,F
