userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
050079912,270,13,53730,695,10378,1584,2569,275128,T
976359685,1311,308,39330,695,8177,1188,2971,275483,T
698646407,974,172,112010,695,10378,1980,3588,275460,F
216810117,534,129,51264,695,19275,1584,3125,274923,T
335839604,267,40,28569,695,17990,1980,1541,275196,T
318313486,1225,269,117600,695,3646,1188,3279,274735,T
451536477,1409,154,216986,695,5091,1584,2032,275107,T
238869647,1415,155,331110,695,3174,396,1665,275096,T
365472619,1306,169,113622,695,4997,396,2508,275560,T
598892283,100,40,24700,695,14202,1584,3085,274854,T
116649564,1327,123,15924,695,3032,1584,2410,274696,T
253997952,268,11,32160,695,11732,1980,1603,274812,T
372914681,137,31,28085,695,5621,1188,3855,275111,T
056646477,603,152,52461,695,4734,1188,2992,275488,T
156920560,1345,132,176195,695,3598,1188,3676,275437,T
011753755,661,142,55524,695,13492,792,3151,275015,T
808105150,1220,172,13420,695,4352,1188,3085,275034,T
821349518,217,23,31031,695,3696,1188,2840,275261,T
199996098,1472,276,52992,695,3696,1980,3087,275493,F
910477973,1439,148,336726,695,3331,1584,2151,274749,T
597323724,600,102,49800,695,6581,1188,2612,275390,T
496762775,142,65,2840,695,13492,1584,3343,275124,T
286668136,718,135,12924,695,26985,1188,3330,275338,T
514005481,467,127,75654,695,3550,1980,2467,274737,T
915742188,1014,170,70980,695,5091,1188,3560,275308,T
644715129,1483,123,364818,695,5996,1980,2608,274697,F
672666745,218,73,13952,695,2725,1980,1954,275439,T
731683081,1243,254,57178,695,4151,396,2328,275372,T
716881541,916,149,101676,695,4734,1188,3844,274777,T
231587285,135,30,15390,695,4423,1980,2391,275336,T
380880258,1203,163,105864,695,4151,792,3213,275188,T
608775209,1229,295,120442,695,3066,396,1680,274729,T
420553597,1391,186,16692,695,2870,1584,3265,274720,T
234704750,190,23,36480,695,6425,396,1660,275491,T
785352723,1380,142,111780,695,4997,792,3735,274871,T
340452048,1237,125,18555,695,5866,396,2535,275067,T
798292617,1317,294,163308,695,22487,1584,1912,274694,F
672843613,630,105,130410,695,5996,1188,1634,274782,T
737360937,1059,157,39183,695,3137,1980,2712,274683,F
561673590,1209,277,105183,695,19275,1188,2435,275394,T
332677820,556,158,62828,695,33731,1188,3340,275472,T
196763348,1480,165,60680,695,14202,792,3717,274722,T
837456206,153,30,33354,78,565,1778,4093,34690,F
590382108,144,24,17424,695,6425,1584,3099,275521,T
024272528,1432,140,15752,695,8995,1188,3156,274964,T
114371146,237,71,32232,695,7101,1980,2675,275039,T
944566067,522,140,121104,695,9637,1584,3476,274917,T
573353381,1054,164,59024,695,3696,396,1566,275177,T
475969042,637,129,68796,695,13492,1980,3359,274650,T
319863076,1081,122,99452,695,14202,396,2605,274876,T
695347640,75,56,9075,695,7710,1188,3933,274808,T
996452422,763,121,70959,695,44975,396,2888,275590,T
045669896,490,133,86240,695,7710,792,2293,274752,T
871441050,1241,171,297840,695,3747,792,4008,275319,T
211237979,188,16,42864,695,14991,1980,2475,275004,T
286503470,911,137,62859,695,44975,792,3744,274654,T
304800832,1249,134,196093,695,8704,1980,3561,275164,F
005277939,1369,189,190291,695,7293,1188,3844,274744,T
535549971,1226,191,35554,695,8704,1188,2440,274793,T
758505188,1460,160,49640,695,7936,1188,4133,274923,T
015500268,1312,187,276832,695,4997,792,4050,275240,T
917292670,1404,133,270972,695,7936,1584,3989,275284,T
756656884,302,13,20536,695,13492,396,3995,274968,T
019723729,631,151,42908,695,8995,1584,1692,274695,T
770892899,1033,181,27891,695,9994,792,3096,275550,T
368603724,336,30,24864,695,3696,1584,1778,275362,T
880375166,1327,297,61042,695,4216,1980,2067,275174,F
687057788,142,44,3266,695,44975,792,3797,275116,T
656930204,1373,287,196339,695,14991,1188,2540,275517,T
220345438,1081,164,11891,695,17990,1584,3023,275383,F
448406243,762,93,40386,695,7936,1188,3093,275140,T
343225269,1333,263,31992,695,3800,1584,3239,275311,F
354955783,968,173,90024,695,8704,792,2044,275280,T
466877457,503,138,43258,695,4151,1980,3150,274965,T
723685685,167,57,27555,695,3137,396,2322,275014,T
177913837,228,28,28044,695,14202,1584,3309,275345,T
229251958,660,132,125400,695,38550,792,3239,274772,T
733355110,576,94,110016,695,17990,1188,2720,275221,T
582608294,657,125,68328,695,7101,1188,1680,274924,T
064653318,275,15,16500,695,14991,792,2515,275251,T
572138831,1241,187,90593,695,2870,396,1938,274899,T
749783438,1424,137,224992,695,12850,1980,3903,274985,F
098389789,257,22,47288,695,3646,396,2541,275365,T
835851407,169,77,5746,695,44975,792,2134,275408,T
916899235,894,148,29502,695,8704,1980,4147,275044,F
444398645,1203,191,240600,695,4652,1980,2149,274890,F
162408040,261,50,14877,695,38550,792,3259,275038,T
977627011,950,134,30400,695,5397,1188,2303,275059,T
009914127,1267,259,15204,695,9994,792,1933,275514,T
943943827,1324,171,172120,695,5291,396,2488,275366,T
131405873,511,161,23506,695,4497,396,3189,274940,T
945107569,1235,126,270465,695,3251,1584,2398,275523,T
259476717,1464,264,188856,695,2753,1980,2665,274757,F
826789090,1433,137,161929,695,3032,1584,3446,275151,T
458101273,278,20,31692,695,10794,1584,3191,275139,T
868838655,618,112,101352,695,22487,1188,3109,274793,T
057634855,1336,142,252504,695,3290,1584,3210,275448,T
663391298,58,28,10150,695,11732,792,4126,274738,T
588198001,1197,182,217854,695,4352,1584,4130,275069,T
807490758,704,96,51392,695,4352,396,3841,275561,T
613597464,1482,164,75582,695,4088,1980,3271,275162,F
651832169,1339,130,163358,695,4906,1584,3817,275602,T
979488289,623,96,138929,695,22487,1584,3662,275459,T
768897097,101,76,15352,695,10378,1980,2022,275022,T
432205190,1295,297,214970,695,3251,396,4133,274685,T
384867820,537,95,22017,695,10378,792,3620,275605,T
368086356,234,50,14742,695,22487,1980,3883,274797,T
864620777,173,80,14186,695,3598,792,3246,274981,T
425654884,121,76,30250,695,2933,792,2341,274843,T
731482600,308,68,48356,695,2901,1188,3557,274996,T
918460992,473,113,17501,695,3373,1980,3976,275463,T
624021659,1108,186,94180,695,3101,1584,2422,275532,F
928041416,199,32,25273,695,9994,792,2575,275450,T
102434477,243,66,43740,695,3415,792,3104,275150,T
460408039,566,113,80938,200,10117,913,2808,91320,F
013801396,1253,259,45108,695,5291,1980,4140,275498,F
869067347,1205,284,114475,695,5291,1188,2418,275366,T
380543337,1381,261,124290,695,4906,1980,2071,275490,F
286617734,980,120,105840,695,3504,1980,2823,275608,F
502701922,131,68,9694,695,11243,396,4147,274645,T
848722822,511,101,12775,695,2810,1980,2092,275235,T
937304042,614,106,22104,695,3032,1980,2123,275453,T
814131781,1453,122,252822,695,2810,396,1670,275359,T
113350477,1377,272,111537,695,10794,792,2191,275100,T
175021655,297,10,40689,695,3696,1980,3158,275028,T
254528453,1362,190,310536,695,29983,396,2669,274707,T
375629432,1235,184,219830,695,4497,792,2950,274655,T
278342341,1362,136,14982,695,6919,1584,3777,275293,T
346002154,632,133,12008,695,17990,396,3303,275387,T
830101034,1332,192,13320,695,29983,1980,2488,275126,F
912611758,564,157,38916,695,3032,1980,3366,274839,T
235171033,121,49,22385,695,2698,1188,1986,275478,T
285877141,165,36,33495,695,4734,1980,1842,274915,T
