userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
528882946,590,118,54280,695,53970,1584,3472,275403,T
416229651,890,126,36490,695,5996,1584,2484,274725,F
149715520,888,150,33744,695,890,1980,2892,274966,F
571333599,491,103,27496,695,546,1584,3453,275522,T
270577285,114,31,8778,695,1066,792,2074,275565,T
155741424,926,176,51856,695,1110,1980,3332,275175,F
321819928,477,119,10017,695,1088,1980,3384,275486,T
465686966,1312,260,116768,695,859,1980,1713,275143,F
942160097,894,151,20562,695,3251,792,2521,274845,T
923727072,1206,271,56682,695,1969,1980,3284,275009,F
557669086,1474,184,97284,695,2521,1188,3605,274640,T
949049175,988,165,35568,695,1232,1980,3316,275210,F
324212445,1352,303,104104,695,917,792,1618,274820,T
022643110,1422,251,112338,695,727,1980,3316,275086,F
529584441,1227,306,115338,695,2594,1188,2154,275589,T
288210207,1061,147,65782,695,1297,1980,3121,275104,F
549147733,979,160,65593,695,1645,1188,3217,274657,T
606618706,1260,274,63000,695,609,1980,2599,274906,F
031623225,267,29,21360,695,1026,1584,2346,275274,T
282484404,1200,137,104400,695,835,1980,2572,275125,F
630123039,1307,184,54894,695,2594,396,3252,274935,T
559511845,1202,250,104574,695,7101,1584,2431,275194,F
987576137,869,132,31284,695,555,1980,3273,275542,F
431303189,481,131,14911,695,1163,1980,4096,275412,T
228814030,1478,162,112328,695,554,792,3996,275237,T
720632879,1234,253,78976,695,589,1584,4152,275255,F
411562624,1378,294,111618,695,832,396,2484,275400,T
294530092,1332,287,107892,695,549,1980,2752,275037,F
297015659,1259,172,37770,695,1697,1188,3366,275059,T
164599698,1460,281,113880,695,640,1584,1633,274907,F
576504282,133,76,7315,695,1356,1584,3931,275288,T
665494484,1213,299,83697,695,963,1584,3355,275391,F
525194989,1380,174,66240,695,859,1584,2715,274718,T
256126275,1138,142,36416,695,672,1584,2342,274823,F
827153345,216,78,19872,695,691,1188,3859,275433,T
103829251,1249,307,83683,695,3598,1584,3445,274962,F
459019284,193,24,10422,695,1322,1584,3449,274829,T
352634791,1455,241,129495,695,1435,1584,2465,275410,F
624593176,1233,273,117135,695,853,1188,2373,275322,T
953462958,952,123,93296,695,3373,1584,3016,275179,F
682481992,1214,251,42490,695,629,1188,3755,274730,T
059452586,1042,156,28134,695,618,1584,2613,274893,F
260810677,1129,168,74514,695,1232,396,2369,275355,T
220854223,1442,244,93730,695,1006,1584,1978,274924,F
360364745,947,136,77654,695,1390,396,1777,275389,T
760174542,1203,301,60150,695,940,1584,1958,274700,F
258002972,898,185,74534,695,862,1584,2992,274692,F
653114558,1437,152,67539,695,574,396,3824,274902,T
867262900,1406,159,36556,695,623,792,1702,275410,T
634373816,1425,133,28500,695,1887,1980,3511,274706,F
900054922,993,136,23832,695,840,792,2346,275008,T
257315895,1468,152,63124,695,851,1980,3646,275405,F
371400807,91,58,6097,695,1787,1188,1717,275177,T
942964891,1344,186,57792,695,1998,1980,2844,275341,F
682211323,153,77,5202,695,2965,396,4162,274893,T
323134122,1493,258,141835,695,1369,1980,2295,274746,F
433270411,178,41,13528,695,4283,396,3320,275491,T
952597546,928,141,54752,695,810,1584,2477,275060,F
567068605,293,23,8497,695,731,1980,2801,274755,T
023289988,1027,134,46215,695,1054,1980,3538,275144,F
792326708,234,22,7956,695,2075,1188,3853,274774,T
275182519,1283,242,57735,695,1083,1980,2422,275053,F
566777258,899,184,29667,695,956,1584,3827,275136,F
853576843,309,50,11433,695,1524,792,2286,275384,T
547688407,1232,261,98560,695,607,396,2987,275231,T
278460840,1405,288,33720,695,2267,1584,2954,275532,F
788500236,1424,247,61232,695,1383,1584,2011,275371,F
950504551,1031,163,41240,695,609,792,3605,275569,T
228885942,179,32,7160,695,758,1584,3271,275260,T
253855302,1349,245,48564,695,1088,1980,3260,274704,F
344330451,495,135,21285,695,3696,1584,2409,274742,T
540094734,1409,259,129628,695,1775,1584,3794,275141,F
872193546,901,134,27030,695,14991,1584,3430,275259,F
844511982,1279,306,79298,695,574,396,2217,274739,T
124462246,54,55,5346,695,838,792,3324,275624,T
284277744,898,128,88902,695,713,1980,1823,275479,F
852794828,250,33,23750,695,1398,396,2589,274948,T
236062241,974,155,87660,695,796,1584,3155,275338,F
636193963,1337,251,45458,695,1787,396,3274,274658,T
872871637,1213,182,38816,695,1297,1980,3153,274677,F
889062620,1325,186,106000,695,4352,1584,3537,274655,T
288188150,933,149,39186,695,1955,1980,3311,275130,F
416164938,940,140,28200,695,1474,1584,3279,275544,F
338980573,1068,174,36312,695,679,1188,3668,274852,T
240290520,986,179,56202,695,644,396,3347,274771,T
117594778,1460,137,127020,695,853,1980,3180,275350,F
905345117,1098,181,108702,695,1037,396,3924,275407,T
157695603,994,147,80514,695,611,1980,2228,274853,F
096913772,1481,146,45911,695,1221,792,3475,275253,T
023028647,1317,270,36876,695,1606,1980,2929,275155,F
255291364,1472,285,147200,695,719,792,2423,275480,T
381590601,1021,121,78617,695,702,1584,3296,274918,F
388125712,605,95,12100,695,1058,1980,2350,274918,T
184868875,1325,168,75525,695,1158,1980,2747,274865,F
793230451,754,94,34684,695,53970,1980,3279,275565,T
008246665,1317,305,82971,695,988,1980,3893,274989,F
480154004,1385,259,88640,695,1835,1188,1768,275192,T
056487442,1460,294,64240,695,2124,1980,3249,274969,F
932177221,1016,120,81280,695,609,792,4018,274726,T
789255408,1480,139,82880,695,547,1980,1892,275321,F
