userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
316231518,38,4,3572,149,757,2019,10659,75388,T
718901358,1117,108,130689,149,1615,2019,8474,75281,F
520320722,1686,188,185460,149,845,2524,7535,74872,T
236558902,1361,102,43552,149,1136,504,11029,74978,T
328003786,323,67,28424,149,1580,504,8070,75340,T
905626276,517,108,116325,149,773,1514,5399,75451,T
860960417,784,69,126224,149,1192,2019,8074,75334,T
781376175,1790,199,19690,149,734,504,7714,75754,T
060173260,875,172,159250,149,3462,504,10216,75712,T
012336289,1293,167,312906,149,1547,504,7673,75680,T
197535105,347,62,17350,149,773,504,10821,75360,T
850388154,1354,138,170604,149,1009,2524,8233,75560,F
022729891,1096,193,173168,149,1009,504,5874,75565,T
210969583,33,1,7821,149,1817,2524,10259,75857,F
454394437,1270,104,276860,149,4277,2019,10983,75110,F
350516565,1683,179,329868,149,807,1009,10875,75345,T
532198981,712,47,28480,149,1253,2524,7843,75523,T
538043891,1964,211,113912,149,1965,2019,5195,74945,T
355510483,1848,235,401016,149,1690,2019,7892,74871,T
146585608,733,43,154663,149,1053,2019,7732,75813,T
410401297,1190,122,143990,149,2019,1009,5869,74920,T
558817501,278,68,42534,149,1483,2019,10608,75014,F
810729692,695,40,99385,149,12118,2524,5639,75826,T
244987791,1287,123,307593,149,932,2019,7564,75167,F
271513897,101,32,5050,149,1652,2524,10626,75716,F
347124877,602,104,86086,149,790,2524,8477,74934,T
145970530,1827,246,29232,149,1454,1514,5262,75141,T
960683390,1817,246,359766,149,1913,1514,10763,75104,T
787234219,1828,232,188284,149,773,2019,10190,75846,T
116244411,953,167,193459,149,944,1009,5142,74988,T
135315835,1095,233,246375,149,2203,2019,5192,75275,T
086482309,371,40,24486,149,2077,504,7530,74995,T
949449130,538,59,46268,149,2596,2524,8380,75105,T
815231989,1369,134,150590,149,855,1514,10750,75302,T
305277914,710,39,21300,149,1192,2019,5828,75153,T
986461424,58,44,9686,149,2077,2524,5597,75574,F
153171372,1863,183,283176,149,2138,1514,11096,75742,T
783911774,1886,222,430008,149,773,504,10608,75063,T
278290964,1867,208,69079,149,2138,2019,10585,75124,T
162984535,1754,237,191186,149,1913,2019,10395,75199,T
420557620,1979,177,437359,149,1547,1009,8481,75047,T
241192574,891,199,171072,149,3462,504,7540,75377,T
699641109,1099,154,36267,149,1483,504,7737,75442,T
122774567,1336,125,283232,149,2345,1514,7614,75443,T
121302459,618,85,94554,149,727,2524,10575,74902,T
250484953,1,19,235,149,920,1514,11058,75112,T
793815120,702,84,174798,149,897,1009,5327,75237,T
084956577,59,29,7670,149,1038,1009,10690,74971,T
616717859,287,22,43624,149,897,504,8446,75278,T
214228671,80,15,12720,149,1615,2524,8494,75084,F
398892327,1729,188,70889,149,1322,504,7812,75356,T
691393254,1327,133,325115,149,1009,2019,5315,75043,F
475549692,1821,204,193026,149,996,1514,5633,75044,T
210952063,1703,247,374660,149,969,2019,10821,75496,T
714610709,1309,139,221221,149,2908,2524,7849,75605,F
346947184,1058,201,208426,149,4277,504,8071,75218,T
944288456,1180,121,202960,149,1817,1514,8306,75536,T
337742075,1764,192,208152,149,1053,2524,6016,75148,T
682305433,1154,136,230800,149,2596,2019,5147,75688,F
978678888,214,1,13910,149,1547,1009,5372,75068,T
128513461,1335,113,293700,149,4847,504,5520,75610,T
210000774,1833,214,445419,149,2507,504,10830,75308,T
358521451,1893,179,35967,149,2507,504,5496,75022,T
785588885,1781,235,416754,149,2077,2019,5628,75494,T
693737377,1256,128,290136,149,14542,2019,10405,75598,F
270053396,17,12,170,149,1731,2019,8276,75560,T
700723084,1367,144,236491,149,4847,504,8005,75635,T
225784596,418,49,37620,149,1690,2019,8403,75085,F
807776313,259,41,4921,149,3305,504,10464,75503,T
038640611,732,91,161040,149,1615,1009,5343,75671,T
091589640,619,80,16713,149,956,504,10830,75701,T
892153188,1097,195,221594,149,920,1514,7819,75382,T
710250948,522,26,26622,149,790,1009,8409,75805,T
295116099,1234,153,38254,149,799,504,5835,74940,T
712284483,1344,118,259392,149,1652,1514,8530,75055,T
957405725,1762,182,329494,149,4847,504,7544,75866,T
008574487,1961,183,488289,149,790,1514,5990,75294,T
989171580,596,101,40528,149,790,1009,5255,75023,T
961923692,1872,217,44928,149,1483,2019,10648,75643,T
963758247,1810,184,262450,149,876,1009,5619,75556,T
516222279,998,173,168662,149,12118,1009,5010,75508,T
426144036,50,57,9650,149,956,1514,8194,74944,T
416475761,9,49,1980,149,5593,504,10103,75195,T
259558204,28,33,1288,149,865,504,8311,75162,T
887904395,36,1,5508,149,2693,1009,5843,74939,T
727156853,512,66,15360,149,790,1009,10116,75670,T
574680384,922,232,165038,149,1211,2524,8504,75708,T
682946606,767,78,126555,149,3305,1514,5441,75006,T
503821843,4,28,528,149,1731,1009,10687,75566,T
414983534,116,12,26100,149,2077,1514,7759,75398,T
838234199,1781,247,49868,149,781,1514,10079,75695,T
820221189,1196,149,141128,149,1053,2524,5510,74962,F
270403116,666,60,32634,149,1253,2524,5008,75542,T
266669766,1362,137,51756,149,1652,2019,5633,75177,F
523090995,1719,224,199404,149,956,504,10087,75323,T
138376066,344,40,43344,149,1172,1009,7546,75222,T
333070177,1905,226,440055,149,876,1514,7846,75760,T
072323651,1334,131,305486,149,1425,1009,7591,75720,T
111654885,1244,126,172916,149,4277,1514,5141,75253,T
277815149,1330,138,263340,149,876,1009,10170,75837,T
503060672,1831,179,270988,149,2908,2019,5428,75726,T
621923600,649,51,149270,149,1232,1009,10888,75343,T
178951306,771,75,68619,149,4847,2019,5204,75419,T
441102113,20,54,4420,149,944,504,7689,75311,T
635291025,1288,157,291088,149,1773,2524,10873,75618,F
335727659,282,45,60912,149,2423,1514,5568,75412,T
531478695,70,53,5250,149,826,1009,5157,75838,T
451266422,626,72,72616,149,773,1514,8461,75009,T
851675396,6,12,978,149,781,2019,7608,75112,T
826772339,1689,181,200991,149,1773,504,5808,74969,T
568055502,342,19,14022,149,3462,2524,11079,75573,F
542639226,346,30,8996,149,996,2524,10735,75364,F
398656645,789,67,44973,149,4277,2019,5301,75296,T
007008860,1369,145,331298,149,5193,504,5089,75268,T
191743688,603,106,74169,149,1038,1514,5488,75675,T
823401401,742,101,140980,149,3826,2019,6036,74965,T
475449331,121,1,5566,149,741,504,10858,75713,T
601678989,1086,167,18462,149,1192,2524,10210,75472,F
073779804,1285,154,62965,149,765,2019,5729,75645,F
302109352,1052,212,165164,149,2423,2019,5504,75306,T
449262911,534,107,59274,149,855,2524,5386,74942,T
427326578,1929,199,430167,149,1483,1009,8303,75602,T
884131582,1031,226,204138,149,2345,2019,10729,74993,T
241054179,1324,164,21184,149,2507,504,7781,75837,T
664457331,39,33,741,149,855,504,8207,75045,T
407873661,1329,115,85056,149,3305,1009,8139,75363,T
514692722,1095,166,65700,149,4277,1009,10826,75792,T
202539542,1829,178,303614,149,1346,1009,5357,75042,T
669976852,10,19,140,149,12118,504,11073,75613,T
149625694,279,28,41571,149,757,1514,5965,75806,T
231759552,1693,218,140519,149,9089,1009,5351,75767,T
652159397,1199,98,272173,149,1913,2524,5530,75699,F
815525175,61,1,2318,149,2138,2524,10216,75236,F
171803781,1836,234,33048,149,845,2019,10177,75753,T
784044087,6,17,438,149,1118,504,10886,75704,T
189507969,1147,117,180079,149,944,504,8485,75141,T
105333422,524,27,14148,149,1690,504,5352,75254,T
658066119,215,1,6880,149,2272,1514,8296,75843,T
520729656,537,73,98271,149,2272,2019,5638,75627,T
076753324,442,71,22542,149,757,1514,5652,75684,T
177639569,580,72,110780,149,1913,504,5049,75709,T
845648199,1370,118,206870,149,835,1009,5608,75360,T
133070969,790,93,127980,149,1690,1009,7939,75666,T
624158393,78,13,8346,149,3462,2524,10155,75455,F
946076389,1871,214,119744,149,1154,1514,7836,75028,T
865351473,1792,195,401408,149,5193,1514,7787,75738,T
134667707,653,57,154761,149,855,1009,7967,75731,T
519409633,1157,127,288093,149,807,1514,6036,75287,T
341474569,1871,193,220778,149,799,2524,10786,75521,T
784380921,514,90,106912,149,969,504,5038,75633,T
056101150,1828,185,257748,149,1053,1009,8078,75223,T
247065356,960,195,123840,149,4544,1009,10972,75250,T
220992738,9,35,1665,149,2908,2524,5476,75000,F
658891887,622,73,129998,149,1690,504,10255,75864,T
979349852,1247,132,52374,149,1172,504,7997,75172,T
755804184,773,97,45607,149,982,1009,5066,75711,T
106724307,709,81,35450,149,799,1514,8348,75266,T
030742396,1061,191,161272,149,845,504,8082,75101,T
463042776,1370,154,327430,149,1425,504,5741,75367,T
361240859,3,1,546,149,996,2524,10215,75633,F
370454785,276,39,12420,149,1425,2524,8489,75321,F
601341959,527,43,70091,149,1483,504,8552,75445,T
501168738,1872,190,353808,149,1136,1009,5687,75617,T
066695623,649,55,50622,149,1038,2524,10276,75256,T
969394864,1261,157,15132,149,790,2019,11086,75177,F
039406024,1832,241,113584,149,5193,2019,7760,74945,T
713585299,765,44,50490,149,835,1009,6031,75209,T
499174083,1780,207,231400,149,920,2019,8560,75629,T
525711233,342,53,50274,149,816,1514,10935,75457,T
788546229,77,58,4620,149,1514,2524,10448,75032,F
161977124,505,103,84840,149,2203,1514,7953,75343,T
696399356,17,25,2754,149,2138,1009,8469,75254,T
202055289,523,23,28242,149,1346,2019,7883,75479,F
731753113,704,60,146432,149,6610,2524,5499,74933,T
274260740,721,44,35329,149,1773,2524,5134,74933,T
819921459,768,39,107520,149,3826,1514,5575,75663,T
649675183,4,31,792,149,2596,2524,5670,75508,F
364838968,1846,241,406120,149,14542,504,7875,75738,T
825605167,1942,211,250518,149,908,504,8000,74948,T
439828730,547,65,12581,149,835,1009,7687,75862,T
379620151,1870,211,166430,149,2019,1009,7975,75707,T
557638439,1239,163,21063,149,1425,504,10896,75515,T
532730534,1764,189,93492,149,982,1009,5144,75327,T
963911547,1961,182,478484,149,816,2524,10528,74871,T
014442294,1312,144,19680,149,765,1514,10619,75491,T
436635525,1703,200,90259,149,845,1514,11084,75161,T
946549968,530,65,109180,149,4544,504,10350,75529,T
465304539,784,85,102704,149,1483,1009,5034,74929,T
784136286,577,95,109053,149,1232,1514,5480,75770,T
711756375,978,232,173106,149,1154,1009,5316,75279,T
154653049,1316,138,193452,149,765,2524,5889,75411,F
787068605,194,1,3104,149,908,1514,10734,75712,T
480566877,19,31,3116,149,9089,1514,5668,75015,T
200432726,837,193,160704,149,845,2019,5347,75199,T
706865040,1867,203,186700,149,1211,2524,8015,75242,T
482437159,511,93,110887,149,1118,1009,10508,75772,T
631705633,354,70,16638,149,1652,504,5098,75266,T
065878538,501,58,41082,149,1298,1009,5819,75287,T
427662740,1914,239,317724,149,6610,2019,7791,75516,T
801211951,1950,198,284700,149,1118,2524,10451,75533,T
041004592,663,41,70278,149,1192,2019,7818,75202,T
938722581,7,15,679,149,996,2019,8489,75150,T
011146827,13,1,169,149,1009,1514,8545,75220,T
187300253,684,71,116964,149,897,1009,5168,75722,T
277922190,1336,117,301936,149,886,1514,10124,75096,T
573932618,139,17,14456,149,1773,2019,5942,75145,T
381309778,2,20,118,149,1454,1009,10526,75358,T
150480722,277,36,24376,149,835,504,10328,75558,T
743309720,82,16,19516,149,1009,2019,7763,75052,T
960345269,1279,147,264753,149,2203,2524,5575,75842,F
098422529,1263,130,280386,149,876,504,7805,75340,T
988833609,1737,182,198018,149,969,2524,7772,75361,T
867959341,698,42,121452,149,1346,2524,7654,75858,T
108696319,1110,158,31080,149,982,1514,5911,75547,T
373563179,1,27,168,149,4039,504,8291,75444,T
201788148,1036,185,243460,149,1965,2019,11081,75431,T
797059140,1138,150,202564,149,1322,1009,5731,75678,T
865516958,325,19,8775,149,1690,1009,10098,75811,T
550556060,738,100,67158,149,3462,1009,10659,75338,T
939606295,94,3,17484,149,6059,504,5534,75619,T
431371106,607,56,53416,149,2908,2524,5862,75874,T
340207597,1861,219,70718,149,1232,2524,5680,75525,T
168279298,1323,153,38367,149,956,1009,7973,75623,T
057964628,967,233,235948,149,1085,2019,8213,75486,T
749608939,6,34,870,149,920,2019,8050,75409,T
375665530,39,38,6825,149,1773,1514,8442,74934,T
030071998,1274,121,183456,149,1101,504,8305,75396,T
762653194,1766,219,393818,149,1211,1009,5564,75422,T
184653161,438,19,42924,149,2423,1514,8012,75539,T
087106294,16,53,3520,149,7271,504,5256,74949,T
606971391,1341,121,148851,149,4544,1514,11040,75427,T
758959601,55,29,3520,149,2596,2524,7958,75023,F
080974743,1085,225,197470,149,1024,2019,10206,74939,T
767828420,702,58,70902,149,1322,2524,10065,75385,T
787844493,1017,230,158652,149,886,2524,10709,75839,T
416640838,532,45,23408,149,1483,2524,5453,75183,T
286138872,110,6,15070,149,2272,1514,8434,75043,T
367667288,1776,185,190032,149,8079,1514,5622,75395,T
590035349,368,38,42688,149,1690,2019,10839,75056,F
381134689,1895,211,236875,149,982,1514,5668,75221,T
211670697,1316,159,244776,149,1192,1514,7556,75708,T
488498369,1705,197,85250,149,1371,2524,10813,75409,T
481671025,1216,150,53504,149,1232,1009,8159,74913,T
711746678,697,68,135218,149,956,1514,8290,75538,T
505434751,976,200,238144,149,826,2019,5846,75763,T
747072949,1951,230,384347,149,4847,2524,10506,75639,T
615369838,1957,235,180044,149,5593,504,5995,75248,T
137500358,1191,159,245346,149,781,1009,10534,74955,T
399510983,735,46,104370,149,865,504,5366,75558,T
774344860,784,84,130928,149,865,1009,10115,75206,T
113918991,1005,200,149745,149,2272,504,7763,74939,T
987501938,1207,159,21726,149,2272,2019,7981,75261,F
587387929,265,46,53265,149,7271,2524,8199,75632,F
246953503,1045,178,172425,149,1009,2019,10247,75269,T
673798597,18,20,1296,149,727,1514,5994,75344,T
178956948,574,71,128002,149,1346,1514,8144,74921,T
618967321,271,82,23848,149,1547,1514,5856,75636,T
360374776,759,92,40227,149,757,1514,10874,75863,T
312813263,1,45,15,149,5193,1514,8058,75321,T
163241113,11,18,1683,149,2693,2019,11000,75479,T
899520432,1210,147,275880,149,1371,2524,8262,75788,F
863880725,1268,130,142016,149,6610,2524,6030,75118,F
