userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
028768078,1107,162,100737,149,336,504,10182,75580,T
056394500,353,35,18356,149,174,2019,11077,75525,F
333784773,435,33,32190,149,314,1009,5281,75494,T
111555212,296,69,6512,149,430,2019,8100,75378,F
301263627,178,2,10146,149,253,1514,7618,75347,T
074057263,1314,151,56502,149,243,2524,10283,75845,F
963952663,670,51,40200,149,272,2524,11017,75402,T
696030606,381,44,35433,149,306,2019,5272,75620,F
761646023,1846,213,142142,149,287,1009,5994,75068,T
140830898,1208,111,74896,149,472,2019,10082,75727,F
386201156,1771,203,109802,149,256,1009,8509,75692,T
533420097,281,43,16298,149,306,2019,7568,75468,F
389226069,522,44,22446,149,4039,504,10494,75527,T
848217589,366,40,18300,149,534,2019,5548,75439,F
848243735,452,24,33448,149,218,2019,5224,74962,F
979723109,1682,179,40368,149,460,1009,10506,75239,T
265311429,73,25,3504,149,289,2019,8283,75353,T
548306923,1094,141,59076,149,195,2524,7904,75593,F
537966571,548,62,50964,149,361,1514,8290,75801,T
919245311,1128,103,25944,149,568,2019,5253,75484,F
368098035,532,77,49476,149,982,1009,5235,75289,T
593355707,308,78,29260,149,397,2524,5119,75700,F
609226436,282,30,23406,149,186,2524,5451,75099,F
296525349,682,42,21142,149,238,1514,8217,75077,T
297900306,297,68,27324,149,3029,1009,7758,75030,T
105415830,1209,164,94302,149,294,2019,5927,75839,F
143598358,518,97,49210,149,10387,2524,5420,75714,T
363516960,434,22,23870,149,229,2524,8187,75390,F
363986723,709,78,28360,149,285,1009,5710,75592,T
737629518,199,1,17711,149,790,2524,8118,74876,F
211150810,274,81,20824,149,523,504,8418,75328,T
629930661,112,15,3584,149,530,2524,7606,75183,F
829503025,1172,125,89072,149,204,2019,10399,74974,F
205921573,1080,100,54000,149,191,1514,10508,75209,T
743968806,7,12,168,149,185,1514,7960,75056,T
444857893,1249,162,121153,149,259,2019,5424,75197,F
139895950,11,9,715,149,301,2524,8410,75591,F
441011175,1865,211,167850,149,329,504,7919,75287,T
269820354,212,3,16324,149,161,2524,8345,75022,F
405400528,511,104,24528,149,886,2524,10713,75575,T
480537829,511,92,40369,149,4847,1009,10905,75600,T
234630223,1102,123,79344,149,386,2524,10198,74998,F
980790746,593,77,23720,149,160,504,7967,75509,T
612094578,411,19,12330,149,329,2524,10665,75617,F
824654079,796,103,78804,149,4847,1514,8353,75667,T
015805901,1324,122,45016,149,301,2524,7708,75279,F
834441339,1803,212,54090,149,835,1514,5706,74873,T
993886107,1217,118,109530,149,172,2524,5570,75583,F
374210015,415,30,39010,149,166,2019,7811,75226,F
623322496,1216,104,75392,149,481,1009,10760,75573,T
676246457,464,25,44080,149,369,1514,11039,75407,T
577182638,289,45,12138,149,294,2524,10460,75031,F
340947580,310,34,26660,149,146,1514,7897,75476,T
303214289,1173,142,102051,149,932,2524,8099,75473,F
267883407,82,44,6396,149,265,2524,10690,75537,F
387574628,1809,222,85023,149,475,2524,5530,75586,T
763379056,1803,234,147846,149,2796,2524,5179,75182,T
171179302,1084,150,31436,149,170,2019,8553,74892,F
303451898,1854,192,79722,149,326,2524,10049,75485,T
581880583,1308,110,39240,149,180,2019,8199,74969,F
654134290,1347,135,61962,149,386,504,5940,75768,T
852822347,1198,136,76672,149,351,2019,8472,75327,F
072932985,1136,150,85200,149,264,2524,10490,75693,F
670276372,1839,181,128730,149,163,1009,5997,75520,T
343476071,1771,246,122199,149,210,504,5411,74962,T
888904202,294,26,20874,149,271,2019,5710,75851,F
368029722,1742,184,92326,149,198,2524,11080,75592,T
200747830,69,39,3933,149,591,2524,5240,75467,F
024752765,726,50,63162,149,3305,2019,5441,75343,T
716571738,199,2,18905,149,1024,2524,10417,74923,F
853343390,1193,145,48913,149,230,504,5331,75793,T
570259904,348,89,18792,149,169,2019,8338,75185,F
376304769,1692,232,98136,149,661,1009,10526,75249,T
512045521,1326,140,33150,149,159,2524,5003,75457,F
229164563,87,38,5742,149,158,504,10110,75298,T
687596139,106,31,4452,149,317,2524,5042,74987,F
107690826,455,47,28210,149,172,1009,10986,75492,T
241209571,72,19,4464,149,673,2524,10055,75851,F
201020699,1229,99,35641,149,2077,1009,8252,75657,T
447786225,210,4,20790,149,180,2524,7836,75764,F
629582222,1209,144,107601,149,956,1514,10454,75423,T
664784528,146,23,12264,149,327,2524,11093,75675,F
303920836,1727,237,96712,149,4277,1009,11078,75759,T
339969517,1115,162,39025,149,1615,2019,7904,75340,F
771768282,1268,133,82420,149,342,1514,6020,75562,T
140103455,1201,109,63653,149,327,2524,5484,74874,F
344374959,720,87,23760,149,305,2019,5644,74936,T
551546934,1134,105,81648,149,320,2524,5428,75158,F
935674168,1850,184,136900,149,187,504,10291,75071,T
867304274,308,55,6468,149,679,2524,10297,75503,F
839310278,604,53,57380,149,354,1514,5727,75265,T
302147211,1283,140,98791,149,220,2524,10781,75828,F
960886683,727,59,48709,149,197,2524,7738,75008,T
219123082,1304,145,109536,149,175,2019,10441,75493,F
683162452,712,82,39160,149,207,1009,5986,75016,T
948575076,1086,119,39096,149,835,2019,7687,74991,F
221848260,709,107,19143,149,323,1514,7865,75280,T
777189261,1167,125,77022,149,155,2524,10411,75402,F
459095968,770,90,66990,149,149,2524,10547,75623,T
330835445,46,17,3772,149,591,2524,5128,75807,F
