userID,hoursPlayed,level,pelletsEaten,fruitEaten,ghostsEaten,avgScore,maxScore,totalScore,churned
061559020,2047,365,417588,9,73,2312,9346,4504,F
871083742,695,59,152900,8,42,1156,4652,4476,T
106585117,385,46,38885,9,57,2312,5581,3944,T
347802909,738,54,178596,8,58,1734,5531,4556,T
625361352,869,90,132088,9,176,1734,4952,3936,T
990986172,358,62,88784,8,32,578,9974,4483,T
555803063,2030,382,314650,9,59,1734,7903,4516,T
567983644,458,41,85646,8,49,2312,9807,4555,T
170908248,276,16,5796,8,93,1156,9817,4576,T
331244289,678,52,36612,8,41,1734,7552,4269,T
704235836,611,52,143585,8,42,2890,7932,3901,T
037471675,280,79,52360,8,634,2312,4893,4480,T
071517970,483,19,86940,8,85,578,10047,3997,T
430914463,802,107,92230,8,166,2312,4686,3730,T
243036450,596,108,70328,9,144,2890,7387,4444,T
648604355,1853,384,40766,8,126,2890,10129,3958,F
703865516,1807,367,363207,10,44,2890,9952,4403,F
768495926,305,53,21655,8,36,2312,5021,3903,T
077722160,314,47,39250,8,88,2312,4636,3638,T
502779568,1844,380,459156,9,49,578,10185,3965,T
335028110,1925,406,130900,8,121,1156,9290,3917,T
901315221,873,62,206028,8,85,1734,10151,4477,T
196716120,2048,361,71680,8,93,578,9278,3703,T
843719146,331,59,73151,8,38,578,5393,3764,T
378371757,468,43,31824,10,150,578,5141,3743,T
063547457,319,76,58058,9,109,2890,6969,4209,F
488296266,338,47,15886,10,36,1156,10224,4501,T
318029514,703,115,125134,8,352,1156,5450,4242,T
735233880,352,14,11616,8,90,2890,4609,4210,F
568467184,418,37,21736,8,63,1156,9631,4303,T
414139107,419,32,67459,8,176,2312,7434,3701,T
658841686,696,67,62640,8,317,578,7494,3782,T
545249683,305,64,10370,8,52,1734,5116,4262,T
013219203,413,63,66080,8,55,2890,9563,4089,F
014364592,402,52,11658,8,166,578,6904,3767,T
034632387,2051,403,328160,8,77,1156,9678,4445,T
941019211,1943,385,334196,8,58,578,7797,4193,T
680868321,2063,390,288820,8,35,2312,6979,3961,F
763485637,1966,374,57014,10,137,578,4931,4572,T
130891408,621,66,78867,8,72,1734,7374,4015,T
141610352,778,105,105030,8,32,578,7136,4110,T
260608583,822,103,125766,8,36,578,4993,4259,T
781063763,462,12,115038,9,176,1156,7428,4354,T
068475975,708,113,118236,8,211,1734,5454,4405,T
251417447,860,117,184900,8,66,2312,9414,4360,T
730367041,1942,360,79622,8,132,1734,5433,4292,T
810775153,1831,392,199579,8,36,2312,7899,4025,F
175112789,507,39,32448,8,68,2312,4680,4440,T
836301282,470,44,99640,8,59,1156,9770,3969,T
568415151,1990,382,421880,8,75,2312,9254,4519,F
805583543,458,30,99844,8,66,2312,5582,4284,T
